科目,2011年度,2012年度,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月,2018年1-9月,2018年度,2019年1-3月
支付给职工以及为职工支付的现金,"30,180,362.49","40,172,287.69","43,856,524.74",,"26,489,992.31","39,763,394.84","56,602,231.40","17,783,608.59","32,476,352.96","46,948,784.22","112,731,438.93","34,587,809.69","66,454,094.78","97,618,227.94","141,806,205.81","36,538,682.62","71,360,324.16","103,547,674.30","158,781,489.72","40,889,069.98","79,035,815.96","118,388,282.60","173,801,805.79","38,220,612.38"
取得借款收到的现金,"65,000,000.00","45,000,000.00","80,000,000.00",,"20,000,000.00","35,000,000.00","45,000,000.00",,"5,000,000.00","25,000,000.00","85,000,000.00",,"6,000,000.00","6,000,000.00",,,,"15,000,000.00","80,000,000.00","20,000,000.00","340,000,000.00","362,000,000.00","410,000,000.00","50,000,000.00"
支付的各项税费,"36,523,256.91","38,861,978.85","39,121,213.45",,"22,835,531.35","34,488,578.55","52,732,020.68","11,607,814.89","21,185,614.59","30,656,246.80","52,351,544.99","26,475,224.68","46,644,735.69","73,342,927.98","85,250,723.86","19,252,543.31","34,913,852.72","51,984,607.61","67,936,919.25","23,387,573.91","30,504,881.07","43,600,536.85","56,255,089.04","22,351,002.81"
收到其他与筹资活动有关的现金,,,"4,459,600.00",,,,,,,,,"6,000,000.00",,,"1,070,000.00",,,,"50,000,000.00",,,,,
支付其他与经营活动有关的现金,"5,404,028.67","5,606,561.53","8,416,569.52",,"5,310,046.94","9,434,726.41","17,078,787.32","4,002,447.14","9,478,926.71","13,172,395.95","19,036,817.44","4,336,885.72","7,855,040.75","18,797,734.36","18,952,519.77","4,368,507.23","9,304,406.77","15,222,055.98","17,113,291.41","6,804,131.77","13,382,316.80","22,007,551.18","22,003,426.56","5,773,751.93"
筹资活动现金流入小计,"65,000,000.00","45,000,000.00","84,459,600.00",,"218,600,000.00","233,600,000.00","216,775,056.61",,"5,000,000.00","25,000,000.00","85,000,000.00","46,889,520.00","46,889,520.00","51,925,520.00","46,995,520.00",,,"15,000,000.00","130,000,000.00","20,000,000.00","340,000,000.00","362,000,000.00","410,000,000.00","50,000,000.00"
经营活动现金流出小计,"322,601,060.50","347,595,145.15","396,585,358.47",,"255,987,638.78","411,114,515.53","550,472,250.35","139,630,237.11","275,553,521.50","405,363,914.66","589,341,763.40","180,339,039.13","358,686,775.16","541,189,604.78","764,367,010.01","219,815,021.00","403,840,279.72","605,252,714.71","780,484,637.58","227,178,822.57","399,698,931.61","640,978,584.72","775,538,011.54","175,206,455.98"
偿还债务支付的现金,"65,000,000.00","65,000,000.00","60,000,000.00",,"15,000,000.00","55,000,000.00","95,000,000.00",,,"5,000,000.00","120,000,000.00","30,000,000.00","30,000,000.00","30,000,000.00","30,000,000.00",,,,,,"100,000,000.00","100,000,000.00","115,000,000.00","70,000,000.00"
经营活动产生的现金流量净额,"56,901,238.53","71,617,861.34","50,538,285.90","5,575,118.64","10,155,215.63","-144,091.64","53,117,143.76","9,143,115.84","5,172,436.65","18,228,987.73","78,284,358.60","58,503,082.22","97,383,648.54","149,185,954.89","190,060,450.93","7,452,913.44","4,816,670.67","14,336,601.96","29,175,354.90","48,648,049.31","68,829,096.50","38,496,857.00","86,104,571.21","18,829,519.72"
分配股利、利润或偿还利息支付的现金,"4,014,124.37","3,807,470.84","2,389,466.67",,"2,134,166.67","2,375,833.34","3,537,888.90","208,125.00","16,450,437.50","16,757,638.90","104,239,125.00","159,499.99","30,962,313.75","30,962,313.75","30,962,313.75",,"40,495,473.06","40,495,473.06","40,973,973.06","1,120,970.83","3,984,075.83","8,620,155.27","13,543,877.75","5,039,499.84"
收回投资收到的现金,,,,,,,,,,,"57,700,000.00",,,,,,,,,,,,,
支付其他与筹资活动有关的现金,,,,,"21,494,000.00","24,774,000.00",,,,,"5,000,000.00",,,,,"937,260.00","937,260.00","937,260.00","937,260.00","45,340,720.00","55,340,720.00","55,340,720.00","55,774,020.00",
取得投资收益收到的现金,,,,,,,,,,,"11,759,443.83",,"537,592.91","1,404,178.98","1,902,294.02","607,705.48","1,136,061.64","1,613,615.07","1,753,234.93","471,780.82","1,723,133.39","3,993,382.25","7,637,443.82","1,823,415.53"
筹资活动现金流出小计,"69,014,124.37","68,807,470.84","62,389,466.67",,"38,628,166.67","82,149,833.34","98,537,888.90","208,125.00","16,450,437.50","21,757,638.90","229,239,125.00","30,159,499.99","60,962,313.75","60,962,313.75","60,962,313.75","937,260.00","41,432,733.06","41,432,733.06","41,911,233.06","46,461,690.83","159,324,795.83","163,960,875.27","184,317,897.75","75,039,499.84"
处置固定资产、无形资产和其他长期资产收回的现金净额,"147,761.54","48,635.00","361,992.76",,"34,310.00","40,160.00","13,242.28",,,,"582,523.51","389,577.00","389,577.00","389,577.00","905,239.94",,"12,000.00","383,500.00","373,340.00","666,000.00","666,000.00","666,000.00","1,865,460.00","1,641,570.30"
筹资活动产生的现金流量净额,"-4,014,124.37","-23,807,470.84","22,070,133.33",,"179,971,833.33","151,450,166.66","118,237,167.71","-208,125.00","-11,450,437.50","3,242,361.10","-144,239,125.00","16,730,020.01","-14,072,793.75","-9,036,793.75","-13,966,793.75","-937,260.00","-41,432,733.06","-26,432,733.06","88,088,766.94","-26,461,690.83","180,675,204.17","198,039,124.73","225,682,102.25","-25,039,499.84"
处置子公司及其他营业单位收到的现金净额,,,,,,,,,,,,,,,,,,,,,,,,
四、汇率变动对现金的影响,,,,,,,,,,,,,,,,,,,-153.08,-544.44,-595.10,-595.10,-595.07,
收到其他与投资活动有关的现金,,,,,,,,,,,"242,149,242.01","38,000,200.00","88,000,300.00","108,100,300.00","240,493,309.46","145,000,000.00","245,498,671.00","340,678,064.00","389,000,000.00","50,006,860.28","290,000,000.00","365,600,000.00","50,000,000.00","140,000,000.00"
四(2)、其他原因对现金的影响,,,,,,,,,,,,,,,,,,,,,,,,
投资活动现金流入小计,"147,761.54","48,635.00","361,992.76",,"34,310.00","40,160.00","13,242.28",,,,"312,191,209.35","38,389,777.00","88,927,469.91","109,894,055.98","243,300,843.42","145,607,705.48","246,646,732.64","342,675,179.07","391,126,574.93","51,144,641.10","292,389,133.39","370,259,382.25","59,502,903.82","143,464,985.83"
五、现金及现金等价物净增加额,"-5,419,447.11","25,482,579.90","-9,261,105.61",,"145,515,671.91","55,983,503.93","55,331,411.37","-16,504,606.91","-82,094,508.50","-80,812,248.22","-64,325,879.12","38,640,716.03","66,309,726.81","74,416,844.33","41,667,954.50","-20,994,045.20","1,019,058.48","1,401,992.76","60,608,576.99","-12,203,969.41","207,335,056.87","139,587,634.29","-53,973,013.25","-12,177,238.38"
购建固定资产、无形资产和其他长期资产支付的现金,"58,454,322.81","22,376,445.60","82,231,517.60",,"44,645,687.05","95,362,731.09","116,036,142.38","25,439,597.75","75,816,507.65","92,283,597.05","112,982,873.07","24,840,913.20","35,787,347.89","67,485,122.79","84,647,181.10","22,976,154.12","38,870,361.77","52,575,805.21","70,805,148.28","33,420,224.55","52,443,582.09","65,092,934.59","95,258,954.15","9,432,244.09"
期初现金及现金等价物余额,"45,128,588.64","39,709,141.53","65,191,721.43",,"55,930,615.82","55,930,615.82","55,930,615.82","111,262,027.19","111,262,027.19","111,262,027.19","118,103,750.96","53,777,871.84","53,777,871.84","53,777,871.84","53,777,871.84","95,445,826.34","95,445,826.34","95,445,826.34","95,445,826.34","159,544,403.33","156,054,403.33","156,054,403.33","156,054,403.33","102,081,390.08"
投资支付的现金,,,,,,,,,,"10,000,000.00","10,000,000.00",,,,"79,365.00",,,,,,,,,
期末现金及现金等价物余额,"39,709,141.53","65,191,721.43","55,930,615.82",,"201,446,287.73","111,914,119.75","111,262,027.19","94,757,420.28","29,167,518.69","30,449,778.97","53,777,871.84","92,418,587.87","120,087,598.65","128,194,716.17","95,445,826.34","74,451,781.14","96,464,884.82","96,847,819.10","156,054,403.33","147,340,433.92","363,389,460.20","295,642,037.62","102,081,390.08","89,904,151.70"
