科目,2007年1-6月,2007年度,2008年1-6月,2008年1-9月,2008年度,2009年1-3月,2009年1-6月,2009年1-9月,2009年度,2010年1-3月,2010年1-6月,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度
分配股利、利润或偿还利息支付的现金,"1,477,790,253.00","2,081,877,730.00","376,171,576.12","1,918,426,500.00","2,176,938,823.00","178,577,251.00","1,520,406,529.39","1,510,403,863.00","1,998,089,108.00","170,613,921.00","1,642,893,477.81","1,747,034,539.00","2,185,388,938.00","168,879,314.61","735,925,994.48","2,163,649,768.97","2,651,981,128.00","281,153,244.80","870,105,768.43","3,267,480,052.42","4,035,312,183.00","276,838,990.27","966,371,190.83","3,438,886,964.19","3,686,986,618.00","408,774,431.00","746,598,630.00","2,856,793,807.00","3,034,005,043.00","428,681,066.00","776,764,040.00","2,808,461,812.00","3,413,869,833.00","250,703,856.00","746,671,542.00","2,587,427,760.00","2,864,677,303.00","323,166,013.00","583,255,892.00","2,811,534,785.00","3,188,451,228.00"
收回投资收到的现金,,,"147,650,365.25","524,998,822.00",,"436,441,212.00","128,503,188.03","149,275,000.00","434,217,374.00","12,246,785.00","66,272,315.98","129,098,660.00","223,358,410.00","36,011,465.27","390,995,258.23","183,830,554.23","1,975,121,621.00","36,638,305.53","43,871,800.60","68,233,335.00","654,030,876.00","239,186,492.65","273,387,633.08","321,933,075.62","1,045,323,031.00","673,844,457.00","922,958,327.00","1,243,556,481.00","545,922,233.00","785,494,272.00","1,315,312,909.00","2,128,962,820.00","1,460,279,624.00","74,836,494.00","386,486,639.00","523,021,970.00","256,691,819.00","415,042,075.00","969,571,279.00","303,646,241.00","736,481,303.00"
支付其他与筹资活动有关的现金,,,"90,155,874.03","234,546,861.00",,"173,341,718.00","203,707,950.43","287,686,819.00","130,860,463.00","50,969,101.00","14,327,201.99","8,519,178.00",,"54,850,977.99","260,459,550.97","-16,505,244.51","786,579,238.00","972,430,832.29","108,732,949.25","575,873,663.32","5,409,184,106.00","380,947,083.76","427,171,664.20","520,435,300.36","359,197,586.00","747,903,757.00","372,479,769.00","422,406,647.00","366,095,151.00","32,399,985.00","153,804,091.00","217,260,245.00","451,025,310.00","62,131,754.00","355,776,289.00","360,283,770.00","9,528,269,889.00","133,988,547.00","40,294,408.00","51,067,711.00","12,727,898,421.00"
取得投资收益收到的现金,"53,126,015.00",,"62,994,424.26","81,275,055.00","84,808,013.00","68,231,378.00","58,541,794.10","104,180,241.00","10,129,003.00","37,873,171.00","53,826,746.40","107,270,007.00","242,151,017.00","17,000,804.87","42,144,199.74","393,344,786.69","228,046,482.00","26,872,857.25","29,812,289.29","86,347,930.92","122,150,839.00","24,344,000.00","111,422,555.00","118,660,239.10","175,219,855.00","10,504,438.00","208,320,842.00","245,647,460.00","76,849,234.00","15,019,865.00","66,715,328.00","166,604,195.00","286,080,362.00","18,553,477.00","79,511,471.00","89,563,753.00","278,699,735.00","12,546,080.00","74,232,866.00","96,028,240.00","605,314,269.00"
筹资活动现金流出小计,"2,366,579,830.00","4,114,019,169.00","5,610,387,208.14","8,025,869,823.00","9,684,806,062.00","1,295,212,128.00","3,601,586,279.82","4,197,374,968.00","6,154,222,258.00","3,000,111,705.00","5,712,165,629.77","8,026,901,452.00","7,907,924,724.00","1,958,660,698.76","3,592,932,236.18","5,861,490,314.79","12,913,817,343.00","2,040,497,655.02","4,510,976,064.96","9,528,975,699.61","15,217,024,489.00","3,663,496,214.53","8,729,749,883.74","14,187,745,019.76","17,472,492,710.00","3,120,044,029.00","7,091,520,457.00","15,705,071,252.00","15,327,349,087.00","3,096,902,188.00","9,532,031,321.00","17,126,174,858.00","19,522,569,144.00","9,648,485,358.00","19,234,941,948.00","30,726,991,469.00","21,420,732,676.00","3,418,140,351.00","11,833,473,079.00","24,506,607,860.00","20,871,370,054.00"
处置固定资产、无形资产和其他长期资产收回的现金净额,"50,581,281.00","288,381,118.00","3,192,946.54","4,991,772.00","116,673,181.00","2,807,674.00","110,660,285.88","156,600,057.00","216,636,886.00","446,254.00","6,343,110.34","9,519,523.00","485,657,466.00","7,864,949.33","6,025,601.79","9,857,751.73","591,200,500.00","421,579.30","3,896,646.75","5,909,361.13","425,268,873.00","65,424,189.07","60,769,232.57","61,239,330.17","102,049,752.00","419,012.00","1,172,058.00","2,510,972.00","77,382,630.00","1,979,394.00","21,002,737.00","25,323,873.00","64,593,387.00","19,481,734.00","23,055,286.00","32,372,395.00","282,845,908.00","1,674,236.00","8,349,137.00","11,289,307.00","95,865,471.00"
筹资活动产生的现金流量净额,"836,197,006.00","427,972,369.00","6,671,658,809.37","5,709,636,310.00","5,207,230,299.00","-63,318,628.00","-950,835,716.94","-884,314,405.00","-1,042,040,567.00","335,412,706.00","1,834,731,412.75","1,529,900,371.00","1,185,159,733.00","-61,248,638.00","2,585,673,991.26","3,130,199,745.58","2,532,971,035.00","2,107,870,953.42","3,397,939,936.95","2,763,310,196.57","5,935,098,242.00","2,361,775,522.27","-73,513,937.60","-1,928,440,326.16","-2,594,919,864.00","2,135,759,623.00","3,061,235,082.00","2,614,414,602.00","2,414,082,749.00","-278,330,981.00","74,451,078.00","1,973,933,269.00","-273,017,707.00","7,216,676,600.00","705,590,952.00","458,892,689.00","-507,890,305.00","1,474,902,243.00","2,651,697,259.00","121,664,939.00","-2,674,287,343.00"
处置子公司及其他营业单位收到的现金净额,,,"-26,510,155.45","82,440,510.00","18,787,910.00",,"32,516,782.89","44,246,783.00","70,141,444.00",,"10,300,000.00","45,067,550.00","170,320,817.00",,"9,815,997.48","9,815,997.48","93,417,331.00",,"9,355,817.91","19,391,278.13","9,729,055.00",,"10,629,334.35",,"22,378,140.00",,"12,904,099.00","12,904,099.00","96,075,770.00","-1,773,253.00","5,157,736.00","5,157,736.00",,,500.00,500.00,"3,112,817.00",,,"15,469,275.00","227,412,775.00"
四、汇率变动对现金的影响,,,"-17,917,670.62","-18,081,210.00","-19,811,857.00","342,645.00","-448,923.62","-2,227,088.00","13,582,316.00","-1,933,522.00","-5,961,663.48","-7,812,197.00","-21,452,721.00","-3,820,054.91","-11,278,399.33","-28,011,049.15","-93,077,303.00","12,092,298.74","15,480,802.22","26,569,690.60","-8,715,682.00","25,951,269.74","36,518,620.13","46,187,960.02","-61,621,090.00","9,659,081.00","9,806,299.00","-5,266,057.00","7,880,144.00","-10,620,690.00","-41,639,322.00","-12,792,802.00","30,697,216.00","62,150,541.00","42,677,188.00","44,797,514.00","252,199,425.00","-5,091,689.00","-118,066,725.00","-363,523,542.00","-100,944,745.00"
收到其他与投资活动有关的现金,"21,650,040.00","136,751,419.00","539,480,623.22","743,538,122.00","22,094,957.00","180,027,229.00","796,355,283.28","1,030,156,941.00","1,287,734,393.00","56,679,797.00","27,392,792.76","96,464,660.00","269,672,978.00","47,307,584.66","402,456,303.73","116,790,170.43","60,427,950.00","235,025,731.01","442,471,314.84","819,054,141.19","85,090,485.00","630,974,365.58","1,054,012,462.91","1,344,317,307.18","288,046,283.00","109,439,476.00",,"75,226,682.00","341,789,835.00","121,021,524.00","253,881,157.00","367,936,011.00","509,667,366.00","2,645,403,155.00","557,229,366.00","515,277,518.00","521,336,401.00","332,381,986.00","610,478,938.00","574,943,175.00","165,306,088.00"
四(2)、其他原因对现金的影响,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
投资活动现金流入小计,"125,357,336.00","425,132,537.00","726,808,203.82","1,437,244,281.00","242,364,061.00","687,507,493.00","1,126,577,334.18","1,484,459,022.00","2,018,859,100.00","107,246,007.00","164,134,965.48","387,420,400.00","1,391,160,688.00","108,184,804.13","851,437,360.97","713,639,260.56","2,948,213,884.00","298,958,473.09","529,407,869.39","998,936,046.37","1,296,270,128.00","959,929,047.30","1,510,221,217.91","1,846,149,952.07","1,633,017,061.00","794,207,383.00","1,145,355,326.00","1,579,845,694.00","1,138,019,702.00","921,741,802.00","1,662,069,867.00","2,693,984,635.00","2,320,620,739.00","2,758,274,860.00","1,046,283,262.00","1,160,236,136.00","1,342,686,680.00","761,644,377.00","1,662,632,220.00","1,001,376,238.00","1,830,379,906.00"
五、现金及现金等价物净增加额,"295,980,676.00","219,068,755.00","4,964,877,838.74","3,426,844,046.00","561,391,061.00","401,278,975.00","23,268,033.87","391,125,283.00","279,187,190.00","365,608,220.00","1,331,898,257.25","837,762,089.00","792,416,758.00","1,169,766,072.12","3,680,863,080.70","3,255,484,473.34","1,125,715,892.00","-556,344,163.99","729,865,836.79","743,969,670.63","1,397,552,110.00","1,713,645,387.51","-1,489,438,019.78","-3,039,251,061.44","-2,293,806,954.00","864,540,043.00","479,322,293.00","-323,536,296.00","-509,172,565.00","-746,672,607.00","-220,379,472.00","414,535,910.00","1,333,937,837.00","6,006,267,229.00","852,522,921.00","-218,137,930.00","-132,874,951.00","110,661,876.00","2,227,943,771.00","834,030,546.00","1,041,520,613.00"
购建固定资产、无形资产和其他长期资产支付的现金,"1,325,794,001.00","3,618,606,932.00","1,741,888,994.02","2,696,604,142.00","5,216,621,189.00","399,664,827.00","1,048,811,659.07","1,830,257,999.00","4,104,111,767.00","681,713,139.00","1,569,604,823.56","2,656,827,334.00","4,952,234,557.00","861,211,429.97","2,075,775,552.08","4,046,760,815.38","7,476,373,611.00","1,434,183,756.94","3,945,719,649.08","4,423,035,183.04","7,995,940,182.00","1,450,577,279.80","3,663,751,623.23","4,454,730,517.76","8,620,922,740.00","951,641,490.00","2,413,033,165.00","3,651,187,648.00","6,220,740,665.00","946,420,031.00","1,930,867,515.00","2,952,703,282.00","4,858,199,761.00","766,993,969.00","2,250,115,977.00","3,044,093,077.00","5,521,168,768.00","580,569,218.00","1,639,220,651.00","2,493,183,572.00","5,037,484,759.00"
期初现金及现金等价物余额,"1,939,408,209.00","1,939,408,209.00","2,236,596,925.16","2,236,596,925.00","2,158,476,964.00","2,719,868,025.00","2,719,868,025.05","2,719,868,025.00","2,719,868,025.00","2,999,055,215.00","2,999,055,215.00","2,999,055,215.00","2,999,055,215.00","3,791,471,973.00","3,791,471,973.00","3,791,471,973.00","3,791,471,973.00","4,917,187,865.00","4,917,187,865.00","4,957,356,607.13","4,917,187,865.00","6,314,739,975.00","6,314,739,975.00","6,314,739,975.00","6,314,739,975.00","4,020,933,021.00","4,020,933,021.00","4,020,933,021.00","4,020,933,021.00","3,511,760,456.00","3,511,760,456.00","3,511,760,456.00","3,511,760,456.00","4,845,698,293.00","4,845,698,293.00","4,845,698,293.00","4,845,698,293.00","4,712,823,342.00","4,712,823,342.00","4,712,823,342.00","4,712,823,342.00"
投资支付的现金,"520,592,200.00",,"1,219,492,026.52","1,640,030,991.00","83,900,000.00","121,753,341.00","700,789,971.50","516,406,629.00","609,120,615.00","209,817,500.00","2,042,468,800.05","2,484,001,655.00","2,420,738,553.00","189,416,735.78","937,971,827.87","1,298,247,608.19","1,646,301,298.00","1,919,001,483.04","1,439,125,831.38","1,532,016,373.03","2,227,926,413.00","457,657,556.38","354,625,000.00","978,511,308.11","1,423,893,403.00","1,038,551,016.00","1,358,607,503.00","1,941,443,636.00","2,340,340,110.00","1,063,890,788.00","2,358,324,107.00","2,873,746,284.00","3,038,726,567.00","643,267,925.00","1,425,596,122.00","1,740,354,734.00","1,881,197,470.00","529,426,709.00","1,782,517,270.00","872,006,135.00","990,949,510.00"
期末现金及现金等价物余额,"2,235,388,885.00","2,158,476,964.00","7,201,474,763.90","5,663,440,971.00","2,719,868,025.00","3,121,147,000.00","2,743,136,058.92","3,110,993,308.00","2,999,055,215.00","3,364,663,435.00","4,330,953,472.25","3,836,817,304.00","3,791,471,973.00","4,961,238,045.12","7,472,335,053.70","7,046,956,446.34","4,917,187,865.00","4,360,843,701.01","5,647,053,701.79","5,701,326,277.76","6,314,739,975.00","8,028,385,362.51","4,825,301,955.22","3,275,488,913.56","4,020,933,021.00","4,885,473,064.00","4,500,255,314.00","3,697,396,725.00","3,511,760,456.00","2,765,087,849.00","3,291,380,984.00","3,926,296,366.00","4,845,698,293.00","10,851,965,522.00","5,698,221,214.00","4,627,560,363.00","4,712,823,342.00","4,823,485,218.00","6,940,767,113.00","5,546,853,888.00","5,754,343,955.00"
