科目,2007-12-31,2008-12-31,2009-06-30,2009-09-30,2009-12-31,2010-03-31,2010-06-30,2010-09-30,2010-12-31,2011-03-31,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30
应付关联公司款,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
一年内到期的非流动资产,,,,,,,,,,,,,,,,,,,,,,,,,,,"509,867.03","118,713.30","11,552,131.25","11,588,641.72","12,508,860.66","17,374,680.00","15,271,593.12","19,311,695.99","19,200,508.43","19,362,942.77"
一年内到期的非流动负债,,,,,,,,,,,,,"4,712,263.74","2,724,516.07",,,"8,793,590.53","8,793,590.53",,,"6,106,828.37",,"5,379,061.24",,"22,228,018.58","22,228,018.58","528,516,373.84",,"47,152,676.08","46,680,655.71","331,598,403.37","331,940,587.62","374,942,352.53","323,813,865.04","142,006,837.04","161,508,911.70"
其他流动资产,"1,052,774.83","2,719,551.08","3,934,043.68","3,981,554.00","4,559,485.91","3,875,350.27","4,334,886.50","4,846,988.37","7,133,092.86","6,652,856.28","7,887,063.64","7,810,598.88","10,274,910.77","10,792,034.17","12,903,680.51","11,401,045.10","32,951,350.71","27,751,849.16","31,407,883.28","29,837,961.85","26,579,789.11","184,149,709.75","218,303,388.13","66,013,549.07","195,777,630.85","173,666,455.11","261,084,133.43","677,550,847.57","449,010,705.62","140,277,744.80","229,331,297.89","225,145,463.57","228,827,473.93","219,666,734.19","272,889,644.16","332,480,077.46"
其他流动负债,"2,307,711.00","6,640,105.19","5,274,868.50","8,313,684.79","3,787,681.19","4,703,163.41","7,000,230.84","11,039,466.98","4,089,152.19","8,290,562.92","14,362,511.12","15,991,362.03","6,196,618.23","6,482,012.32","15,572,420.44","24,011,998.19","1,435,751.07","1,011,397.87","2,033,805.20","1,153,060.65","1,383,628.44","4,383,428.58","8,796,056.72","336,870.21","746,764.10","746,764.10",,,"2,046,964.07",,,,,,,
流动资产合计,"894,154,513.55","1,278,608,461.45","1,226,809,303.12","1,259,373,268.62","2,043,686,098.08","1,944,643,820.52","1,895,948,268.52","2,161,205,340.33","2,086,082,603.96","2,189,731,586.44","2,233,777,198.16","2,214,509,016.24","2,254,664,383.01","2,114,632,020.53","2,157,255,704.34","2,258,744,848.43","1,952,822,355.22","1,926,667,309.52","1,962,534,223.37","2,062,158,646.69","2,055,453,520.25","1,952,061,184.04","1,808,000,391.92","1,852,369,383.51","1,680,603,771.81","1,576,177,963.63","9,265,470,900.87","9,971,869,878.76","10,009,777,683.00","9,847,458,199.32","10,730,464,505.39","11,331,983,852.78","12,513,581,831.51","12,723,051,356.63","13,425,335,733.90","14,314,416,840.43"
流动负债合计,"981,159,582.30","1,432,856,843.41","1,297,151,539.59","1,335,237,075.76","1,110,713,423.16","1,004,483,828.95","1,084,660,940.76","1,381,016,355.36","1,332,719,701.36","1,403,312,612.09","1,535,847,341.80","1,578,576,934.00","1,772,905,126.53","1,667,865,424.80","989,942,371.28","1,063,542,671.68","919,263,139.21","849,238,975.07","894,705,100.00","963,397,905.38","852,663,489.92","777,407,386.90","735,975,521.92","750,306,088.38","696,058,690.19","643,958,728.50","4,392,466,638.85","4,296,747,908.10","4,483,250,228.11","3,984,633,143.35","4,251,789,373.67","5,164,858,131.09","6,887,122,569.47","7,336,289,515.49","7,277,593,995.87","8,109,914,299.58"
可供出售金融资产,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
长期借款,,,"130,000,000.00","130,000,000.00","30,000,000.00","30,000,000.00",,,,,,,,,,,,,,,,,,,,,"1,227,000,000.00","515,000,000.00",,,"921,770,000.00","820,000,000.00","550,000,000.00","601,128,125.00","1,065,000,000.00","1,763,000,000.00"
持有至到期投资,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应付债券,,,,,,,,,,,,,,,"790,500,220.08","790,837,967.67","788,379,697.11","788,664,483.09","788,960,126.79","789,745,041.78","790,214,736.46","790,681,066.57","791,172,584.34","791,505,060.50","792,173,611.06","792,672,325.30","744,622,736.47","745,156,083.91","748,520,619.44","749,207,514.13","496,588,568.34","497,089,028.10","497,589,487.84","498,089,947.59","498,013,123.11","498,529,780.55"
长期应收款,,,,,,,,,,,,,"27,359,443.91","27,004,853.91","29,989,335.96","29,989,335.96","28,294,413.42","28,165,108.42","28,511,348.42","26,634,625.36","16,533,551.53","16,541,726.53","16,586,741.53","11,521,570.90","11,521,570.90","11,599,955.90","11,599,560.67","11,584,858.90","51,850,079.28","51,882,471.18","50,354,156.19","429,753,067.93","87,938,273.24","95,710,886.49","92,790,074.05","92,624,039.71"
长期应付款,"10,733,072.03",,,,,,,,,,,,"392,674,056.56","370,808,941.21","405,582,899.91","415,533,132.30","415,743,073.69","421,371,813.83","363,727,317.34","329,339,072.68","312,459,305.18","293,860,899.23","262,430,535.16","238,064,779.53","214,090,447.32","215,147,704.96","61,556,256.29","227,273,184.33","161,250,021.41","155,851,545.21","112,531,374.30","125,207,541.44","131,894,654.09","133,483,250.75","56,655,669.94","31,602,308.38"
长期股权投资,"3,660,000.00","3,660,000.00","3,660,000.00","3,660,000.00","3,660,000.00","3,660,000.00","3,660,000.00","3,660,000.00","3,660,000.00","3,660,000.00","3,660,000.00","3,660,000.00","3,660,000.00","3,660,000.00","3,660,000.00","3,660,000.00","103,660,000.00","103,660,000.00","103,660,000.00","103,660,000.00","104,765,139.15","104,765,139.15","102,440,444.84","101,105,139.15","105,202,034.31","105,202,034.31","215,711,212.04","274,458,534.39","218,190,524.68","222,459,795.41","227,140,140.53","264,284,506.25","228,017,172.96","229,316,006.81","233,278,282.98","232,476,239.48"
专项应付款,,,,,,,"133,000.00","10,000.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,
投资性房地产,,,,,,,,,,,,,,,,,,,,,,,,,,,"4,981,952.90","4,918,778.60","4,855,604.30","4,792,430.00","9,680,061.01","10,614,512.86","15,113,091.14","15,358,036.72","15,696,996.27","19,651,889.56"
预计负债,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"4,904,385.19","4,904,385.19","4,546,599.52","4,251,017.22","8,032,519.78","8,032,519.78","6,472,784.36","4,546,599.52"
