科目,2007年度,2008年度,2009年1-6月,2009年度,2010年1-6月,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月
支付给职工以及为职工支付的现金,"15,073,711.83","16,378,517.59","13,127,056.33","24,884,896.12","14,056,462.10","22,322,348.07","33,466,549.54","11,247,781.61","21,565,959.19","34,378,812.65","42,025,135.71","18,283,979.66","30,838,548.91","47,442,809.20","66,127,005.19","20,866,318.14","39,098,733.15","60,519,626.19","86,134,168.38","27,024,347.86","54,448,748.39","76,012,731.57","104,080,814.56","39,675,367.32","64,098,928.84","98,431,272.98","124,200,315.84","45,348,948.31","83,124,616.81","128,495,266.19","157,649,183.33","61,774,366.46","104,853,334.21","163,509,357.55"
取得借款收到的现金,"1,000,000.00","1,500,000.00","16,850,000.00","22,850,000.00","5,000,000.00","5,000,000.00","10,000,000.00",,,,,,,,,,,,,,,,,,,,,,,"100,000,000.00","310,000,000.00","80,000,000.00","253,500,000.00","614,500,000.00"
支付的各项税费,"6,173,024.66","13,774,770.95","6,975,620.13","13,563,238.32","9,267,921.07","13,927,062.17","16,383,263.69","17,060,700.20","32,551,566.44","46,180,949.37","54,573,951.30","15,970,209.00","31,003,404.59","39,383,691.47","44,619,376.97","13,315,402.83","22,299,194.18","29,346,631.89","37,210,931.11","10,629,740.55","20,125,898.18","26,633,568.26","32,167,204.04","15,821,341.36","29,434,682.22","35,908,397.44","38,565,297.58","15,815,455.56","26,536,307.87","37,380,529.58","48,304,522.88","27,127,682.56","44,288,783.65","54,795,433.39"
收到其他与筹资活动有关的现金,,,,,,,,"1,711.11","1,711.11","1,711.11","425,360.83",,"1,320,000.00","1,320,000.00","1,342,500.00",,"1,063,402.07","1,063,402.07",,,,,,,,,,,,,,,,114.31
支付其他与经营活动有关的现金,"21,849,941.93","34,594,776.02","16,288,764.36","31,621,868.05","18,020,610.80","27,710,907.28","21,199,991.99","42,404,079.00","44,690,996.53","43,148,791.49","37,676,186.52","9,037,697.35","19,186,349.36","35,885,455.54","35,026,800.38","15,630,027.29","33,050,615.82","46,884,335.90","53,154,968.07","14,370,885.32","29,288,932.74","58,017,850.06","60,669,805.89","45,920,069.17","40,256,449.67","67,557,876.80","76,863,610.95","16,378,207.04","47,831,564.24","126,016,119.79","443,973,942.74","108,953,194.93","143,459,778.83","385,799,553.66"
筹资活动现金流入小计,"1,000,000.00","1,500,000.00","16,850,000.00","22,850,000.00","5,000,000.00","397,608,000.00","413,950,000.00","1,711.11","2,801,711.11","3,101,711.11","3,525,360.83",,"1,320,000.00","1,320,000.00","2,342,500.00","450,000.00","2,713,402.07","2,713,402.07","2,450,000.00",,,"5,000,000.00","1,800,000.00","34,900,000.00","2,502,040.00","12,402,040.00","41,300,000.00",,"70,000.00","107,460,000.00","328,250,000.00","85,601,500.00","259,100,000.00","621,430,114.31"
经营活动现金流出小计,"107,744,754.63","135,026,996.27","86,615,064.60","168,723,594.00","83,456,355.61","145,543,730.75","230,595,068.87","75,756,450.89","134,432,420.32","239,953,937.76","320,185,694.76","75,137,962.36","146,272,095.95","214,724,528.78","288,010,168.10","70,262,845.58","169,891,528.33","248,997,099.92","356,646,464.11","106,389,635.10","161,840,807.72","316,841,052.83","379,835,633.07","189,856,701.65","248,464,108.92","368,757,276.78","441,875,236.24","124,250,255.03","261,241,185.70","685,320,210.57","877,846,791.01","242,544,743.67","487,897,658.60","753,821,107.17"
偿还债务支付的现金,"20,000,000.00","1,000,000.00","1,124,583.32","3,628,333.28","1,003,749.96","2,505,624.94","8,007,499.92","5,501,874.98","11,003,749.96","11,505,624.94","12,007,499.92","501,874.98","1,003,750.00","1,505,625.04","2,007,500.08","501,875.04","1,003,750.04","1,505,625.02","2,007,500.00","1,749,209.98","1,003,749.96","2,752,959.94","2,007,499.92","501,874.98","1,003,750.00","1,505,625.04","2,007,500.08","501,875.04","1,003,750.08","2,676,666.80","2,676,666.80","80,000,000.00","180,000,000.00","180,959,173.00"
经营活动产生的现金流量净额,"39,473,319.53","20,062,295.09","-349,981.94","16,949,032.68","-18,746,359.43","-22,450,275.04","-38,627,683.97","-6,038,874.61","-946,002.09","-5,957,899.99","85,443,677.60","-41,361,302.45","-9,250,690.78","-7,651,572.43","51,340,826.82","-22,244,286.71","-40,726,117.78","-26,815,126.01","30,520,624.93","-40,184,317.59","-56,947,873.63","-62,459,393.48","62,499,903.52","-29,250,555.31","-77,256,647.62","-101,212,845.19","54,808,846.16","-72,790,251.95","-86,707,836.31","-243,678,126.52","-275,594,974.57","-95,051,593.03","-124,824,310.84","-170,391,454.97"
分配股利、利润或偿还利息支付的现金,"353,071.50","14,081,256.00","269,023.24","4,066,873.34","745,979.20","1,124,069.46","1,481,089.04","289,529.79","571,189.46","18,398,144.80","18,146,473.20","182,594.67","15,941,139.60","17,765,492.53","17,907,982.52","157,893.02","17,525,938.91","17,655,375.60","17,776,183.18","112,178.48","215,727.84","17,116,401.30","16,913,246.17","367,108.27","2,201,987.09","2,256,396.62","2,383,515.15","38,863.94","2,223,038.36","2,997,063.97","5,484,956.18","1,550,775.00","4,476,005.85","9,534,476.09"
收回投资收到的现金,"250,000.00","840,000.00","254,400.00","254,400.00",,,,,,,"150,900,000.00",,,,"38,267,774.25","48,928,860.02","51,043,669.00","210,815,239.32",,,,,,"1,250,000.00","1,250,000.00","1,250,000.00","1,250,000.00",,,"16,069,494.02","3,614,902.05",,"1,250,000.00","1,250,000.00"
支付其他与筹资活动有关的现金,,,,,,,"6,961,002.55",,,,"1,745,360.83",,,,"1,063,402.07",,,,,,,,"6,250,000.00",,,,,,,"1,520,000.00","9,100,000.00",,,
取得投资收益收到的现金,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2,207,252.80","2,207,252.80","8,021,844.77",,"720,800.00","720,800.00"
筹资活动现金流出小计,"20,353,071.50","15,081,256.00","1,393,606.56","7,695,206.62","1,749,729.16","3,629,694.40","16,449,591.51","5,791,404.77","11,574,939.42","29,903,769.74","31,899,333.95","684,469.65","16,944,889.60","19,271,117.57","20,978,884.67","659,768.06","18,529,688.95","19,161,000.62","19,783,683.18","1,861,388.46","1,219,477.80","19,869,361.24","25,170,746.09","868,983.25","3,205,737.09","3,762,021.66","4,391,015.23","540,738.98","3,226,788.44","7,193,730.77","17,261,622.98","81,550,775.00","184,476,005.85","190,493,649.09"
处置固定资产、无形资产和其他长期资产收回的现金净额,"12,510.00",830.00,,,,,,,"1,500.00","4,500.00","4,500.00",385.00,"6,175.00","6,875.00","7,875.00","5,050.00","5,050.00","68,304.36","52,596.94",,"32,650.00","78,600.00","80,369.50",,"53,800.00","53,800.00","54,621.00",,,"111,000.00","509,478.00",,"1,540.00","32,835.00"
筹资活动产生的现金流量净额,"-19,353,071.50","-13,581,256.00","15,456,393.44","15,154,793.38","3,250,270.84","393,978,305.60","397,500,408.49","-5,789,693.66","-8,773,228.31","-26,802,058.63","-28,373,973.12","-684,469.65","-15,624,889.60","-17,951,117.57","-18,636,384.67","-209,768.06","-15,816,286.88","-16,447,598.55","-17,333,683.18","-1,861,388.46","-1,219,477.80","-14,869,361.24","-23,370,746.09","34,031,016.75","-703,697.09","8,640,018.34","36,908,984.77","-540,738.98","-3,156,788.44","100,266,269.23","310,988,377.02","4,050,725.00","74,623,994.15","430,936,465.22"
处置子公司及其他营业单位收到的现金净额,"4,045,480.37","3,732,800.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
四、汇率变动对现金的影响,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
收到其他与投资活动有关的现金,,,,,,,,,,,,,,,,,,,"12,500,000.00",,"130,210,729.60","152,241,182.88","27,082,696.75",,"12,107,369.51","52,118,033.74","45,168,750.78",,"82,000,000.00","82,000,000.00","102,000,000.00",,,
四(2)、其他原因对现金的影响,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
投资活动现金流入小计,"4,307,990.37","4,573,630.00","254,400.00","254,400.00",,,,,"1,500.00","4,500.00","150,904,500.00",385.00,"6,175.00","6,875.00","38,275,649.25","48,933,910.02","51,048,719.00","210,883,543.68","12,552,596.94",,"130,243,379.60","152,319,782.88","27,163,066.25","1,250,000.00","13,411,169.51","53,421,833.74","46,473,371.78",,"84,207,252.80","100,387,746.82","114,146,224.82",,"1,972,340.00","2,003,635.00"
五、现金及现金等价物净增加额,"16,569,080.35","-3,449,167.67","-7,009,519.16","6,810,537.64","-18,005,405.83","367,649,854.89","199,155,470.72","-15,117,528.54","-16,191,146.36","-42,788,120.55","21,886,063.16","-51,859,042.06","-40,480,759.61","-44,857,812.27","26,865,776.97","-52,001,636.16","-88,396,030.76","-6,055,898.21","-78,201,521.34","-43,954,016.77","50,889,591.30","46,203,115.91","32,433,297.48","2,773,693.11","-86,537,786.44","-74,245,631.20","80,927,653.94","-74,081,071.73","-90,000,432.90","-138,052,463.77","24,176,159.38","-96,415,201.27","-116,481,085.39","-115,973,526.16"
购建固定资产、无形资产和其他长期资产支付的现金,"3,999,838.05","14,503,836.76","22,370,330.66","25,547,688.42","2,509,317.24","3,878,175.67","9,717,253.80","3,288,960.27","6,473,415.96","10,032,661.93","35,377,341.32","6,269,654.96","11,387,354.23","15,037,997.27","25,108,314.43","29,096,598.85","36,661,067.75","39,596,963.11","46,743,570.31","1,908,310.72","21,186,436.87","15,557,726.45","30,858,926.20","3,256,768.33","4,988,611.24","6,454,638.09","23,852,935.31","750,080.80","1,513,060.95","5,318,353.30","19,107,567.89","1,155,433.24","2,047,708.70","4,722,171.41"
期初现金及现金等价物余额,"17,944,772.68","34,513,853.03","31,064,685.36","31,064,685.36","37,900,799.07","37,900,799.07","37,875,223.00","387,433,993.72","237,030,693.72","237,030,693.72","237,030,693.72","258,916,756.88","258,916,756.88","258,916,756.88","258,916,756.88","285,782,533.85","298,282,533.85","298,282,533.85","285,782,533.85","207,581,012.51","207,581,012.51","207,581,012.51","207,581,012.51","240,014,309.99","240,014,309.99","240,014,309.99","240,014,309.99","320,941,963.93","320,941,963.93","320,941,963.93","320,941,963.93","345,118,123.31","345,118,123.31","345,118,123.31"
投资支付的现金,"3,859,320.00",,,,,,"150,000,000.00",,,,"150,710,800.00","3,544,000.00","4,224,000.00","4,224,000.00","19,006,000.00","49,384,892.56","46,241,277.35","134,079,754.22",,,,"5,075,000.00",,,,"5,140,000.00","5,400,000.00",,"53,770,000.00","57,710,000.00","106,255,900.00","4,001,500.00","66,205,400.00","373,800,000.00"
期末现金及现金等价物余额,"34,513,853.03","31,064,685.36","24,055,166.20","37,875,223.00","19,895,393.24","405,550,653.96","237,030,693.72","372,316,465.18","220,839,547.36","194,242,573.17","258,916,756.88","207,057,714.82","218,435,997.27","214,058,944.61","285,782,533.85","233,780,897.69","209,886,503.09","292,226,635.64","207,581,012.51","163,626,995.74","258,470,603.81","253,784,128.42","240,014,309.99","242,788,003.10","153,476,523.55","165,768,678.79","320,941,963.93","246,860,892.20","230,941,531.03","182,889,500.16","345,118,123.31","248,702,922.04","228,637,037.92","229,144,597.15"
