科目,2014-12-31,2015-12-31,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30
无形资产,"24,423,577.93","23,276,151.12","22,084,247.89","20,549,079.84","27,123,518.40","26,807,621.76","28,670,229.16","28,341,189.42","28,136,931.94"
盈余公积,"10,900,466.38","17,617,683.02","24,596,527.13","24,596,527.13","24,596,527.13","24,596,527.13","32,088,048.83","32,088,048.83","32,088,048.83"
开发支出,,,,,,,,,
减:库存股,,,,,,,,,
商誉,,,,,,,,,
未分配利润,"49,276,021.02","55,533,885.83","68,799,280.38","82,974,524.76","63,915,386.07","79,484,802.05","95,614,204.10","113,440,836.36","104,842,188.79"
长期待摊费用,,,,"420,719.45",,,"574,821.66","651,334.79","722,883.93"
少数股东权益,,,,,,,,,
递延所得税资产,"863,695.72","1,226,359.75","1,084,822.63","1,007,716.75","1,037,337.02","932,322.60","994,123.09","1,031,363.42","966,848.36"
外币报表折算价差,,,,,,,,,
其他非流动资产,"3,462,764.40","857,099.50","8,354,978.99","9,329,347.18","6,425,508.60","20,417,116.43","10,336,657.60","15,123,381.30","50,102,269.00"
非正常经营项目收益调整,,,,,,,,,
非流动资产合计,"181,759,853.41","178,421,166.66","183,277,185.22","180,649,640.53","185,279,490.40","197,352,249.90","205,757,075.64","249,109,834.07","299,715,149.42"
所有者权益(或股东权益)合计,"246,946,622.08","259,921,703.53","280,165,942.19","577,672,482.85","558,613,344.16","574,182,760.14","599,571,073.96","617,397,706.22","608,799,058.65"
资产总计,"329,716,376.01","346,132,601.94","364,273,519.72","637,193,658.17","610,201,767.02","629,372,629.34","672,983,346.67","704,058,582.96","712,126,866.75"
负债和所有者(或股东权益)合计,"329,716,376.01","346,132,601.94","364,273,519.72","637,193,658.17","610,201,767.02","629,372,629.34","672,983,346.67","704,058,582.96","712,126,866.75"
