科目,2011年度,2012年度,2013年度,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月
支付的各项税费,"14,271,809.15","14,274,924.93","13,885,302.75","11,955,368.43","14,488,099.36","1,997,665.77","6,882,619.22","9,407,675.70","13,012,575.40","9,544,939.60","13,511,858.41","18,983,628.71","22,048,265.32","5,929,661.43","8,100,995.84","10,780,749.85","15,181,413.82","3,094,818.45","5,867,896.19"
收到其他与筹资活动有关的现金,,,,,,,,,"5,073,000.00",,,,,,"1,000,475.73","1,000,475.73",,,
支付其他与经营活动有关的现金,"11,225,710.81","10,012,916.68","11,457,255.22","11,155,526.28","16,570,949.40","2,864,170.09","10,346,084.07","19,279,527.74","29,051,135.35","9,702,372.65","18,513,822.29","31,051,371.48","43,698,248.87","6,255,708.25","13,237,442.51","21,665,421.70","29,002,440.99","15,934,736.67","22,762,467.61"
筹资活动现金流入小计,,,,,,"274,743,000.00","274,743,000.00","274,743,000.00","279,816,000.00","600,000.00","130,918,471.05","130,918,471.05","130,318,471.05",,"1,000,475.73","1,000,475.73",,,
经营活动现金流出小计,"168,793,185.59","246,734,827.82","255,710,232.49","191,739,363.80","284,061,341.95","76,081,769.72","180,608,147.57","271,471,451.17","430,816,179.29","140,847,564.54","256,529,794.09","384,847,046.81","574,342,928.52","145,651,417.05","271,780,103.08","383,124,854.76","581,111,854.95","144,724,890.15","246,867,548.95"
偿还债务支付的现金,,,,,,,,,,"600,000.00","600,000.00","600,000.00",,,,,,,
经营活动产生的现金流量净额,"32,999,811.42","54,878,453.30","31,760,520.50","-20,603,366.76","8,865,147.19","-1,111,694.46","-26,687,064.98","-27,165,068.74","-2,109,873.27","-34,166,354.62","-47,528,200.11","-13,096,264.65","38,968,600.59","-30,317,497.21","-11,573,911.60","28,193,593.96","104,409,558.65","-59,095,010.59","-62,799,408.36"
分配股利、利润或偿还利息支付的现金,,,"9,548,000.00","10,780,000.00","10,780,000.00",,"8,220,000.00","8,220,000.00","8,220,000.00",435.00,"23,870,552.89","23,870,577.89","23,715,363.50",,"18,387,688.50","18,387,688.50","18,387,688.50",,"12,871,381.68"
收回投资收到的现金,,,,,,,,,,,,,"160,000,000.00","45,000,000.00","165,000,000.00","230,000,000.00","307,000,000.00","247,000,000.00","491,000,000.00"
支付其他与筹资活动有关的现金,,,,,,"7,909,726.00","7,159,726.00","7,159,726.00","12,359,726.00","5,073,000.00","6,182,970.85","6,182,970.85","6,714,772.20","433,000.00","1,643,002.05","1,643,002.05","13,000,000.00",,"12,870.43"
取得投资收益收到的现金,,,,,,,,,"3,763,320.54","1,808,219.18","1,815,842.47","2,197,246.60","2,872,131.56","902,268.51","2,933,632.98","4,277,382.31","5,480,310.43","2,051,647.92","4,521,377.42"
筹资活动现金流出小计,,,"9,548,000.00","10,780,000.00","10,780,000.00","7,909,726.00","15,379,726.00","15,379,726.00","20,579,726.00","5,673,435.00","30,653,523.74","30,653,548.74","30,430,135.70","433,000.00","20,030,690.55","20,030,690.55","31,387,688.50",,"12,884,252.11"
处置固定资产、无形资产和其他长期资产收回的现金净额,"37,789.66","20,547.68","1,716.89",,,,,"93,246.17",,"-45,000.00","67,281.56","67,781.56","69,140.78",,,,"1,800.00","1,282.05","98,282.05"
筹资活动产生的现金流量净额,,,"-9,548,000.00","-10,780,000.00","-10,780,000.00","266,833,274.00","259,363,274.00","259,363,274.00","259,236,274.00","-5,073,435.00","100,264,947.31","100,264,922.31","99,888,335.35","-433,000.00","-19,030,214.82","-19,030,214.82","-31,387,688.50",,"-12,884,252.11"
处置子公司及其他营业单位收到的现金净额,,,,,,,,,,,,,,,,,,,
四、汇率变动对现金的影响,,,,,,,,,"96,201.10",,-328.21,"42,290.72","411,840.96","-42,475.28","-366,827.81","-688,110.98","-1,010,345.75","-713,997.11","236,576.49"
收到其他与投资活动有关的现金,,,,,,,,"105,000,000.00",,"50,000,000.00","50,000,000.00","50,000,000.00","960,304.00",,,,,,
四(2)、其他原因对现金的影响,,,,,,,,,,,,,,,,,,,
投资活动现金流入小计,"37,789.66","20,547.68","1,716.89",,,,,"105,093,246.17","3,763,320.54","51,763,219.18","51,883,124.03","52,265,028.16","163,901,576.34","45,902,268.51","167,933,632.98","234,277,382.31","312,482,110.43","249,052,929.97","495,619,659.47"
五、现金及现金等价物净增加额,"32,209,340.84","4,811,817.06","16,260,339.75","-33,458,267.40","-4,535,656.63","265,376,854.18","12,529,805.31","33,438,625.61","223,826,225.24","620,524.99","23,524,673.13","-47,560,596.91","-48,181,705.43","-104,517,898.35","-89,222,044.15","-27,974,449.62","-120,662,882.34","-60,040,204.05","-32,939,667.06"
购建固定资产、无形资产和其他长期资产支付的现金,"828,260.24","50,087,183.92","5,953,897.64","2,074,900.64","2,620,803.82","344,725.36","5,146,403.71","7,852,825.82","12,158,486.71","11,902,904.57","17,094,869.89","79,193,868.32","102,584,353.54","9,627,194.37","13,184,722.90","17,652,767.70","22,156,517.17","1,284,126.32","3,112,242.55"
期初现金及现金等价物余额,"29,224,610.83","61,433,951.67","66,245,768.73","82,506,108.48","82,506,108.48","77,970,451.85","77,970,451.85","77,970,451.85","77,970,451.85","301,796,677.09","301,796,677.09","301,796,677.09","301,796,677.09","253,614,971.66","253,614,971.66","253,614,971.66","253,614,971.66","132,952,089.32","132,952,089.32"
投资支付的现金,,,,,,,,,,,,,"234,000,000.00","110,000,000.00","200,000,000.00","240,000,000.00","483,000,000.00","248,000,000.00","450,000,000.00"
期末现金及现金等价物余额,"61,433,951.67","66,245,768.73","82,506,108.48","49,047,841.08","77,970,451.85","343,347,306.03","90,500,257.16","111,409,077.46","301,796,677.09","302,417,202.08","325,321,350.22","254,236,080.18","253,614,971.66","149,097,073.31","164,392,927.51","225,640,522.04","132,952,089.32","72,911,885.27","100,012,422.26"
