科目,2007-03-31,2007-06-30,2007-09-30,2007-12-31,2008-03-31,2008-06-30,2008-09-30,2008-12-31,2009-03-31,2009-06-30,2009-09-30,2009-12-31,2010-03-31,2010-06-30,2010-09-30,2010-12-31,2011-03-31,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30
投资性房地产,,,,,,,,,,,,,,,,"128,466,326.27","128,388,694.42","126,792,339.39","125,955,345.96","125,118,355.29","124,175,894.80","123,444,368.42","122,607,374.63","121,567,885.43","120,730,891.64","120,096,393.26","119,259,399.47","118,422,420.08","117,585,469.49","116,748,518.90","115,911,568.31","115,074,452.12","114,237,460.13","113,400,469.00","112,563,641.75","111,726,649.76","110,889,657.77","110,052,665.78","109,215,673.79","109,006,829.23","108,169,837.84","107,332,845.25","106,495,853.56","105,763,586.35","104,124,869.11","104,089,602.37"
预计负债,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
固定资产,"182,894,159.26","176,594,431.46","170,720,595.42","170,064,119.31","165,363,153.72","164,643,416.56","169,605,878.50","164,821,841.39","162,313,917.33","159,601,465.07","158,788,582.00","179,535,202.27","177,162,007.04","177,563,213.25","165,392,556.88","193,208,879.14","166,012,138.17","163,185,965.27","159,737,063.33","161,908,691.75","156,876,926.32","148,812,217.61","149,708,759.12","140,084,087.76","138,897,779.72","134,119,261.34","130,619,189.26","135,517,123.96","137,334,497.10","137,377,447.44","172,845,302.35","157,096,748.93","161,021,348.81","178,770,950.76","228,126,407.53","231,607,802.62","238,551,737.75","272,530,543.76","275,792,091.16","391,022,937.85","413,663,135.29","416,068,310.81","405,773,029.05","402,939,514.55","399,271,016.38","414,818,532.95"
递延所得税负债,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
在建工程,"366,700.00","366,700.00","366,700.00",,,,,,,,,,,,,"2,593,396.49","2,593,396.49","2,593,396.49",,,,,,,,,,,,,,"304,520.00","304,520.00","13,402,761.00","25,046,872.77","124,445,694.89","124,708,439.45","107,116,251.35","110,275,283.59","4,836,353.88","4,836,353.88","5,246,248.88","6,768,148.33","8,667,909.89","6,917,010.41","3,985,747.35"
其他非流动负债,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
工程物资,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
非流动负债合计,"42,945,455.97","43,110,000.00","43,410,000.00","39,810,000.00","39,810,000.00","39,810,000.00","39,810,000.00","39,810,000.00","39,810,000.00","39,810,000.00","39,810,000.00","17,715,000.00","17,715,000.00","17,715,000.00","17,715,000.00","4,995,000.00","4,904,091.00","4,904,091.00","4,904,091.00","9,904,091.00","4,813,182.00","14,813,182.00","14,813,182.00","58,462,273.00","211,462,273.00","211,462,273.00","211,462,273.00","211,371,373.00","211,371,373.00","164,280,464.00","104,280,464.00","5,048,464.00","14,527,797.33","12,772,964.00","16,752,379.21","49,645,432.67","39,359,532.86","332,066,582.68","324,374,448.66","323,307,256.98","316,170,745.84","312,161,443.48","415,267,443.45","431,502,823.67","428,254,323.66","452,503,774.11"
固定资产清理,"7,244.23","7,244.23","1,187.01",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
负债合计,"341,322,761.67","466,875,466.82","528,576,606.59","513,397,790.30","466,689,127.97","561,709,487.05","511,048,358.87","420,630,011.52","292,156,414.64","241,985,402.43","263,033,017.83","164,936,884.37","141,459,401.07","180,828,254.83","227,463,569.82","596,212,990.82","456,944,862.73","508,559,108.99","652,932,545.60","611,603,808.67","573,496,320.00","699,986,692.85","882,023,868.41","1,020,387,589.62","1,144,494,192.27","1,861,202,131.39","2,108,568,339.15","2,374,216,188.07","2,898,193,933.84","3,027,957,254.62","3,422,936,088.16","3,613,150,734.34","4,721,138,245.07","3,755,301,605.79","4,504,627,149.24","4,977,496,872.05","4,466,892,798.85","4,425,932,662.42","3,840,315,987.76","5,129,100,113.90","5,305,983,987.96","6,700,088,592.00","8,446,881,063.18","10,599,852,983.58","11,786,271,062.37","16,885,351,244.63"
生产性生物资产,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
实收资本(或股本),"215,000,000.00","215,000,000.00","215,000,000.00","215,000,000.00","215,000,000.00","215,000,000.00","215,000,000.00","215,000,000.00","215,000,000.00","215,000,000.00","215,000,000.00","215,000,000.00","215,000,000.00","215,000,000.00","215,000,000.00","215,000,000.00","215,000,000.00","215,000,000.00","215,000,000.00","215,000,000.00","215,000,000.00","215,000,000.00","215,000,000.00","215,000,000.00","215,000,000.00","215,000,000.00","215,000,000.00","215,000,000.00","239,931,438.00","479,862,876.00","479,862,876.00","479,862,876.00","479,862,876.00","959,725,752.00","959,725,752.00","959,725,752.00","999,282,714.00","999,282,714.00","999,282,714.00","999,282,714.00","999,282,714.00","999,282,714.00","1,289,252,171.00","1,289,252,171.00","1,289,252,171.00","1,289,252,171.00"
油气资产,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
