科目,2007-03-31,2007-06-30,2007-09-30,2007-12-31,2008-03-31,2008-06-30,2008-09-30,2008-12-31,2009-03-31,2009-06-30,2009-09-30,2009-12-31,2010-03-31,2010-06-30,2010-09-30,2010-12-31,2011-03-31,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31
应付关联公司款,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
一年内到期的非流动资产,,,,"194,624.12",,,,,,,"15,387.35",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"4,641,386.11"
一年内到期的非流动负债,"234,277,890.91","234,300,011.25","234,180,662.95","110,000,000.00","60,000,000.00","60,000,000.00","60,000,000.00","113,000,000.00","106,000,000.00","103,450,000.00","127,000,000.00","127,000,000.00","97,950,000.00","75,950,000.00",,"50,000,000.00","50,000,000.00",,"50,000,000.00","50,000,000.00","240,000,000.00","275,000,000.00","220,000,000.00","220,000,000.00","167,000,000.00","167,000,000.00","167,000,000.00","167,000,000.00",,,,"200,000,000.00","516,000,000.00","516,000,000.00","316,000,000.00",,,,,"40,000,000.00","40,000,000.00","80,000,000.00","80,000,000.00","87,700,000.00"
其他流动资产,"1,054,593.92","1,193,189.84",,,"173,015.33",,,"214,712.36",,"38,621.67","22,693.36","44,955.04","62,760.07",,,,,,,,,,,,,,,"8,804,809.92","8,804,809.92","16,117,832.10","17,366,199.39","1,064,335.78","2,362,478.38","7,559,539.53","8,243,430.23","288,406.35","418,311.16","115,414,169.95","91,961,189.89","14,611,234.99","42,651,072.85","70,093,994.22","78,480,058.35","63,177,825.67"
其他流动负债,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
流动资产合计,"473,744,320.60","574,765,098.60","411,678,849.82","428,765,523.66","414,768,654.48","365,399,293.87","368,273,530.81","1,025,662,200.89","964,760,220.16","1,157,793,992.22","1,299,408,454.72","1,341,373,577.81","1,659,996,337.99","1,816,872,654.10","1,913,614,763.06","1,704,503,658.82","1,540,326,958.39","1,392,699,147.46","1,446,129,140.90","1,083,048,886.65","1,110,074,071.13","1,048,756,214.04","917,351,072.27","910,164,322.36","912,019,853.80","958,938,792.08","1,032,091,072.52","1,056,970,701.07","1,113,302,291.89","1,256,319,860.46","1,275,295,447.93","1,431,212,225.46","1,426,726,476.20","1,442,425,665.80","1,579,068,624.86","270,493,369.52","315,153,025.40","3,689,999,435.20","4,966,144,753.04","4,943,943,379.83","4,237,539,552.21","3,775,276,729.28","3,651,911,245.88","5,752,062,676.01"
流动负债合计,"724,013,835.53","808,793,470.76","853,215,462.64","713,108,266.79","714,435,694.81","632,768,931.25","614,493,521.46","834,177,057.99","780,197,770.18","877,470,663.77","1,025,179,567.13","925,067,626.48","1,084,437,300.41","1,238,000,326.62","1,368,005,508.26","1,074,756,188.03","1,117,718,157.18","1,006,785,439.15","811,755,368.50","463,822,882.11","695,765,474.69","677,077,571.04","614,413,050.73","646,081,380.07","832,213,826.45","892,973,874.92","783,059,835.08","781,895,472.61","490,251,396.61","670,893,964.65","711,307,449.41","1,060,387,073.56","1,443,896,922.94","1,478,241,814.14","1,431,489,617.09","108,774,102.54","101,371,780.89","2,852,564,307.62","4,093,457,070.67","4,409,532,923.86","3,509,228,861.51","3,031,194,399.95","2,894,353,788.34","4,618,058,919.69"
可供出售金融资产,,,,,,,,,,,,,,,,"36,644,400.00","38,001,600.00","38,974,260.00","30,288,180.00","21,036,600.00","21,669,960.00","2,060,912.96","1,889,825.72","1,186,248.00","1,065,498.00","877,128.00","949,578.00",,,,"34,300,672.06","34,300,672.06","34,300,672.06","34,300,672.06","34,300,672.06","9,613,984.89","9,613,984.89","25,841,140.36","25,723,752.29","14,628,605.97","14,602,079.60","14,496,451.41","24,428,199.40","23,727,611.87"
长期借款,,,,,,,,"197,000,000.00","197,000,000.00","165,950,000.00","194,950,000.00","135,950,000.00","329,000,000.00","400,000,000.00","400,000,000.00","350,000,000.00","350,000,000.00","299,000,000.00","416,000,000.00","410,000,000.00","217,000,000.00","167,000,000.00","167,000,000.00","167,000,000.00",,,"200,000,000.00","200,000,000.00","567,000,000.00","567,000,000.00","567,000,000.00","367,000,000.00",,,"200,000,000.00",,,"120,000,000.00","120,000,000.00","80,000,000.00","80,000,000.00","52,500,000.00","72,500,000.00","54,750,000.00"
持有至到期投资,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应付债券,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"590,024,818.93"
长期应收款,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"115,000,636.83"
长期应付款,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
长期股权投资,"221,324,278.95","177,622,967.24","180,599,296.93","56,286,304.33","55,941,696.51","15,066,221.53","14,821,182.18","14,616,790.92","14,521,567.63","14,487,062.17","13,425,295.80","13,458,552.35","33,556,889.29","33,545,565.38","25,412,132.64","23,188,290.74","23,184,055.13","23,178,867.96","3,071,996.39","65,906,692.96","62,173,464.07","61,168,190.60","63,490,277.64","47,141,561.65","44,750,551.85","46,131,205.40","48,625,742.10","34,300,672.06","34,300,672.06","34,300,672.06",,,,,,,,"2,003,952.38","6,949,073.73","1,949,220.06","1,971,560.53","4,922,623.26","4,885,527.87","153,430,711.78"
专项应付款,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
投资性房地产,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"229,492,413.07","227,016,411.40","286,186,218.48","283,046,840.68","279,907,462.89","276,768,085.09","271,118,486.64"
预计负债,"235,761,566.91","225,859,966.91","191,229,716.63","162,524,426.73","160,544,426.73","141,858,857.05","139,828,857.05","124,089,314.23","122,609,952.05","78,222,840.44","72,303,433.04","64,250,229.19","63,493,468.73","62,861,774.82","62,861,774.82","45,487,374.60","45,487,374.60","45,834,580.68","38,892,521.62","19,885,136.94","19,885,136.94","19,885,136.94","19,885,136.94","9,398,751.00","9,398,751.00","9,398,751.00","9,398,751.00","145,751.00","145,751.00","145,751.00","145,751.00","145,751.00","145,751.00","145,751.00","145,751.00","145,751.00","145,751.00","234,002.42","234,002.42","234,002.42","234,002.42","234,002.42","234,002.42","234,002.42"
固定资产,"61,418,867.20","60,028,402.72","260,862,955.92","257,069,716.05","253,539,139.72","249,007,078.96","245,098,442.24","251,260,683.17","247,917,043.07","101,546,403.69","101,437,338.51","71,577,235.68","73,200,371.83","71,853,929.10","71,347,772.29","71,128,999.69","69,626,884.17","68,576,144.74","69,378,882.71","50,301,356.09","49,418,399.86","48,528,582.63","48,185,801.16","46,954,271.15","45,835,980.61","44,850,356.84","44,317,438.12","11,893,005.38","11,941,982.82","11,315,384.77","10,742,410.88","10,284,193.40","9,887,541.02","62,886,115.89","61,888,303.78","54,386,977.14","51,847,409.31","194,175,977.60","196,022,776.21","220,743,483.38","217,753,384.31","214,307,762.24","213,303,781.89","220,767,585.20"
递延所得税负债,,,,,,,,"36,925,708.56","36,925,708.56","36,925,708.56","36,925,708.56","36,925,708.56","36,925,708.56","36,925,708.56","36,925,708.56","36,925,708.56","36,925,708.56","36,925,708.56","36,925,708.56","36,925,708.56","36,925,708.56","36,925,708.56","36,925,708.56","36,925,708.56","36,925,708.56","36,925,708.56","36,925,708.56","36,925,708.56","36,925,708.56","36,925,708.56","36,925,708.56","36,925,708.56","36,925,708.56","36,925,708.56","36,925,708.56",,,,,"10,069,615.97","9,455,253.15","8,399,392.76","8,267,918.33","8,347,950.59"
在建工程,,,,,,,,,,,,,"72,000.00","351,912.20","358,132.20","1,369,375.88","1,503,463.22","12,766,976.69","14,304,742.38","16,129,774.16","19,165,884.24","21,832,132.71","25,354,079.48","26,896,766.60","29,756,936.66","31,508,180.98","33,617,229.52","36,601,855.21","40,098,950.08","43,850,026.16","45,560,285.87","48,342,881.92","48,766,993.42",,,,,,,,"191,941.75","266,715.38","298,336.72",
其他非流动负债,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
工程物资,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
非流动负债合计,"235,761,566.91","225,859,966.91","191,229,716.63","162,524,426.73","160,544,426.73","141,858,857.05","139,828,857.05","358,015,022.79","356,535,660.61","281,098,549.00","304,179,141.60","237,125,937.75","429,419,177.29","499,787,483.38","499,787,483.38","432,413,083.16","432,413,083.16","381,760,289.24","491,818,230.18","466,810,845.50","273,810,845.50","223,810,845.50","223,810,845.50","213,324,459.56","46,324,459.56","46,324,459.56","246,324,459.56","237,071,459.56","604,071,459.56","604,071,459.56","604,071,459.56","404,071,459.56","37,071,459.56","37,071,459.56","237,071,459.56","145,751.00","145,751.00","201,730,942.46","200,629,632.47","174,867,938.45","172,842,265.64","142,875,095.27","161,332,310.86","732,275,852.07"
固定资产清理,"1,600.00","8,198.39",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,128.21,
负债合计,"959,775,402.44","1,034,653,437.67","1,044,445,179.27","875,632,693.52","874,980,121.54","774,627,788.30","754,322,378.51","1,192,192,080.78","1,136,733,430.79","1,158,569,212.77","1,329,358,708.73","1,162,193,564.23","1,513,856,477.70","1,737,787,810.00","1,867,792,991.64","1,507,169,271.19","1,550,131,240.34","1,388,545,728.39","1,303,573,598.68","930,633,727.61","969,576,320.19","900,888,416.54","838,223,896.23","859,405,839.63","878,538,286.01","939,298,334.48","1,029,384,294.64","1,018,966,932.17","1,094,322,856.17","1,274,965,424.21","1,315,378,908.97","1,464,458,533.12","1,480,968,382.50","1,515,313,273.70","1,668,561,076.65","108,919,853.54","101,517,531.89","3,054,295,250.08","4,294,086,703.14","4,584,400,862.31","3,682,071,127.15","3,174,069,495.22","3,055,686,099.20","5,350,334,771.76"
生产性生物资产,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
实收资本(或股本),"351,558,394.00","351,558,394.00","351,558,394.00","351,558,394.00","351,558,394.00","351,558,394.00","351,558,394.00","351,558,394.00","351,558,394.00","351,558,394.00","351,558,394.00","351,558,394.00","351,558,394.00","351,558,394.00","351,558,394.00","351,558,394.00","351,558,394.00","351,558,394.00","351,558,394.00","351,558,394.00","351,558,394.00","351,558,394.00","351,558,394.00","351,558,394.00","351,558,394.00","351,558,394.00","351,558,394.00","351,558,394.00","351,558,394.00","351,558,394.00","351,558,394.00","351,558,394.00","351,558,394.00","351,558,394.00","351,558,394.00","351,558,394.00","351,558,394.00","590,243,598.00","590,243,598.00","607,764,598.00","623,515,807.00","623,515,807.00","623,515,807.00","623,515,807.00"
油气资产,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
资本公积,"240,896,634.65","240,896,634.65","229,750,738.65","229,784,875.56","229,784,875.56","229,784,875.56","230,776,612.63","286,108,565.15","286,108,565.15","286,108,565.15","286,108,565.15","286,108,565.15","306,207,516.94","284,007,686.78","278,929,057.17","313,369,552.64","257,707,472.89","258,680,132.89","249,994,052.89","217,334,377.53","217,967,737.53","200,370,993.68","200,199,906.44","199,593,811.06","199,473,061.06","199,284,691.06","199,357,141.06","193,818,322.99","193,818,322.99","193,818,322.99","193,818,322.99","187,911,749.09","187,911,749.09","187,911,749.09","187,911,749.09","123,113,174.28","123,113,174.28","1,752,163,819.34","1,752,163,819.34","1,951,477,349.64","2,123,147,581.95","2,123,147,581.95","2,091,171,752.89","2,091,171,752.89"
无形资产,"13,217,400.19","23,139,946.59","15,877,584.08","15,215,783.51","15,001,920.56","15,616,093.06","15,397,190.44","13,344,249.97","13,275,097.13","13,160,735.24","13,024,403.64","1,777,714.48","1,731,110.49","1,655,478.36","1,724,554.52","1,810,390.20","1,755,731.98","1,669,916.17","2,890,684.15","1,294,135.79","1,225,429.34","1,156,722.89","1,088,016.44","1,019,309.99","950,603.54","884,660.92","820,845.97","577,031.73","533,216.79","511,748.84","467,520.89","423,292.94","391,352.26","383,988.25","384,357.38","354,991.09","349,640.08","140,523,227.98","137,013,054.14","64,080,347.22","59,803,649.70","55,627,027.36","51,399,022.97","47,362,635.75"
盈余公积,"58,721,638.71","58,721,638.71","60,700,562.70","60,556,165.57","60,556,165.57","60,556,165.57","60,556,165.57","58,721,638.71","58,721,638.71","58,721,638.71","58,721,638.71","58,721,638.71","58,721,638.71","58,721,638.71","58,721,638.71","58,721,638.71","58,721,638.71","58,721,638.71","58,721,638.71","27,711,795.64","27,711,795.64","27,711,795.64","27,711,795.64","27,711,795.64","27,711,795.64","27,711,795.64","27,711,795.64","27,711,795.64","27,711,795.64","27,711,795.64","27,711,795.64","27,711,795.64","27,711,795.64","27,711,795.64","27,711,795.64","19,062,040.02","19,062,040.02","19,062,040.02","19,062,040.02","19,062,040.02","19,062,040.02","19,062,040.02","19,062,040.02","19,062,040.02"
开发支出,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
减:库存股,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
商誉,,"2,824,401.05",,,,,,"36,852,265.80","36,852,265.80","36,852,265.80","37,838,392.07","37,611,219.94","37,611,219.94","37,611,219.94","37,611,219.94","37,611,219.94","40,218,087.46","40,218,087.46","40,218,088.46","26,724,265.49","26,724,265.49","26,724,265.49","26,724,265.49","26,724,265.49","26,766,301.94","26,724,265.49","26,724,265.49","26,724,265.49","26,724,265.49","26,724,265.49","26,724,265.49","19,793,058.60","19,793,058.60","19,793,058.60","19,793,058.60",,,"906,679,481.80","906,679,481.80","1,500,486,051.43","1,500,486,051.43","1,500,486,051.43","1,500,486,051.43","1,500,486,051.43"
