科目,2010年1-3月,2010年1-6月,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月,2018年1-9月,2018年度,2019年1-3月
支付给职工以及为职工支付的现金,"8,051,321.21","17,450,064.02","26,395,644.09","41,767,120.94","10,670,405.34","22,695,801.84","36,426,172.11","55,971,995.30","13,507,099.35","38,988,559.54","55,805,413.84","73,713,634.01","16,600,070.94","44,597,074.00","64,089,911.54","83,300,144.51","17,394,237.67","36,872,455.88","60,585,189.33","81,021,969.55","16,996,505.27","45,471,565.29","67,398,665.68","92,794,464.53","16,868,671.61","43,450,384.57","69,294,753.38","91,692,557.17","14,450,371.03","38,865,389.39","67,658,152.85","92,769,440.50","17,263,991.27","38,182,887.81","62,451,448.86","85,353,038.99","20,476,307.16"
取得借款收到的现金,,,,,,,"300,000,000.00","300,000,000.00","50,000,000.00","50,000,000.00",,"758,180,000.00","50,000,000.00","50,000,000.00","77,000,000.00","269,000,000.00",,"22,500,000.00","22,500,000.00","22,500,000.00","16,200,000.00","16,082,474.32","16,200,000.00","16,200,000.00","127,000,000.00","125,000,000.00","150,000,000.00","150,000,000.00",,,,,,,,,
支付的各项税费,"21,979,179.10","29,917,598.56","44,155,717.77","43,891,898.96","22,218,100.35","40,040,943.50","62,642,616.32","69,415,034.12","37,631,796.12","53,351,774.98","63,052,488.07","77,415,170.94","12,026,426.16","42,525,105.03","67,481,645.93","127,000,214.02","17,780,282.32","41,474,202.78","60,207,928.84","81,587,182.47","15,098,180.43","56,219,236.84","98,610,886.40","124,330,849.81","22,005,620.17","50,277,001.15","84,099,531.52","118,835,354.12","44,874,011.86","86,226,252.72","133,600,358.25","161,491,453.32","42,148,676.97","74,952,146.63","104,711,250.14","135,671,447.08","24,609,048.35"
收到其他与筹资活动有关的现金,,,,,,,,,,,"80,000,000.00",,,,,,,,,"17,104,406.00",,,,,,,,,,,,,,,,"120,633.42",
支付其他与经营活动有关的现金,"15,711,840.17","37,058,875.55","30,665,778.24","36,759,000.20","8,297,740.55","47,632,538.33","204,032,395.58","37,558,605.89","17,800,512.35","66,301,712.95","99,682,236.49","22,353,226.16","41,571,506.28","45,361,128.68","87,861,910.04","296,625,303.57","23,293,610.14","37,099,509.49","114,094,465.44","63,673,618.56","39,250,482.22","70,796,399.39","121,413,541.72","76,414,784.63","46,745,648.45","76,584,492.12","104,639,522.96","121,755,309.37","19,087,683.90","33,654,192.47","62,014,971.72","109,192,088.57","20,282,458.29","39,823,172.93","72,698,262.59","84,392,857.11","41,059,845.96"
筹资活动现金流入小计,,,,"11,000,000.00",,,"300,000,000.00","345,000,000.00","50,000,000.00","50,000,000.00","80,000,000.00","758,180,000.00","50,000,000.00","50,000,000.00","77,146,600.00","493,050,000.00",,"22,500,000.00","22,500,000.00","39,604,406.00","16,200,000.00","16,082,474.32","16,200,000.00","16,200,000.00","127,000,000.00","125,000,000.00","150,000,000.00","150,000,000.00",,,,,,,,"120,633.42",
经营活动现金流出小计,"49,551,132.75","104,304,591.26","186,557,447.52","232,032,943.77","49,424,025.29","127,194,183.85","324,940,796.59","657,524,320.50","85,719,431.68","180,665,273.63","637,539,989.78","671,185,553.55","119,802,713.39","198,582,009.68","305,292,960.79","602,397,750.32","80,279,434.81","153,908,569.94","307,269,669.28","321,276,268.87","120,430,902.63","319,892,562.57","525,773,368.82","641,671,478.41","214,007,222.09","322,073,493.74","530,033,216.93","719,489,090.79","137,964,416.84","235,311,975.06","410,516,090.42","544,080,219.77","135,551,818.39","253,524,821.71","399,800,525.57","488,168,957.24","123,220,877.34"
偿还债务支付的现金,,,,,,,"300,000,000.00","300,000,000.00",,,"50,000,000.00","50,000,000.00","70,000,000.00","100,000,000.00","100,000,000.00","330,000,000.00",,,,"139,500,000.00",,"180,000.00",,"180,000.00",,"5,000,000.00","5,000,000.00","120,000,000.00","30,000,000.00","95,700,000.00","158,700,000.00","181,190,000.00",,"22,500,000.00","67,500,000.00","107,400,000.00",
经营活动产生的现金流量净额,"3,435,131.63","19,501,562.86","56,880,277.16","92,756,884.60","49,658,490.83","108,267,940.41","119,727,107.76","-240,242,726.70","19,523,237.40","61,716,268.45","124,677,086.69","-221,196,049.98","-8,158,999.06","42,360,875.31","117,421,529.79","-94,642,464.22","54,882,751.30","197,603,815.98","262,583,282.57","320,068,196.62","101,008,562.87","99,277,617.06","267,590,958.75","289,722,388.99","-52,141,411.99","18,135,984.19","153,926,558.74","315,784,229.04","146,241,411.34","350,842,977.49","589,839,950.79","680,900,622.05","66,758,170.25","159,859,773.94","374,288,705.64","491,209,785.65","93,505,041.53"
分配股利、利润或偿还利息支付的现金,,,,,,,"21,191,272.34","21,191,272.34","584,583.33","1,364,027.77","7,662,254.76","15,170,111.10","1,581,666.67","9,426,656.44","16,758,162.80","17,810,967.08","180,180.78",,"33,901,801.62","72,373,321.41",,,"92,111,499.97","92,111,499.97","1,318,520.83","3,593,572.91","89,915,381.21","94,898,391.63","415,625.00","415,625.00","87,263,610.69","87,263,610.69","550,000.00","550,000.00","107,136,164.25","107,136,164.25",
收回投资收到的现金,,,"22,813,954.03","23,019,273.00","2,188,541.00","316,266,540.16","316,266,540.16","357,678,813.61","9,356,590.00","24,635,135.00","36,293,316.88","45,111,996.78","5,848,155.52","5,848,162.01","5,846,001.00","11,845,001.00",,,,,,,,,"720,000.00","720,000.00","720,000.00",,"720,000.00",,"1,019,198.00","598,998.00",,,,,
支付其他与筹资活动有关的现金,,,,,"1,180.19",,,,,,,,,,,"15,000,000.00",,,,,,,,,,,,"843,789.67",,,,"986,737.89",,,"33,372.00",,
取得投资收益收到的现金,"564,811.44","921,902.84","921,902.84","729,930.00",,,,"608,426.45","136,912.36","277,789.21","784,792.66","2,753,602.21","43,616.06","15,227,864.17","15,327,710.50","15,341,784.27","384,080.05","1,297,810.81","29,094,936.03","29,237,894.15","257,950.72","415,164.86","1,464,222.08","1,887,612.74","11,808.40","95,340.77","1,686,941.13","2,456,163.18","30,167.28","835,454.99","29,669,287.65","30,567,160.33","806,442.99","840,241.53","30,710,032.26","30,756,772.97","31,461.74"
筹资活动现金流出小计,,,,,"1,180.19",,"321,191,272.34","321,191,272.34","584,583.33","1,364,027.77","57,662,254.76","65,170,111.10","71,581,666.67","109,426,656.44","116,758,162.80","362,810,967.08","180,180.78",,"33,901,801.62","211,873,321.41",,"180,000.00","92,111,499.97","92,291,499.97","1,318,520.83","8,593,572.91","94,915,381.21","215,742,181.30","30,415,625.00","96,115,625.00","245,963,610.69","269,440,348.58","550,000.00","23,050,000.00","174,669,536.25","214,536,164.25",
处置固定资产、无形资产和其他长期资产收回的现金净额,,,"526,188.20","526,188.20",,,,"4,405,001.90",,"74,320.00","10,348.00","405,380.00","2,428.64","2,428.64","3,428.64","1,146,428.64",,,,"6,244,485.66",,,"5,490.00","5,490.00",,"56,000.00","56,000.00","182,700.00","105,800.00","180,800.00","180,800.00","450,300.00","99,700.00","511,700.79","511,700.79","3,880,553.29",
筹资活动产生的现金流量净额,,,,"11,000,000.00","-1,180.19",,"-21,191,272.34","23,808,727.66","49,415,416.67","48,635,972.23","22,337,745.24","693,009,888.90","-21,581,666.67","-59,426,656.44","-39,611,562.80","130,239,032.92","-180,180.78","22,500,000.00","-11,401,801.62","-172,268,915.41","16,200,000.00","15,902,474.32","-75,911,499.97","-76,091,499.97","125,681,479.17","116,406,427.09","55,084,618.79","-65,742,181.30","-30,415,625.00","-96,115,625.00","-245,963,610.69","-269,440,348.58","-550,000.00","-23,050,000.00","-174,669,536.25","-214,415,530.83",
处置子公司及其他营业单位收到的现金净额,,,,,,,,,,,,,,,,,,"36,200,000.00","36,200,000.00","36,119,883.43",,,,,,,,,,,,,,,,,
四、汇率变动对现金的影响,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
收到其他与投资活动有关的现金,,832.02,832.02,,,"252,369.80","252,369.80",,465.66,,,,,,,,,,,,,,,,,,,"52,000,000.00",,,,"198,095,500.00",,"131,396,164.50","2,990.47","123,968,900.00",
四(2)、其他原因对现金的影响,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
投资活动现金流入小计,"564,811.44","922,734.86","24,262,877.09","24,275,391.20","2,188,541.00","316,518,909.96","316,518,909.96","362,692,241.96","9,493,968.02","24,987,244.21","37,088,457.54","48,270,978.99","5,894,200.22","21,078,454.82","21,177,140.14","28,333,213.91","384,080.05","37,497,810.81","65,294,936.03","71,602,263.24","257,950.72","415,164.86","1,469,712.08","1,893,102.74","731,808.40","871,340.77","2,462,941.13","54,638,863.18","855,967.28","1,016,254.99","30,869,285.65","229,711,958.33","906,142.99","132,748,106.82","31,224,723.52","158,606,226.26","31,461.74"
五、现金及现金等价物净增加额,"-5,317,596.52","6,055,166.97","25,884,891.16","287,927.38","34,236,913.04","374,193,566.09","-298,143,791.32","-386,755,195.86","13,291,596.88","-10,136,864.20","15,239,123.22","2,859,169.51","-51,867,422.25","-28,956,083.88","57,560,899.89","-27,376,774.11","31,978,931.30","198,646,978.37","211,886,100.84","81,285,747.07","111,888,147.04","106,903,251.82","181,288,199.82","55,024,244.28","54,043,104.60","103,201,558.54","174,602,104.10","70,653,300.65","113,599,051.11","250,228,944.01","362,585,235.02","556,423,523.30","66,920,835.09","266,868,851.28","221,552,312.39","-330,878,659.76","65,651,786.85"
购建固定资产、无形资产和其他长期资产支付的现金,"1,767,423.58","6,819,014.74","14,920,445.34","87,406,530.67","17,557,055.00","20,593,284.28","114,571,336.70","167,428,708.78","57,865,271.28","122,176,618.45","139,505,520.55","151,787,837.40","22,130,838.07","26,658,027.41","32,471,471.72","82,482,028.20","23,102,425.72","58,036,090.12","103,665,255.12","137,048,390.84","5,320,010.63","8,276,451.87","10,744,611.65","46,962,869.43","20,217,168.00","32,117,099.18","35,185,071.11","34,195,929.45","3,052,535.70","5,399,208.31","10,283,220.51","18,375,703.98","107,158.00","2,568,911.01","7,089,973.39","14,045,681.13","27,853,945.05"
期初现金及现金等价物余额,"540,385,869.34","540,385,869.34","540,385,869.34","540,385,869.34","540,673,796.72","540,673,796.72","540,673,796.72","540,674,079.50","153,918,883.64","153,918,883.64","153,918,883.64","148,308,138.30","151,167,307.81","151,167,307.81","151,167,307.81","151,167,307.81","123,790,533.70","138,790,533.70","138,790,533.70","123,790,533.70","205,076,280.77","205,076,280.77","205,076,280.77","205,076,280.77","372,100,525.05","372,100,525.05","372,100,525.05","260,100,525.05","589,693,115.37","589,693,115.37","589,693,115.37","330,753,825.70","1,012,962,768.16","887,177,349.00","1,018,573,513.50","887,177,349.00","1,308,008,583.38"
投资支付的现金,,,"32,787,701.74","40,337,817.75",,"30,000,000.00","598,627,200.00","365,584,730.00","7,268,780.00","23,299,730.64","29,358,645.70","365,437,811.00","5,890,118.67","6,310,730.16","8,954,735.52","8,824,528.52","5,293.55","918,558.30","925,061.02","1,067,406.54","258,355.92","415,552.55","1,116,359.39","1,536,878.05","11,602.98","95,094.33","1,686,943.45","1,736,180.82","30,166.81","115,455.16","1,877,170.22","2,200,447.69","86,320.15","120,118.47","2,201,607.13","2,233,459.71","30,771.37"
期末现金及现金等价物余额,"535,068,272.82","546,441,036.31","566,270,760.50","540,673,796.72","574,910,709.76","914,867,362.81","242,530,005.40","153,918,883.64","167,210,480.52","143,782,019.44","169,158,006.86","151,167,307.81","99,299,885.56","122,211,223.93","208,728,207.70","123,790,533.70","155,769,465.00","337,437,512.07","350,676,634.54","205,076,280.77","316,964,427.81","311,979,532.59","386,364,480.59","260,100,525.05","426,143,629.65","475,302,083.59","546,702,629.15","330,753,825.70","703,292,166.48","839,922,059.38","952,278,350.39","887,177,349.00","1,079,883,603.25","1,154,046,200.28","1,240,125,825.89","556,298,689.24","1,373,660,370.23"
