科目,2007-12-31,2008-06-30,2008-09-30,2008-12-31,2009-03-31,2009-06-30,2009-09-30,2009-12-31,2010-03-31,2010-06-30,2010-09-30,2010-12-31,2011-03-31,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30
长期借款,"290,440,600.00","268,613,794.46","267,729,794.70","216,691,958.99","216,717,958.99","125,251,456.74","125,198,290.08","113,803,287.81","113,771,621.16","121,863,452.46","250,217,119.70","338,302,618.10","428,131,911.86","465,489,411.17","469,127,912.07","466,892,910.38","470,268,942.43","404,033,440.08","334,167,606.62","803,229,271.65","1,008,118,605.13","916,893,444.40","938,739,944.67","1,461,822,943.10","1,512,009,942.58","1,788,254,607.18","1,913,254,107.18","1,157,000,000.00","894,500,000.00","873,500,000.00","855,000,000.00","638,000,000.00","605,550,000.00","406,300,000.00","347,480,000.00","101,380,000.00","105,270,000.00","107,746,750.00","112,529,250.00"
持有至到期投资,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应付债券,,,,,,,,,,,,,,,"986,485,038.99","987,528,442.77","987,893,630.12","1,586,465,707.09","1,587,023,490.62","1,587,374,847.20","1,587,904,520.23","1,588,380,341.37","1,588,939,263.12","1,589,449,182.81","1,590,003,288.08","1,590,572,132.24","1,591,156,132.69","992,041,789.17","992,469,834.43","992,909,555.38","993,356,356.34","1,292,655,563.34","1,293,211,391.14","1,293,775,598.67","1,294,354,639.46","1,295,115,859.82","1,295,702,665.14","1,296,304,887.51","1,296,917,316.54"
长期应收款,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
长期应付款,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"293,704,852.00","201,821,967.35","150,435,964.29","153,558,141.53","105,978,028.78","104,327,863.95","51,556,917.59","53,429,150.84",
长期股权投资,,"6,819,790.15","7,312,201.79","89,758,531.37","93,252,889.16","96,039,439.89","99,126,713.86","99,918,497.88","104,803,743.98","108,300,570.81","111,050,454.40","117,664,397.48","123,593,363.42","124,481,136.84","124,639,569.74","143,137,337.80","148,750,968.51","154,746,214.02","154,816,116.57","195,624,415.62","200,967,148.51","210,071,615.93","205,992,763.12","278,760,397.94","286,054,900.72","278,051,135.11","325,585,396.76","335,932,770.53","345,251,472.11","345,350,825.26","343,162,613.70","356,917,993.15","363,441,167.22","324,627,158.67","325,484,929.54","337,698,899.74","345,497,050.58","348,303,272.80","333,845,964.11"
专项应付款,,,,,,,"2,000,000.00","4,440,000.00","4,440,000.00","4,440,000.00","4,440,000.00","2,000,000.00","2,000,000.00","2,000,000.00","2,000,000.00",,,,,"5,279,000.00","5,279,000.00","6,079,000.00","6,079,000.00","6,200,000.00","6,200,000.00","6,200,000.00","6,200,000.00","55,450,000.00","55,450,000.00","55,450,000.00","55,450,000.00","49,578,376.36","48,093,436.61","48,093,436.61","45,036,865.72","12,600,164.27","12,600,164.27","12,600,164.27","10,439,218.56"
投资性房地产,,,,,,,,,,,,,,,,,,,"9,034,495.01","8,849,103.44","8,663,711.87","8,619,571.01","8,575,430.15","8,531,289.29","8,487,148.43","8,443,007.57","8,398,866.71","9,781,825.01","9,761,014.65","9,709,102.47","9,657,190.29","9,605,278.11","9,553,365.93","9,501,453.75","9,449,541.57","15,076,342.43","15,013,941.72","14,930,563.95","14,847,186.18"
预计负债,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
固定资产,"1,484,652,500.00","1,533,570,321.45","1,501,958,309.83","1,641,924,985.58","1,612,967,925.94","1,579,150,484.86","1,542,190,600.59","1,589,303,134.01","1,553,235,591.27","2,040,311,294.86","2,004,157,466.93","2,433,102,218.12","2,384,359,902.69","2,556,274,719.96","2,627,454,497.51","2,747,696,426.79","2,688,506,220.56","2,639,913,404.06","2,572,482,671.41","4,762,893,204.44","4,676,760,106.32","5,430,705,528.90","5,327,544,098.02","5,470,364,786.53","5,363,046,872.15","5,302,977,992.40","5,249,921,621.10","6,576,781,551.28","6,449,565,430.66","6,516,004,288.51","6,429,875,648.57","6,551,021,876.44","6,494,536,614.66","6,405,993,556.98","6,382,377,853.71","6,957,094,042.17","6,872,862,377.87","6,957,059,743.88","6,835,649,337.58"
