科目,2007-03-31,2007-06-30,2007-09-30,2007-12-31,2008-03-31,2008-06-30,2008-09-30,2008-12-31,2009-03-31,2009-06-30,2009-09-30,2009-12-31,2010-03-31,2010-06-30,2010-09-30,2010-12-31,2011-03-31,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31
其中:消耗性生物资产,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应付关联公司款,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
一年内到期的非流动资产,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
一年内到期的非流动负债,,,"10,000,000.00","20,000,000.00","20,000,000.00","20,000,000.00","20,000,000.00","20,000,000.00",,,,"400,000,000.00","400,000,000.00","400,000,000.00","100,000,000.00","20,000,000.00","701,683,691.31","610,270,000.00","160,270,000.00","1,247,289,000.00","1,177,424,500.00","1,157,424,500.00","920,905,165.90","2,196,727,439.95","754,187,439.95","1,027,698,820.52","894,341,605.82","1,973,202,877.72","1,890,515,220.37","3,062,211,677.72","2,503,408,020.37","5,429,534,801.91","5,253,150,821.59","5,082,455,951.55","4,624,980,338.59","4,392,022,632.96","3,852,354,943.64","3,940,573,926.80","4,326,464,511.98","6,024,813,034.59","6,738,337,302.42","6,933,653,948.70","6,038,434,186.97","8,271,859,946.42","7,233,531,971.47"
其他流动资产,"183,090.41","18,362.00",,,,"50,000.00",,,,,,,,,,,,,,,"8,222,167.64",,,,,,,,,,,"2,645,212,950.66","2,805,506,083.31","3,054,631,928.79","3,083,141,110.57","3,148,382,875.56","3,067,971,415.75","3,176,988,919.08","3,316,186,959.69","3,388,783,489.20","3,532,793,732.84","3,556,337,578.63","3,600,872,910.88","3,697,420,789.58","3,733,384,467.72"
其他流动负债,"11,029,803.01","15,730,261.66",,,,,,,,,,,,,,,,,,,"11,816,643.74",,,,,,,,,,,,,"2,500,000,000.00","2,500,000,000.00","5,100,000,000.00","5,100,000,000.00","2,200,000,000.00","2,950,000,000.00","750,000,000.00","2,750,000,000.00","3,800,000,000.00","3,850,880,591.78","4,550,000,000.00","4,550,195,687.06"
流动资产合计,"2,873,304,858.14","3,019,246,554.09","3,074,470,256.47","3,745,339,757.73","4,087,284,282.85","3,861,172,781.00","6,167,077,287.00","4,799,022,177.43","5,894,421,595.22","4,455,156,781.10","4,184,055,708.51","6,002,130,020.45","5,349,968,170.76","4,605,774,201.24","7,236,580,472.28","6,720,422,945.63","8,729,904,599.56","7,714,070,731.99","8,237,078,214.23","8,739,465,986.51","9,156,297,340.36","10,696,563,273.73","11,066,797,240.94","12,377,562,600.88","15,143,582,432.23","12,043,221,108.35","12,208,184,171.97","11,306,838,939.73","11,335,651,711.91","11,417,167,000.99","11,495,576,098.64","11,339,110,003.07","11,221,681,628.75","13,723,549,087.18","12,881,384,592.34","16,818,478,920.68","15,762,581,453.58","14,474,126,417.59","14,376,156,590.94","15,025,889,765.04","14,638,883,467.98","14,959,665,112.69","14,558,282,474.89","16,412,496,813.47","13,855,788,755.23"
流动负债合计,"686,101,964.08","1,490,508,515.70","1,307,732,683.87","1,697,761,198.55","2,194,478,320.29","2,481,077,217.83","3,754,888,524.16","2,226,209,463.60","2,938,186,126.17","2,583,619,301.85","2,120,513,612.42","3,852,429,860.13","3,364,252,587.14","2,368,944,223.53","4,711,672,997.54","4,278,529,969.58","5,575,667,970.19","4,969,457,868.67","5,203,048,228.01","7,244,861,527.45","7,116,827,390.13","6,840,476,644.23","6,847,579,175.99","10,181,653,609.90","7,379,503,996.53","8,098,027,630.65","7,865,611,185.06","9,475,482,852.13","8,404,692,181.16","9,875,443,737.14","10,833,271,703.29","16,901,277,732.48","16,556,578,446.75","19,400,923,784.65","19,964,608,885.90","20,133,181,436.95","19,072,264,772.20","18,843,528,957.13","19,254,298,037.10","21,764,657,256.78","22,577,484,935.52","24,041,542,382.74","22,996,601,969.14","27,982,551,235.55","27,861,274,837.85"
可供出售金融资产,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"478,125,400.00","478,125,400.00","478,125,400.00","478,125,400.00","478,125,400.00","478,125,400.00","478,125,400.00","478,125,400.00","478,125,400.00","478,125,400.00","478,125,400.00","478,125,400.00","478,125,400.00","460,125,400.00","460,125,400.00"
长期借款,"1,378,000,000.00","1,278,000,000.00","1,268,000,000.00","1,095,000,000.00","1,095,000,000.00","1,095,000,000.00","1,025,000,000.00","745,400,000.00","745,400,000.00","745,400,000.00","815,400,000.00","516,500,000.00","516,500,000.00","516,500,000.00","516,500,000.00","438,000,000.00","5,366,316,622.74","5,081,316,622.74","5,932,538,946.27","6,190,304,615.87","7,262,470,500.00","10,256,042,204.58","12,404,902,772.45","13,359,362,772.45","15,228,362,772.45","15,308,692,772.45","18,283,692,772.45","20,245,717,699.64","22,345,899,209.20","23,348,000,000.00","25,752,000,000.00","25,522,500,000.00","27,492,500,000.00","26,592,500,000.00","28,529,500,000.00","27,212,750,000.00","27,312,750,000.00","25,807,567,024.28","25,642,567,024.28","25,425,750,000.00","25,425,750,000.00","24,508,000,000.00","25,723,000,000.00","23,269,817,024.00","23,365,817,024.00"
