科目,2007年度,2008年度,2009年1-6月,2009年度,2010年1-6月,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月
支付给职工以及为职工支付的现金,"8,413,820.26","11,963,771.67","7,161,099.43","15,439,636.98","9,608,360.98","14,850,538.89","17,766,108.32","6,956,946.38","17,360,055.41","30,765,120.12","45,455,592.53","14,488,106.71","30,722,778.24","50,588,191.91","81,146,174.40","30,757,435.77","65,872,146.72","108,840,836.86","166,864,878.43","60,825,406.78","115,573,631.71","184,456,039.84","349,137,446.56","85,745,030.23","169,886,866.84","257,205,946.26","365,302,541.30","97,871,146.79","224,547,190.32","358,418,563.60","522,016,652.87","189,769,304.09","328,677,327.35","474,724,817.65"
取得借款收到的现金,"139,100,000.00","258,347,071.45","58,000,000.00","312,000,000.00","82,000,000.00","102,000,000.00","282,000,000.00","83,000,000.00","283,000,000.00","323,000,000.00","665,854,495.50","213,148,260.42","619,698,701.77","1,139,742,889.88","1,639,698,701.77",,"531,415,967.47","1,540,212,756.13","2,480,564,409.31","313,949,065.31","1,379,180,482.30","1,912,575,974.54","3,010,231,074.16","329,950,745.14","1,306,435,940.73","2,406,627,200.28","3,641,192,234.05","1,301,407,627.10","3,302,918,616.45","5,313,359,451.47","7,300,767,745.47","1,140,099,721.21","3,842,019,678.08","6,058,875,067.07"
支付的各项税费,"9,039,267.56","14,373,688.91","7,850,734.07","20,992,400.58","9,689,709.70","19,664,029.81","30,704,847.04","8,344,778.69","22,746,051.55","50,920,853.86","68,482,801.15","32,885,641.64","101,720,411.34","144,617,000.75","206,117,560.65","37,926,783.74","175,242,070.99","334,202,715.37","429,834,251.95","162,728,059.31","302,560,895.69","426,425,203.14","418,832,515.06","126,933,440.98","203,131,302.01","344,290,298.93","497,462,911.06","212,555,564.59","325,900,137.27","437,549,846.49","712,704,964.63","333,304,448.39","540,137,229.79","828,166,274.78"
收到其他与筹资活动有关的现金,,,,,,,,,"19,346,185.98","29,696,896.60",,,,,,,,,,,,,,"1,277,413.00","101,277,413.00","101,277,413.00","141,914,158.57","30,658,070.70",,"85,696,113.66","9,000,000.00","100,328,172.71","77,297,772.53","47,337,106.64"
支付其他与经营活动有关的现金,"5,708,963.24","10,377,228.96","3,947,456.90","10,056,945.45","6,652,317.10","11,023,024.61","38,498,709.20","14,487,831.79","19,910,767.47","38,855,678.52","48,963,778.00","20,998,786.66","33,560,309.20","54,685,083.51","59,331,199.54","35,615,050.24","90,502,667.26","135,200,179.27","121,147,042.49","85,653,766.04","178,379,107.73","208,615,879.85","174,300,905.72","71,906,219.19","151,648,812.36","258,711,753.76","261,639,628.16","67,234,169.69","139,594,696.38","231,277,479.92","350,268,860.12","115,364,652.38","244,016,269.63","329,678,171.66"
筹资活动现金流入小计,"200,491,405.98","258,607,071.45","108,000,000.00","362,000,000.00","82,000,000.00","656,469,600.00","836,469,600.00","83,000,000.00","302,346,185.98","369,696,896.60","667,854,495.50","213,148,260.42","2,211,323,701.77","2,731,367,889.88","4,123,923,701.77","65,837,323.23","622,794,249.54","1,631,755,817.89","2,644,523,159.08","357,586,885.03","1,437,511,802.11","3,017,775,924.15","4,132,317,258.47","355,688,775.79","2,437,173,971.38","4,292,986,940.98","8,476,211,847.99","1,848,515,613.95","4,870,077,925.62","12,766,214,873.34","14,747,326,982.26","4,302,927,893.92","7,489,107,450.61","11,753,633,437.82"
经营活动现金流出小计,"172,967,550.44","263,323,521.17","101,275,293.69","349,477,574.60","212,959,420.24","344,749,096.17","462,030,388.32","358,746,588.91","812,088,250.97","1,336,693,495.47","1,578,890,198.72","414,467,733.36","956,817,870.26","1,481,256,618.25","2,162,982,968.98","664,966,902.13","1,478,269,465.13","2,562,480,735.33","3,114,501,264.93","1,210,654,690.10","1,993,931,005.12","3,201,996,174.88","3,628,904,153.57","1,361,673,822.89","2,951,198,359.66","4,313,147,474.95","6,165,766,397.52","1,827,002,917.20","4,234,945,956.24","6,528,045,276.05","8,051,435,207.36","2,631,884,300.04","4,835,876,230.83","7,340,290,164.84"
偿还债务支付的现金,"115,900,000.00","141,447,071.45","62,000,000.00","271,000,000.00","62,000,000.00","229,000,000.00","349,000,000.00","20,000,000.00","120,000,000.00","140,000,000.00","253,090,000.00","170,097,795.77","492,264,019.92","532,138,535.58","763,852,444.66","169,363,383.68","512,091,763.36","922,219,335.79","1,564,638,578.69","537,639,038.21","762,870,671.77","1,429,190,829.14","2,434,671,626.34","467,882,561.31","1,146,218,098.62","1,675,292,507.67","2,720,987,102.88","1,321,274,959.76","3,744,018,008.21","6,284,460,692.70","7,857,260,376.87","2,828,400,718.32","4,028,545,450.91","6,302,440,506.96"
经营活动产生的现金流量净额,"3,978,633.08","34,791,336.37","26,587,597.43","46,079,900.42","8,100,884.70","46,980,978.01","109,095,509.63","11,934,666.84","75,277,360.27","60,339,410.62","160,817,596.76","53,866,496.35","76,014,690.17","114,090,966.87","272,807,541.54","69,957,359.09","201,487,576.17","230,773,972.20","225,523,563.00","103,475,604.77","256,607,295.26","296,848,457.61","429,685,348.40","139,161,454.44","354,172,187.81","388,686,363.80","906,538,876.46","222,761,060.78","262,117,929.07","336,188,130.79","-47,582,840.78","1,141,384,861.88","1,759,679,972.95","2,250,366,666.82"
分配股利、利润或偿还利息支付的现金,"19,725,371.30","7,048,501.97","4,282,467.01","12,352,821.55","6,966,132.27","9,855,850.51","10,976,295.67","2,883,216.95","13,560,100.91","20,342,412.02","28,587,473.63","18,508,597.60","25,882,607.85","32,753,780.96","63,804,346.30","13,163,825.95","63,089,719.69","82,371,562.13","203,982,484.37","34,141,745.80","144,503,390.95","187,703,331.49","283,232,638.42","73,446,665.00","204,333,121.41","328,143,227.32","432,496,600.98","36,622,096.58","249,823,861.30","392,312,807.96","510,381,298.01","88,836,308.64","291,738,854.88","457,686,271.94"
收回投资收到的现金,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"30,000,000.00","360,050,000.00"
支付其他与筹资活动有关的现金,"1,385,824.00","30,000.00","5,177.21","3,778,999.60","3,254,858.81","13,037,069.23","12,429,082.15",,"895,055.61","4,418,125.50","1,053,968.15",,"262,500.00","262,500.00","262,500.00","100,000.00","100,000.00","100,000.00",,,,"27,824,289.13","342,994,932.65",,"64,892,437.84","185,577,020.82","233,526,352.76","8,952,840.02","81,114,148.02","47,510,832.24","672,042,974.19","3,000,000.00","3,200,000.00","10,846,177.00"
取得投资收益收到的现金,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"30,014.79",,"797,808.22","27,430,934.15"
筹资活动现金流出小计,"137,011,195.30","148,525,573.42","66,287,644.22","287,131,821.15","72,220,991.08","251,892,919.74","372,405,377.82","22,883,216.95","134,455,156.52","164,760,537.52","282,731,441.78","188,606,393.37","518,409,127.77","565,154,816.54","827,919,290.96","182,627,209.63","575,281,483.05","1,004,690,897.92","1,768,621,063.06","571,780,784.01","907,374,062.72","1,644,718,449.76","3,060,899,197.41","541,329,226.31","1,415,443,657.87","2,189,012,755.81","3,387,010,056.62","1,366,849,896.36","4,074,956,017.53","6,724,284,332.90","9,039,684,649.07","2,920,237,026.96","4,323,484,305.79","6,770,972,955.90"
处置固定资产、无形资产和其他长期资产收回的现金净额,,,,,,,,,,,,,,,"3,760,000.00",,,"50,400.00","50,400.00",,"-3,100.00","16,000.00","60,175.21",,,"17,500.00","19,700.00",,"94,089.76","770,209.30","1,740,759.30",640.00,"476,896.20","369,045.20"
筹资活动产生的现金流量净额,"63,480,210.68","110,081,498.03","41,712,355.78","74,868,178.85","9,779,008.92","404,576,680.26","464,064,222.18","60,116,783.05","167,891,029.46","204,936,359.08","385,123,053.72","24,541,867.05","1,692,914,574.00","2,166,213,073.34","3,296,004,410.81","-116,789,886.40","47,512,766.49","627,064,919.97","875,902,096.02","-214,193,898.98","530,137,739.39","1,373,057,474.39","1,071,418,061.06","-185,640,450.52","1,021,730,313.51","2,103,974,185.17","5,089,201,791.37","481,665,717.59","795,121,908.09","6,041,930,540.44","5,707,642,333.19","1,382,690,866.96","3,165,623,144.82","4,982,660,481.92"
处置子公司及其他营业单位收到的现金净额,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-358,177,654.13","131,059,545.87","132,038,041.70",,,
四、汇率变动对现金的影响,"-230,973.24","-274,865.04","-99,448.10","-198,486.39","-133,732.89","-140,407.99","-155,937.61","-25,479.66","-69,512.33","-125,842.66","-1,373,939.16","-177,830.78","-694,043.01","-941,429.01","-996,554.42","-8,541,980.04","-460,326.83","-910,364.49","1,104,014.36","-968,409.81","763,825.30","-300,370.05","3,280,313.47","1,011,682.02","6,241,301.49","23,422,660.17","37,640,497.71","-4,785,511.85","4,279,516.53","6,949,894.70","23,036,423.86","11,287,664.16","-31,250,758.00","-87,645,335.10"
收到其他与投资活动有关的现金,"17,411,244.79",,"27,920,000.00","27,920,000.00",,"314,415.27",,,,,"459,901.61",,,,,,,,,,,,"5,200,000.00",,"50,000,000.00","50,000,000.00","50,000,000.00",,,,"4,719,881.26",,"100,000,000.00","1,957,582,600.00"
四(2)、其他原因对现金的影响,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
投资活动现金流入小计,"17,411,244.79",,"27,920,000.00","27,920,000.00",,"314,415.27",,,,,"459,901.61",,,,"3,760,000.00",,,"50,400.00","50,400.00",,"-3,100.00","16,000.00","5,260,175.21",,"50,000,000.00","50,017,500.00","50,019,700.00",,"-358,083,564.37","131,829,755.17","138,528,697.05",640.00,"131,274,704.42","2,345,432,579.35"
五、现金及现金等价物净增加额,"27,389,608.03","-6,650,413.40","82,407,635.45","132,987,944.17","-2,163,600.15","394,686,086.77","503,180,592.32","40,571,289.14","118,085,975.06","78,599,792.23","19,677,830.75","-3,442,692.04","1,560,792,981.35","1,885,271,539.49","2,761,672,190.21","-694,106,338.61","-801,052,008.31","-860,930,812.17","-770,243,570.92","-351,436,132.41","121,005,124.78","1,146,221,407.55","1,181,452,163.06","-123,424,421.62","1,203,328,854.31","2,255,125,217.65","5,714,923,504.66","278,605,198.62","130,800,162.73","5,334,202,427.96","5,109,700,094.47","-148,419,562.95","1,531,315,078.59","3,571,795,762.57"
购建固定资产、无形资产和其他长期资产支付的现金,"27,849,507.28","150,388,382.76","13,712,869.66","15,681,648.71","19,909,760.88","57,045,578.78","69,823,201.88","31,454,681.09","99,012,902.34","181,550,134.81","520,348,782.18","81,673,224.66","207,442,239.81","394,091,071.71","809,903,207.72","638,731,831.26","1,049,592,024.14","1,717,909,739.85","1,882,932,316.51","239,749,428.39","666,500,635.17","523,400,154.40","267,991,735.08","74,957,107.56","225,814,948.50","268,835,491.49","214,623,447.36","101,954,067.90","247,773,507.85","396,511,315.39","379,229,538.39","115,783,595.95","195,291,985.60","250,772,065.63"
期初现金及现金等价物余额,"7,371,845.91","34,761,453.94","28,178,862.08","28,111,040.54","161,098,984.71","161,098,984.71","161,098,984.71","664,279,577.03","664,279,577.03","664,279,577.03","664,279,577.03","683,957,407.78","683,957,407.78","683,957,407.78","683,957,407.78","3,445,629,597.99","3,445,629,597.99","3,445,629,597.99","3,445,629,597.99","2,675,386,027.07","2,675,386,027.07","2,675,386,027.07","2,675,386,027.07","4,192,943,122.78","3,856,838,190.13","3,856,838,190.13","3,856,838,190.13","9,571,761,694.79","9,571,761,694.79","9,573,495,847.33","9,580,041,414.12","14,689,741,508.59","14,689,741,508.59","14,689,741,508.59"
投资支付的现金,"29,400,000.00",,,,,,,,,"5,000,000.00","5,000,000.00",,,,,,,,,,,,,"3,000,000.00","3,000,000.00","42,140,000.00","153,853,913.52","319,082,000.00","329,582,000.00","342,962,585.80","332,694,980.46","18,000,000.00","748,720,000.00","2,410,171,064.79"
期末现金及现金等价物余额,"34,761,453.94","28,111,040.54","110,586,497.53","161,098,984.71","158,935,384.56","555,785,071.48","664,279,577.03","704,850,866.17","782,365,552.09","742,879,369.26","683,957,407.78","680,514,715.74","2,244,750,389.13","2,569,228,947.27","3,445,629,597.99","2,751,523,259.38","2,644,577,589.68","2,584,698,785.82","2,675,386,027.07","2,323,949,894.66","2,796,391,151.85","3,821,607,434.62","3,856,838,190.13","4,069,518,701.16","5,060,167,044.44","6,111,963,407.78","9,571,761,694.79","9,850,366,893.41","9,702,561,857.52","14,907,698,275.29","14,689,741,508.59","14,541,321,945.64","16,221,056,587.18","18,261,537,271.16"
