科目,2007年1-9月,2007年度,2008年1-3月,2008年1-6月,2008年1-9月,2008年度,2009年1-3月,2009年1-6月,2009年1-9月,2009年度,2010年1-3月,2010年1-6月,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月,2018年1-9月,2018年度,2019年1-3月
支付给职工以及为职工支付的现金,"293,643,459.55","401,928,033.16","102,084,939.03","224,855,699.87","339,983,326.68","506,506,559.25","136,191,258.59","262,775,475.92","376,714,270.60","509,589,766.33","160,052,774.96","275,595,647.21","399,313,368.74","527,374,037.28","201,031,903.63","346,543,175.28","502,687,651.02","642,643,848.21","175,178,285.00","330,765,496.89","493,236,207.49","641,009,105.34","187,682,384.87","334,515,731.69","500,131,167.69","652,560,614.42","169,256,959.93","325,139,679.11","493,521,243.36","649,082,822.55","199,558,275.63","346,792,231.45","499,772,312.85","660,888,073.72","175,056,940.94","329,820,373.89","487,771,068.29","642,469,241.32","184,169,101.47","338,436,353.73","502,022,985.10","682,068,904.93","193,119,895.98","367,276,600.03","542,153,165.51","763,654,632.25","181,750,669.72"
取得借款收到的现金,"33,000,000.00","33,000,000.00",,,"45,000,000.00","75,000,000.00",,,"45,000,000.00","75,000,000.00",,,"30,000,000.00","30,000,000.00",,,"30,000,000.00","30,000,000.00",,,"160,000,000.00","310,000,000.00","140,000,000.00","150,000,000.00","285,000,000.00","404,267,499.39","432,025,221.24","502,836,420.98","503,117,220.89","875,639,247.15","145,809,768.00","145,515,240.00","596,803,800.00","598,184,400.00","564,369,488.00","1,154,940,136.00","1,156,081,432.00","1,157,774,968.00","500,000,000.00","500,000,000.00","500,000,000.00","500,000,000.00",,,,,
支付的各项税费,"1,480,756,728.68","1,768,150,051.19","784,545,392.63","1,456,301,566.36","2,025,246,305.01","2,445,641,663.74","237,341,635.02","393,325,512.21","564,048,387.67","737,466,012.97","117,822,683.85","297,383,645.84","531,053,161.40","671,100,315.86","229,276,018.49","516,490,505.75","694,044,126.47","977,904,256.95","169,115,962.80","525,604,326.64","760,926,905.99","967,648,257.07","180,521,259.55","347,818,014.49","475,250,504.20","633,568,200.75","101,180,058.95","300,679,256.52","438,647,272.97","618,120,584.22","77,146,596.21","191,226,408.77","277,664,891.63","401,136,770.86","64,653,736.42","152,818,949.41","251,568,501.24","335,239,492.83","116,436,669.12","230,089,515.49","384,586,915.07","514,278,471.85","195,880,977.12","411,654,542.28","628,937,545.21","846,737,062.67","308,308,376.51"
收到其他与筹资活动有关的现金,,,,,,,,,,,,,,"50,000,000.00","193,375,000.00","193,375,000.00","193,375,000.00","193,375,000.00",,,,,,,,,,,,,"260,000,000.00","260,000,000.00","260,438,371.54","441,016,280.00","152,000,000.00","152,000,000.00","156,119,928.08","156,070,000.00",,,,,,,,,
支付其他与经营活动有关的现金,"295,924,671.11","310,759,640.66","110,372,340.33","189,688,543.98","235,725,959.08","268,587,444.07","27,711,767.55","53,819,013.23","81,754,998.33","143,437,135.99","23,724,897.36","47,133,268.52","81,928,340.94","115,566,433.18","45,220,270.50","76,673,442.99","106,612,433.69","244,612,901.84","23,890,282.10","45,582,502.63","69,426,767.09","162,115,590.20","25,630,308.83","142,864,404.80","166,999,681.92","232,184,499.55","89,867,704.27","231,543,665.48","122,189,978.29","179,035,400.97","71,760,478.01","232,968,491.27","147,631,935.88","238,531,966.73","26,192,834.26","144,941,044.16","286,219,041.81","240,102,954.79","101,719,456.09","146,083,535.08","166,180,545.51","265,308,382.73","18,315,661.65","53,509,697.82","112,277,036.76","142,337,553.28","19,565,586.34"
筹资活动现金流入小计,"140,541,944.21","140,541,944.21",,"8,745,281,460.00","8,790,281,460.00","8,820,281,460.00",,,"45,000,000.00","75,000,000.00",,"41,160,000.00","82,500,000.00","132,500,000.00","245,875,000.00","245,875,000.00","275,875,000.00","275,875,000.00",,,"160,000,000.00","310,000,000.00","140,000,000.00","150,000,000.00","285,000,000.00","404,267,499.39","432,025,221.24","502,836,420.98","503,117,220.89","875,639,247.15","405,809,768.00","405,515,240.00","857,242,171.54","1,039,200,680.00","716,369,488.00","1,306,940,136.00","1,312,201,360.08","1,313,844,968.00","500,000,000.00","500,000,000.00","500,000,000.00","500,000,000.00",,,,,
经营活动现金流出小计,"2,607,345,434.44","3,274,343,515.55","1,308,297,931.93","2,449,090,120.80","3,734,794,326.33","4,618,926,483.96","722,970,292.09","1,960,868,268.41","4,142,424,842.16","4,875,339,628.76","1,721,038,193.76","3,630,900,988.58","5,340,199,977.79","6,857,454,677.67","2,206,383,562.60","4,013,779,442.38","5,900,260,610.83","7,670,217,989.62","1,905,239,589.48","3,776,600,010.03","5,926,168,617.02","7,795,116,084.46","2,172,662,137.77","4,494,986,932.21","6,569,585,317.02","8,704,231,233.31","2,060,526,482.43","4,076,345,872.44","5,902,819,393.48","8,378,460,828.55","2,549,875,945.30","5,348,902,586.43","8,354,799,782.67","10,850,127,582.11","1,755,544,360.29","4,691,241,515.53","7,406,551,649.74","9,779,602,639.84","2,747,467,443.95","5,275,531,753.79","8,154,978,721.77","9,444,733,545.31","2,262,712,232.84","4,039,702,581.60","5,787,599,280.93","7,265,618,815.71","2,084,493,619.13"
偿还债务支付的现金,"15,000,000.00","25,817,750.00","6,500,000.00","33,000,000.00","43,000,000.00","73,000,000.00",,,"45,000,000.00","75,000,000.00","15,000,000.00","15,000,000.00","45,000,000.00","75,000,000.00",,,"30,000,000.00","30,000,000.00",,,"30,000,000.00","30,000,000.00",,,"10,200,000.00","10,200,000.00","50,000,000.00","50,000,000.00","110,200,000.00","120,200,000.00","501,426,249.77","496,736,000.00","858,420,000.00","1,037,497,042.00","244,369,488.00","294,940,136.00","836,081,432.00","844,774,968.00","124,876,072.00","202,164,560.00","229,987,052.00","575,729,200.00","33,500,000.00","83,500,000.00","117,000,000.00","657,000,000.00",
经营活动产生的现金流量净额,"2,107,217,373.06","3,039,901,499.15","457,190,970.57","1,471,636,748.38","2,148,999,993.55","2,650,712,419.29","-22,376,927.22","-57,045,301.40","-389,929,511.75","117,800,728.14","-225,966,219.70","288,479,438.04","325,545,988.47","886,918,227.32","-264,151,460.75","-65,036,080.92","40,857,405.57","277,445,833.03","387,010,080.33","294,115,810.96","802,779,029.70","1,108,273,237.13","125,854,671.89","265,957,534.94","375,167,293.36","333,342,583.90","-19,404,997.99","-78,931,406.24","41,214,217.77","98,374,250.20","4,188,919.08","-135,333,264.77","68,077,947.21","156,030,956.77","-138,302,336.46","-107,911,490.24","-205,364,059.08","-83,736,326.86","-159,775,078.04","21,372,676.70","-274,345,197.25","391,157,133.52","-571,412,131.34","-347,463,831.69","-411,615,347.09","401,986,453.07","126,612,362.80"
分配股利、利润或偿还利息支付的现金,"1,428,374,760.49","1,324,171,545.16","9,709,825.91","11,586,446.54","19,537,425.47","38,259,708.80","1,049,834.99","1,055,901,375.29","1,058,533,644.62","1,059,666,130.15","4,125,619.50","485,884,374.59","801,148,296.59","802,112,979.92","434,708.33","791,065,277.11","791,491,120.07","808,511,023.34","522,340.00","567,694,585.00","651,980,108.33","655,280,236.28","5,847,624.98","427,736,371.22","537,088,102.35","547,533,059.24","12,032,806.51","154,526,677.75","169,996,402.19","180,933,041.96","23,519,982.19","183,866,508.59","210,174,943.16","180,002,482.60","23,228,183.46","50,097,796.44","77,825,424.47","59,502,853.74","41,034,722.56","62,055,914.54","80,186,023.01","97,359,756.27","14,655,706.25","29,874,697.12","174,186,341.27","184,138,684.35","7,435,781.25"
收回投资收到的现金,,,,,,,,,,,,,,,,,,,,,,,"470,000,000.00","500,000,000.00","500,000,000.00","500,000,000.00","50,000,000.00","400,000,000.00","400,000,000.00","600,000,000.00","10,000,000.00","377,000,000.00","767,000,000.00","867,000,000.00","188,000,000.00","538,000,000.00","648,000,000.00","898,000,000.00","454,000,000.00","733,250,000.00","1,033,250,000.00","2,313,450,000.00","1,240,000,000.00","1,625,000,000.00","1,891,000,000.00","2,009,000,000.00","613,696,213.70"
支付其他与筹资活动有关的现金,"1,031,485,311.33","2,321,266,519.06","339,207,000.00","514,230,509.85","514,230,509.85","514,230,509.85",,"1,088,346.75","1,098,946.75","201,088,346.75",,"430,664.60","430,664.60","430,664.60",,"1,442,895.92","1,522,895.92","1,522,895.92",,"409,879.37","409,879.37","409,879.37",,"346,780.29","346,780.29","346,780.29","260,000,000.00","260,086,666.85","260,086,666.85","391,286,666.85","152,151,116.00","152,151,116.00","156,221,116.00","156,237,396.00","170,120,650.00","170,120,650.00","170,120,650.00","170,389,779.13","107,158.00","107,158.00","107,158.00","107,158.00",,,"31,189.85","31,189.85",
取得投资收益收到的现金,,,,,,,,,,,,,,,,,,,,"570,610.68","3,030,610.68","12,090,747.67","6,653,219.17","12,409,767.12","14,298,328.77","21,654,493.15","1,239,726.03","10,722,191.78","10,722,191.78","25,785,260.28","41,095.89","7,223,594.52","11,112,750.68","24,933,334.24","2,930,394.30","9,742,804.57","12,865,763.47","19,383,247.72","7,285,494.99","14,112,842.19","22,408,352.07","60,067,989.22","19,426,931.52","23,947,208.54","32,401,482.78","39,043,988.34","1,469,401.20"
筹资活动现金流出小计,"2,474,860,071.82","3,671,255,814.22","355,416,825.91","558,816,956.39","576,767,935.32","625,490,218.65","1,049,834.99","1,056,989,722.04","1,104,632,591.37","1,335,754,476.90","19,125,619.50","501,315,039.19","846,578,961.19","877,543,644.52","434,708.33","792,508,173.03","823,014,015.99","840,033,919.26","522,340.00","568,104,464.37","682,389,987.70","685,690,115.65","5,847,624.98","428,083,151.51","547,634,882.64","558,079,839.53","322,032,806.51","464,613,344.60","540,283,069.04","692,419,708.81","677,097,347.96","832,753,624.59","1,224,816,059.16","1,373,736,920.60","437,718,321.46","515,158,582.44","1,084,027,506.47","1,074,667,600.87","166,017,952.56","264,327,632.54","310,280,233.01","673,196,114.27","48,155,706.25","113,374,697.12","291,217,531.12","841,169,874.20","7,435,781.25"
处置固定资产、无形资产和其他长期资产收回的现金净额,"2,805,000.00",,,,,,,,,,,,,"14,600,000.00",,,,,,,"2,580,000.00","2,580,000.00","480,000.00","430,000.00","450,800.00","450,800.00","380,000.00","380,000.00","506,300.00","506,300.00",,,,"35,104.29","1,320.00","1,320.00","1,320.00","43,810.00","5,922.00","5,922.00","8,531.44","37,922.00",,450.00,450.00,"1,153,324.50","2,618,000.00"
筹资活动产生的现金流量净额,"-2,334,318,127.61","-3,530,713,870.01","-355,416,825.91","8,186,464,503.61","8,213,513,524.68","8,194,791,241.35","-1,049,834.99","-1,056,989,722.04","-1,059,632,591.37","-1,260,754,476.90","-19,125,619.50","-460,155,039.19","-764,078,961.19","-745,043,644.52","245,440,291.67","-546,633,173.03","-547,139,015.99","-564,158,919.26","-522,340.00","-568,104,464.37","-522,389,987.70","-375,690,115.65","134,152,375.02","-278,083,151.51","-262,634,882.64","-153,812,340.14","109,992,414.73","38,223,076.38","-37,165,848.15","183,219,538.34","-271,287,579.96","-427,238,384.59","-367,573,887.62","-334,536,240.60","278,651,166.54","791,781,553.56","228,173,853.61","239,177,367.13","333,982,047.44","235,672,367.46","189,719,766.99","-173,196,114.27","-48,155,706.25","-113,374,697.12","-291,217,531.12","-841,169,874.20","-7,435,781.25"
处置子公司及其他营业单位收到的现金净额,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
四、汇率变动对现金的影响,"-570,432.15","-1,139,816.04","-341,424.40","-621,864.89","-720,701.79","-478,510.25","-9,733.98",-288.72,"-11,517.97","-20,914.39",-495.12,"-994,837.39","-3,332,889.85","-4,365,239.14","-552,426.10","-2,999,291.87","-4,875,040.22","-6,747,501.83","-71,139.56","64,079.38","124,525.10","-663,975.60","-201,962.50","-1,869,798.13","-2,396,969.04","-2,456,225.29","1,385,794.18","1,320,725.78","-2,396,536.55","-4,486,199.63","11,408,387.73","2,262,948.07","10,195,297.23","10,504,645.01","84,429.70","2,292,851.18","2,587,717.33","8,601,993.81","-717,841.04","-3,300,761.77","-5,259,692.39","-4,220,773.83","-2,151,984.15","4,562,902.01","11,700,009.23","13,060,000.91","-5,019,557.81"
收到其他与投资活动有关的现金,,,,,,,,,,,,,,,,,,,"1,053,502.49","12,224,648.83","12,224,648.83","27,391,612.03","24,454,762.14","82,454,263.01","414,915,260.64","93,664,263.01","170,000,000.00","170,000,000.00","180,500,000.00","239,067,539.00","160,163,000.00","218,830,400.00","247,586,120.00","253,136,720.00","20,000,000.00","20,000,000.00","171,176,052.92","20,000,000.00",,,"95,000,000.00","104,200,000.00","41,000,000.00","41,000,000.00","41,000,000.00","41,000,000.00",
四(2)、其他原因对现金的影响,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
投资活动现金流入小计,"2,805,000.00",,,,,,,,,,,,,"14,600,000.00",,,,,"1,053,502.49","12,795,259.51","17,835,259.51","42,062,359.70","501,587,981.31","595,294,030.13","929,664,389.41","615,769,556.16","221,619,726.03","581,102,191.78","591,728,491.78","865,359,099.28","170,204,095.89","603,053,994.52","1,025,698,870.68","1,145,105,158.53","210,931,714.30","567,744,124.57","832,043,136.39","937,427,057.72","461,291,416.99","747,368,764.19","1,150,666,883.51","2,477,755,911.22","1,300,426,931.52","1,689,947,658.54","1,964,401,932.78","2,090,197,312.84","617,783,614.90"
五、现金及现金等价物净增加额,"-712,783,599.50","-1,208,267,637.11","16,132,826.92","7,964,092,134.69","8,441,973,324.47","8,355,771,117.15","-247,909,362.86","-1,827,403,447.18","-2,423,113,684.76","-2,346,903,377.76","-509,948,609.70","-652,490,486.73","-1,067,617,771.31","-598,311,816.28","-126,337,232.61","-876,532,950.41","-891,756,595.39","-907,485,315.66","52,348,795.90","-917,154,234.31","-523,347,088.96","-397,775,550.03","-290,142,202.34","-1,030,718,167.84","-779,111,732.11","-989,179,569.79","-22,519,336.99","-453,097,151.32","-774,968,707.09","-420,040,517.71","-604,300,111.58","-779,437,121.85","-645,562,676.16","-751,759,571.47","174,865,775.93","712,817,848.83","160,389,891.89","32,583,005.22","47,888,190.65","-1,108,089,442.41","-1,327,049,898.48","-1,410,119,397.24","527,409,081.86","1,018,512,322.03","785,487,924.55","733,070,025.75","468,868,803.23"
购建固定资产、无形资产和其他长期资产支付的现金,"487,865,412.80","604,808,825.48","85,299,893.34","1,093,387,252.41","1,319,819,491.97","1,548,795,333.36","224,439,440.67","713,334,709.02","973,506,637.67","1,203,895,288.61","264,856,275.38","479,820,048.19","625,751,908.74","750,421,159.94","107,073,637.43","261,864,404.59","380,472,904.75","600,481,326.25","105,121,307.36","206,024,919.79","321,695,915.57","590,454,581.92","161,835,268.06","289,855,785.64","496,750,565.57","792,323,144.42","210,258,775.94","368,958,241.02","522,215,725.85","598,324,357.81","223,313,934.32","326,682,415.08","408,460,903.66","535,364,091.18","25,323,145.23","38,655,576.40","94,617,142.52","218,887,086.58","38,892,354.70","91,552,488.99","229,181,659.34","287,965,553.88","51,298,027.92","70,159,709.71","139,781,139.25","231,807,653.17","170,421,715.52"
期初现金及现金等价物余额,"2,508,422,307.00","2,508,422,307.00","1,300,154,669.89","1,357,881,126.84","1,357,881,126.84","1,357,881,126.84","9,713,652,243.99","9,713,652,243.99","9,713,652,243.99","9,713,652,243.99","7,366,748,866.23","7,366,748,866.23","7,366,748,866.23","7,366,748,866.23","6,768,437,049.95","6,768,437,049.95","6,768,437,049.95","6,768,437,049.95","5,860,951,734.29","5,860,951,734.29","5,860,951,734.29","5,860,951,734.29","5,463,176,184.26","5,463,176,184.26","5,463,176,184.26","5,463,176,184.26","4,473,996,614.47","4,473,996,614.47","4,473,996,614.47","4,473,996,614.47","4,053,956,096.76","4,053,956,096.76","4,053,956,096.76","4,053,956,096.76","3,302,196,525.29","3,302,196,525.29","3,302,196,525.29","3,302,196,525.29","3,334,779,530.51","3,334,779,530.51","3,334,779,530.51","3,334,779,530.51","2,239,660,133.27","1,924,660,133.27","1,924,660,133.27","1,924,660,133.27","2,657,730,159.02"
投资支付的现金,,"111,454,624.73",,"600,000,000.00","600,000,000.00","940,458,699.88",,,,,,,,,,,,,"230,000,000.00","450,000,000.00","500,000,000.00","500,000,000.00","889,700,000.00","819,700,000.00","819,700,000.00","819,700,000.00","125,853,498.00","625,853,498.00","685,853,498.00","695,853,498.00","267,000,000.00","467,000,000.00","945,000,000.00","1,145,000,000.00",,"300,000,000.00","400,000,000.00","850,000,000.00","453,000,000.00","1,913,450,000.00","2,013,450,000.00","3,668,450,000.00","100,000,000.00","145,000,000.00","348,000,000.00","699,196,213.70","77,000,000.00"
期末现金及现金等价物余额,"1,795,638,707.50","1,300,154,669.89","1,316,287,496.81","9,321,973,261.53","9,799,854,451.31","9,713,652,243.99","9,465,742,881.13","7,886,248,796.81","7,290,538,559.23","7,366,748,866.23","6,856,800,256.53","6,714,258,379.50","6,299,131,094.92","6,768,437,049.95","6,642,099,817.34","5,891,904,099.54","5,876,680,454.56","5,860,951,734.29","5,913,300,530.19","4,943,797,499.98","5,337,604,645.33","5,463,176,184.26","5,173,033,981.92","4,432,458,016.42","4,684,064,452.15","4,473,996,614.47","4,451,477,277.48","4,020,899,463.15","3,699,027,907.38","4,053,956,096.76","3,449,655,985.18","3,274,518,974.91","3,408,393,420.60","3,302,196,525.29","3,477,062,301.22","4,015,014,374.12","3,462,586,417.18","3,334,779,530.51","3,382,667,721.16","2,226,690,088.10","2,007,729,632.03","1,924,660,133.27","2,767,069,215.13","2,943,172,455.30","2,710,148,057.82","2,657,730,159.02","3,126,598,962.25"
