科目,2010年度,2011年度,2012年度,2013年1-6月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月,2018年1-9月,2018年度,2019年1-3月
支付其他与经营活动有关的现金,"28,383,117.47","37,300,907.95","43,130,252.71","23,547,738.87","103,081,412.69","206,737,936.75","20,970,026.38","33,297,669.88","45,566,480.48","10,718,732.04","52,504,882.21","75,142,930.90","102,236,005.71","20,376,024.73","85,742,937.30","168,484,443.93","221,545,186.33","83,226,991.02","154,121,133.97","255,502,811.46","330,039,636.63","66,160,690.81","149,160,765.28","414,933,828.27","357,116,104.19","102,173,986.77"
筹资活动现金流入小计,"35,000,000.00",,,,,"275,590,177.11","503,030,143.43","503,030,143.43","503,030,143.43","74,973,600.00","74,973,600.00","74,973,600.00","82,701,600.00",,"380,249,842.60","450,249,842.60","450,249,842.60","180,000,000.00","295,000,000.00","436,000,000.00","1,337,970,983.07","275,000,000.00","305,000,000.00","305,000,000.00","480,000,000.00","220,000,000.00"
经营活动现金流出小计,"973,130,772.96","1,286,947,050.66","1,400,450,288.66","675,707,665.83","1,549,400,155.86","652,574,615.99","993,422,835.37","1,437,543,839.55","2,045,542,025.96","430,674,530.12","978,332,236.13","1,735,294,894.76","2,251,930,012.40","695,227,412.15","1,771,177,933.20","2,796,036,843.47","3,753,228,235.17","752,652,332.58","1,646,105,361.51","2,823,050,481.80","4,185,890,735.86","1,201,750,605.53","2,366,479,097.65","4,150,485,414.11","5,422,479,308.73","623,667,012.55"
偿还债务支付的现金,"35,000,000.00",,,,,,,,,,,,,,,"100,000,000.00","170,000,000.00",,,,"100,000,000.00","349,000,000.00","375,000,000.00","395,000,000.00","555,512,311.98","205,000,000.00"
经营活动产生的现金流量净额,"93,474,843.84","124,891,458.39","69,229,156.32","-88,983,841.40","31,723,157.85","-147,891,239.51","-318,001,419.47","-387,347,280.84","-372,196,337.16","-4,046,368.04","-12,478,505.36","-19,220,944.63","311,249,437.69","36,097,583.49","-128,904,014.12","100,118,944.94","391,070,225.41","-45,520,109.68","-163,176,179.28","-128,417,526.64","-184,023,086.62","-107,066,023.53","-12,478,182.82","98,488,016.91","234,599,779.10","11,979,686.37"
分配股利、利润或偿还利息支付的现金,"15,382,367.50",,"21,890,400.00",,,,"23,529,860.19","23,529,860.19","25,595,852.70",,,"12,414,974.64","13,288,426.35",,"17,069,006.49","18,562,357.69","23,473,302.45",,"2,765,875.00","18,401,025.04","24,682,936.39","3,973,459.73","18,021,449.63","56,766,174.18","68,723,394.11","5,430,459.41"
收回投资收到的现金,,,,"5,500,000.00","5,500,000.00",,,,,,,,,,,,,,,,,,,,,"2,092,866.38"
支付其他与筹资活动有关的现金,"610,000.00","280,000.00",,,,,"226,659,966.32","227,039,966.32","227,039,966.32",,,"1,200,000.00","1,200,000.00","60,000,000.00","70,331,708.37","4,800,000.00","65,501,348.30","777,840.00","777,840.00","777,840.00","42,100,023.07","1,378,500.00","1,378,500.00","1,378,500.00","1,378,500.00",
取得投资收益收到的现金,,,,,,,,,"23,515.07",,"294,197.31","915,308.23","1,701,730.36","626,958.06","815,314.22","1,326,652.42","2,593,767.03","475,255.10","1,201,350.45","1,201,350.45","1,247,114.83",,"980,375.01","1,020,306.01","1,135,625.13","1,862,280.78"
筹资活动现金流出小计,"50,992,367.50","280,000.00","21,890,400.00",,,,"250,189,826.51","250,569,826.51","252,635,819.02",,,"13,614,974.64","14,488,426.35","60,000,000.00","87,400,714.86","123,362,357.69","258,974,650.75","777,840.00","3,543,715.00","19,178,865.04","166,782,959.46","354,351,959.73","394,399,949.63","453,144,674.18","625,614,206.09","210,430,459.41"
处置固定资产、无形资产和其他长期资产收回的现金净额,,,"33,681.00","61,284.62","69,814.62",,"1,300.00","15,400.00","14,437.26",,,,"25,643.34",,,,"122,199.14",,"168,000.00","168,000.00","167,769.42","35,000.00","202,003.32","50,595.73","187,823.36",
筹资活动产生的现金流量净额,"-15,992,367.50","-280,000.00","-21,890,400.00",,,"275,590,177.11","252,840,316.92","252,460,316.92","250,394,324.41","74,973,600.00","74,973,600.00","61,358,625.36","68,213,173.65","-60,000,000.00","292,849,127.74","326,887,484.91","191,275,191.85","179,222,160.00","291,456,285.00","416,821,134.96","1,171,188,023.61","-79,351,959.73","-89,399,949.63","-148,144,674.18","-145,614,206.09","9,569,540.59"
处置子公司及其他营业单位收到的现金净额,,,,,,,,,,,,,,,,,,,,,,,,,,"10,000,000.00"
四、汇率变动对现金的影响,,,,,,,,,,,,"408,265.98",,,,,,,,,,,,,,
收到其他与投资活动有关的现金,,"18,397.03",,,,"1,067,667.99",,"4,911,430.75","2,000,000.00","1,902,786.86","168,930,000.00","437,430,000.00","689,260,000.00","307,000,000.00","377,000,000.00","593,000,000.00","967,000,000.00","158,000,000.00","218,000,000.00","218,720,000.00","220,000,000.00","4,259,273.85","35,000,000.00","40,000,000.00","57,000,000.00",
四(2)、其他原因对现金的影响,,,,,,,,,,,,,,,,,,,,,,,,,,
投资活动现金流入小计,,"18,397.03","33,681.00","5,561,284.62","5,569,814.62","1,067,667.99","1,300.00","4,926,830.75","2,037,952.33","1,902,786.86","169,224,197.31","438,345,308.23","690,987,373.70","307,626,958.06","377,815,314.22","594,326,652.42","969,715,966.17","158,475,255.10","219,369,350.45","220,089,350.45","221,414,884.25","4,294,273.85","36,182,378.33","41,070,901.74","58,323,448.49","13,955,147.16"
五、现金及现金等价物净增加额,"67,784,657.06","122,616,033.42","39,857,042.91","-85,507,442.70","32,060,184.15","128,237,548.74","-72,704,721.20","-133,453,497.33","-130,076,786.50","72,204,997.16","60,765,979.36","-10,870,405.68","14,894,497.02","-11,064,100.79","83,135,753.92","247,656,293.96","379,477,820.37","-29,030,651.19","-200,046,633.02","-152,771,403.01","455,923,866.06","-315,104,457.69","-269,287,516.37","-232,638,249.22","-149,714,449.58","24,065,114.90"
购建固定资产、无形资产和其他长期资产支付的现金,"3,697,819.28","2,013,822.00","7,515,394.41","2,084,885.92","5,232,788.32","529,056.85","5,544,918.65","3,493,364.16","8,312,726.08","625,021.66","2,023,312.59","2,501,660.62","8,394,355.39","6,788,642.34","10,166,560.17","13,218,674.56","18,070,471.50","223,619.15","4,755,155.31","5,813,604.54","21,334,871.97","980,748.28","9,595,634.24","18,630,432.68","27,020,522.17","4,206,759.22"
期初现金及现金等价物余额,"76,480,136.06","144,264,793.12","266,880,826.54","306,737,869.45","306,737,869.45","338,798,053.60","338,798,053.60","338,798,053.60","338,798,053.60","208,721,267.10","208,721,267.10","208,721,267.10","208,721,267.10","256,462,225.06","223,615,764.12","223,615,764.12","223,615,764.12","603,093,584.49","603,093,584.49","603,093,584.49","603,093,584.49","1,059,017,450.55","1,059,017,450.55","1,059,017,450.55","1,059,017,450.55","908,338,361.17"
投资支付的现金,"6,000,000.00",,,,,,,,,,,,"7,500,000.00","50,000,000.00","100,000,000.00","100,000,000.00","106,000,000.00",,,,"16,500,000.00",,,,"10,200,000.00","5,732,500.00"
期末现金及现金等价物余额,"144,264,793.12","266,880,826.54","306,737,869.45","221,230,426.75","338,798,053.60","467,035,602.34","266,093,332.40","205,344,556.27","208,721,267.10","280,926,264.26","269,487,246.46","197,850,861.42","223,615,764.12","245,398,124.27","306,751,518.04","471,272,058.08","603,093,584.49","574,062,933.30","403,046,951.47","450,322,181.48","1,059,017,450.55","743,912,992.86","789,729,934.18","826,379,201.33","909,303,000.97","932,403,476.07"
