科目,2010年度,2011年度,2012年1-9月,2012年度,2013年1-6月,2013年1-9月,2013年度,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月
财务费用,"496,521.11","-496,691.68","-3,867,716.35","-4,254,196.94","-837,891.42","-884,911.06","-2,853,631.30","-2,586,264.45","-3,017,123.61","-4,829,253.01","-2,091,083.48","-6,313,364.29","-13,605,409.20","-6,293,665.39","-351,994.39","-1,873,826.37","-3,740,961.36","-163,122.00","741,854.01","2,100,713.53","2,878,516.76","1,864,606.18","-1,817,693.91"
三、利润总额,"128,618,524.48","173,068,654.93","79,474,332.39","108,476,993.49","50,377,043.66","66,739,061.98","91,502,284.30","43,730,825.44","60,285,364.85","75,704,404.42","21,433,397.68","44,158,140.16","69,533,905.90","87,550,112.72","14,925,566.20","37,827,620.39","93,626,793.51","17,589,741.05","48,954,680.81","86,046,376.58","124,782,989.13","28,095,653.52","74,776,250.43"
资产减值损失,"-856,519.50","101,014.27","2,445,426.72","5,917,344.42","2,819,987.10","4,270,476.35","4,697,798.62","3,539,762.43","1,988,351.67","4,362,153.25","3,070,112.58","4,687,074.86","6,145,217.97","9,514,687.91","1,447,111.25","4,512,218.72","1,763,680.28","4,445,395.67","6,977,865.85","5,390,644.68","484,750.24","4,210,244.11","9,440,488.51"
减:所得税,"22,623,735.74","27,030,323.16","11,758,207.26","15,460,342.73","7,841,231.92","11,673,725.12","13,261,607.15","9,641,112.70","13,766,866.00","11,021,832.20","2,609,605.46","5,776,134.97","9,158,613.13","15,301,234.23","2,112,904.41","5,235,738.11","12,689,276.43","2,673,152.48","6,961,708.41","10,732,928.12","16,982,119.62","4,026,283.93","16,305,433.15"
加:公允价值变动净收益,,,,,,,,,,,,"-601,678.40","-75,651.73","-174,674.00","12,215.80","-148,761.11","-545,024.00","264,720.00","209,504.00","-425,477.00","719,698.00","-51,058.30","-532,641.54"
加:影响净利润的其他科目,,,,,,,,,,,,,,,,,,,,,,,
投资收益,"1,192,421.44",,,,,,,,,,,,,"9,456,162.39","2,146,170.63","3,972,201.29","6,680,680.34","1,239,740.89","4,449,980.52","8,657,392.94","13,235,400.65","1,216,814.64","6,388,530.45"
四、净利润,"105,994,788.74","146,038,331.77","67,716,125.13","93,016,650.76","42,535,811.74","55,065,336.86","78,240,677.15","34,089,712.74","46,518,498.85","64,682,572.22","18,823,792.22","38,382,005.19","60,375,292.77","72,248,878.49","12,812,661.79","32,591,882.28","80,937,517.08","14,916,588.57","41,992,972.40","75,313,448.46","107,800,869.51","24,069,369.59","58,470,817.28"
其中:对联营企业和合营企业的投资权益,,,,,,,,,,,,,,"425,709.31",,"608,398.51","1,169,448.83",,"640,175.03","1,024,961.36","1,514,594.13",,"2,386,021.93"
归属于母公司所有者的净利润,"90,316,482.30","146,038,331.77","67,716,125.13","93,016,650.76","42,535,811.74","55,065,336.86","78,240,677.15","34,089,712.74","46,518,498.85","64,682,572.22","18,823,792.22","38,382,005.19","60,375,292.77","72,248,878.49","12,812,661.79","32,591,882.28","80,937,517.08","14,916,588.57","41,992,972.40","75,313,448.46","107,800,869.51","24,069,369.59","58,470,817.28"
影响营业利润的其他科目,,,,,,,,,,,,,,,,,,,,,,,
少数股东损益,"15,678,306.44",,,,,,,,,,,,,,,,,,,,,,
