科目,2013年度,2014年度,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月
支付其他与经营活动有关的现金,"251,440,302.54","219,455,502.16","206,063,508.59","44,619,706.59","89,310,162.14","137,203,357.86","271,760,536.82","63,671,771.14","130,898,054.96","196,757,403.38","285,128,536.60","73,434,272.58","217,384,510.56"
筹资活动现金流入小计,"760,000,000.00","1,238,980,000.00","1,352,000,000.00","150,000,000.00","500,000,000.00","4,787,759,600.00","4,787,759,600.00",,"1,096,520.75","201,370,753.39","202,016,463.35","150,500,618.47","501,328,808.22"
经营活动现金流出小计,"5,679,596,785.37","5,464,393,698.12","4,646,209,297.83","850,112,423.68","1,858,733,276.18","2,980,142,894.35","4,680,278,936.09","1,914,890,420.21","2,988,671,881.81","4,007,403,377.13","5,255,979,338.75","1,379,701,334.97","2,698,979,594.71"
偿还债务支付的现金,"838,411,764.75","456,655,000.00","914,310,000.00","150,000,000.00","579,155,000.00","1,729,735,000.00","1,736,390,000.00",,"351,725,000.00","670,525,000.00","670,525,000.00","223,100,000.00","622,582,549.76"
经营活动产生的现金流量净额,"1,551,337,560.94","1,422,465,550.55","813,879,791.37","290,603,770.98","588,051,809.59","803,736,624.10","350,458,717.49","-509,790,342.45","-101,787,454.56","477,245,560.45","578,392,763.01","24,340,297.26","138,285,688.30"
分配股利、利润或偿还利息支付的现金,"480,384,820.40","1,066,659,548.49","1,031,973,168.05","23,551,123.84","51,026,717.33","74,979,621.03","89,540,499.58","12,858,405.62","28,160,145.46","359,942,638.27","370,448,222.02","10,833,946.88","21,729,138.86"
收回投资收到的现金,,,,"122,000,000.00","680,000,000.00","1,505,950,000.00","2,290,540,000.00","1,482,086,744.47","4,337,100,000.00","7,453,860,000.00","10,168,780,000.00","3,925,840,000.00","6,725,410,000.00"
支付其他与筹资活动有关的现金,,,,,,"2,731,132.56","10,795,359.16","303,115.22","353,213.07","342,209.18","408,342.51",,
取得投资收益收到的现金,"4,916,056.81",,,"89,787.67","1,483,723.28","2,490,876.73","8,904,074.00","5,702,022.77","47,207,375.08","66,893,122.18","96,062,267.22","34,411,997.60","62,934,926.91"
筹资活动现金流出小计,"1,318,796,585.15","1,523,314,548.49","1,946,283,168.05","173,551,123.84","630,181,717.33","1,807,445,753.59","1,836,725,858.74","13,161,520.84","380,238,358.53","1,030,809,847.45","1,041,381,564.53","233,933,946.88","644,311,688.62"
处置固定资产、无形资产和其他长期资产收回的现金净额,"180,468.00","9,470.00","38,845.00",,"171,981.71","35,341,981.71","44,884,281.71",,"61,003,213.52","71,252,296.81","71,249,132.63",,
筹资活动产生的现金流量净额,"-558,796,585.15","-284,334,548.49","-594,283,168.05","-23,551,123.84","-130,181,717.33","2,980,313,846.41","2,951,033,741.26","-13,161,520.84","-379,141,837.78","-829,439,094.06","-839,365,101.18","-83,433,328.41","-142,982,880.40"
处置子公司及其他营业单位收到的现金净额,,,,,,,,,,,,,
四、汇率变动对现金的影响,"-34,732,341.38","15,614,465.46","106,264,854.24","1,110,327.22","29,407,723.77","37,617,113.98","85,561,096.85","-3,793,831.43","-24,117,106.86","-42,348,723.70","-61,385,231.83","-29,840,926.34","-38,427,930.22"
收到其他与投资活动有关的现金,,,,,,,"212,226,200.00","574,569,395.61","924,685,929.00","1,253,565,545.13","1,242,068,740.00",,"261,640,160.00"
四(2)、其他原因对现金的影响,,,,,,,,,,,,,
投资活动现金流入小计,"5,096,524.81","9,470.00","38,845.00","122,089,787.67","681,655,704.99","1,543,782,858.44","2,556,554,555.71","2,062,358,162.85","5,369,996,517.60","8,845,570,964.12","11,578,160,139.85","3,960,251,997.60","7,049,985,086.91"
五、现金及现金等价物净增加额,"853,202,313.49","781,677,006.46","-469,030,729.81","-847,132,017.33","-705,852,250.15","1,733,963,501.81","263,743,770.00","-169,554,220.88","-278,898,623.33","-118,403,605.72","204,422,780.60","-268,977,033.04","-165,029,996.36"
购建固定资产、无形资产和其他长期资产支付的现金,"109,702,845.73","372,077,931.06","794,931,052.37","61,059,779.36","65,460,771.17","97,766,941.12","139,534,341.31","108,662,100.82","182,211,553.53","227,280,124.33","341,790,691.45","80,555,073.15","362,779,490.05"
期初现金及现金等价物余额,"868,476,531.39","1,721,678,844.88","2,503,355,851.34","2,034,325,121.53","2,034,325,121.53","2,034,325,121.53","2,034,325,121.53","2,307,039,441.10","2,298,068,891.53","2,298,068,891.53","2,298,068,891.53","2,502,491,672.13","2,502,491,672.13"
投资支付的现金,,,,"1,176,325,000.00","1,809,325,000.00","3,533,720,000.00","5,538,720,000.00","1,593,607,399.99","4,958,740,000.00","8,326,780,000.00","10,700,409,097.80","4,059,740,000.00","6,612,310,000.00"
期末现金及现金等价物余额,"1,721,678,844.88","2,503,355,851.34","2,034,325,121.53","1,187,193,104.20","1,328,472,871.38","3,768,288,623.34","2,298,068,891.53","2,137,485,220.22","2,019,170,268.20","2,179,665,285.81","2,502,491,672.13","2,233,514,639.09","2,337,461,675.77"
