科目,2010年度,2011年度,2012年度,2013年1-6月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月
支付的各项税费,"44,079,525.77","37,133,855.83","48,396,814.37","34,270,087.90","75,646,654.97","16,012,963.60","49,850,747.39","78,391,683.66","100,541,045.37","14,776,901.66","48,276,540.91","69,216,787.61","92,005,306.43","18,488,188.22","42,540,389.46","61,402,200.00","82,957,648.81","22,427,660.46","42,128,869.00","62,586,377.26","78,989,886.16","19,621,640.91","43,085,221.53"
收到其他与筹资活动有关的现金,"5,090,000.00","5,070,000.00","270,000.00","60,000.00","8,059,083.73","12,880,000.00","24,364,891.93","26,922,758.83","33,949,883.43","24,783,691.48","570,054.40","957,563.81","59,305,626.57","97,154.15","1,024,122.32","1,358,742.28","1,646,764.20","60,424.84","395,548.68","1,055,028.78","9,823,321.64","151,264.80","1,125,482.28"
支付其他与经营活动有关的现金,"55,458,887.11","45,760,140.06","45,158,987.31","21,641,018.78","50,970,176.89","17,904,104.72","34,495,416.59","51,355,690.22","70,450,106.44","15,667,969.13","30,559,210.04","44,991,978.95","69,640,161.84","19,819,419.93","39,556,350.00","56,965,038.42","78,165,087.99","19,238,599.09","37,786,795.05","55,241,002.30","66,192,071.37","25,759,527.79","43,704,098.05"
筹资活动现金流入小计,"71,990,000.00","96,570,000.00","40,270,000.00","60,000.00","38,059,083.73","232,802,560.00","244,287,451.93","282,633,818.83","289,660,943.43","24,783,691.48","570,054.40","85,032,281.81","143,380,344.57","97,154.15","1,024,122.32","1,358,742.28","1,646,764.20","60,424.84","395,548.68","1,055,028.78","257,838,814.97","151,264.80","-48,877,954.77"
经营活动现金流出小计,"404,102,591.29","516,005,826.53","615,827,319.59","346,246,922.33","723,601,146.26","199,077,656.82","444,415,860.26","657,216,531.26","867,577,712.62","195,296,268.62","374,993,283.33","544,765,026.03","720,868,937.20","210,489,424.22","417,761,313.64","609,094,453.65","848,695,612.89","246,635,598.91","463,161,396.98","673,217,234.40","892,870,019.41","257,645,316.90","510,788,476.82"
偿还债务支付的现金,"49,900,000.00","71,800,000.00","40,000,000.00","20,000,000.00","20,000,000.00","30,000,000.00","30,000,000.00","30,000,000.00","30,000,000.00",,,,,,,,"1,095,930.00",,,"635,580.00","635,580.00",,
经营活动产生的现金流量净额,"67,273,239.49","34,495,279.27","34,204,798.73","33,584,501.23","123,400,174.22","7,853,304.97","16,720,479.13","28,494,272.55","100,675,943.31","11,012,824.94","68,616,792.18","111,389,902.04","117,479,679.23","26,668,524.24","23,397,188.00","101,377,208.02","123,829,569.88","-16,107,102.53","-6,864,093.88","68,578,791.46","128,843,112.13","-9,676,932.75","-80,697,016.21"
分配股利、利润或偿还利息支付的现金,"6,292,442.65","9,793,717.03","605,342.23","97,200.00","756,000.00","372,600.00","26,713,968.93","26,713,968.93","26,713,968.93",,"30,155,102.50","30,155,102.50","30,398,576.50",,"36,508,837.60","36,508,837.60","37,012,111.60",,"44,148,878.17","45,243,577.57","45,243,577.57",,"60,506,751.41"
收回投资收到的现金,,,,,,,,,,,,,,,,,,,,,,,
支付其他与筹资活动有关的现金,,,,"7,015,142.21","8,679,253.34","17,828,086.85","18,637,387.49","3,376,202.46","1,132,250.00","8,222,741.22","8,503,250.26","66,345,226.38","1,187,966.26","14,358.02","1,027,444.02","1,332,528.92","1,060,444.32","8,320.62","141,830.02","141,915.62","17,011,911.20",,"328,421.26"
取得投资收益收到的现金,,,,,,,,,,,,,,,,,,,,,,,"3,098,197.25"
筹资活动现金流出小计,"56,192,442.65","81,593,717.03","40,605,342.23","27,112,342.21","29,435,253.34","48,200,686.85","75,351,356.42","60,090,171.39","57,846,218.93","8,222,741.22","38,658,352.76","96,500,328.88","31,586,542.76","14,358.02","37,536,281.62","37,841,366.52","39,168,485.92","8,320.62","44,290,708.19","46,021,073.19","62,891,068.77",,"60,835,172.67"
处置固定资产、无形资产和其他长期资产收回的现金净额,"3,550.00","30,136.00","5,000.00",,"139,025.00","57,000.00","77,000.00","327,500.00","369,500.00","10,000.00","68,500.00","68,500.00","68,500.00",,"10,000.00","14,197,132.00","14,388,028.95",,"1,738,000.00","4,855,010.00","5,054,214.00",,
筹资活动产生的现金流量净额,"15,797,557.35","14,976,282.97","-335,342.23","-27,052,342.21","8,623,830.39","184,601,873.15","168,936,095.51","222,543,647.44","231,814,724.50","16,560,950.26","-38,088,298.36","-11,468,047.07","111,793,801.81","82,796.13","-36,512,159.30","-36,482,624.24","-37,521,721.72","52,104.22","-43,895,159.51","-44,966,044.41","194,947,746.20","151,264.80","-109,713,127.44"
处置子公司及其他营业单位收到的现金净额,,,,,,,,,,,,,,,,,,,,,,,
四、汇率变动对现金的影响,"1,134,658.59","196,117.27","60,595.72","353,743.42","1,085,898.79","47,574.34","-508,256.02","-166,620.60","-261,815.42","-74,666.68","-632,216.70","-1,238,625.45","-1,426,839.46","-409,465.86","-724,187.52","-897,461.70","-1,143,722.49","-65,670.48","-293,689.24","-393,706.17","-463,085.93","-66,942.11","-144,902.21"
收到其他与投资活动有关的现金,,,,,,,,,,,,,,,,,,,,,,,"274,000,000.00"
四(2)、其他原因对现金的影响,,,,,,,,,,,,,,,,,,,,,,,
投资活动现金流入小计,"3,550.00","30,136.00","5,000.00",,"139,025.00","57,000.00","77,000.00","327,500.00","369,500.00","10,000.00","68,500.00","68,500.00","68,500.00",,"10,000.00","14,197,132.00","14,388,028.95",,"1,738,000.00","4,855,010.00","5,054,214.00",,"277,098,197.25"
五、现金及现金等价物净增加额,"25,322,324.24","11,683,900.97","17,317,489.09","-22,741,300.79","-16,891,123.80","166,603,393.44","115,358,867.93","120,769,567.35","193,229,171.61","-2,584,198.91","-21,384,623.73","3,588,297.84","57,619,544.98","17,390,438.28","-38,393,959.11","16,114,928.50","19,364,646.64","-45,738,045.85","-100,628,392.81","-39,611,961.35","221,552,752.81","-400,623,752.21","-497,852,628.71"
购建固定资产、无形资产和其他长期资产支付的现金,"58,886,681.19","38,013,914.54","16,617,563.13","29,627,203.23","150,140,052.20","25,956,359.02","69,866,450.69","130,429,232.04","139,369,180.78","30,093,307.43","51,349,400.85","95,163,431.68","170,295,596.60","8,951,416.23","24,564,800.29","62,079,325.58","80,187,507.98","29,617,377.06","51,313,450.18","67,686,012.23","89,829,233.59","16,031,142.15","24,395,780.10"
期初现金及现金等价物余额,"30,984,775.23","56,307,099.47","67,991,000.44","85,308,489.53","85,308,489.53","77,096,619.07","68,417,365.73","68,417,365.73","68,417,365.73","261,646,537.34","261,646,537.34","261,518,787.34","261,646,537.34","319,266,082.32","319,266,082.32","319,266,082.32","319,266,082.32","338,630,728.96","338,630,728.96","338,630,728.96","338,630,728.96","560,183,481.77","560,183,481.77"
投资支付的现金,,,,,,,,,,,,,,,,,,,,,,,
期末现金及现金等价物余额,"56,307,099.47","67,991,000.44","85,308,489.53","62,567,188.74","68,417,365.73","243,700,012.51","183,776,233.66","189,186,933.08","261,646,537.34","259,062,338.43","240,261,913.61","265,107,085.18","319,266,082.32","336,656,520.60","280,872,123.21","335,381,010.82","338,630,728.96","292,892,683.11","238,002,336.15","299,018,767.61","560,183,481.77","159,559,729.56","62,330,853.06"
