科目,2008年度,2009年度,2010年度,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月
偿还债务支付的现金,,,"45,000,000.00",,,,,,,,,,"1,675,000.00",,,,,"80,000,000.00","197,060,000.00","219,060,000.00","357,940,000.00","330,000,000.00","371,390,000.00","471,390,000.00","513,260,000.00","21,562,308.31","100,423,577.49","116,297,110.08","164,067,110.08","197,534,227.75"
经营活动产生的现金流量净额,"22,909,391.27","48,647,749.30","35,249,053.43","-28,722,630.47","-9,975,427.84","12,956,936.56","-90,864,933.67","-161,930,866.14","-190,262,056.19","-86,303,922.22","-65,053,297.73","-155,381,113.60","-108,804,956.51","-102,744,198.63","-104,031,624.17","-86,362,011.98","-58,133,121.34","-148,520,370.44","-2,748,626.60","-289,145,567.99","99,008,332.03","-102,774,426.82","-13,948,693.35","159,938,292.41","191,701,253.43","-70,849,748.66","-194,928,572.81","-87,390,806.97","-254,497,065.48","-180,678,506.85"
分配股利、利润或偿还利息支付的现金,,"185,260.00","1,474,133.33",,,,,,,,"39,604,912.60","39,604,912.60","39,644,636.48",,"28,256,249.70","31,014,900.00","34,371,010.06","9,426,233.67","71,313,123.01","74,027,662.88","76,406,340.33","28,602,851.56","69,669,976.13","75,159,097.14","80,050,604.85","4,462,122.59","40,475,176.83","47,006,142.15","52,306,768.88","8,284,980.96"
收回投资收到的现金,,,,"594,453.33","594,453.33",,,,,,,,,"13,900,000.00","187,200,000.00",,,,,,"38,945,866.43",,"38,945,866.43","38,945,866.43","38,945,866.43",,,,"7,500,000.00","12,500,000.00"
支付其他与筹资活动有关的现金,,,,,,,,,"6,643,265.00",,"184,505.63","184,505.63","652,850.00",,"1,190,000.00",,,"1,221,000.00","84,298.11","84,298.11","134,495,801.36",,,,,,,"506,759.09","10,182,129.43","6,830,245.66"
取得投资收益收到的现金,,,,,,,,,,,,,,"86,009.96","8,011,552.25",,,,"4,516,875.00","4,516,875.00","4,516,875.00",,"5,000,000.00","5,000,000.00","5,000,000.00",,,,"104,860.27","266,601.37"
筹资活动现金流出小计,,"185,260.00","46,474,133.33",,,,,,"6,643,265.00",,"39,789,418.23","39,789,418.23","41,972,486.48",,"29,446,249.70","31,014,900.00","34,371,010.06","90,647,233.67","268,457,421.12","293,171,960.99","568,842,141.69","358,602,851.56","441,059,976.13","546,549,097.14","593,310,604.85","26,024,430.90","140,898,754.32","163,810,011.32","226,556,008.39","212,649,454.37"
处置固定资产、无形资产和其他长期资产收回的现金净额,,"700,000.00","33,574,730.13","36,000.00","36,000.00",,,,"210,000.00","20,000.00","33,000.00","45,000.00","315,000.00",,,,"70,000.00",,,,"1,500.00",,"2,213,140.00","2,213,140.00","2,249,720.00","40,000.00","858,000.00","860,035.00","42,835.00","28,000.00"
筹资活动产生的现金流量净额,,"34,814,740.00","112,245,866.67",,,"986,138,674.00","986,138,674.00","986,138,674.00","979,495,409.00",,"-39,789,418.23","-39,789,418.23","-41,972,486.48",,"50,553,750.30","48,985,100.00","245,628,989.94","609,361,540.13","1,274,962,578.88","1,380,337,304.81","1,265,601,131.77","-358,546,396.99","-441,059,976.13","-540,639,597.14","-579,271,104.85","90,162,789.56","104,705,953.99","4,663,177,144.36","4,743,319,412.21","-12,649,454.37"
处置子公司及其他营业单位收到的现金净额,,,,,,,,,,,,,,,,,,,,,"18,016,568.80",,,,,,,,,
四、汇率变动对现金的影响,,,,"-780,782.45","-2,158,837.64","863,828.90","-821,312.61","-10,262.82","302,590.92","5,167,529.16","5,136,188.17","-287,349.68","-299,735.66","-24,690.25","66,575.56","-129,025.13","-309,636.45","-245,683.92","253,440.68","25,084.46","-543,868.22",-474.84,"244,802.79","326,673.19","82,706.13","-108,494.80","4,456,408.79","4,618,961.25","3,176,513.00","-503,358.50"
收到其他与投资活动有关的现金,"51,184,589.81","57,827,584.59","51,661,950.73",,,,,,,,"512,468,340.30","512,468,340.30","513,104,483.17",,,"203,581,251.14","165,276,165.48",,,,,,,,,,,,,
四(2)、其他原因对现金的影响,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
投资活动现金流入小计,"51,184,589.81","58,527,584.59","85,236,680.86","630,453.33","630,453.33",,,,"210,000.00","20,000.00","512,501,340.30","512,513,340.30","513,419,483.17","13,986,009.96","195,211,552.25","203,581,251.14","165,346,165.48",,"4,516,875.00","4,516,875.00","61,480,810.23",,"46,159,006.43","46,159,006.43","46,195,586.43","40,000.00","858,000.00","860,035.00","7,647,695.27","12,794,601.37"
五、现金及现金等价物净增加额,"7,302,223.47","38,454,634.55","124,915,888.97","-81,709,436.92","-92,205,489.24","966,279,368.19","827,044,301.31","706,850,105.86","163,044,652.79","-90,872,794.04","394,615,434.54","268,806,480.18","92,252,713.03","-139,289,855.72","41,919,573.90","-2,514,413.58","3,101,734.81","-67,828,705.36","517,421,695.99","281,275,353.91","539,656,953.65","-512,560,505.00","-541,009,111.18","-551,840,794.77","-639,676,584.63","-44,388,845.22","-185,373,286.57","4,368,958,549.69","4,065,149,130.19","-557,908,611.36"
购建固定资产、无形资产和其他长期资产支付的现金,"25,002,016.81","40,064,947.06","78,851,998.22","52,836,477.33","80,701,677.09","33,680,071.27","67,408,126.41","114,287,439.18","129,236,937.16","9,756,400.98","18,179,377.97","42,185,121.48","110,089,591.49","28,706,976.80","65,180,680.04","131,889,727.61","152,938,162.82","24,326,691.13","255,465,071.97","310,360,842.37","378,791,952.16","51,239,206.35","132,404,250.92","217,625,169.66","298,385,025.77","63,633,391.32","100,465,076.54","212,306,783.95","370,497,424.81","366,871,893.01"
期初现金及现金等价物余额,"1,932,867.09","9,235,090.56","47,689,725.11","172,605,614.08","172,605,614.08","80,400,124.84","80,400,124.84","80,400,124.84","80,400,124.84","243,444,777.63","243,444,777.63","243,444,777.63","243,444,777.63","335,697,490.66","335,697,490.66","335,697,490.66","335,697,490.66","353,139,307.74","352,659,135.59","352,659,135.59","352,659,135.59","892,316,089.24","892,316,089.24","892,316,089.24","892,316,089.24","252,639,504.61","252,639,504.61","252,639,504.61","252,639,504.61","4,317,788,634.80"
投资支付的现金,,,"599,400.00",,,,,"3,060,000.00",,,,,,"21,800,000.00","34,700,000.00",,"196,492,500.00","504,097,500.00","504,097,500.00","504,097,500.00","507,097,500.00",,,,,,,,"64,000,000.00","10,000,000.00"
期末现金及现金等价物余额,"9,235,090.56","47,689,725.11","172,605,614.08","90,896,177.16","80,400,124.84","1,046,679,493.03","907,444,426.15","787,250,230.70","243,444,777.63","152,571,983.59","638,060,212.17","512,251,257.81","335,697,490.66","196,407,634.94","377,617,064.56","333,183,077.08","338,799,225.47","285,310,602.38","870,080,831.58","633,934,489.50","892,316,089.24","379,755,584.24","351,306,978.06","340,475,294.47","252,639,504.61","208,250,659.39","67,266,218.04","4,621,598,054.30","4,317,788,634.80","3,759,880,023.44"
