科目,2007年度,2008年度,2009年1-6月,2009年度,2010年1-3月,2010年1-6月,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月,2018年1-9月,2018年度,2019年1-3月
筹资活动产生的现金流量净额,"-1,947,833,980.41","2,198,772,448.48","979,029,155.00","10,661,704,685.44","-3,830,394,211.21","-4,199,841,524.32","-4,386,149,321.37","-5,703,136,885.16","83,114,668.30","81,919,592.17","-943,194,040.06","-871,335,039.39","112,498,296.77","4,067,270,929.32","5,948,049,863.47","1,273,653,966.48","13,883,742,907.78","13,748,699,102.07","17,233,129,300.45","15,701,957,323.05","1,469,259,514.43","8,580,967,742.14","8,465,997,475.21","17,395,618,784.83","32,704,786,956.09","70,169,667,387.10","56,401,269,054.58","50,954,008,632.34","-18,040,211,471.21","-27,787,391,789.40","-26,247,840,953.00","-6,281,751,140.62","-2,358,993,692.92","-7,047,673,975.34","12,383,371,170.76","36,659,730,619.94","-7,761,478,579.03","-9,414,941,469.88","-19,755,607,668.17","-21,082,664,990.59","-4,531,709,223.96"
支付给职工以及为职工支付的现金,"814,272,166.96","954,815,114.28","655,818,856.75","1,382,346,799.46","614,929,625.44","895,294,673.80","1,095,627,643.11","1,428,513,548.84","614,928,279.64","847,649,693.25","1,184,836,736.41","1,646,112,169.43","397,822,016.54","712,445,126.87","1,055,465,312.23","1,398,213,104.57","360,714,318.71","969,025,862.38","1,320,910,629.19","1,740,202,182.35","368,885,125.73","1,098,383,249.22","1,512,350,833.05","2,007,473,459.80","637,704,666.97","2,366,068,988.33","3,124,136,538.47","3,908,101,330.09","1,041,764,812.27","3,121,458,726.27","4,810,594,079.87","5,712,626,673.67","883,690,110.71","1,747,282,919.62","3,635,061,795.52","4,452,123,703.95","1,039,257,778.36","1,906,171,686.64","3,880,013,773.49","4,796,499,619.94","1,171,034,586.79"
四、汇率变动对现金的影响,"-96,031,933.93","-254,254,053.25","-3,841,654.22","414,941.85","239,744.11","-43,425,055.52","-96,431,872.48","-160,198,566.30","-919,728.40","-89,574,581.57","-200,634,386.91","-216,131,870.98","-364,168.67","21,771,272.59","21,890,021.37","3,918.12","-17,869,814.01","-78,676,401.17","-126,435,278.32","-135,327,797.38","37,322,954.14","37,990,959.81","37,367,176.57","15,178,357.19","24,762,886.44","-3,384,828.72","324,624,545.96","426,153,966.03","-38,086,548.05","135,305,371.63","216,893,558.35","732,126,716.64","-79,937,538.66","-272,285,386.00","-527,612,785.15","-670,864,502.00","-354,194,467.46","86,622,814.42","475,494,872.86","431,199,743.51","-196,953,237.63"
支付的各项税费,"1,520,362,845.83","1,377,437,861.53","692,264,652.90","1,342,233,582.68","361,803,827.79","787,836,249.00","919,943,616.10","1,175,284,348.58","409,978,419.57","829,724,431.51","975,016,942.53","1,126,477,994.53","20,008,409.63","292,728,319.87","481,781,243.13","553,049,164.35","166,778,636.79","338,673,094.24","486,295,946.95","695,384,820.51","226,105,941.92","605,407,764.72","803,598,426.90","1,367,003,420.73","278,927,720.33","1,623,965,107.73","3,736,047,462.18","4,456,477,916.29","779,601,245.01","2,132,445,318.32","2,465,039,710.99","3,087,365,523.93","319,598,620.58","1,040,638,618.75","1,344,932,750.43","1,875,851,119.58","624,725,306.23","1,156,499,786.59","1,415,693,692.59","1,666,339,273.87","1,027,093,636.13"
四(2)、其他原因对现金的影响,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
支付其他与经营活动有关的现金,"4,191,655,917.08","1,527,970,813.18","2,154,319,946.11","2,336,741,697.74","1,264,300,495.52","5,382,931,092.17","21,189,834,630.04","8,980,875,562.97","13,397,630,754.38","22,313,097,802.32","30,267,487,273.73","29,024,868,907.57","2,753,188,739.96","8,260,034,279.88","11,541,739,162.06","10,896,538,781.92","15,559,598,065.73","13,111,711,382.89","28,150,528,892.93","20,004,604,227.21","3,313,342,682.35","13,673,543,803.06","29,314,733,834.87","65,478,701,321.59","40,080,561,560.38","76,016,815,143.87","51,019,280,880.97","65,007,773,305.81","18,725,134,083.20","20,429,174,172.10","28,873,779,125.19","28,725,678,008.05","6,426,356,150.18","9,567,718,752.46","21,240,164,478.43","25,594,937,803.35","1,823,542,018.54","1,546,966,564.45","2,542,327,991.61","3,339,690,167.95","1,145,085,406.82"
五、现金及现金等价物净增加额,"56,727,778,095.85","-38,674,649,825.33","7,572,180,121.39","34,825,739,119.08","3,002,832,068.68","-8,246,748,280.07","-20,838,044,064.28","-6,526,118,372.22","-10,353,960,864.35","-19,176,348,683.31","-24,022,192,823.95","-26,926,859,105.10","2,444,048,639.76","-21,870,255.09","-3,127,475,576.64","-2,107,926,233.16","4,493,659,313.13","3,806,062,638.55","4,739,797,428.89","-3,283,020,581.77","4,859,777,890.09","8,762,323,795.75","15,822,657,608.16","36,728,527,674.59","16,696,574,345.21","85,814,787,350.25","60,727,892,322.64","32,786,934,765.77","-7,800,687,072.55","-15,085,765,503.42","-19,770,722,272.87","-19,724,260,673.54","-4,606,808,139.35","-6,554,927,049.32","-10,535,692,580.90","-14,196,931,475.28","8,739,620,341.24","5,204,914,687.54","1,461,005,864.84","-4,753,786,561.84","23,908,208,411.44"
经营活动现金流出小计,"7,830,840,026.93","46,832,096,097.75","4,708,662,149.74","19,355,680,234.91","2,700,591,480.68","9,143,674,764.50","24,251,581,093.68","13,162,624,026.66","18,998,779,553.20","24,709,925,253.47","33,491,893,665.19","33,206,930,295.83","3,504,867,199.20","9,933,355,959.25","14,055,469,339.45","12,847,801,050.84","16,400,409,373.72","15,084,759,481.51","30,963,281,128.61","35,233,310,440.67","4,170,851,000.76","15,976,549,727.76","32,689,539,837.67","70,849,979,433.93","42,302,555,510.56","83,277,155,972.07","62,576,000,220.63","79,277,435,745.56","21,407,168,202.68","27,596,158,853.26","43,348,606,502.19","69,050,992,705.26","9,473,739,567.92","14,171,031,302.82","38,100,084,415.64","60,712,152,665.86","13,238,482,764.19","15,026,187,422.76","20,457,634,055.22","32,782,708,789.65","13,924,930,024.14"
期初现金及现金等价物余额,"16,289,164,097.03","73,016,942,192.88","34,342,292,367.55","34,342,292,367.55","69,168,031,486.63","69,168,031,486.63","69,168,031,486.63","69,168,031,486.63","62,641,913,114.41","62,641,913,114.41","62,641,913,114.41","62,641,913,114.41","35,715,054,009.31","35,715,054,009.31","35,715,054,009.31","35,715,054,009.31","33,607,127,776.15","33,607,127,776.15","33,607,127,776.15","33,607,127,776.15","30,324,107,194.38","30,324,107,194.38","30,330,166,701.93","30,330,166,701.93","67,058,694,376.52","67,058,694,376.52","67,058,694,376.52","67,058,694,376.52","99,845,629,142.29","99,845,629,142.29","99,845,629,142.29","99,845,629,142.29","80,121,368,468.75","80,121,368,468.75","80,121,368,468.75","80,121,368,468.75","65,924,436,993.47","65,924,436,993.47","65,924,436,993.47","65,924,436,993.47","61,170,650,431.63"
经营活动产生的现金流量净额,"58,369,965,082.27","-36,424,299,161.63","6,576,357,106.01","22,117,779,559.27","6,875,121,803.33","-4,386,622,383.38","-16,656,451,176.82","-780,770,357.61","-10,348,693,089.13","-18,988,370,543.20","-22,624,558,833.61","-25,565,801,930.71","2,552,091,250.13","-3,937,070,969.05","-8,919,821,455.02","-3,177,391,495.76","-9,322,624,367.33","-9,957,391,810.38","-12,327,170,882.74","-18,428,834,885.73","3,402,971,705.32","191,593,936.94","7,432,891,129.17","19,608,939,658.68","-15,999,395,961.84","13,969,638,812.19","4,100,317,964.30","-18,307,626,765.99","10,303,682,454.58","14,562,935,786.86","3,313,690,462.84","-23,944,442,970.46","-5,216,332,596.52","1,015,607,169.31","-17,132,729,824.74","-42,554,094,926.24","15,399,263,018.75","16,969,563,551.20","28,435,050,814.79","34,165,707,849.00","22,882,428,580.35"
期末现金及现金等价物余额,"73,016,942,192.88","34,342,292,367.55","41,914,472,488.94","69,168,031,486.63","72,170,863,555.31","60,921,283,206.56","48,329,987,422.35","62,641,913,114.41","52,287,952,250.06","43,465,564,431.10","38,619,720,290.46","35,715,054,009.31","38,159,102,649.07","35,693,183,754.22","32,587,578,432.67","33,607,127,776.15","38,100,787,089.28","37,413,190,414.70","38,346,925,205.04","30,324,107,194.38","35,183,885,084.47","39,086,430,990.13","46,152,824,310.09","67,058,694,376.52","83,755,268,721.73","152,873,481,726.77","127,786,586,699.16","99,845,629,142.29","92,044,942,069.74","84,759,863,638.87","80,074,906,869.42","80,121,368,468.75","75,514,560,329.40","73,566,441,419.43","69,585,675,887.85","65,924,436,993.47","74,664,057,334.71","71,129,351,681.01","67,385,442,858.31","61,170,650,431.63","85,078,858,843.07"
二、投资活动产生的现金流量,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
