科目,2011年度,2012年度,2013年度,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月
支付给职工以及为职工支付的现金,"66,884,475.52","85,835,653.86","97,575,896.06","50,864,256.56","83,546,037.51","106,185,944.94","38,282,657.86","63,472,643.62","93,283,789.55","129,203,116.97","41,601,758.88","82,936,654.37","114,913,417.64","160,970,706.17","56,173,876.03","100,571,192.37","141,258,113.14","201,407,871.89","53,791,448.36","126,007,242.81"
取得借款收到的现金,"60,000,000.00","38,445,294.58",,,,"4,500,000.00","724,225.00","1,153,370.50","1,153,370.50","261,153,370.50","40,000,000.00","40,000,000.00","40,000,000.00","140,000,000.00",,,,"36,000,000.00","64,000,000.00","64,000,000.00"
支付的各项税费,"20,006,028.03","43,566,694.61","35,534,964.05","21,068,140.20","38,508,802.19","52,088,952.18","15,165,186.15","27,291,809.41","46,273,587.66","66,714,107.79","31,348,887.65","52,008,083.50","75,258,789.85","101,361,212.67","29,474,827.45","57,071,593.93","91,133,597.53","109,819,435.03","26,935,984.35","62,647,640.99"
收到其他与筹资活动有关的现金,,,,,,,,,,"500,000.00",,,,,,,,,,
支付其他与经营活动有关的现金,"50,804,959.52","60,649,690.33","57,700,112.95","24,754,297.90","41,559,498.00","56,925,193.34","19,361,962.73","29,052,038.98","48,827,582.56","78,376,772.71","21,790,706.83","65,086,860.57","98,817,072.60","113,581,561.98","27,489,020.27","61,028,163.50","93,943,839.71","117,780,201.13","31,319,824.88","63,730,252.79"
筹资活动现金流入小计,"60,000,000.00","38,445,294.58",,,"429,752,138.00","434,252,138.00","724,225.00","1,153,370.50","1,153,370.50","261,653,370.50","40,000,000.00","40,000,000.00","40,000,000.00","140,000,000.00",,,,"36,000,000.00","64,000,000.00","64,000,000.00"
经营活动现金流出小计,"362,070,383.88","412,571,084.97","440,245,539.75","224,275,161.23","337,435,723.23","449,861,564.97","113,998,048.54","209,525,787.57","337,623,002.39","522,840,737.08","163,525,787.01","319,770,547.52","502,085,791.71","697,540,962.78","188,733,347.00","352,105,550.45","564,254,279.15","787,392,436.81","226,827,816.63","432,059,292.94"
偿还债务支付的现金,"10,000,000.00","61,024,370.20","27,364,787.29",,,,,,"873,608.68","1,153,370.50",,"25,000,000.00","25,000,000.00","150,000,000.00","100,000,000.00","100,000,000.00","100,000,000.00","204,500,000.00",,"7,500,000.00"
经营活动产生的现金流量净额,"39,078,520.57","65,416,152.93","84,881,039.43","36,685,618.03","73,335,262.17","124,170,678.06","12,364,668.68","70,319,141.18","107,483,502.86","151,978,228.57","36,207,577.44","112,122,524.50","130,095,120.19","213,738,344.20","30,946,656.82","130,378,883.51","190,415,276.68","230,957,557.33","40,185,787.16","131,286,322.77"
分配股利、利润或偿还利息支付的现金,"1,916,888.88","2,204,944.23","30,486,456.51",,,,"135,000.00","30,805,000.00","30,813,808.43","30,976,314.37","2,680,687.08","36,143,383.90","38,867,365.17","74,454,375.34","6,535,930.50","38,576,454.80","84,518,135.35","74,245,603.83","93,685,153.02","145,148,152.51"
收回投资收到的现金,,,,,,,,,,,,"135,000,000.00","135,000,000.00","108,000,000.00","52,000,000.00","17,500,000.00","17,500,001.00","69,500,001.00","10,000,000.00","10,000,000.00"
支付其他与筹资活动有关的现金,"1,941,432.00","400,000.00","750,000.00","659,224.60","1,575,363.23","6,616,613.23",,,,"115,202.25",,,,"28,032.00",,,,,,
取得投资收益收到的现金,,,,"178,969.88","363,057.54",,"539,191.78","932,999.98",,,,,,,,"2,148,387.68",,,,
筹资活动现金流出小计,"13,858,320.88","63,629,314.43","58,601,243.80","659,224.60","1,575,363.23","6,616,613.23","135,000.00","30,805,000.00","31,687,417.11","32,244,887.12","2,680,687.08","61,143,383.90","63,867,365.17","224,482,407.34","106,535,930.50","138,576,454.80","184,518,135.35","278,745,603.83","93,685,153.02","152,648,152.51"
处置固定资产、无形资产和其他长期资产收回的现金净额,,"195,000.00","390,000.00","4,015.00","4,666.00","6,356.00",308.00,"101,125.00","153,117.80","153,525.80","260,397.80","583,331.80","903,831.80","1,132,906.80",,"115,792.00","115,892.00","257,432.00","1,730.00","290,355.00"
筹资活动产生的现金流量净额,"46,141,679.12","-25,184,019.85","-58,601,243.80","-659,224.60","428,176,774.77","427,635,524.77","589,225.00","-29,651,629.50","-30,534,046.61","229,408,483.38","37,319,312.92","-21,143,383.90","-23,867,365.17","-84,482,407.34","-106,535,930.50","-138,576,454.80","-184,518,135.35","-242,745,603.83","-29,685,153.02","-88,648,152.51"
处置子公司及其他营业单位收到的现金净额,,,,,,,,,,,,,,,,,,,,
四、汇率变动对现金的影响,"-299,526.42","-401,965.16","-928,440.35","207,478.18","167,528.47","394,064.02","694,049.61","1,352,941.59","1,808,882.68","2,179,604.57",722.28,"155,269.95","272,250.98","980,383.72","-104,283.76","-293,217.98","-1,259,690.76","-2,198,309.69","-4,057,585.00","-2,102,265.85"
收到其他与投资活动有关的现金,"4,330,000.00","18,540,000.00","7,792,000.00",,,"1,835,107.27",,"210,000.00",,"1,983,959.71",,"1,238,294.54","1,709,321.91","2,624,886.51",,"633,383.56","3,345,056.38","4,114,649.36","2,921,306.83","4,674,835.47"
四(2)、其他原因对现金的影响,,,,,,,,,,,,,,,,,,,,
投资活动现金流入小计,"4,330,000.00","18,735,000.00","8,182,000.00","182,984.88","367,723.54","1,841,463.27","539,499.78","1,244,124.98","153,117.80","2,137,485.51","260,397.80","136,821,626.34","137,613,153.71","111,757,793.31","52,000,000.00","20,397,563.24","20,960,949.38","73,872,082.36","12,923,036.83","14,965,190.47"
五、现金及现金等价物净增加额,"24,462,418.96","21,548,986.62","11,055,637.19","18,226,114.80","471,526,186.51","500,652,095.16","10,611,143.07","-1,748,276.52","-254,921,068.87","-375,792,165.51","56,483,127.69","-11,943,867.99","-43,129,102.13","83,162,854.03","-42,287,931.74","-42,279,775.98","-109,539,393.15","11,153,182.95","13,412,447.56","-39,155,979.82"
购建固定资产、无形资产和其他长期资产支付的现金,"64,788,254.31","37,016,181.30","22,477,718.09","18,190,741.69","30,521,102.44","53,389,634.96","3,576,300.00","42,577,954.77","51,684,525.61","94,880,860.81","7,510,782.75","37,408,145.72","48,750,502.68","56,839,500.70","18,594,374.30","26,186,549.95","39,417,793.10","48,732,543.22","5,953,638.41","11,575,771.05"
期初现金及现金等价物余额,"59,281,020.57","83,743,439.53","105,292,426.15","116,348,063.34","116,348,063.34","116,348,063.34","617,000,158.50","617,000,158.50","644,744,951.77","617,000,158.50","376,207,287.51","241,207,992.99","241,207,992.99","241,207,992.99","324,370,847.02","324,370,847.02","324,370,847.02","324,370,847.02","335,524,029.97","335,524,029.97"
投资支付的现金,,,,,,,,,"277,412,500.00","135,000,000.00","9,794,100.00","202,025,279.52","238,025,279.52","101,525,279.52",,"28,000,000.00","95,720,000.00",,,"83,081,303.65"
期末现金及现金等价物余额,"83,743,439.53","105,292,426.15","116,348,063.34","134,574,178.14","587,874,249.85","617,000,158.50","627,611,301.57","615,251,881.98","389,823,882.90","241,207,992.99","432,690,415.20","229,264,125.00","198,078,890.86","324,370,847.02","282,082,915.28","282,091,071.04","214,831,453.87","335,524,029.97","348,936,477.53","296,368,050.15"
