科目,2009-12-31,2010-12-31,2011-12-31,2012-06-30,2012-12-31,2013-12-31,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31
其他应收款,"7,769,044.48","13,127,694.10","12,499,561.47","12,355,764.16","8,738,969.56","8,974,882.14","5,489,274.68",,"9,392,445.67","7,676,331.50","5,603,247.72","3,885,342.28","11,420,983.39","13,525,590.73","8,258,813.70","7,620,993.76","10,142,472.81","12,898,852.32","17,814,911.10","29,660,557.13","35,130,587.13","27,629,367.50","22,045,841.76","58,421,228.58"
应付职工薪酬,"3,792,173.63","6,388,041.00","6,617,300.06","6,355,488.34","11,566,022.50","11,611,781.27","13,224,816.34",,"8,748,132.09","8,620,390.84","12,221,878.00","10,398,210.95","10,955,738.26","11,487,707.39","16,173,070.59","14,118,812.24","15,540,978.02","13,382,430.98","28,943,036.71","21,234,846.78","17,451,895.01","17,438,093.08","19,527,997.16","9,505,869.71"
应收关联公司款,,,,,,,,,,,,,,,,,,,,,,,,
应交税费,"8,284,058.94","5,137,671.98","5,431,703.67","379,802.46","6,547,504.06","5,608,369.16","9,558,022.66",,"4,667,050.07","2,982,895.25","7,441,709.96","11,537,388.27","11,682,632.60","8,173,018.52","11,146,375.92","14,904,658.23","14,267,210.28","14,342,738.80","32,029,652.99","15,631,037.68","16,926,982.37","17,874,551.62","21,990,968.19","27,165,828.19"
应收利息,,,,,,,,,,,,,,,,,,,,,,,,
应付利息,,,"266,741.99","386,186.79","332,434.53","392,615.00","379,904.40",,"378,460.42","74,375.00","91,986.11","128,250.00","72,273.33","28,333.33","19,937.50","44,104.17","190,312.50","287,695.89","280,538.96","253,955.63","194,618.75","196,854.16","225,843.75","245,529.18"
应收股利,,,,,,,,,,,,,,,,,,,,,,,,
应付股利,,,,,,,,,,,,,,,,,"12,000,000.00",,,,"1,848,197.13",,,
存货,"11,614,994.06","9,926,353.73","24,524,952.11","34,338,822.08","21,349,742.35","13,465,204.82","13,838,167.22",,"15,016,380.41","15,011,767.58","12,422,426.52","11,065,761.76","9,437,292.18","9,811,065.50","20,748,396.32","19,549,399.78","26,056,398.71","19,247,543.58","36,146,320.95","15,106,717.47","26,151,777.76","24,254,148.20","36,501,365.38","22,695,323.58"
其他应付款,"51,896,081.08","46,911,415.07","31,773,953.87","6,291,519.66","7,685,143.80","7,164,805.87","4,063,257.13",,"6,220,732.76","8,564,300.42","8,645,786.87","8,993,729.57","8,837,775.38","8,119,093.09","8,702,465.27","8,556,735.34","8,812,028.26","9,463,061.99","8,047,580.62","9,340,679.69","11,012,567.90","25,152,501.78","11,505,760.97","37,740,894.09"
其中:消耗性生物资产,,,,,,,,,,,,,,,,,,,,,,,,
应付关联公司款,,,,,,,,,,,,,,,,,,,,,,,,
一年内到期的非流动资产,,,,,,,"137,288.14",,"137,288.14","137,288.14","137,288.14","137,288.14","137,288.14","137,288.14","137,288.14","137,288.14","231,960.36","241,328.36",,,,,,
一年内到期的非流动负债,,"20,248,000.00","3,872,000.00","2,025,000.00","18,740,000.00","19,300,000.00","14,285,600.00",,"28,571,200.00",,,,,,,,,,,,,,,
其他流动资产,,,,,,,"2,859,490.62",,"7,204,110.59","11,184,829.80","5,943,118.57","1,981,165.28","2,888,741.90","35,237,181.32","3,507,378.20","7,675,981.21","8,210,290.08","44,780,419.21","25,034,871.11","28,405,229.85","171,124,246.60","97,305,688.64","22,870,112.67","49,631,388.75"
其他流动负债,,,"1,308,333.33",,"3,551,033.33","4,249,366.67","4,979,445.93",,"5,646,754.56","5,646,754.56","5,845,268.30","29,040,540.17","5,845,268.30","5,845,268.30","6,790,647.96","7,444,818.24","6,297,500.36","6,297,500.36",,,,,,
流动资产合计,"64,170,343.05","85,772,252.53","129,591,623.18","193,607,398.81","152,154,022.93","208,724,115.37","218,225,880.88","265,157,000.00","457,961,100.81","286,432,228.78","278,528,397.88","326,711,117.67","338,556,966.12","319,129,103.83","254,787,117.53","302,550,945.94","355,582,359.48","584,320,801.83","494,244,120.13","901,568,415.90","830,627,173.20","918,551,362.61","707,598,695.45","1,047,684,473.05"
流动负债合计,"87,396,622.22","125,128,694.05","149,748,004.99","191,735,269.25","222,004,806.03","293,054,400.15","242,926,531.97","306,583,000.00","291,772,478.78","211,852,416.87","204,989,727.42","263,831,541.06","251,189,262.15","249,251,646.96","187,671,506.31","222,657,043.62","319,504,926.59","518,322,128.50","477,934,155.73","476,673,558.04","512,186,713.05","652,302,248.79","537,207,325.73","851,466,779.85"
可供出售金融资产,,,,,,,,,,,,,,,,,,,,,,,,
长期借款,,"4,272,000.00","118,120,000.00","159,460,000.00","110,795,000.00","60,000,000.00","85,714,400.00",,"71,428,800.00",,,,,,,,,,,,,,,
持有至到期投资,,,,,,,,,,,,,,,,,,,,,,,,
应付债券,,,,,,,,,,,,,,,,,,,,,,,,
长期应收款,,,,,,,,,,,,,,,,,,,,,,,,
长期应付款,,,,,,,,,,,,,,,,,,,,,,,,
长期股权投资,,,,,,,,,,,"3,961,948.14","3,830,327.78","4,675,785.89","6,798,754.01","15,408,407.80","16,138,545.96","17,031,912.27","18,188,683.78","20,446,043.82","21,841,378.47","47,110,832.94","48,271,491.25","72,657,949.84","73,601,121.20"
专项应付款,,,,,,,,,,,,,,,,,,,,,,,,
投资性房地产,,,,,,,,,,,,,,,,,,,,,,,"24,079,570.96","23,898,710.89"
预计负债,,,,,,,,,,,,,,,,,,,,,,,,
固定资产,"75,461,212.00","138,992,712.39","303,620,322.18","339,964,089.53","345,217,807.67","329,745,559.52","322,640,279.08",,"320,964,165.52","340,037,954.09","389,185,300.45","375,843,943.98","375,291,827.60","419,986,487.20","428,523,461.35","411,396,408.05","404,997,541.06","392,222,747.55","394,991,255.02","448,104,283.67","478,200,277.56","487,607,314.79","623,968,914.44","600,045,871.96"
递延所得税负债,"342,008.52","306,695.77","228,742.77","173,606.55","152,305.26","51,013.24","20,511.64",,"10,283.55","7,680.87","10,100.89","7,498.18","7,845.23","7,845.23",,,,,,,,,,
在建工程,"120,000.00","4,582,090.80","2,787,510.79","8,231,479.16","4,727,931.30","35,343,539.58","25,090,710.25",,"50,779,747.08","55,345,503.33","27,917,179.41","35,887,030.03","41,873,520.57","26,773,611.22","18,772,111.84","31,303,410.13","52,640,509.75","52,125,601.76","151,448,515.43","120,397,563.10","133,352,665.43","110,618,848.87","3,557,400.40","20,016,353.14"
其他非流动负债,,,"5,887,499.67","6,541,665.00",,,,,,,,,,,,,,,,,,,,
工程物资,,,,,,,,,,,,,,,,,,,,,,,,
非流动负债合计,"342,008.52","4,578,695.77","124,236,242.44","166,175,271.55","130,528,310.60","79,514,456.80","103,382,653.41","98,217,800.00","89,655,649.13","16,812,557.81","24,666,689.83","7,498.18","22,341,800.03","20,880,482.96","26,740,775.73","24,225,400.89","31,414,682.13","29,840,307.09","34,563,432.41","33,969,826.61","32,366,605.43","30,763,384.25","19,607,679.88","18,679,725.31"
固定资产清理,,,,,,,,,"4,656,981.71","4,820,534.40","2,084,801.39","2,328,813.72","2,021,776.72",,"192,105.29","64,794.34","4,378,986.16","119,425.17","63,161.60","67,928.60","1,199,957.07",,,
负债合计,"87,738,630.74","129,707,389.82","273,984,247.43","357,910,540.80","352,533,116.63","372,568,856.95","346,309,185.38","404,800,700.00","381,428,127.91","228,664,974.68","229,656,417.25","263,839,039.24","273,531,062.18","270,132,129.92","214,412,282.04","246,882,444.51","350,919,608.72","548,162,435.59","512,497,588.14","510,643,384.65","544,553,318.48","683,065,633.04","556,815,005.61","870,146,505.16"
生产性生物资产,,,,,,,,,,,,,,,,,,,,,,,,
实收资本(或股本),"10,000,000.00","10,000,000.00","90,000,000.00","90,000,000.00","90,000,000.00","90,000,000.00","90,000,000.00",,"120,000,000.00","120,000,000.00","120,000,000.00","120,000,000.00","120,000,000.00","120,000,000.00","120,000,000.00","120,000,000.00","120,000,000.00","120,000,000.00","120,000,000.00","144,000,000.00","201,600,000.00","201,600,000.00","201,600,000.00","201,600,000.00"
油气资产,,,,,,,,,,,,,,,,,,,,,,,,
资本公积,"3,416,574.46","15,707,573.54","112,048,663.36","99,778,987.17","99,778,987.17","99,778,987.17","99,778,987.17",,"281,064,193.47","281,064,193.47","281,064,193.47","281,064,193.47","281,064,193.47","281,064,193.47","281,064,193.47","281,064,193.47","281,064,193.47","281,064,193.47","281,064,193.47","637,603,657.62","580,362,684.04","521,938,425.48","521,873,880.63","521,873,880.63"
无形资产,"10,247,042.00","19,804,069.09","30,759,040.63","33,691,128.52","88,921,509.98","94,298,347.08","99,328,111.27",,"97,689,475.37","96,822,746.15","112,431,896.05","111,416,223.49","110,554,137.93","129,011,040.54","146,641,620.45","145,604,109.12","144,878,226.84","150,843,525.80","146,703,371.15","145,497,599.15","165,026,793.32","170,145,178.14","165,686,253.51","148,554,169.93"
盈余公积,"4,750,795.46","8,962,900.94","691,079.39","691,079.39","4,555,846.46","7,915,532.42","11,794,990.55",,"11,794,990.55","11,794,990.55","13,764,252.43","13,764,252.43","13,764,252.43","13,764,252.43","14,706,822.77","14,706,822.77","14,706,822.77","14,706,822.77","14,796,963.38","14,796,963.38","14,796,963.38","14,796,963.38","15,843,280.71","15,843,280.71"
开发支出,,,,,,,,,,,,,,,"851,383.25","1,543,375.01","2,837,081.99","3,835,435.16","6,181,825.90","7,158,321.35","7,935,071.82","8,896,291.43","9,903,261.52",
减:库存股,,,,,,,,,,,,,,,,,,,,,,,,
商誉,,,,,,,,,,,,,,,,,,,,,,,,
未分配利润,"44,175,539.91","83,061,405.82","4,015,487.52","29,942,430.88","55,857,265.59","106,676,165.62","124,716,889.80",,"140,669,669.66","148,313,712.06","166,433,857.50","178,075,620.22","186,151,408.69","202,698,291.92","215,291,230.00","231,343,116.31","233,416,939.19","242,136,314.44","265,155,300.25","286,925,138.14","285,337,272.88","299,464,296.00","292,458,493.38","297,681,280.20"
长期待摊费用,,,,,,,"5,148,305.08",,"5,079,661.01","5,127,295.91","5,011,016.93","5,097,623.89","4,942,372.85","4,908,050.81","4,873,728.77","4,985,400.89","4,863,643.35","4,815,807.81","6,075,415.04","11,022,956.36","13,650,619.63","14,434,394.04","13,066,191.20","12,948,476.53"
少数股东权益,,,,,,"481,221.61","28,630,178.48",,"34,200,428.35","33,141,249.95","36,845,532.46","39,198,688.73","42,957,017.72","46,044,435.57","47,984,987.32","52,293,887.64","55,699,213.81","58,603,332.53","64,469,648.95","76,037,316.65","77,787,686.32","74,482,020.71","75,085,948.95","77,168,331.54"
递延所得税资产,"725,100.49","1,004,542.39","2,608,533.22","2,962,732.07","2,749,085.04","3,108,956.03","3,477,956.80",,"4,912,722.44","4,716,010.18","5,707,356.22","6,288,666.64","6,744,829.98","5,992,880.76","4,626,343.12","4,492,761.73","6,131,655.45","2,806,325.05","12,936,188.39","7,917,778.86","12,379,566.79","14,066,807.55","13,890,248.72","15,213,520.28"
外币报表折算价差,,,,,,,,,,,,,,,,,,,,,,,,
其他非流动资产,,,"11,395,293.88",,"9,205,182.10","7,300,909.90","29,775,977.57",,"29,764,177.57","32,289,267.67","25,847,174.18","31,689,769.90","35,811,479.90","24,436,820.00","21,808,804.90","32,035,673.04","67,000,544.90","60,751,944.90","30,736,595.32","13,763,826.50","20,574,240.41","30,069,024.35","37,472,258.88","51,394,483.83"
非正常经营项目收益调整,,,,,,,,,,,,,,,,,,,,,,,,
非流动资产合计,"86,553,354.49","164,383,414.67","351,170,700.70","384,849,429.28","450,821,516.09","469,797,312.11","485,461,340.05","505,448,600.00","513,846,930.70","539,159,311.73","572,146,672.77","572,382,399.43","581,915,731.44","617,907,644.54","641,697,966.77","647,564,478.27","704,760,101.77","685,709,496.98","769,582,371.67","775,771,636.06","879,430,024.97","884,109,350.42","964,282,049.47","945,672,707.76"
所有者权益(或股东权益)合计,"62,985,066.80","120,448,277.38","206,778,076.45","220,546,287.29","250,442,422.39","305,952,570.53","357,378,035.55","365,804,900.00","590,379,903.60","596,926,565.83","621,018,653.40","635,254,477.86","646,941,635.38","666,904,618.45","682,072,802.26","703,232,979.70","709,422,852.53","721,867,863.22","751,328,903.66","1,166,696,667.31","1,165,503,879.69","1,119,595,079.99","1,115,065,739.31","1,123,210,675.65"
资产总计,"150,723,697.54","250,155,667.20","480,762,323.88","578,456,828.09","602,975,539.02","678,521,427.48","703,687,220.93","770,605,600.00","971,808,031.51","825,591,540.51","850,675,070.65","899,093,517.10","920,472,697.56","937,036,748.37","896,485,084.30","950,115,424.21","1,060,342,461.25","1,270,030,298.81","1,263,826,491.80","1,677,340,051.96","1,710,057,198.17","1,802,660,713.03","1,671,880,744.92","1,993,357,180.81"
负债和所有者(或股东权益)合计,"150,723,697.54","250,155,667.20","480,762,323.88","578,456,828.09","602,975,539.02","678,521,427.48","703,687,220.93","770,605,600.00","971,808,031.51","825,591,540.51","850,675,070.65","899,093,517.10","920,472,697.56","937,036,748.37","896,485,084.30","950,115,424.21","1,060,342,461.25","1,270,030,298.81","1,263,826,491.80","1,677,340,051.96","1,710,057,198.17","1,802,660,713.03","1,671,880,744.92","1,993,357,180.81"
