科目,2011年度,2012年度,2013年度,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度
支付给职工以及为职工支付的现金,"62,813,719.01","74,088,618.49","90,807,394.33","78,605,853.19","99,679,438.92","32,842,999.67","68,877,073.04","91,587,826.45","117,018,859.56","35,329,240.41","61,355,794.07","83,828,505.16","100,408,329.37","39,608,308.79","56,566,640.81","90,874,315.94","118,411,025.02"
取得借款收到的现金,"65,000,000.00","170,000,000.00","152,000,000.00","105,797,800.87","137,147,952.56","25,000,000.00","25,000,000.00","25,000,000.00","42,273,591.64","3,000,000.00","3,000,000.00","40,000,000.00","60,000,000.00",,,,"68,300,000.00"
支付的各项税费,"41,358,650.06","43,069,020.93","55,904,863.61","42,550,446.08","54,062,979.04","24,769,806.56","34,288,654.33","44,916,679.22","48,473,627.71","14,782,701.98","22,028,965.94","38,874,341.54","44,637,489.19","10,714,199.83","13,535,579.51","23,559,441.59","28,712,262.60"
收到其他与筹资活动有关的现金,,,,,,,,,,,,,,,,,"5,611,500.00"
支付其他与经营活动有关的现金,"56,242,940.90","58,640,095.71","62,556,860.96","43,263,695.05","87,872,211.02","14,110,204.14","31,061,763.00","43,069,847.97","46,389,283.74","8,566,924.94","22,021,353.07","34,053,269.50","59,603,578.42","9,903,550.95","34,371,549.43","32,890,105.11","55,570,275.41"
筹资活动现金流入小计,"65,350,000.00","170,000,000.00","152,000,000.00","105,797,800.87","137,147,952.56","25,000,000.00","376,787,499.64","376,787,499.64","394,061,091.28","3,000,000.00","3,000,000.00","40,000,000.00","60,000,000.00",,"1,500,000.00","13,940,810.00","87,852,310.00"
经营活动现金流出小计,"328,516,948.21","407,508,593.67","465,808,742.26","368,328,866.42","566,435,907.16","110,839,028.24","240,476,605.57","347,221,843.21","498,956,755.15","116,261,522.01","231,912,580.12","331,563,367.41","442,643,409.22","131,482,909.22","259,872,051.20","360,596,308.75","520,535,373.25"
偿还债务支付的现金,"75,000,000.00","40,000,000.00","134,500,000.00","119,425,000.00","184,650,952.56","68,439,479.21","142,887,173.14","168,641,807.26","177,270,591.64",,"5,000,000.00","5,000,000.00","23,000,000.00","42,000,000.00","42,000,000.00","42,000,000.00","42,000,000.00"
经营活动产生的现金流量净额,"105,522,673.66","11,662,153.90","170,736,339.18","-77,164,888.58","50,316,905.44","-36,345,851.23","-77,702,580.89","-69,134,720.00","7,328,182.60","-50,528,051.90","-64,834,631.04","-105,347,963.28","-8,484,024.08","-58,645,149.90","-88,331,449.65","-107,896,717.57","-97,615,890.42"
分配股利、利润或偿还利息支付的现金,"7,929,760.50","21,888,096.00","20,004,588.23","21,233,373.12","23,855,731.83","1,728,353.55","2,762,854.24","40,288,712.40","43,087,818.61","60,477.08","3,394,533.81","3,610,250.99","4,207,690.01","91,715.75","40,018,847.00","40,019,016.88","40,238,101.09"
收回投资收到的现金,,,,,,,,,,,,,,"40,880,000.00","41,390,000.00","41,390,000.00","41,390,000.00"
支付其他与筹资活动有关的现金,,"2,650,000.00","1,300,000.00","7,110,103.00","900,000.00","450,000.00","11,556,535.00","11,556,535.00","10,910,402.88",,,,,,,,
取得投资收益收到的现金,,,"400,000.00","478,575.34","499,205.49",,,"1,090,815.88","1,438,541.91",,,"800,000.00","1,775,183.68","510,000.00","493,790.26","531,590.26","962,590.25"
筹资活动现金流出小计,"82,929,760.50","64,538,096.00","155,804,588.23","147,768,476.12","209,406,684.39","70,617,832.76","157,206,562.38","220,487,054.66","231,268,813.13","60,477.08","8,394,533.81","8,610,250.99","27,207,690.01","42,091,715.75","82,018,847.00","82,019,016.88","82,238,101.09"
处置固定资产、无形资产和其他长期资产收回的现金净额,"174,000.00","102,470.18","243,540.02",100.00,"22,643.20",,"179,000.00","624,517.86","663,545.34",,,,,,,,"76,811.95"
筹资活动产生的现金流量净额,"-17,579,760.50","105,461,904.00","-3,804,588.23","-41,970,675.25","-72,258,731.83","-45,617,832.76","219,580,937.26","156,300,444.98","162,792,278.15","2,939,522.92","-5,394,533.81","31,389,749.01","32,792,309.99","-42,091,715.75","-80,518,847.00","-68,078,206.88","5,614,208.91"
处置子公司及其他营业单位收到的现金净额,,,,,,,,,,,,,,,,,
四、汇率变动对现金的影响,,,"-69,726.86","-132,280.13","-278,773.30","-236,684.54","-449,248.28","-70,689.68","144,908.04","16,648.61","399,356.16","457,402.62","776,573.30","-17,071.90","-319,252.91","146,362.67","-189,462.02"
收到其他与投资活动有关的现金,,,,,,,,,,,,,,,,,
四(2)、其他原因对现金的影响,,,,,,,,,,,,,,,,,
投资活动现金流入小计,"174,000.00","102,470.18","643,540.02","478,675.34","521,848.69",,"179,000.00","1,715,333.74","2,102,087.25",,,"800,000.00","1,775,183.68","41,390,000.00","41,883,790.26","41,921,590.26","42,429,402.20"
五、现金及现金等价物净增加额,"47,798,488.85","-29,745,989.59","89,453,727.81","-138,650,887.20","-55,327,997.05","-87,308,315.51","129,860,476.90","57,400,505.20","104,056,754.22","-62,190,716.82","-93,824,447.79","-115,239,069.80","-55,964,916.72","-64,162,073.69","-144,764,266.78","-151,103,924.43","-100,899,745.84"
购建固定资产、无形资产和其他长期资产支付的现金,"37,318,424.31","146,972,517.67","78,051,836.30","19,861,718.58","33,629,246.05","5,107,946.98","11,747,631.19","31,409,863.84","37,810,701.82","4,618,836.45","13,614,639.10","32,158,258.15","72,444,959.61","4,798,136.14","17,478,507.48","17,196,952.91","5,238,004.51"
期初现金及现金等价物余额,"82,570,609.09","130,369,097.94","100,623,108.35","190,076,836.16","190,076,836.16","134,748,839.11","134,748,839.11","134,748,839.11","134,748,839.11","238,805,593.33","238,805,593.33","238,805,593.33","238,805,593.33","182,840,676.61","182,840,676.61","182,840,676.61","182,840,676.61"
投资支付的现金,"3,000,000.00",,,,,,,,"30,500,000.00","10,000,000.00","10,380,000.00","10,380,000.00","10,380,000.00",,,,"45,900,000.00"
期末现金及现金等价物余额,"130,369,097.94","100,623,108.35","190,076,836.16","51,425,948.96","134,748,839.11","47,440,523.60","264,609,316.01","192,149,344.31","238,805,593.33","176,614,876.51","144,981,145.54","123,566,523.53","182,840,676.61","118,678,602.92","38,076,409.83","31,736,752.18","81,940,930.77"
