科目,2011年度,2012年度,2013年度,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月
偿还债务支付的现金,"7,000,000.00","104,000,000.00","46,700,000.00","26,800,000.00","56,800,000.00",,"30,900,000.00","30,900,000.00","30,900,000.00",,,,,,,,,
经营活动产生的现金流量净额,"37,320,304.27","-2,370,890.78","37,005,003.17","-40,821,598.06","31,811,779.63","-113,762,393.91","-184,024,722.30","-190,256,834.36","-142,833,282.08","15,292,576.75","57,497,757.07","122,505,797.15","137,658,183.55","17,349,358.06","33,183,363.33","8,404,213.14","-10,645,285.14","85,446,644.66"
分配股利、利润或偿还利息支付的现金,"483,983.50","800,897.22","1,189,898.50","1,473,206.00","1,567,706.00","111,066.67","166,506.67","8,833,606.67","9,135,260.00",,"4,333,000.76","4,333,000.76","4,333,550.00",,,"3,666,850.46","4,301,580.96","1,757,844.60"
收回投资收到的现金,"436,000,000.00","388,000,000.00","220,000,000.00","204,500,000.00",,"10,000,000.00","10,000,000.00","10,000,000.00",,,,,,,,,,
支付其他与筹资活动有关的现金,,,,,,"5,556,500.00","9,056,500.00","9,062,691.23","9,069,656.80",,"13,000.65","13,000.65",,,,"10,534.03",,
取得投资收益收到的现金,"651,085.04","736,027.97","368,931.62","266,819.96","273,614.96","13,178.10","13,178.10","13,178.10","13,178.10",,,,,,,,,
筹资活动现金流出小计,"7,483,983.50","104,800,897.22","47,889,898.50","28,273,206.00","58,367,706.00","5,667,566.67","40,123,006.67","48,796,297.90","49,104,916.80",,"4,346,001.41","4,346,001.41","4,333,550.00",,,"3,677,384.49","4,301,580.96","1,757,844.60"
处置固定资产、无形资产和其他长期资产收回的现金净额,,,"49,200.00","10,000.00","10,000.00",,"385,000.00","385,000.00","385,000.00","150,000.00","152,000.00","156,100.00","156,100.00",780.00,780.00,"420,780.00","765,744.00",
筹资活动产生的现金流量净额,"-483,983.50","-800,897.22","1,260,101.50","21,526,794.00","-8,567,706.00","435,327,590.13","400,872,150.13","392,304,848.69","391,890,240.00",,"-4,346,001.41","-4,346,001.41","-4,333,550.00","490,000.00","490,000.00","-3,187,384.49","126,180,325.04","108,674,880.20"
处置子公司及其他营业单位收到的现金净额,,,,,,,,,,,,,,,,,"435,004.43",
四、汇率变动对现金的影响,,,,,,,,,,,,,,,,,,
收到其他与投资活动有关的现金,,,,,"209,500,000.00",,,,"10,000,000.00",,,,,,,,,"2,362,839.50"
四(2)、其他原因对现金的影响,,,,,,,,,,,,,,,,,,
投资活动现金流入小计,"436,651,085.04","388,736,027.97","220,418,131.62","204,776,819.96","209,783,614.96","10,013,178.10","10,398,178.10","10,398,178.10","10,398,178.10","150,000.00","152,000.00","156,100.00","156,100.00",780.00,780.00,"420,780.00","1,200,748.43","2,362,839.50"
五、现金及现金等价物净增加额,"31,843,100.81","-3,674,631.90","36,496,214.13","-92,741,126.13","-54,486,823.44","321,536,310.55","141,969,014.16","126,946,358.40","170,594,170.88","14,265,862.75","-87,984,060.34","-82,284,092.26","-67,216,044.65","17,541,990.06","31,886,577.84","2,178,329.58","-147,208,228.35","17,794,707.42"
购建固定资产、无形资产和其他长期资产支付的现金,"5,644,305.00","1,238,871.87","2,187,022.16","73,723,142.03","78,014,512.03","42,063.77","75,276,591.77","75,499,834.03","78,860,965.14","1,176,714.00","1,392,304.00","1,449,988.00","1,546,778.20","298,148.00","1,739,948.00","3,024,161.58","3,743,244.68","102,969,466.34"
期初现金及现金等价物余额,"98,323,380.84","130,166,481.65","126,491,849.75","162,988,063.88","162,988,063.88","108,504,336.84","108,501,240.44","108,501,240.44","108,501,240.44","279,095,411.32","279,095,411.32","279,095,411.32","279,095,411.32","211,879,366.67","211,879,366.67","211,879,366.67","211,879,366.67","64,671,138.32"
投资支付的现金,"436,000,000.00","388,000,000.00","220,000,000.00","204,500,000.00",,"10,000,000.00","10,000,000.00","10,000,000.00",,,,"500,000.00","198,780,000.00",,,,"260,200,772.00","75,720,190.60"
期末现金及现金等价物余额,"130,166,481.65","126,491,849.75","162,988,063.88","70,246,937.75","108,501,240.44","430,040,647.39","250,470,254.60","235,447,598.84","279,095,411.32","293,361,274.07","191,111,350.98","196,811,319.06","211,879,366.67","229,421,356.73","243,765,944.51","214,057,696.25","64,671,138.32","82,465,845.74"
