科目,2011年度,2012年度,2013年度,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月,2018年1-9月,2018年度,2019年1-3月
支付给职工以及为职工支付的现金,"23,731,036.16","30,126,353.41","41,009,838.31","27,361,538.07","42,437,950.08","56,990,066.39","16,157,754.29","36,921,846.14","54,401,960.22","74,453,499.19","21,252,372.77","43,838,950.09","67,482,152.48","87,336,013.82","30,034,674.95","52,359,104.02","90,867,815.51","132,037,056.26","66,482,405.36","120,084,561.61","173,456,938.64","229,392,619.43","79,518,554.50"
取得借款收到的现金,"65,520,687.96","29,000,000.00","109,739,234.80","53,068,230.14","107,874,264.39","113,550,000.00",,"8,400,000.00","54,646,038.16","81,216,242.66",,"54,000,000.00","120,900,000.00","216,000,000.00","91,960,000.00","563,100,000.00","887,633,741.80","1,197,556,601.09","576,635,974.70","1,056,166,131.99","990,684,780.14","1,714,584,756.30","224,701,207.93"
支付的各项税费,"23,405,668.96","24,676,094.62","31,112,835.33","21,138,524.30","37,419,668.22","54,101,427.35","6,649,141.07","18,686,341.77","35,838,290.66","47,575,991.59","3,562,977.25","21,050,968.86","40,786,907.18","64,371,119.34","17,125,316.45","33,843,058.38","98,408,182.48","155,227,343.11","76,444,426.91","124,106,090.71","180,075,684.25","137,705,409.91","69,566,653.78"
收到其他与筹资活动有关的现金,,"4,386,772.87","11,364,446.94","8,297,984.85","12,019,595.31","17,687,918.61","7,977,143.26","11,413,799.42","15,952,817.90","21,859,011.42","7,145,151.86","9,876,598.78","12,543,343.12","82,077,110.52","24,904,963.11","37,997,923.70","46,282,451.97","81,872,880.24","10,990,349.54","26,786,919.16","430,898,183.90","50,295,288.96","5,801,285.64"
支付其他与经营活动有关的现金,"20,233,788.17","28,472,218.10","35,453,202.30","16,455,480.98","29,837,789.61","43,230,976.93","11,720,486.50","25,768,866.76","33,001,809.46","105,608,994.79","67,249,287.96","121,582,157.25","219,818,696.77","328,462,638.81","47,784,874.69","163,496,403.94","286,182,077.83","247,395,018.40","222,243,018.95","131,599,079.68","201,094,972.62","260,025,906.37","71,994,161.26"
筹资活动现金流入小计,"118,020,687.96","33,386,772.87","121,103,681.74","61,366,214.99","119,893,859.70","393,362,918.61","7,977,143.26","28,813,799.42","79,598,856.06","112,075,254.08","512,322,151.86","569,053,598.78","638,620,343.12","803,254,110.52","116,864,963.11","601,097,923.70","933,916,193.77","1,279,429,481.33","1,059,146,324.24","1,554,473,051.15","1,893,102,964.04","2,236,400,045.26","230,502,493.57"
经营活动现金流出小计,"148,911,639.01","196,401,356.39","296,520,913.33","184,085,307.74","310,469,199.26","412,148,334.19","119,934,097.17","259,847,379.07","412,840,101.92","579,081,031.74","181,355,389.67","365,864,369.71","605,703,458.16","901,573,345.87","244,711,979.48","512,833,789.53","1,183,123,733.15","1,779,775,321.68","737,441,039.71","1,450,612,541.40","2,120,483,149.12","2,669,345,443.87","648,699,663.08"
偿还债务支付的现金,"9,556,896.53","22,627,586.12","45,489,173.65","22,597,075.93","74,834,812.28","86,367,027.15","77,001,730.50","78,700,341.65","80,726,176.83","90,277,885.31","33,873,279.65","69,803,036.47","139,614,091.44","192,849,514.45","9,933,951.53","65,233,380.87","334,951,419.53","583,674,459.95","216,055,286.48","559,495,607.12","885,472,720.15","1,634,490,638.04","232,474,819.78"
经营活动产生的现金流量净额,"-17,240,499.89","16,324,348.33","-157,649.82","-3,402,467.22","19,958,019.81","48,027,279.67","-54,371,661.50","-86,439,283.56","-115,712,888.39","-71,918,921.04","-39,703,161.20","-32,649,528.06","-1,137,596.81","-36,262,044.44","47,290,345.72","88,310,465.32","-197,700,921.57","-63,257,269.08","-168,601,095.37","-129,836,098.17","107,177,067.02","592,801,900.48","104,717,262.44"
分配股利、利润或偿还利息支付的现金,"1,591,683.87","2,357,593.75","16,426,664.83","16,336,016.93","21,333,324.80","23,374,117.54","1,374,633.74","32,446,861.75","36,822,399.79","37,467,225.90","6,381,714.24","24,487,201.57","26,292,000.05","29,168,120.33","2,311,392.97","32,781,266.25","43,335,990.45","54,451,236.37","11,822,022.05","27,187,389.15","97,220,268.29","130,874,467.56","20,990,155.10"
收回投资收到的现金,,,,,,,,,,,,"188,000,000.00","295,000,000.00","395,000,000.00",,"32,770,000.00","32,770,000.00","38,384,396.49",,,,,
支付其他与筹资活动有关的现金,"755,235.26","8,354,552.04","16,625,997.96","7,677,018.95","16,846,256.51","26,232,812.30","3,468,476.72","8,926,142.50","20,943,332.41","27,506,642.73","3,115,902.86","10,549,341.05","26,407,474.44","46,541,280.98","3,547,643.91","19,430,977.77","38,025,950.90","85,199,856.12","16,798,076.91","77,412,113.35","200,407,366.20","147,794,363.22","21,838,003.87"
取得投资收益收到的现金,,,,,,,,,,,,"475,587.01","908,203.44","1,306,011.66",,,,"2,958.90",,,,,
筹资活动现金流出小计,"11,903,815.66","33,339,731.91","78,541,836.44","46,610,111.81","113,014,393.59","135,973,956.99","81,844,840.96","120,073,345.90","138,491,909.03","155,251,753.94","43,370,896.75","104,839,579.09","192,313,565.93","268,558,915.76","15,792,988.41","117,445,624.89","416,313,360.88","723,325,552.44","244,675,385.44","664,095,109.62","1,183,100,354.64","1,913,159,468.82","275,302,978.75"
处置固定资产、无形资产和其他长期资产收回的现金净额,,"23,448.39","980,143.10",,,,,,,,,,,,,"10,766,720.00","10,766,720.00","17,600,170.00","47,160.75","233,012.06","233,012.06","1,749,012.25",
筹资活动产生的现金流量净额,"106,116,872.30","47,040.96","42,561,845.30","14,756,103.18","6,879,466.11","257,388,961.62","-73,867,697.70","-91,259,546.48","-58,893,052.97","-43,176,499.86","468,951,255.11","464,214,019.69","446,306,777.19","534,695,194.76","101,071,974.70","483,652,298.81","517,602,832.89","556,103,928.89","814,470,938.80","890,377,941.53","710,002,609.40","323,240,576.44","-44,800,485.18"
处置子公司及其他营业单位收到的现金净额,,,,,,,,,,,,,,,,,,,,,,,
四、汇率变动对现金的影响,,,,,,,,,,,,,,,,,"-1,068,508.31","-3,685,608.09","-3,366,614.23","5,166,491.40","6,229,582.92","-5,293,229.35","-2,120,169.63"
收到其他与投资活动有关的现金,,,,,,,,,,,,,,,,,,,,"2,000,000.00","2,000,000.00","2,000,000.00",
四(2)、其他原因对现金的影响,,,,,,,,,,,,,,,,,,,,,,,
投资活动现金流入小计,,"23,448.39","980,143.10",,,,,,,,,"188,475,587.01","295,908,203.44","396,306,011.66",,"43,536,720.00","43,536,720.00","55,987,525.39","47,160.75","2,233,012.06","2,233,012.06","3,749,012.25",
五、现金及现金等价物净增加额,"48,328,502.83","-7,866,525.37","-6,789,094.29","-3,717,450.04","2,986,609.98","275,444,738.15","-139,513,228.70","-228,440,622.12","-230,993,770.45","-220,772,509.63","385,091,252.69","216,973,123.00","98,896,300.66","145,613,904.65","83,736,502.98","442,521,922.04","93,789,754.09","186,359,368.11","153,177,974.50","189,432,326.99","175,052,275.59","205,778,657.95","-10,976,386.70"
购建固定资产、无形资产和其他长期资产支付的现金,"40,547,869.58","24,261,363.05","50,173,432.87","15,071,086.00","23,850,875.94","29,971,503.14","11,273,869.50","50,741,792.08","56,387,829.09","76,476,457.91","9,169,641.22","53,079,755.64","75,583,746.77","119,719,533.55","22,625,817.44","76,703,131.14","161,382,637.97","251,591,478.03","129,793,100.45","211,690,617.96","283,771,593.94","323,901,200.00","58,272,994.33"
期初现金及现金等价物余额,"20,466,757.84","68,795,260.67","60,928,735.30","54,139,641.01","54,139,641.01","54,139,641.01","329,584,379.16","329,584,379.16","329,584,379.16","329,584,379.16","128,811,869.53","108,811,869.53","108,811,869.53","108,811,869.53","254,425,774.18","254,425,774.18","254,425,774.18","254,425,774.18","451,106,968.66","440,785,142.29","440,785,142.29","440,785,142.29","646,563,800.24"
投资支付的现金,,,,,,,,,,,,"315,000,000.00","378,150,000.00","428,150,000.00","42,000,000.00","1,000,000.00","1,000,000.00","1,000,000.00","24,500,000.00","24,500,000.00","24,500,000.00","24,500,000.00","10,500,000.00"
期末现金及现金等价物余额,"68,795,260.67","60,928,735.30","54,139,641.01","50,422,190.97","57,126,250.99","329,584,379.16","190,071,150.46","101,143,757.04","98,590,608.71","108,811,869.53","513,903,122.22","325,784,992.53","207,708,170.19","254,425,774.18","338,162,277.16","696,947,696.22","348,215,528.27","440,785,142.29","604,284,943.16","630,217,469.28","615,837,417.88","646,563,800.24","635,587,413.54"
