科目,2011年度,2012年度,2013年度,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度
支付给职工以及为职工支付的现金,"16,023,084.38","21,653,775.72","24,862,443.47","16,691,944.99","22,420,486.49","30,596,831.41","13,933,318.00","23,037,533.13","33,097,503.30","44,125,779.11","26,367,039.68","38,970,812.03","52,683,494.04","65,788,969.21","30,094,395.24","45,457,446.03","61,633,496.17","84,993,321.03"
取得借款收到的现金,"261,839,438.35","293,678,628.40","480,179,626.98","271,718,862.81","344,180,067.50","394,131,669.01","49,937,349.67","73,719,205.65","75,530,203.97","89,808,956.95","20,000,000.00","44,000,000.00","44,000,000.00","200,000,000.00","58,000,000.00","192,000,000.00","316,486,890.00","401,486,890.00"
支付的各项税费,"25,237,681.28","25,201,059.08","16,682,809.15","7,562,037.51","15,599,226.77","20,832,494.47","6,006,267.83","14,745,791.00","23,629,404.06","31,377,094.77","16,975,295.05","29,611,609.69","42,382,406.96","57,659,357.13","15,525,102.29","34,887,027.45","49,933,670.55","68,314,245.65"
收到其他与筹资活动有关的现金,"17,465,985.22",,"20,600,000.00","2,850,000.00","58,135,332.61","17,850,000.00",,,,,,,,,,,,
支付其他与经营活动有关的现金,"47,197,273.58","63,017,218.27","49,576,095.30","25,604,982.78","78,332,734.42","66,384,635.88","24,094,622.98","74,471,774.53","100,522,448.47","85,371,902.87","32,014,733.48","50,299,565.33","78,356,223.64","105,711,023.43","26,535,387.64","56,644,779.92","92,379,262.43","130,462,923.60"
筹资活动现金流入小计,"279,305,423.57","293,678,628.40","500,779,626.98","274,568,862.81","654,530,067.50","677,481,669.01","49,937,349.67","73,719,205.65","78,763,305.17","196,922,347.89","20,450,000.00","44,450,000.00","44,450,000.00","200,450,000.00","58,000,000.00","192,000,000.00","316,486,890.00","401,486,890.00"
经营活动现金流出小计,"500,523,851.52","526,808,828.13","522,011,791.36","277,364,815.48","458,266,681.48","616,083,988.32","175,331,258.42","336,980,042.68","517,207,268.08","691,082,501.88","218,748,624.88","441,448,412.85","712,340,186.03","908,575,764.13","331,559,484.20","676,261,918.29","1,025,520,192.91","1,218,220,937.70"
偿还债务支付的现金,"253,150,996.36","286,193,259.49","449,593,053.75","233,659,275.83","343,151,668.23","529,384,127.22","49,519,141.18","89,725,203.42","113,370,306.55","123,436,217.36","7,000,000.00","23,708,333.34","63,000,000.00","63,000,000.00",,"8,000,000.00","87,000,000.00","182,000,000.00"
经营活动产生的现金流量净额,"77,963,837.22","48,620,577.32","50,252,367.26","21,512,819.10","44,559,506.87","46,644,961.28","-1,913,057.99","-4,650,899.26","42,317,838.65","122,728,786.13","13,912,548.21","72,567,446.17","115,079,128.86","134,076,783.81","-13,746,480.49","21,254,674.08","68,187,102.09","130,587,583.46"
分配股利、利润或偿还利息支付的现金,"35,880,311.75","8,751,723.84","39,638,481.28","44,520,527.77","47,904,254.63","49,680,208.05","566,224.84","13,160,298.84","13,898,055.05","14,067,650.00","256,305.00","27,422,351.66","27,774,416.67","27,906,934.83","2,116,636.27","64,215,050.17","69,401,814.70","72,737,147.16"
收回投资收到的现金,"77,851,194.40","8,000,000.00",,,,"506,550.00","20,000,000.00","51,011,652.10","50,305,290.68","141,891,908.57","21,216,370.68","21,400,480.27","21,802,666.57","21,786,472.29",,,"1,015,576.54","3,728,699.55"
支付其他与筹资活动有关的现金,"904,103.40","24,585,400.00","18,603,773.58","700,000.00","28,037,495.36","9,171,559.03",,"377,358.49",,"5,904,097.01",,,,,,,,
取得投资收益收到的现金,,"38,334.24","4,224,550.00","1,274,760.00","1,274,760.00",,"203,659.32",,,,,,,"3,206.57",,,,"218,677.54"
筹资活动现金流出小计,"289,935,411.51","319,530,383.33","507,835,308.61","278,879,803.60","419,093,418.22","588,235,894.30","50,085,366.02","103,262,860.75","127,268,361.60","143,407,964.37","7,256,305.00","51,130,685.00","90,774,416.67","90,906,934.83","2,116,636.27","72,215,050.17","156,401,814.70","254,737,147.16"
处置固定资产、无形资产和其他长期资产收回的现金净额,,243.59,,"155,750.62","198,478.62","155,750.62","10,085.46","10,126.51",,,,,,,,"92,233.01","92,233.01","92,233.01"
筹资活动产生的现金流量净额,"-10,629,987.94","-25,851,754.93","-7,055,681.63","-4,310,940.79","235,436,649.28","89,245,774.71","-148,016.35","-29,543,655.10","-48,505,056.43","53,514,383.52","13,193,695.00","-6,680,685.00","-46,324,416.67","109,543,065.17","55,883,363.73","119,784,949.83","160,085,075.30","146,749,742.84"
处置子公司及其他营业单位收到的现金净额,,,,,,,,,,,,,,,,,,
四、汇率变动对现金的影响,"-635,212.58","-216,011.98","-1,702,102.70","247,224.14","-290,206.66","378,634.04","719,876.18","772,297.27","502,242.85","5,847,264.52","7,301.15","3,192,533.43","3,657,514.92","5,988,052.17","-587,407.66","-1,678,166.98","-3,249,864.97","-5,011,551.76"
收到其他与投资活动有关的现金,"1,000,000.00","15,079,238.67",,"760,000.00","5,760,000.00","5,760,000.00",,,,"2,970,000.00",,,,,,"2,030,000.00","2,030,000.00","6,291,900.00"
四(2)、其他原因对现金的影响,,,,,,,,,,,,,,,,,,
投资活动现金流入小计,"78,851,194.40","23,117,816.50","4,224,550.00","2,190,510.62","7,233,238.62","6,422,300.62","20,213,744.78","51,021,778.61","50,305,290.68","144,861,908.57","21,216,370.68","21,400,480.27","21,802,666.57","21,789,678.86",,"2,122,233.01","3,137,809.55","10,331,510.10"
五、现金及现金等价物净增加额,"13,641,125.79","-13,170,861.02","-10,050,467.57","-9,271,694.82","242,732,134.33","41,854,257.84","-9,844,215.34","-21,963,167.85","-11,661,208.06","69,786,978.22","39,504,517.28","24,523,320.20","-4,859,752.66","-13,307,175.90","-12,935,906.40","36,600,750.46","45,196,672.65","2,630,684.12"
购建固定资产、无形资产和其他长期资产支付的现金,"46,108,705.31","58,841,487.93","54,880,162.42","27,958,007.89","43,252,131.51","50,563,312.81","6,910,511.96","13,809,509.37","25,805,027.68","32,113,368.31","7,625,397.76","49,092,527.53","82,210,719.20","167,853,734.75","54,485,381.98","104,882,939.48","182,963,449.32","280,026,600.52"
期初现金及现金等价物余额,"85,170,417.82","98,811,543.61","85,640,682.59","75,590,215.02","75,590,215.02","75,590,215.02","117,444,472.86","117,444,472.86","117,444,472.86","117,444,472.86","187,231,451.08","187,231,451.08","187,231,451.08","187,231,451.08","173,924,275.18","173,924,275.18","173,924,275.18","173,924,275.18"
投资支付的现金,"85,800,000.00",,"129,438.08",,"1,622.27","50,000,000.00","21,806,250.00","25,753,180.00","30,436,462.40","120,000,000.00","1,200,000.00","16,840,000.00","16,840,000.00","16,840,000.00",,,,
期末现金及现金等价物余额,"98,811,543.61","85,640,682.59","75,590,215.02","66,318,520.20","318,322,349.35","117,444,472.86","107,600,257.52","95,481,305.01","105,783,264.80","187,231,451.08","226,735,968.36","211,754,771.28","182,371,698.42","173,924,275.18","160,988,368.78","210,525,025.64","219,120,947.83","176,554,959.30"
