科目,2007年1-6月,2007年度,2008年1-3月,2008年1-6月,2008年1-9月,2008年度,2009年1-3月,2009年1-6月,2009年1-9月,2009年度,2010年1-3月,2010年1-6月,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月
支付其他与筹资活动有关的现金,"967,043.67",,,,"511,989,010.70","867,663,530.66","159,616,617.14",,"467,579,466.14","1,929,850,954.07","74,103,261.38","153,282,834.92","210,774,045.19","277,142,423.37","58,430,557.55","121,126,328.05","176,548,068.57","231,117,880.07","54,888,314.25","130,142,722.64","163,223,927.31","251,395,709.27","50,492,223.93","92,808,986.59","111,503,687.04","142,604,669.50","24,533,682.50","23,587,484.31","62,909,561.95","46,958,074.56","61,445,332.35","175,243,305.89","181,076,552.27","185,292,889.52","44,525,114.84","32,077,439,698.13","34,054,067,634.94","41,660,824,200.34","48,679,801.42","178,803,606.94","220,576,659.98"
取得投资收益收到的现金,,"7,076,383.94",,"10,563,831.68",,"38,943,728.11","6,443,603.54","15,654,566.18","22,961,861.10","22,915,946.05",,"2,827,115.40","12,729,269.16","18,177,917.81","1,200,000.00","18,223,734.86","25,135,102.52","25,155,811.52","11,250,000.00","27,351,239.49","36,950,053.33","50,435,609.81",,"51,604,698.24","66,706,505.33","74,662,527.70",,"33,194,148.49","33,194,148.49","38,113,173.81",,"79,090,148.31","79,186,122.11","33,620,973.80","2,666,950.38","119,594,915.81","236,668,356.21","362,017,130.51","25,613,668.98","129,933,195.94","347,480,988.55"
筹资活动现金流出小计,"2,150,433,504.56","7,461,689,809.19","413,617,123.27","780,707,937.16","2,310,531,892.17","3,296,231,115.21","1,310,209,159.84","3,855,601,292.92","6,424,944,647.07","7,030,210,085.98","2,042,682,025.94","2,588,067,481.82","3,048,299,555.76","3,970,502,259.91","405,559,475.52","1,411,011,260.75","1,604,185,567.79","3,479,447,121.62","595,996,493.82","1,250,349,474.35","3,491,674,267.73","10,824,449,074.71","357,313,368.52","1,442,707,527.86","2,840,308,250.95","15,697,606,397.94","16,795,753,473.38","3,464,590,075.32","4,627,127,775.27","8,777,452,373.52","19,918,709,601.39","40,432,508,706.22","87,136,388,166.70","9,777,490,348.97","42,021,839,788.71","100,262,261,394.66","119,218,643,040.99","200,286,872,175.09","7,995,066,307.89","22,578,261,758.27","33,618,648,449.41"
处置固定资产、无形资产和其他长期资产收回的现金净额,"356,106.36","13,628,834.58","557,124.31","623,595.62","77,746,582.75","269,832,339.58","758,281.82","6,528,154.72","22,911,138.15","59,731,340.54","1,361,482.64","6,760,320.72","73,174,026.90","154,406,885.14","15,337,990.53","16,370,962.50","35,425,081.12","61,902,427.81","23,019,128.73","48,952,572.22","107,122,714.40","3,389,311,562.50","18,774,900.75","30,640,210.32","143,185,513.74","161,409,318.43","442,580.12","77,013,786.05","86,824,715.38","126,606,366.26","9,780,060.86","16,706,090.18","178,387,259.88","191,574,677.41","311,545,435.18","745,064,115.12","1,243,834,568.61","251,380,862.53","1,383,176,996.23","1,338,384,356.13","1,335,151,361.19"
筹资活动产生的现金流量净额,"-240,600,680.56","11,911,064,352.31","1,779,789,697.73","1,687,062,883.84","1,597,831,152.47","1,117,388,044.79","-901,255,782.69","-1,306,868,571.32","-792,322,299.75","118,875,050.22","612,743,874.06","1,284,701,918.18","881,685,793.99","408,751,140.09","-350,463,845.87","-264,656,479.90","755,784,825.91","4,346,748,784.03","5,521,645,529.38","9,679,160,499.25","7,685,380,713.87","233,437,493.89","461,093,999.48","125,113,180.14","2,037,434,981.49","3,937,223,867.70","-2,442,870,552.11","946,946,439.62","-699,164,718.60","2,901,558,538.50","-615,559,515.29","117,905,569.48","2,877,082,110.58","3,986,427,896.23","28,462,914,579.29","-5,215,644,826.66","1,103,811,024.80","5,425,101,427.85","-1,731,483,827.89","-2,146,190,563.31","-4,502,226,328.11"
处置子公司及其他营业单位收到的现金净额,,,,,,,,,"5,260.89","5,260.89",,,,,,,,,,,,,,,,"696,342,352.17","365,077,801.63",,"110,945,863.59","231,051,011.90",,,,,"-1,111,641,921.58",,,,,"2,284,208.77","2,284,208.77"
四、汇率变动对现金的影响,"28,558,463.01","35,424,779.56","-11,553,164.68","-259,939,997.98","-836,239,306.30","-51,090,478.60","-3,978,648.50","-283,757.23","5,360,985.61","3,672,806.19","-28,165,550.05","-2,926,946.00","-12,778,006.08","-135,996,697.75","-29,811,919.16","-40,560,988.40","-119,008,236.92","-140,050,891.76","-7,007,560.11","12,346,409.28","29,245,520.91","-3,802,442.65","-53,931,172.83","-87,095,930.59","-87,967,453.25","-163,000,277.98","68,856,500.18","35,092,109.51","52,204,666.56","-2,238,028.07","456,232.56","-13,991,588.57","-563,552,406.13","303,152,617.86","-103,129,530.77","147,303,019.45","207,612,766.06","244,666,142.08","-27,737,196.04","-88,509,067.34","-179,777,867.99"
收到其他与投资活动有关的现金,,,,,,,,,"55,982,703.00",,,,,,,,,,,,,,,,,,,,,,,,,"5,200,000.00",,,,"4,750,000.00","75,000,000.00","77,100,000.00","75,000,000.00"
四(2)、其他原因对现金的影响,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
投资活动现金流入小计,"356,106.36","20,705,218.52","557,124.31","11,187,427.30","77,746,582.75","340,515,408.09","14,201,885.36","29,182,720.90","108,860,963.14","89,652,547.48","1,361,482.64","9,587,436.12","85,903,296.06","244,056,802.95","16,537,990.53","34,594,697.36","60,560,183.64","100,058,239.33","34,269,128.73","76,303,811.71","144,072,767.73","3,439,747,172.31","18,774,900.75","82,244,908.56","209,892,019.07","960,803,020.72","365,520,381.75","110,207,934.54","230,964,727.46","395,770,551.97","9,780,060.86","95,796,238.49","257,573,381.99","230,395,651.21","3,965,272,540.59","5,290,533,843.10","6,639,377,736.99","8,437,382,701.63","4,518,861,948.18","9,957,473,249.24","15,104,871,085.09"
五、现金及现金等价物净增加额,"926,488,702.25","13,404,421,495.71","1,311,666,967.85","-711,871,104.11","-2,002,242,155.20","-4,722,347,705.14","-1,620,504,789.34","-3,699,080,145.25","-5,048,127,302.45","-4,750,269,455.95","235,390,455.06","1,847,676,924.02","3,288,776,770.01","3,711,687,591.01","-1,801,677,542.24","-3,523,639,542.69","-4,306,231,373.68","-3,575,122,947.51","2,678,330,687.70","6,631,931,680.67","5,154,293,191.87","1,757,697,477.38","-744,913,252.70","-1,767,832,350.61","-600,509,666.47","771,833,518.20","-2,283,342,707.78","-1,386,767,804.85","-476,971,052.00","-246,915,569.21","-803,938,059.11","-1,350,493,592.83","671,694,646.16","1,645,162,943.43","-1,942,344,202.94","-1,895,658,542.85","2,460,058,185.24","-404,416,741.58","-3,447,812,447.83","-2,535,233,417.38","-4,179,415,450.03"
购建固定资产、无形资产和其他长期资产支付的现金,"465,185,504.76","3,829,563,476.93","2,485,262,476.25","4,415,500,478.32","3,277,620,949.55","6,997,251,602.82","265,766,732.20","739,889,939.06","992,781,305.73","1,316,323,187.78","78,375,715.59","741,569,202.18","1,709,529,387.35","2,115,112,759.07","1,227,782,384.63","2,768,013,646.55","3,538,858,606.64","5,385,603,055.23","1,263,415,077.28","1,702,782,647.16","2,250,217,498.24","2,115,105,498.38","432,467,301.61","1,477,960,735.79","1,803,710,180.32","2,640,090,424.51","340,327,328.08","2,650,521,565.26","2,687,883,129.11","5,909,289,377.39","1,240,923,862.95","2,544,005,569.94","3,568,023,879.14","3,792,890,019.45","3,394,398,910.14","5,879,446,832.85","9,048,256,060.56","14,659,706,551.78","4,153,944,188.32","8,972,894,059.62","11,667,980,935.02"
期初现金及现金等价物余额,,"2,915,539,320.65","16,319,960,816.36","16,359,286,432.50","16,359,286,432.50","16,398,342,573.02","11,675,994,867.88","11,731,977,570.88","11,731,977,570.88","11,686,977,570.88","6,936,708,114.93","6,936,708,114.93","6,936,708,114.93","6,936,708,114.93","10,648,395,705.94","10,648,395,705.94","10,648,395,705.94","10,648,395,705.94","7,073,272,758.43","7,073,272,758.43","7,073,272,758.43","7,073,272,758.43","8,830,970,235.81","8,830,970,235.81","8,830,970,235.81","8,830,970,235.81","9,602,803,754.01","9,602,803,754.01","9,602,803,754.01","9,602,803,754.01","9,356,388,184.80","9,355,888,184.80","9,355,888,184.80","9,355,888,184.80","15,338,783,901.87","15,860,939,443.04","15,860,939,443.04","15,931,670,596.28","12,989,554,847.89","15,527,253,854.70","15,527,253,854.70"
投资支付的现金,,"57,322,410.00",,"37,012,587.38","41,739,799.90","53,000,000.00","24,000,000.00","24,000,000.00","49,815,412.40","99,000,000.00","168,000,000.00","168,000,000.00","168,000,000.00","181,000,000.00",,"73,971,559.00","196,971,559.00","235,492,754.60",,"10,000,000.00","10,000,000.00","19,800,000.00",,"20,000,000.00","21,020,000.00","305,080,785.97",,"499,445,000.00","497,285,077.80","506,982,123.16",,,"57,605.83",,"31,569,228,674.21","1,050,328,715.20","2,323,773,698.60","7,161,700,092.76","2,999,291,412.70","4,608,078,562.76","7,261,817,329.55"
期末现金及现金等价物余额,,"16,319,960,816.36","17,631,627,784.21","15,647,415,328.39","14,357,044,277.30","11,675,994,867.88","10,055,490,078.54","8,032,897,425.63","6,683,850,268.43","6,936,708,114.93","7,172,098,569.99","8,784,385,038.95","10,225,484,884.94","10,648,395,705.94","8,846,718,163.70","7,124,756,163.25","6,342,164,332.26","7,073,272,758.43","9,751,603,446.13","13,705,204,439.10","12,227,565,950.30","8,830,970,235.81","8,086,056,983.11","7,063,137,885.20","8,230,460,569.34","9,602,803,754.01","7,319,461,046.23","8,216,035,949.16","9,125,832,702.01","9,355,888,184.80","8,552,450,125.69","8,005,394,591.97","10,027,582,830.96","11,001,051,128.23","13,396,439,698.93","13,965,280,900.19","18,320,997,628.28","15,527,253,854.70","9,541,742,400.06","12,992,020,437.32","11,347,838,404.67"
