科目,2007年1-6月,2007年度,2008年1-6月,2008年1-9月,2008年度,2009年1-3月,2009年1-6月,2009年1-9月,2009年度,2010年1-3月,2010年1-6月,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月
支付其他与经营活动有关的现金,"23,584,007.17","62,256,417.56","24,518,684.33","39,735,437.63","73,578,848.31","8,546,037.78","21,414,300.55","30,978,555.04","52,956,646.12","10,100,701.52","30,043,295.84","36,562,952.58","51,769,965.87","8,992,056.66","24,580,617.08","39,987,254.76","42,275,392.06","7,838,383.33","23,111,966.90","39,968,052.38","53,354,899.09","10,138,714.77","31,369,936.56","55,230,131.33","46,981,502.27","23,274,563.34","44,613,259.33","78,275,411.26","57,346,543.74","28,451,722.68","76,062,997.09","82,743,337.19","60,591,520.38","22,411,927.06","48,022,001.82","119,148,574.13","78,589,349.95","63,429,606.75","103,241,433.98","146,774,254.33","119,586,618.34","21,599,715.81"
筹资活动现金流入小计,"15,548,365.00","171,969,658.68","117,506,718.89","375,171,020.52","456,926,402.58","56,000,000.00","78,971,067.80","203,382,311.40","252,766,276.03","60,000,000.00","101,021,630.77","154,910,305.15","169,348,566.62","322,313.00","23,464,215.96","34,835,082.96","611,483.57",,"1,412,967.18","3,834,763.56","6,591,882.37","1,386,522.17","4,905,425.39","4,905,425.39","54,544,267.97","48,850,893.87","113,750,998.59","115,441,859.73","142,824,867.53","74,785,132.14","160,361,284.44","167,941,863.31","565,344,295.12","60,110,879.40","292,231,247.98","371,804,198.78","526,579,403.28","229,016,296.35","441,923,352.59","603,142,680.92","626,582,103.25","34,329,236.46"
经营活动现金流出小计,"296,959,469.34","761,272,591.40","390,601,954.20","609,235,806.26","823,992,954.40","183,138,749.49","348,970,288.63","465,806,363.67","649,098,382.22","182,754,261.69","333,798,370.13","549,537,318.31","736,410,444.92","236,975,452.63","427,157,984.36","643,977,698.31","805,934,689.65","174,200,723.03","340,765,726.19","565,084,451.85","782,312,016.58","157,685,778.46","314,735,986.60","517,815,676.82","662,360,681.54","161,160,363.73","317,076,004.78","495,970,110.42","701,420,808.64","186,562,514.66","396,939,212.55","583,013,560.22","757,984,845.36","153,383,626.31","322,515,604.15","567,050,034.66","726,152,683.93","208,860,203.42","439,729,063.25","683,925,130.25","867,081,747.62","140,230,921.76"
偿还债务支付的现金,"13,758,586.51","115,298,074.29","87,930,257.22","92,765,330.12","251,583,446.76","58,954,741.28","91,590,073.67","185,886,041.93","263,389,698.94","67,000,000.00","107,000,000.00","193,683,743.72","227,000,000.00",,,,,,,,,,,,"2,546,182.70","1,601,846.26","2,322,891.57","2,967,027.87","20,000,000.00","41,679,374.07","135,322,217.10","135,585,053.71","169,455,094.26","73,000,000.00","133,146,314.89","133,261,128.72","208,975,340.75","107,546,273.30","266,969,418.92","333,942,779.48","432,444,951.68","70,257,084.71"
经营活动产生的现金流量净额,"-3,431,684.27","79,387,501.67","-76,491,363.38","-96,601,325.71","-43,638,329.61","-21,175,234.02","-62,943,927.83","-6,519,776.40","44,406,960.67","-11,133,656.02","206,460.72","9,519,402.11","77,106,376.42","4,692,733.03","-14,388,126.82","12,860,067.88","29,145,583.63","-5,401,331.93","-32,535,302.54","-71,012,094.01","-39,178,806.11","8,511,718.87","13,461,820.43","12,752,839.82","29,625,244.22","-269,417.16","-15,029,682.12","-9,581,379.32","25,827,111.62","-10,431,637.87","-6,423,547.43","61,244,545.68","-10,707,544.82","28,436,799.94","-5,592,822.20","-4,803,936.72","43,351,418.67","-18,211,109.58","-81,168,571.46","-114,498,829.07","-73,266,243.70","33,067,652.11"
分配股利、利润或偿还利息支付的现金,"1,635,524.21","5,979,625.16","4,007,003.72","7,953,500.54","11,786,425.20","2,281,206.54","6,353,480.62","12,445,655.42","12,787,595.86","913,429.97","6,770,856.77","7,632,657.37","7,875,158.75",,"132,067.75","158,563.52","170,083.34","10,089.21","15,626,428.82","15,626,428.82","15,653,432.42","1,103.19","15,606,615.74","15,610,160.08","15,673,015.43","753,975.32","18,035,817.60","20,415,805.45","22,738,899.63","4,697,953.14","8,076,108.68","10,433,380.97","12,176,603.17","1,977,880.29","4,411,746.25","15,450,194.30","22,960,772.49","6,945,585.20","13,346,021.77","21,395,989.15","17,238,648.84","5,004,897.20"
收回投资收到的现金,,,,,,,,,,,,,,,,"10,000,000.00","10,097,260.27","30,000,000.00","30,000,000.00","60,000,000.00","60,675,150.69",,,,,,"10,000,000.00","35,000,000.00","35,107,205.28",,,,,,,,,,,,,
支付其他与筹资活动有关的现金,,,,,"10,357,776.90","249,506.03","564,397.04","2,286,848.05","30,940,959.70","64,801.21","610,675.11","729,327.78","779,954.40","16,538,886.00","33,134,272.87","43,233,439.50","14,522,493.63","3,305,025.96",,,,,"522,264.34","10,707,075.08","31,168,040.40","4,590,826.24","6,417,570.47","16,335,112.33","26,586,510.41","3,595,550.53","7,385,039.86","19,860,463.39","190,466,133.02","6,759,869.02","106,923,713.70","159,268,676.48","203,605,068.08","6,095,224.99","44,440,274.32","66,611,151.54","33,228,392.99","14,133,333.46"
取得投资收益收到的现金,,,,,,,,,,,,,,,,"97,260.00",,"308,657.54","308,657.54","308,657.54",,,,,,,"65,972.48","107,205.28",,,,,,,,,,,,,,
筹资活动现金流出小计,"15,394,110.72","121,277,699.45","91,937,260.94","100,718,830.66","273,727,648.86","61,485,453.85","98,507,951.33","200,618,545.40","307,118,254.50","67,978,231.18","114,381,531.88","202,045,728.87","235,655,113.15","16,538,886.00","33,266,340.62","43,392,003.02","14,692,576.97","3,315,115.17","15,626,428.82","15,626,428.82","15,653,432.42","1,103.19","16,128,880.08","26,317,235.16","49,387,238.53","6,946,647.82","26,776,279.64","39,717,945.65","69,325,410.04","49,972,877.74","150,783,365.64","165,878,898.07","372,097,830.45","81,737,749.31","244,481,774.84","307,979,999.50","435,541,181.32","120,587,083.49","324,755,715.01","421,949,920.17","482,911,993.51","89,395,315.37"
处置固定资产、无形资产和其他长期资产收回的现金净额,,,,,,,,,,,,,"442,092.55","49,946.13","49,946.13","69,946.13","527,701.78","5,000.00","28,768.71","28,768.71","29,768.71",,,"60,000.00",600.00,,,,"43,145.63",,"1,251.00","1,251.00","73,051.00",,"31,613.37","761,834.99","890,078.81","3,086.45",,"4,000.00","5,918.27",
筹资活动产生的现金流量净额,"154,254.28","50,691,959.23","25,569,457.95","274,452,189.86","183,198,753.72","-5,485,453.85","-19,536,883.53","2,763,766.00","-54,351,978.47","-7,978,231.18","-13,359,901.11","-47,135,423.72","-66,306,546.53","-16,216,573.00","-9,802,124.66","-8,556,920.06","-14,081,093.40","-3,315,115.17","-14,213,461.64","-11,791,665.26","-9,061,550.05","1,385,418.98","-11,223,454.69","-21,411,809.77","5,157,029.44","41,904,246.05","86,974,718.95","75,723,914.08","73,499,457.49","24,812,254.40","9,577,918.80","2,062,965.24","193,246,464.67","-21,626,869.91","47,749,473.14","63,824,199.28","91,038,221.96","108,429,212.86","117,167,637.58","181,192,760.75","143,670,109.74","-55,066,078.91"
处置子公司及其他营业单位收到的现金净额,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"20,905,855.94",,,,,
四、汇率变动对现金的影响,"-919,515.59","-1,380,747.78","-1,167,270.51","-1,173,739.82","-3,188,106.26","-948,317.65","-999,214.44","-1,684,456.27","580,167.01","-428,236.93","-1,390,329.32","-3,784,395.91","-2,434,153.49","-1,214,612.70","-2,177,097.98","-6,133,401.49","-1,956,076.59","4,390.36","108,525.96","-332,125.86","-149,434.72","-1,328,256.56","-3,394,213.92","-4,625,928.29","-844,271.10","919,489.08","1,913,559.48","3,242,368.88","-935,958.00","2,656,111.36","7,101,352.74","10,105,972.81","8,218,824.57","3,247,544.72","1,758,762.35","3,283,629.22","15,091,951.60","-412,256.02","-866,510.30","-4,451,381.95","-5,064,623.18","-1,245,984.01"
收到其他与投资活动有关的现金,,,,,,,,,,,,,"3,067,102.50","368,400.00",,,"10,399,302.50","177,189.00","214,644.50","682,756.65","4,136,903.00","1,014,150.00","8,090,560.00","8,090,560.00","8,106,624.02",,,,,,,,,,,,,,,,,
四(2)、其他原因对现金的影响,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
投资活动现金流入小计,,,,,,,,,,,,,"3,509,195.05","418,346.13","49,946.13","10,167,206.13","21,024,264.55","30,490,846.54","30,552,070.75","61,020,182.90","64,841,822.40","1,014,150.00","8,090,560.00","8,150,560.00","8,107,224.02",,"10,065,972.48","35,107,205.28","35,150,350.91",,"1,251.00","1,251.00","73,051.00",,"31,613.37","761,834.99","21,795,934.75","3,086.45",,"4,000.00","5,918.27",
五、现金及现金等价物净增加额,"-28,892,740.00","62,315,229.91","-94,845,352.32","91,628,770.95","91,314,843.61","-32,372,032.37","-90,025,704.04","-18,783,357.57","-26,124,324.43","-24,916,133.67","-27,100,209.15","-56,960,789.07","-14,780,805.06","-22,211,963.40","-54,861,737.17","-37,100,690.44","-44,045,527.33","18,406,450.42","-54,667,786.18","-64,895,776.05","-28,695,714.15","7,105,567.08","831,928.87","-13,069,981.24","31,469,323.36","38,753,404.96","-13,604,035.93","-5,694,166.13","-18,412,612.13","-10,653,841.57","-33,734,636.22","-6,413,701.31","62,522,811.49","-36,826,788.69","-42,350,905.83","-56,585,987.18","-42,556,553.95","4,163,854.57","-68,210,005.06","-60,095,968.50","-79,410,742.38","-30,066,266.70"
购建固定资产、无形资产和其他长期资产支付的现金,"24,545,793.42","66,233,482.21","42,756,176.38","85,048,353.38","45,057,474.24","4,763,026.85","6,545,678.24","13,342,890.90","16,759,473.64","5,376,009.54","12,556,439.44","15,560,371.55","26,655,676.51","9,891,856.86","18,544,333.84","35,437,642.90","38,178,205.52","3,372,339.38","8,579,618.71","12,780,073.82","15,147,745.67","2,477,464.21","6,102,782.95","7,935,643.00","10,575,903.22","3,234,263.01","37,671,523.99","52,229,185.39","93,176,088.25","25,290,569.46","42,807,392.53","62,988,585.01","111,375,916.79","43,884,263.44","64,724,369.99","80,149,817.72","161,371,757.99","20,645,079.14","35,342,560.88","53,342,518.23","74,255,903.51","6,821,855.89"
期初现金及现金等价物余额,"78,446,370.11","78,446,370.11","140,761,600.02","140,761,600.02","140,761,600.02","232,076,443.63","232,076,443.63","232,076,443.63","232,076,443.63","205,952,119.20","205,952,119.20","205,952,119.20","205,952,119.20","191,171,314.14","191,171,314.14","191,171,314.14","191,171,314.14","147,125,786.81","147,125,786.81","147,125,786.81","147,125,786.81","118,430,072.66","118,430,072.66","118,430,072.66","118,430,072.66","150,414,614.07","149,899,396.02","149,899,396.02","149,899,396.02","132,702,565.09","131,486,783.89","131,986,851.84","131,986,851.84","194,509,663.33","194,509,663.33","194,509,663.33","194,509,663.33","151,953,109.38","151,953,109.38","151,953,109.38","151,953,109.38","72,542,367.00"
投资支付的现金,,,,,,,,,,,,,,,"10,000,000.00","10,000,000.00","40,000,000.00",,"30,000,000.00","30,000,000.00","30,000,000.00",,,,,,"57,318,255.73","55,722,464.66","36,758,704.42",,,"14,439,851.03",1.00,"3,000,000.00","21,573,562.50","39,501,896.23","15,000,000.00","65,000,000.00","68,000,000.00","69,000,000.00","70,500,000.00",
期末现金及现金等价物余额,"49,553,630.11","140,761,600.02","45,916,247.70","232,390,370.97","232,076,443.63","199,704,411.26","142,050,739.59","213,293,086.06","205,952,119.20","181,035,985.53","178,851,910.05","148,991,330.13","191,171,314.14","168,959,350.74","136,309,576.97","154,070,623.70","147,125,786.81","165,532,237.23","92,458,000.63","82,230,010.76","118,430,072.66","125,535,639.74","119,262,001.53","105,360,091.42","149,899,396.02","189,168,019.03","136,295,360.09","144,205,229.89","131,486,783.89","122,048,723.52","97,752,147.67","125,573,150.53","194,509,663.33","157,682,874.64","152,158,757.50","137,923,676.15","151,953,109.38","156,116,963.95","83,743,104.32","91,857,140.88","72,542,367.00","42,476,100.30"
