科目,2013年度,2014年度,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月
支付的各项税费,"10,034,217.95","15,206,170.59","11,299,992.97",,"3,523,428.20","6,985,123.68","10,814,343.53","3,462,554.22","7,147,685.34","11,682,804.96","11,825,842.31","5,018,798.88","5,763,454.41"
收到其他与筹资活动有关的现金,,,,,,,,,,,,,
支付其他与经营活动有关的现金,"41,058,954.01","76,612,358.60","76,277,352.08",,"27,412,404.85","51,275,659.89","58,986,434.78","10,907,494.17","39,299,381.78","41,561,264.05","52,815,510.33","18,532,025.16","26,674,281.50"
筹资活动现金流入小计,,"22,178,154.90","18,120,312.35",,"227,250,000.00","227,250,000.00","227,250,000.00",,"4,700,000.00",,,,
经营活动现金流出小计,"472,080,393.36","494,885,901.44","500,933,935.24",,"240,345,801.11","380,096,241.48","459,085,249.38","168,398,548.26","340,599,137.82","511,971,526.15","601,526,350.84","209,540,211.40","421,617,372.79"
偿还债务支付的现金,"30,000,000.00","12,101,646.80","20,189,721.90",,"8,477,394.80","8,477,394.80","8,556,116.45",,"5,200,000.00","1,200,000.00","1,200,000.00","3,000,000.00","3,000,000.00"
经营活动产生的现金流量净额,"63,214,655.89","54,167,650.46","67,053,801.78","-6,170,300.00","19,525,820.16","32,219,604.22","56,588,417.65","-8,297,921.12","46,096,946.32","51,117,963.20","100,574,104.97","-58,945,611.24","-46,909,048.82"
分配股利、利润或偿还利息支付的现金,"1,642,155.50","22,596,326.56","9,833,119.21",,"22,027.85","22,027.85","22,027.85",,"35,067,003.90","35,113,501.73","32,748,135.45","28,614.84","22,914,305.88"
收回投资收到的现金,,,,,,,,,,,,,
支付其他与筹资活动有关的现金,"1,897,735.85","1,183,018.87","450,000.00",,"7,924,210.60","7,924,210.60","7,338,176.31",,,,,,
取得投资收益收到的现金,,"548,640.00","13,800.00",,,,,,,,"1,444,500.00","1,143,400.00","688,800.00"
筹资活动现金流出小计,"33,539,891.35","35,880,992.23","30,472,841.11",,"16,423,633.25","16,423,633.25","15,916,320.61",,"40,267,003.90","36,313,501.73","33,948,135.45","3,028,614.84","25,914,305.88"
处置固定资产、无形资产和其他长期资产收回的现金净额,"161,216.22","619,744.56","75,977.68",,,"425,551.45","859,439.06",,"171,010.00","235,510.00","408,535.64",,"46,120.69"
筹资活动产生的现金流量净额,"-33,539,891.35","-13,702,837.33","-12,352,528.76","-9,462,100.00","210,826,366.75","210,826,366.75","211,333,679.39",,"-35,567,003.90","-36,313,501.73","-33,948,135.45","-3,028,614.84","-25,914,305.88"
处置子公司及其他营业单位收到的现金净额,,,,,,,,,,,,,
四、汇率变动对现金的影响,"-3,152,128.56","516,714.03","7,855,281.57",,"2,796,505.69","4,069,198.47","13,321,328.92","-1,639,306.11","-6,629,612.76","-12,754,631.20","-18,351,825.06","-11,940,064.74","-1,643,926.60"
收到其他与投资活动有关的现金,"1,162,805.36","5,386,866.68","2,000,000.00",,,,,,,,"1,200,000.00",,
四(2)、其他原因对现金的影响,,,,,,,,,,,,,
投资活动现金流入小计,"1,324,021.58","6,555,251.24","2,089,777.68",,,"425,551.45","859,439.06",,"171,010.00","235,510.00","3,053,035.64","1,143,400.00","734,920.69"
五、现金及现金等价物净增加额,"6,705,857.32","26,348,826.66","57,653,309.99","-17,333,000.00","232,241,690.66","245,516,611.54","277,026,636.26","-13,998,844.46","-21,657,394.24","-28,448,796.91","13,161,454.39","-110,709,928.92","-159,570,208.37"
购建固定资产、无形资产和其他长期资产支付的现金,"16,963,638.74","18,365,441.20","4,993,022.28",,"907,001.94","2,024,109.35","5,076,228.76","4,061,617.23","11,123,956.24","16,129,359.52","23,560,948.05","37,939,038.10","50,381,072.76"
期初现金及现金等价物余额,"82,006,211.10","88,712,068.42","115,060,895.08",,"172,714,205.07","172,714,205.07","172,714,205.07","449,740,841.33","449,740,841.33","449,740,841.33","449,740,841.33","462,902,295.72","462,902,295.72"
投资支付的现金,"450,000.00",,,,,,,,,,,,"35,456,775.00"
期末现金及现金等价物余额,"88,712,068.42","115,060,895.08","172,714,205.07",,"404,955,895.73","418,230,816.61","449,740,841.33","435,741,996.87","428,083,447.09","421,292,044.42","462,902,295.72","352,192,366.80","303,332,087.35"
