科目,2011年度,2012年度,2013年1-9月,2013年度,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月
处置固定资产、无形资产和其他长期资产收回的现金净额,"342,478.63","206,887.00","115,705.17","139,182.97","68,885.86","68,885.86","79,432.87","93,617.25","137,991.45","1,145,743.30","151,735.03","59,223.30","67,770.31","59,223.30","15,000.00",,"154,000.00","313,950.00"
筹资活动产生的现金流量净额,"-15,085,118.30","-63,875.84","-25,592,680.83","-15,649,542.25","-1,763,375.87","-3,915,102.22","134,060,965.40","-9,101,951.54","-15,543,183.27","5,453,515.00","146,012,384.15","5,681,930.85","295,017,788.51","284,605,644.46","266,598,065.94","248,830,301.55","203,728,605.34","274,622,931.44"
处置子公司及其他营业单位收到的现金净额,,,,,,,,,,,,,,,,,,
四、汇率变动对现金的影响,"-150,710.94",-255.48,"-6,648.07","-7,970.01",-913.05,-934.29,"-1,728.05","1,383.35","-1,175.88",,"4,625.13",,"73,178.68","4,332.01","291,942.72","-40,396.12","-190,656.28","-326,761.43"
收到其他与投资活动有关的现金,,,,,,,,,,,,,,,"6,480,560.00",,,
四(2)、其他原因对现金的影响,,,,,,,,,,,,,,,,,,
投资活动现金流入小计,"394,806.03","206,887.00","115,705.17","139,182.97","68,885.86","68,885.86","79,432.87","93,617.25","137,991.45","1,145,743.30","151,735.03","59,223.30","67,770.31","59,223.30","6,705,990.52",,"154,000.00","313,950.00"
五、现金及现金等价物净增加额,"-13,016,430.54","12,058,214.68","-22,463,378.31","-10,060,110.08","-5,543,919.68","-21,867,221.34","124,254,036.06","-22,989,050.27","-43,696,441.66","-54,215,358.06","-35,390,005.69","-75,482,241.89","-25,326,088.72","3,588,279.83","-13,811,232.83","118,618,917.02","60,229,696.86","47,563,314.76"
购建固定资产、无形资产和其他长期资产支付的现金,"16,190,287.47","9,825,853.14","2,638,877.38","4,232,403.24","3,861,378.36","6,615,367.86","8,353,556.61","2,924,589.37","8,128,731.32","23,648,470.59","75,617,639.50","5,419,599.37","9,954,705.91","12,593,629.94","18,956,117.75","4,085,218.31","20,684,527.67","70,316,171.21"
期初现金及现金等价物余额,"53,848,118.12","40,831,687.58","52,889,902.26","52,889,902.26","42,829,792.18","42,829,792.18","42,829,792.18","167,083,828.24","167,083,828.24","167,083,828.24","167,083,828.24","131,693,822.55","131,693,822.55","131,693,822.55","131,693,822.55","117,882,589.72","117,882,589.72","117,882,589.72"
投资支付的现金,,,,,,,,,,,"59,976,000.00","57,624,000.00","57,624,000.00","57,624,000.00","57,624,000.00",,,
期末现金及现金等价物余额,"40,831,687.58","52,889,902.26","30,426,523.95","42,829,792.18","37,285,872.50","20,962,570.84","167,083,828.24","144,094,777.97","123,387,386.58","112,868,470.18","131,693,822.55","56,211,580.66","106,367,733.83","135,282,102.38","117,882,589.72","236,501,506.74","178,112,286.58","165,445,904.48"
