科目,2010年度,2011年度,2012年度,2013年1-6月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月
筹资活动现金流入小计,"15,431,046,734.20","19,525,631,970.70","23,431,096,600.00","12,148,712,610.63","21,270,570,386.27","3,812,771,548.32","10,040,900,000.00","12,775,652,000.00","30,007,034,797.70","1,022,000,000.00","2,700,844,000.00","5,101,423,600.00","10,026,671,537.97","2,992,704,340.95","4,282,400,160.95","6,958,240,202.33","11,352,585,030.15","840,000,000.00","2,589,180,000.00","4,717,578,200.00","9,346,538,200.00","809,564,500.00","3,578,044,500.00"
经营活动现金流出小计,"35,270,713,160.37","44,511,844,397.89","46,436,277,013.55","22,987,047,828.35","50,776,264,457.57","8,491,370,476.44","19,991,194,247.17","27,318,397,579.12","40,373,501,064.45","8,600,844,889.98","16,908,984,303.87","25,666,911,041.91","34,477,463,022.24","6,585,370,053.08","13,868,387,874.03","24,184,970,537.95","32,749,910,611.33","11,245,440,814.67","23,116,096,329.01","37,222,109,785.43","53,719,865,094.94","13,853,690,661.09","29,291,069,302.66"
偿还债务支付的现金,"13,427,435,737.60","15,680,105,586.45","20,399,988,559.98","7,593,587,730.59","14,736,342,112.98","4,058,500,000.00","10,248,623,784.97","13,516,853,028.95","24,750,935,724.98","1,656,698,107.50","4,201,326,590.79","8,480,801,229.47","13,901,738,472.72","3,675,076,112.08","5,020,624,092.49","7,064,603,613.28","11,430,295,797.62","985,039,092.40","2,387,592,523.37","4,148,941,161.77","7,507,531,149.69","1,430,166,473.61","4,459,703,904.96"
经营活动产生的现金流量净额,"7,761,897,894.11","5,373,752,381.88","9,067,977,361.26","6,258,962,199.85","13,262,167,061.65","2,422,006,619.51","4,495,156,607.20","9,608,792,076.96","10,423,366,933.58","4,395,168,165.90","8,211,714,865.80","11,307,314,688.57","12,655,781,718.87","4,164,023,217.69","8,390,648,976.49","11,399,604,404.23","13,350,746,402.05","2,252,983,883.18","5,201,522,397.83","7,291,127,946.42","9,986,396,966.29","1,657,445,114.47","3,368,310,790.74"
分配股利、利润或偿还利息支付的现金,"2,621,818,642.15","5,174,465,763.83","3,508,988,254.12","4,967,631,505.58","6,344,144,112.38","386,183,671.56","3,841,430,009.08","4,294,173,264.26","5,070,315,213.10","344,463,740.44","2,736,229,525.24","5,682,502,705.96","6,186,751,684.96","317,700,803.07","5,059,030,742.51","5,535,308,917.93","6,262,548,693.88","260,555,629.53","4,258,992,990.79","4,580,784,694.54","5,316,597,225.81","300,642,165.45","1,011,797,474.89"
收回投资收到的现金,"106,207,398.46","302,583,438.67","108,114,472.23","21,981,031.03","21,981,031.03",,"43,349,461.97","43,349,461.97","43,349,461.97",,,,,,,,,,"148,468,009.67","193,809,428.60","233,623,032.73","46,510,069.74","263,432,567.67"
支付其他与筹资活动有关的现金,,,,,"8,830,000.00","354,612,613.90","42,000,000.00","42,000,000.00","5,699,000.00","4,121,982.82","800,000.00","800,000.00","9,086,089.57","36,339.01",,,"12,692,182.65",,,,"315,936,227.93","111,250,754.28","111,250,754.28"
取得投资收益收到的现金,"932,544,783.24","1,386,901,924.86","1,271,606,326.92","687,119,543.82","1,901,904,336.66",,"897,179,949.84","2,218,685,813.06","2,554,963,725.46",,"825,331,126.47","2,241,872,282.32","2,542,507,706.59","312,881,296.97","1,950,534,962.82","2,939,325,959.79","3,111,429,786.78","8,981,741.41","1,391,151,754.50","1,709,430,482.77","2,078,702,491.84","59,228,962.72","1,181,796,794.87"
筹资活动现金流出小计,"16,049,254,379.75","20,854,571,350.28","23,908,976,814.10","12,561,219,236.17","21,089,316,225.36","4,799,296,285.46","14,132,053,794.05","17,853,026,293.21","29,826,949,938.08","2,005,283,830.76","6,938,356,116.03","14,164,103,935.43","20,097,576,247.25","3,992,813,254.16","10,079,654,835.00","12,599,912,531.21","17,705,536,674.15","1,245,594,721.93","6,646,585,514.16","8,729,725,856.31","13,140,064,603.43","1,842,059,393.34","5,582,752,134.13"
处置固定资产、无形资产和其他长期资产收回的现金净额,"34,458,500.89","43,877,786.47","220,576,954.23","9,794,624.72","31,381,429.98","9,882,490.33","18,754,938.22","51,548,456.61","81,168,249.76","6,335,932.22","53,764,099.17","73,165,575.50","83,289,796.80","9,204,568.27","16,495,619.80","16,496,019.80","33,155,800.03","2,000.00","11,800.00","9,545,544.27","45,456,681.93","11,391,000.00","11,373,709.83"
筹资活动产生的现金流量净额,"-618,207,645.55","-1,328,939,379.58","-477,880,214.10","-412,506,625.54","181,254,160.91","-986,524,737.14","-4,091,153,794.05","-5,077,374,293.21","180,084,859.62","-983,283,830.76","-4,237,512,116.03","-9,062,680,335.43","-10,070,904,709.28","-1,000,108,913.21","-5,797,254,674.05","-5,641,672,328.88","-6,352,951,644.00","-405,594,721.93","-4,057,405,514.16","-4,012,147,656.31","-3,793,526,403.43","-1,032,494,893.34","-2,004,707,634.13"
处置子公司及其他营业单位收到的现金净额,,,,,,"174,890,392.72","166,495,182.32","166,495,182.32","166,495,182.32",,,,,,,,,,,,"11,217,164.58",,
四、汇率变动对现金的影响,"671,643.59","-856,497.82","-760,540.01","-15,918.29","6,539.90",,"2,898.14","-8,390.96","-8,343,523.20","-3,043.50","-4,356.40","20,618.26","-4,618,715.54","-1,464.79","14,735.30","19,747.96","325,702.02","-3,002.54","-12,238.42","-24,567.19","-500,973.88","-23,292.09","59,478.97"
收到其他与投资活动有关的现金,"145,500,000.00","15,300,000.00","54,396,600.00","36,500,000.00","177,300,000.00","9,986,842.54","3,751,000.00","3,751,000.00","53,768,000.00","4,916,106.07","35,188,000.00","35,188,000.00","46,688,000.00","566,667.23","22,550,000.00","22,550,000.00","27,930,000.00",,"31,745,268.00","31,765,268.00","46,665,939.21",,"9,208,951.85"
四(2)、其他原因对现金的影响,,,,,,,,,,,,,,,,,,,,,,,
投资活动现金流入小计,"1,218,710,682.59","1,748,663,150.00","1,654,694,353.38","755,395,199.57","2,132,566,797.67","194,759,725.59","1,129,530,532.35","2,483,829,913.96","2,899,744,619.51","11,252,038.29","914,283,225.64","2,350,225,857.82","2,672,485,503.39","322,652,532.47","1,989,580,582.62","2,978,371,979.59","3,172,515,586.81","8,983,741.41","1,571,376,832.17","1,944,550,723.64","2,415,665,310.29","117,130,032.46","1,465,812,024.22"
五、现金及现金等价物净增加额,"1,461,470,878.35","-903,658,108.87","1,195,214,780.85","1,310,124,166.38","2,608,555,606.38","49,730,967.46","-2,318,158,399.43","1,070,950,866.02","4,362,030,542.51","1,919,988,310.77","1,458,231,763.90","-558,426,277.07","-2,090,348,571.56","2,426,811,736.83","1,875,254,275.25","4,577,126,664.58","3,309,783,344.99","570,350,575.04","-2,485,716,330.08","-1,184,174,570.05","-3,069,019,774.81","-1,088,051,993.94","-118,942,304.16"
购建固定资产、无形资产和其他长期资产支付的现金,"6,353,781,269.68","6,071,604,051.98","7,238,433,103.80","3,077,111,260.15","10,249,133,119.04","1,557,376,906.97","3,721,940,203.07","5,768,727,520.73","8,816,719,027.00","1,503,145,019.16","3,302,449,855.11","4,983,107,106.29","7,087,625,200.54","1,059,753,635.33","2,687,735,345.11","4,002,774,138.32","6,645,292,701.89","1,285,911,255.78","2,241,679,781.87","3,115,957,500.77","6,211,086,576.14","875,758,484.68","1,480,344,111.93"
期初现金及现金等价物余额,"5,823,070,068.07","7,284,540,946.42","6,380,882,837.55","7,576,097,618.40","7,576,097,618.40","10,184,653,224.78","10,184,653,224.78","10,184,653,224.78","10,184,653,224.78","14,546,683,767.29","14,546,683,767.29","14,546,683,767.29","14,546,683,767.29","12,456,335,195.73","12,456,335,195.73","12,456,335,195.73","12,456,335,195.73","15,766,380,940.72","15,766,118,540.72","15,766,380,940.72","15,876,835,611.56","12,807,815,836.75","12,807,815,836.75"
投资支付的现金,"544,537,169.10","322,422,800.00","1,810,383,075.88","2,214,599,429.06","2,713,510,492.60","10,080,000.00","129,754,440.00","175,560,920.00","316,103,320.00",,"127,800,000.00","170,200,000.00","212,600,000.00",,"20,000,000.00","156,423,000.00","215,560,000.00","108,069.30","2,959,518,025.63","3,291,723,515.84","4,599,419,516.60","423,833,713.33","1,468,072,852.03"
期末现金及现金等价物余额,"7,284,540,946.42","6,380,882,837.55","7,576,097,618.40","8,886,221,784.78","10,184,653,224.78","10,234,384,192.24","7,866,494,825.35","11,255,604,090.80","14,546,683,767.29","16,466,672,078.06","16,004,915,531.19","13,988,257,490.22","12,456,335,195.73","14,883,146,932.56","14,331,589,470.98","17,033,461,860.31","15,766,118,540.72","16,336,731,515.76","13,280,402,210.64","14,582,206,370.67","12,807,815,836.75","11,719,763,842.81","12,688,873,532.59"
