科目,2007年1-3月,2007年1-6月,2007年1-9月,2007年度,2008年1-3月,2008年1-6月,2008年1-9月,2008年度,2009年1-3月,2009年1-6月,2009年1-9月,2009年度,2010年1-3月,2010年1-6月,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月
筹资活动产生的现金流量净额,"213,491,688.97","452,022,378.31","373,898,651.78","496,771,326.56","113,781,190.61","-116,758,196.24","-113,373,728.90","-139,563,164.46","29,947,701.06","115,144,871.14","21,926,544.94","135,743,878.99","-152,835,359.76","-262,298,242.56","-253,783,437.99","-332,282,293.15","-31,119,647.92","-69,608,819.49","-6,679,153.19"
处置子公司及其他营业单位收到的现金净额,,,,"1,000,000.00",,,,,,,,,,,,,,,
四、汇率变动对现金的影响,,,,"-979,899.43",,"-2,570,506.93",,"1,845,577.05",,,,"4,345,218.33",,,,"-207,204.64","-140,016.83","-120,864.24",
收到其他与投资活动有关的现金,,,"1,031,222.00","184,031.37",,,,"443,766.35",20.00,"30,020.00","30,020.00",,,,"775,741.97",,,,
四(2)、其他原因对现金的影响,,,,,,,,,,,,,,,,,,,
投资活动现金流入小计,"185,500.00","300,143.47","1,370,155.47","4,699,353.32","17,624.00","54,141.00","54,141.00","704,907.35","136,958.12","661,288.12","1,109,668.12","1,073,764.90","31,607.53","1,672,296.28","2,503,447.83","2,537,029.00","2,276.78","2,276.78","2,646.42"
五、现金及现金等价物净增加额,"226,616,771.29","375,935,836.39","225,804,738.72","379,091,776.65","-76,680,320.82","-166,492,346.28","-302,321,308.52","-156,128,708.91","117,455,925.51","59,921,799.23","-62,358,830.98","-180,232,122.69","-36,156,035.95","-197,979,454.48","-92,660,123.08","-116,792,556.00","13,013,524.10","-12,624,153.47","75,528,562.39"
购建固定资产、无形资产和其他长期资产支付的现金,"123,790,644.28","260,584,120.73","377,596,393.72","479,315,951.46","56,394,917.32","189,900,016.37","253,938,511.16","320,409,349.57","57,235,386.57","161,868,501.21","215,016,130.25","439,201,531.38","19,779,658.35","36,997,817.53","55,357,651.49","111,876,376.06","22,545,273.80","35,797,043.36","45,451,531.29"
期初现金及现金等价物余额,"577,702,096.35","577,702,096.35","577,702,096.35","577,702,096.35","956,793,873.00","956,793,873.00","947,109,883.25","952,601,737.64","796,473,028.73","796,473,028.73","796,473,028.73","796,473,028.73","616,240,906.04","616,240,906.04","616,240,906.04","616,240,906.04","499,448,350.04","499,448,350.04","499,448,350.04"
投资支付的现金,"2,137,072.00","2,455,558.94","2,611,745.08","3,000,000.00",,,,,,,,,,"13,000,000.00",,,,,
期末现金及现金等价物余额,"804,318,867.64","953,637,932.74","803,506,835.07","956,793,873.00","880,113,552.18","790,301,526.72","644,788,574.73","796,473,028.73","913,928,954.24","856,394,827.96","734,114,197.75","616,240,906.04","580,084,870.09","418,261,451.56","523,580,782.96","499,448,350.04","512,461,874.14","486,824,196.57","574,976,912.43"
