科目,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月
偿还债务支付的现金,"3,926,509,756.19","4,879,301,270.72","500,000,000.00","1,510,000,000.00","2,410,000,000.00","2,410,000,000.00",,"1,000,000.00","201,000,000.00","236,000,000.00","1,000,000,000.00"
经营活动产生的现金流量净额,"5,777,321,015.29","9,303,222,839.61","2,316,126,824.95","7,773,351,169.41","11,434,197,041.30","14,652,743,719.86","955,941,073.63","437,426,956.55","3,171,054,971.15","7,994,018,444.96","325,206,203.13"
分配股利、利润或偿还利息支付的现金,"882,946,548.52","1,072,736,567.71","75,665,186.30","2,134,031,939.78","2,186,869,877.62","4,382,237,186.17","1,357,345.94","4,768,801,494.82","4,807,469,263.29","4,851,132,422.54","68,187,720.65"
收回投资收到的现金,"1,114,198,739.38","195,696,021.53","107,197,326.57",,,"86,887,569.86","125,958,772.76","3,637,910,040.45","2,235,910,040.45","325,399,820.94","1,435,083,850.19"
支付其他与筹资活动有关的现金,"24,305,131.77","22,273,520.62",,"11,174,000.00","11,174,000.00","11,358,000.00","4,250,000.00","4,250,000.00","20,370,000.00","52,624,181.80",
取得投资收益收到的现金,"156,171,405.57","216,603,242.81","55,663,134.61","154,036,800.24","157,798,583.78","427,730,738.79","61,372,370.48","174,349,406.52","204,581,138.01","312,002,048.93","94,601,153.55"
筹资活动现金流出小计,"4,833,761,436.48","5,974,311,359.05","575,665,186.30","3,655,205,939.78","4,608,043,877.62","6,803,595,186.17","5,607,345.94","4,774,051,494.82","5,028,839,263.29","5,139,756,604.34","1,068,187,720.65"
处置固定资产、无形资产和其他长期资产收回的现金净额,"748,245,547.91","1,440,205,841.51","404,441,674.25","923,183,667.18","1,396,029,066.15","1,789,529,130.73","445,491,489.24","912,798,155.40","1,406,304,385.39","1,953,982,959.15","411,924,011.04"
筹资活动产生的现金流量净额,"-2,341,844,984.42","-3,185,636,128.68","-575,665,186.30","-3,638,371,076.67","-4,582,611,086.34","-6,778,268,237.50","1,005,128,772.93","-546,964,104.58","1,229,778,760.95","1,111,921,275.11","-64,281,417.61"
处置子公司及其他营业单位收到的现金净额,,,,,,,,,,"11,476,333.46","977,957.22"
四、汇率变动对现金的影响,"156,730.40","4,100,311.53","845,294.47","2,023,966.72","3,812,388.02","4,125,411.07","2,279,187.15","400,949.18","-2,114,872.18","-3,962,173.76","-2,697,733.80"
收到其他与投资活动有关的现金,"9,436,000.00","30,164,856.98",,,,"8,213,731.51",,"1,317,537.73","2,775,309.77",,
四(2)、其他原因对现金的影响,,,,,,,,,,,
投资活动现金流入小计,"2,028,051,692.86","1,882,669,962.83","567,302,135.43","1,077,220,467.42","1,553,827,649.93","2,312,361,170.89","632,822,632.48","4,726,375,140.10","3,849,570,873.62","2,602,861,162.48","1,942,586,972.00"
五、现金及现金等价物净增加额,"315,340,324.01","25,647,782.55","129,048,726.28","-368,973,452.14","-592,300,831.39","-701,631,659.35","215,937,586.56","-130,021,878.37","-18,881,000.52","337,418,570.33","70,053,906.25"
购建固定资产、无形资产和其他长期资产支付的现金,"2,747,785,196.59","4,524,653,437.11","1,342,776,035.28","3,036,439,004.03","4,881,020,561.73","7,288,566,216.97","1,877,264,463.72","4,154,357,349.60","6,571,715,513.49","9,776,677,685.45","2,013,795,117.47"
期初现金及现金等价物余额,"361,768,264.91","1,467,813,786.00","1,493,461,568.55","1,493,461,568.55","1,493,461,568.55","1,493,461,568.55","791,829,909.20","791,829,909.20","791,829,909.20","791,829,909.20","1,129,248,479.53"
投资支付的现金,"2,370,000,000.00","3,443,495,765.63","836,784,306.99","2,536,198,974.99","4,109,946,262.57","3,591,407,176.24","502,969,615.91","592,903,470.02","1,695,455,220.57","1,553,960,112.88","101,965,000.00"
期末现金及现金等价物余额,"677,108,588.92","1,493,461,568.55","1,622,510,294.83","1,124,488,116.41","901,160,737.16","791,829,909.20","1,007,767,495.76","661,808,030.83","772,948,908.68","1,129,248,479.53","1,199,302,385.78"
