科目,2007年1-6月,2007年度,2008年1-6月,2008年1-9月,2008年度,2009年1-3月,2009年1-6月,2009年1-9月,2009年度,2010年1-3月,2010年1-6月,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月
支付给职工以及为职工支付的现金,"22,723,636.29","40,976,542.40","30,151,251.66","40,803,770.66","54,742,135.13","23,126,706.56","38,492,955.59","56,336,573.49","73,097,386.07","21,705,932.88","35,627,887.87","54,876,678.93","75,118,543.24","29,316,826.66","47,184,972.94","74,962,569.55","106,789,732.80","36,846,785.97","56,811,960.33","79,902,358.00","102,063,728.94","30,272,756.68","49,190,976.78","72,990,244.20","103,440,873.22","31,999,621.25","51,537,392.43","84,488,976.04","191,813,324.22","52,722,071.25","106,042,035.46","164,953,147.43","250,903,384.91","95,287,710.47","160,291,807.78","242,196,923.13","337,078,929.33","136,750,523.63","210,742,976.12","295,004,135.94"
取得借款收到的现金,,"20,000,000.00",,,,,,,,,,,,,,,,,,,,,,,,,,,"60,000,000.00",,"55,000,000.00","55,000,000.00","55,000,000.00","100,000,000.00","778,558,160.00","778,558,160.00","1,128,558,160.00","100,000,000.00","100,000,000.00","100,000,000.00"
支付的各项税费,"15,993,668.27","34,628,149.85","13,240,864.39","21,347,334.17","26,027,986.60","11,043,107.75","15,684,892.93","22,462,265.70","34,417,061.06","10,469,014.81","17,591,448.92","24,198,567.88","40,750,016.98","8,043,890.80","27,700,154.65","46,380,249.94","67,105,435.60","24,828,337.07","36,678,657.32","44,424,048.62","60,982,578.44","18,084,056.09","27,535,143.14","35,481,991.50","49,419,407.80","16,311,109.64","30,534,842.64","45,136,583.33","111,040,710.69","29,646,167.92","50,268,609.60","75,290,820.64","101,529,270.57","82,031,188.81","104,410,146.69","118,725,202.74","142,555,602.00","83,402,298.02","108,205,018.25","113,410,988.11"
收到其他与筹资活动有关的现金,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"25,000,000.00","225,000,000.00",,,,,,,
支付其他与经营活动有关的现金,"16,257,570.71","44,665,356.90","22,373,198.34","38,287,296.07","54,638,618.69","19,197,827.71","29,685,887.69","41,746,131.55","58,876,378.39","16,021,797.26","32,673,068.87","51,081,607.63","86,501,688.24","23,592,329.63","51,814,218.41","62,623,968.71","93,599,840.10","19,959,019.10","35,625,468.16","53,556,261.82","78,531,858.08","32,651,848.12","53,556,060.00","67,532,543.39","80,232,202.60","24,201,483.89","44,650,369.33","57,743,411.38","135,494,362.53","38,227,889.10","58,312,377.89","117,482,032.59","126,167,726.83","25,019,906.59","65,202,120.83","99,990,606.23","158,703,351.44","31,328,321.73","81,690,977.18","123,744,073.63"
筹资活动现金流入小计,,"20,000,000.00",,"192,540,000.00","192,540,000.00",,,"25,000.00","25,000.00","5,000,000.00","5,000,000.00","29,000,000.00","29,000,000.00",,"57,377,391.00","57,377,391.00","57,377,391.00",,,,,,,,,,,,"246,928,674.33",,"55,000,000.00","80,000,000.00","280,000,000.00","100,000,000.00","778,558,160.00","778,558,160.00","1,129,783,160.00","2,765,881,890.50","2,765,881,890.50","2,765,881,890.50"
经营活动现金流出小计,"87,319,023.51","197,534,217.61","98,831,993.09","158,561,947.69","233,333,980.74","75,257,881.47","123,888,385.99","192,673,949.47","282,774,213.59","90,419,635.17","158,775,239.62","238,137,896.96","389,968,553.97","139,462,300.81","247,161,467.94","351,464,914.01","528,690,353.11","116,611,652.94","192,339,917.97","270,650,178.21","361,832,815.90","130,189,585.46","212,467,468.99","293,703,616.80","461,773,356.07","126,287,047.99","241,330,588.39","363,531,409.42","1,289,206,008.14","344,962,142.53","668,518,902.03","964,978,094.54","1,489,460,304.25","498,942,318.93","820,787,630.64","1,237,049,375.28","1,801,205,358.84","550,423,552.80","1,002,952,131.60","1,465,694,903.87"
偿还债务支付的现金,"3,500,000.00","23,500,000.00","20,000,000.00","20,000,000.00","20,000,000.00",,,,,,,,,,,,,,,,,,,,,,,,"70,000,000.00",,"90,000,000.00","90,000,000.00","90,000,000.00","10,000,000.00","25,000,000.00","25,000,000.00","325,000,000.00","928,558,160.00","928,558,160.00","928,558,160.00"
经营活动产生的现金流量净额,"-33,304,406.72","43,073,891.72","-49,165,293.15","-54,858,038.21","3,449,131.57","-44,605,035.71","-58,092,885.27","-38,804,988.54","41,341,336.60","-55,154,837.10","-62,602,262.10","-42,742,975.36","94,031,878.24","-93,124,879.11","-138,022,519.89","-139,859,146.93","13,968,770.34","-57,824,870.26","-69,399,449.74","-66,332,920.39","67,536,136.81","-78,443,654.77","-94,900,218.73","-78,724,604.51","41,970,655.54","-58,012,764.52","-77,473,563.62","-91,401,368.91","41,820,219.13","-164,322,006.73","-265,375,384.87","-329,955,940.35","200,563,275.98","-357,260,506.99","-402,118,358.98","-499,848,931.03","-137,218,914.80","-254,704,885.55","-400,578,589.34","-488,879,291.24"
分配股利、利润或偿还利息支付的现金,"4,204,613.80","4,626,893.80","1,403,500.00","1,403,500.00","1,403,500.00","148,500.00","14,191,956.00","14,191,956.00","14,635,410.75",,"3,027,577.30","4,501,122.45","6,054,028.31",,"9,346,638.82","20,254,374.54","26,571,087.00",,"4,510,709.83","4,510,709.83","7,013,321.52","3,007,746.85","3,007,746.85","4,734,867.50","4,734,867.50",,"1,727,120.65","1,727,120.65","5,196,320.64",,"8,947,910.43","9,464,222.65","9,833,327.76","237,235.05","27,159,894.80","37,463,993.58","46,464,576.89","8,773,290.72","44,295,764.92","44,295,764.92"
收回投资收到的现金,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
支付其他与筹资活动有关的现金,,,,"3,600,010.31","5,408,510.31",244.00,"22,853.33","22,853.33","569,800.00",,"52,691.45","52,691.45","52,691.45",,"67,896.54","67,896.54","67,896.54",,,"14,581.11",,,,"5,015.90","5,015.90",,"5,039.17","5,039.17","5,039.17",,"226,391.81","226,391.81","225,987.60","3,007,278.08","25,131,991.81","25,064,457.54","25,064,457.54","204,047,131.10","204,404,941.34","204,404,941.34"
取得投资收益收到的现金,"150,000.00","150,000.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"80,000.00","80,000.00","80,000.00",,"200,000.00","200,000.00"
筹资活动现金流出小计,"7,704,613.80","28,126,893.80","21,403,500.00","25,003,510.31","26,812,010.31","148,744.00","14,214,809.33","14,214,809.33","15,205,210.75",,"3,080,268.75","4,553,813.90","6,106,719.76",,"9,414,535.36","20,322,271.08","26,638,983.54",,"4,510,709.83","4,525,290.94","7,013,321.52","3,007,746.85","3,007,746.85","4,739,883.40","4,739,883.40",,"1,732,159.82","1,732,159.82","75,201,359.81",,"99,174,302.24","99,690,614.46","100,059,315.36","13,244,513.13","77,291,886.61","87,528,451.12","396,529,034.43","1,141,378,581.82","1,177,258,866.26","1,177,258,866.26"
处置固定资产、无形资产和其他长期资产收回的现金净额,500.00,"3,105.20","5,609.00",647.20,"19,987.43","2,700.00","2,700.00","2,700.00",,,,"169,019.50","169,019.50",,,"3,600.00",,,"4,345.00","4,345.00","4,865.00","31,600.00","84,514.00","84,514.00","84,514.00","2,800.00","20,665.00","20,665.00","20,665.00","1,430.00",,,"6,500.00",,"1,250.00",700.00,"3,672.52",,"2,000.00","2,000.00"
筹资活动产生的现金流量净额,"-7,704,613.80","-8,126,893.80","-21,403,500.00","167,536,489.69","165,727,989.69","-148,744.00","-14,214,809.33","-14,189,809.33","-15,180,210.75","5,000,000.00","1,919,731.25","24,446,186.10","22,893,280.24",,"47,962,855.64","37,055,119.92","30,738,407.46",,"-4,510,709.83","-4,525,290.94","-7,013,321.52","-3,007,746.85","-3,007,746.85","-4,739,883.40","-4,739,883.40",,"-1,732,159.82","-1,732,159.82","171,727,314.52",,"-44,174,302.24","-19,690,614.46","179,940,684.64","86,755,486.87","701,266,273.39","691,029,708.88","733,254,125.57","1,624,503,308.68","1,588,623,024.24","1,588,623,024.24"
处置子公司及其他营业单位收到的现金净额,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
四、汇率变动对现金的影响,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
收到其他与投资活动有关的现金,"11,249,700.00","11,249,700.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
四(2)、其他原因对现金的影响,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
投资活动现金流入小计,"11,400,200.00","11,402,805.20","5,609.00",647.20,"19,987.43","2,700.00","2,700.00","2,700.00",,,,"169,019.50","169,019.50",,,"3,600.00",,,"4,345.00","4,345.00","4,865.00","31,600.00","84,514.00","84,514.00","84,514.00","2,800.00","20,665.00","20,665.00","20,665.00","1,430.00",,,"6,500.00",,"81,250.00","80,700.00","83,672.52",,"202,000.00","202,000.00"
五、现金及现金等价物净增加额,"-30,911,654.52","42,676,855.22","-74,467,726.65","108,250,776.66","163,623,261.53","-46,356,332.47","-75,157,219.28","-61,806,604.55","-18,335,860.57","-52,340,137.76","-67,178,592.87","-26,494,754.48","89,987,503.66","-96,527,419.91","-95,341,715.22","-114,296,936.18","13,593,701.07","-84,543,913.29","-105,121,177.40","-106,959,823.82","19,875,114.44","-83,567,286.52","-100,468,683.48","-86,692,990.21","31,599,145.81","-60,141,158.50","-81,720,554.42","-161,439,114.17","141,588,290.10","-166,960,408.63","-314,668,008.01","-407,813,175.01","-185,880,512.18","-272,680,683.12","-293,070,193.13","-427,937,766.76","-38,072,305.36","1,366,597,679.46","1,178,354,975.68","1,084,419,434.08"
购建固定资产、无形资产和其他长期资产支付的现金,"1,302,834.00","3,672,947.90","3,904,542.50","4,428,322.02","5,573,847.16","1,605,252.76","2,852,224.68","8,014,506.68","42,841,986.42","2,185,300.66","6,496,062.02","8,366,984.72","27,106,674.32","3,402,540.80","5,281,988.97","11,496,509.17","29,113,476.73","10,059,285.83","14,555,605.63","19,446,200.29","23,992,808.65","2,147,484.90","2,645,231.90","3,313,016.30","5,716,140.33","2,131,193.98","2,535,495.98","3,985,734.05","7,619,392.16","2,639,831.90","5,118,320.90","58,166,620.20","566,390,972.80","2,175,663.00","592,299,357.54","619,199,244.61","634,191,188.65","3,200,743.67","9,891,459.22","15,526,298.92"
期初现金及现金等价物余额,"74,704,425.97","74,704,425.97","117,381,281.19","117,381,281.19","117,381,281.19","281,004,542.72","281,004,542.72","281,004,542.72","281,004,542.72","264,012,942.29","262,668,682.15","262,668,682.15","262,668,682.15","352,656,185.81","352,656,185.81","352,656,185.81","352,656,185.81","366,249,886.88","366,249,886.88","366,249,886.88","366,249,886.88","386,125,001.32","386,125,001.32","386,125,001.32","386,125,001.32","417,724,147.13","417,724,147.13","417,724,147.13","603,522,119.67","745,110,409.77","745,110,409.77","745,110,409.77","745,110,409.77","559,229,897.59","559,229,897.59","559,229,897.59","559,229,897.59","521,157,592.23","521,157,592.23","521,157,592.23"
投资支付的现金,,,,,,,,"800,000.00","1,655,000.00",,,,,,,,"2,000,000.00","16,659,757.20","16,659,757.20","16,659,757.20","16,659,757.20",,,,,,,,"20,000.00",,,,,,,,,,,
期末现金及现金等价物余额,"43,792,771.45","117,381,281.19","42,913,554.54","225,632,057.85","281,004,542.72","234,648,210.25","205,847,323.44","219,197,938.17","262,668,682.15","211,672,804.53","195,490,089.28","236,173,927.67","352,656,185.81","256,128,765.90","257,314,470.59","238,359,249.63","366,249,886.88","281,705,973.59","261,128,709.48","259,290,063.06","386,125,001.32","302,557,714.80","285,656,317.84","299,432,011.11","417,724,147.13","357,582,988.63","336,003,592.71","256,285,032.96","745,110,409.77","578,150,001.14","430,442,401.76","337,297,234.76","559,229,897.59","286,549,214.47","266,159,704.46","131,292,130.83","521,157,592.23","1,887,755,271.69","1,699,512,567.91","1,605,577,026.31"
