科目,2007年1-6月,2007年度,2008年1-6月,2008年1-9月,2008年度,2009年1-3月,2009年1-6月,2009年1-9月,2009年度,2010年1-3月,2010年1-6月,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月
支付给职工以及为职工支付的现金,"19,982,861.67","48,268,700.00","24,857,942.71","35,553,600.80","51,132,647.54","17,669,671.97","36,496,259.33","50,702,688.83","81,718,133.42","39,026,297.95","68,166,852.23","85,474,165.63","105,192,267.11","31,291,123.28","71,830,090.31","93,912,929.91","147,398,500.88","46,929,118.20","91,808,798.45","128,492,117.54","200,984,375.42","55,372,141.82","101,419,940.46","148,411,804.22","203,303,956.58","63,029,441.43","106,209,746.80","161,972,238.46","229,290,145.65","70,299,744.11","145,617,920.23","209,730,559.27","251,927,039.44","62,818,561.92","115,507,899.93","178,498,586.41","315,361,544.38","120,266,091.93","192,887,939.33","279,062,480.36"
取得借款收到的现金,"150,000,000.00","520,000,000.00","270,000,000.00","450,000,000.00","450,000,000.00",,"20,000,000.00","260,000,000.00","360,000,000.00","50,000,000.00","210,000,000.00","434,178,358.87","836,445,181.62","204,230,074.13","393,504,241.64","648,504,241.64","2,464,300,741.64","293,442,032.00","891,642,032.00","1,171,642,032.00","2,391,178,358.00","545,660,300.20","1,062,782,684.38","1,394,782,684.38","2,392,782,684.38","50,000,000.00","600,000,000.00","1,298,800,000.00","1,319,800,000.00","140,000,000.00","240,000,000.00","240,000,000.00","740,000,000.00","125,050,000.00","136,800,000.00","486,530,000.00","1,451,430,000.00","4,390,000.00","32,740,000.00","643,190,000.00"
支付的各项税费,"43,118,448.05","101,178,300.00","96,178,689.39","115,113,006.09","145,107,540.11","48,386,120.82","95,298,066.20","116,274,114.79","145,016,149.86","48,900,849.75","111,197,367.82","136,390,908.46","163,932,800.77","40,763,282.62","125,359,368.15","149,788,821.76","200,660,438.26","18,576,715.51","99,568,855.10","136,733,994.84","124,624,740.50","21,781,250.15","60,450,876.42","74,186,295.81","88,676,457.56","32,695,022.51","125,279,733.72","174,312,601.71","226,871,406.68","140,503,186.17","258,088,560.50","344,210,193.57","419,051,864.00","102,669,367.37","243,241,777.19","253,100,208.60","288,433,772.32","42,952,840.71","117,875,985.89","163,127,053.60"
收到其他与筹资活动有关的现金,,,,,,,"3,879,860.12","3,891,505.25",,,"2,927,933.85","2,927,933.85",,,,,,,,,,,,,,,,,,,,"300,000,000.00","300,000,000.00",,,,,,,
支付其他与经营活动有关的现金,"22,866,062.03","67,875,600.00","22,679,195.27","35,592,263.89","58,402,510.16","36,147,205.77","31,533,934.33","40,630,713.42","81,269,708.15","13,902,758.38","36,172,351.35","69,939,936.26","76,248,419.73","17,407,461.65","28,866,836.58","69,313,737.10","118,826,442.73","24,367,971.38","55,731,117.35","83,079,257.44","71,905,011.18","14,350,508.55","32,660,631.25","40,609,813.59","54,183,903.98","12,589,097.85","47,940,016.64","54,186,032.26","56,969,410.59","12,711,419.32","32,254,441.82","76,219,734.33","148,645,542.05","70,532,359.46","32,534,763.52","43,637,093.36","73,970,772.33","8,432,263.56","18,981,344.46","35,463,368.69"
筹资活动现金流入小计,"150,000,000.00","520,000,000.00","270,000,000.00","1,474,750,000.00","1,474,750,000.00",,"23,879,860.12","263,891,505.25","375,000,000.00","50,000,000.00","212,927,933.85","437,106,292.72","836,445,181.62","204,230,074.13","393,504,241.64","1,648,504,241.64","2,464,300,741.64","293,442,032.00","891,642,032.00","1,171,642,032.00","2,391,178,358.00","545,660,300.20","1,062,782,684.38","1,394,782,684.38","2,392,782,684.38","50,000,000.00","600,000,000.00","2,293,799,997.55","2,314,799,997.55","140,000,000.00","240,000,000.00","554,500,000.00","1,387,800,000.00","125,050,000.00","144,300,000.00","494,030,000.00","1,458,930,000.00","4,390,000.00","32,740,000.00","643,190,000.00"
经营活动现金流出小计,"586,841,151.51","1,044,295,600.00","717,029,186.54","920,882,830.23","1,450,559,962.32","493,692,067.55","791,324,848.23","1,075,623,081.39","1,490,102,217.90","565,790,706.08","948,108,497.60","1,294,335,959.60","1,825,082,633.87","981,002,007.04","1,496,322,456.10","1,989,310,135.46","2,910,932,715.34","1,060,832,022.21","1,680,162,819.60","2,247,116,523.56","3,037,269,014.04","1,340,997,665.61","1,975,623,748.07","2,563,951,502.90","3,702,594,302.61","1,331,239,132.94","2,156,206,517.08","3,058,899,832.78","4,630,910,164.18","1,858,146,162.09","2,968,531,143.77","3,839,082,302.46","6,106,398,542.28","2,225,013,726.66","3,651,479,462.61","4,677,663,069.26","7,181,942,289.76","2,207,737,971.84","3,563,546,244.91","4,869,969,386.39"
偿还债务支付的现金,"53,016,669.27","666,033,300.00","349,698,335.67","719,698,335.67","801,062,171.28","100,000,000.00","201,393,168.95","381,393,168.95","392,772,837.89","20,000,000.00","131,377,168.94","351,377,168.94","502,466,837.82","90,000,000.00","200,927,335.52","552,284,539.07","576,320,800.20","115,000,000.00","435,556,835.44","536,638,614.57","1,361,961,004.19","300,000,000.00","640,252,502.05","910,252,502.05","1,484,962,163.42","405,108,677.17","1,086,524,512.59","1,660,524,512.59","1,983,249,847.97","489,500,000.00","1,134,862,335.40","1,452,362,335.40","2,208,522,940.23","152,500,000.00","277,009,808.33","385,625,626.50","1,457,050,000.00","30,594,250.00","221,873,250.00","562,540,750.00"
经营活动产生的现金流量净额,"237,881,787.78","471,783,300.00","227,687,995.36","306,751,427.73","401,081,743.99","191,151,935.82","314,093,744.26","423,879,804.37","595,844,542.96","218,481,913.58","334,373,496.65","429,125,609.27","732,157,009.24","122,685,771.13","289,941,827.68","459,954,270.15","544,523,001.87","201,633,060.61","393,469,773.13","511,734,399.46","943,314,741.70","259,959,816.43","414,686,794.85","588,991,745.40","852,737,380.18","424,472,009.20","605,707,478.54","774,779,687.55","1,125,546,822.30","346,885,285.89","734,011,569.14","1,070,827,295.67","1,355,544,770.83","506,644,849.30","411,385,531.62","595,585,583.39","1,000,276,888.25","227,966,192.41","425,210,090.84","529,841,010.95"
分配股利、利润或偿还利息支付的现金,"164,764,729.90","194,847,600.00","29,026,389.55","39,469,137.18","51,823,700.44","6,958,987.50","216,475,139.31","221,264,132.76","228,816,900.20","4,697,335.99","162,713,573.80","167,952,319.01","180,394,915.43","8,525,187.08","113,511,314.48","134,585,125.12","162,349,748.51","26,992,496.85","57,120,857.77","259,648,333.81","301,761,783.29","32,143,390.13","143,896,434.65","395,163,320.22","430,613,140.45","34,555,738.69","156,552,096.22","378,565,444.60","415,350,071.23","31,069,411.66","149,159,178.38","354,509,471.62","374,234,776.01","23,263,164.08","121,549,434.11","340,984,609.78","373,950,709.02","15,514,174.17","30,886,328.54","270,432,220.77"
收回投资收到的现金,"60,000,000.00","77,131,400.00",,,,,,,,,,,,,,,,,,,,,,,,,,,"20,000,000.00",,,,,"40,000,000.00","40,000,000.00","40,000,000.00","40,000,000.00",,,
支付其他与筹资活动有关的现金,,,"1,084,873.68","8,987,518.93","10,714,106.92",,"5,111,865.16","5,118,952.38",,,"922,617.78","3,850,551.63",,,,"609,436.69",,,,,,,,,,,,,"2,279,000.00",,,"7,800,000.00","7,800,000.00",,"53,919,797.74","107,673,734.68","109,180,134.09","53,748,336.35","53,748,336.35","107,496,672.70"
取得投资收益收到的现金,"253,470.00","239,500.00",,,,,,,,,,,,,,,,,"4,000,000.00","14,000,000.00","14,000,000.00",,,"6,000,000.00","6,000,000.00",,"10,000,000.00","10,000,000.00","16,116,383.56",,"4,000,000.00","16,000,000.00","16,000,000.00","184,109.59","28,184,109.59","35,784,109.59","35,790,356.17",,,
筹资活动现金流出小计,"217,781,399.17","860,880,900.00","379,809,598.90","768,154,991.78","863,599,978.64","106,958,987.50","422,980,173.42","607,776,254.09","621,589,738.09","24,697,335.99","295,013,360.52","523,180,039.58","682,861,753.25","98,525,187.08","314,438,650.00","687,479,100.88","738,670,548.71","141,992,496.85","492,677,693.21","796,286,948.38","1,663,722,787.48","332,143,390.13","784,148,936.70","1,305,415,822.27","1,915,575,303.87","439,664,415.86","1,243,076,608.81","2,039,089,957.19","2,400,878,919.20","520,569,411.66","1,284,021,513.78","1,814,671,807.02","2,590,557,716.24","175,763,164.08","452,479,040.18","834,283,970.96","1,940,180,843.11","99,856,760.52","306,507,914.89","940,469,643.47"
处置固定资产、无形资产和其他长期资产收回的现金净额,550.00,"6,900.00",,,,,,,,,,,"8,282.00",,,,,,,,,,,,,"5,000.00","14,312.00","14,312.00","216,912.00",,,"16,100.00","25,602.00",,,"3,296.00","3,296.00",,,
筹资活动产生的现金流量净额,"-67,781,399.17","-340,880,900.00","-109,809,598.90","706,595,008.22","611,150,021.36","-106,958,987.50","-399,100,313.30","-343,884,748.84","-246,589,738.09","25,302,664.01","-82,085,426.67","-86,073,746.86","153,583,428.37","105,704,887.05","79,065,591.64","961,025,140.76","1,725,630,192.93","151,449,535.15","398,964,338.79","375,355,083.62","727,455,570.52","213,516,910.07","278,633,747.68","89,366,862.11","477,207,380.51","-389,664,415.86","-643,076,608.81","254,710,040.36","-86,078,921.65","-380,569,411.66","-1,044,021,513.78","-1,260,171,807.02","-1,202,757,716.24","-50,713,164.08","-308,179,040.18","-340,253,970.96","-481,250,843.11","-95,466,760.52","-273,767,914.89","-297,279,643.47"
处置子公司及其他营业单位收到的现金净额,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
四、汇率变动对现金的影响,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-7,811.95",,,-452.04,-893.17,,,
收到其他与投资活动有关的现金,"750,000.00","13,170,000.00",,,"15,491,000.00",,,"3,539,400.00","5,701,600.00",,"231,852.49","439,254.43","10,893,064.57","310,179.45","263,205.04","96,748.04",,"20,000.00","20,000.00","20,000.00","13,715,300.00","9,452,742.28","61,855.68",,"23,240,636.85","1,581.09","6,683,024.98","84,849,176.50","96,241,824.96","4,840,374.90","11,223,064.90","17,797,772.97","47,752,796.99","2,230,600.00","90,902,383.11","92,018,219.86","109,689,716.75","300,000.00","617,200.00","10,450,000.00"
四(2)、其他原因对现金的影响,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
投资活动现金流入小计,"61,004,020.00","90,547,800.00",,,"15,491,000.00",,,"3,539,400.00","5,701,600.00",,"231,852.49","439,254.43","10,901,346.57","310,179.45","263,205.04","96,748.04",,"20,000.00","4,020,000.00","14,020,000.00","27,715,300.00","9,452,742.28","61,855.68","6,000,000.00","29,240,636.85","6,581.09","16,697,336.98","94,863,488.50","132,575,120.52","4,840,374.90","15,223,064.90","33,813,872.97","63,778,398.99","42,414,709.59","159,086,492.70","167,805,625.45","185,483,368.92","300,000.00","617,200.00","10,450,000.00"
五、现金及现金等价物净增加额,"91,091,147.02","-78,522,100.00","-13,418,376.79","809,860,834.98","723,350,442.11","-29,516,173.58","-365,201,776.51","-418,159,805.92","-345,998,448.77","71,489,682.21","-12,732,360.81","-133,340,471.09","79,632,081.80","4,569,195.19","12,336,725.59","290,381,660.18","-109,403,766.66","162,813,435.80","248,313,120.32","170,995,057.87","517,758,348.64","-1,733,209.79","-13,389,780.13","-442,952,074.09","-24,929,565.60","-178,766,850.00","-337,117,460.81","630,503,497.41","373,059,188.19","-157,919,318.52","-513,700,491.99","-447,259,202.79","-231,015,470.54","307,940,255.28","-39,617,180.90","-14,596,125.17","-164,884,429.75","-66,678,513.12","-180,963,747.09","-249,332,229.89"
购建固定资产、无形资产和其他长期资产支付的现金,"80,013,261.59","239,972,300.00","75,333,273.25","147,522,100.97","248,312,823.24","113,709,121.90","280,195,207.47","471,682,136.45","670,942,728.64","172,294,895.38","265,252,283.28","476,831,587.93","817,009,702.38","224,131,642.44","356,933,898.77","1,130,694,498.77","2,379,519,240.91","189,830,397.57","528,782,229.21","710,717,262.82","1,130,324,724.76","484,662,678.57","699,929,278.34","1,047,917,781.60","1,377,052,602.05","213,581,024.43","316,054,101.63","449,189,509.26","701,745,332.98","129,075,567.65","215,651,301.93","288,548,238.63","424,174,103.81","170,300,042.85","281,723,278.86","417,350,754.83","844,919,079.48","199,477,945.01","333,023,123.04","492,343,597.37"
期初现金及现金等价物余额,"144,450,584.90","144,450,600.00","65,928,464.84","65,928,464.84","65,928,464.84","789,278,906.95","789,278,906.95","789,278,906.95","789,278,906.95","443,280,458.18","443,280,458.18","443,280,458.18","443,280,458.18","522,912,539.98","522,912,539.98","522,912,539.98","522,912,539.98","413,508,773.32","413,508,773.32","413,508,773.32","413,508,773.32","931,267,121.96","931,267,121.96","931,267,121.96","931,267,121.96","906,337,556.36","906,337,556.36","906,337,556.36","906,337,556.36","1,279,396,744.55","1,279,396,744.55","1,279,396,744.55","1,279,396,744.55","1,048,381,274.01","1,048,381,274.01","1,048,381,274.01","1,048,381,274.01","883,496,844.26","883,496,844.26","883,496,844.26"
投资支付的现金,"60,000,000.00","60,000,000.00","5,963,500.00","5,963,500.00","56,059,500.00",,,"30,012,125.00","30,012,125.00",,,,,,,,,,"18,900,000.00","18,900,000.00","50,400,000.00",,"6,842,900.00","79,392,900.00","6,842,900.00",,,"44,100,000.00","94,100,000.00",,,,"20,000,000.00","20,000,000.00","20,000,000.00","20,000,000.00","20,000,000.00",,,
期末现金及现金等价物余额,"235,541,731.92","65,928,500.00","52,510,088.05","875,789,299.82","789,278,906.95","759,762,733.37","424,077,130.44","371,119,101.03","443,280,458.18","514,770,140.39","430,548,097.37","309,939,987.09","522,912,539.98","527,481,735.17","535,249,265.57","813,294,200.16","413,508,773.32","576,322,209.12","661,821,893.64","584,503,831.19","931,267,121.96","929,533,912.17","917,877,341.83","488,315,047.87","906,337,556.36","727,570,706.36","569,220,095.55","1,536,841,053.77","1,279,396,744.55","1,121,477,426.03","765,696,252.56","832,137,541.76","1,048,381,274.01","1,356,321,529.29","1,008,764,093.11","1,033,785,148.84","883,496,844.26","816,818,331.14","702,533,097.17","634,164,614.37"
