科目,2013年度,2014年度,2015年度,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月
经营活动现金流出小计,"863,526,398.56","969,014,776.55","845,895,258.44","374,335,161.16",,"836,623,566.63","232,743,389.97","530,704,798.72","863,111,442.94","1,307,866,209.41","427,195,585.84"
偿还债务支付的现金,"40,000,000.00","140,000,000.00","5,000,000.00","2,333,840.00",,"3,501,795.05",,,,,
经营活动产生的现金流量净额,"73,261,069.00","78,562,000.20","137,583,744.21","49,420,473.87","75,981,500.00","99,539,810.71","-7,453,561.87","19,754,271.53","11,006,990.15","-31,873,363.14","-29,076,112.61"
分配股利、利润或偿还利息支付的现金,"45,148,651.81","46,450,100.67","49,605,424.92","30,240,000.00",,"30,240,000.00",,"36,453,978.00","36,453,978.00","39,252,366.00","107,010.00"
收回投资收到的现金,,,,,,,,"108,000,000.00","288,000,000.00","544,000,000.00","250,000,000.00"
支付其他与筹资活动有关的现金,"400,000.00",,,,,"12,005,610.74",,"2,043,396.20","2,043,396.20","2,043,396.20",
取得投资收益收到的现金,,,,,,,,"846,246.58","3,500,539.96","8,195,602.11","2,070,891.92"
筹资活动现金流出小计,"85,548,651.81","186,450,100.67","54,605,424.92","32,573,840.00",,"45,747,405.79",,"38,497,374.20","38,497,374.20","41,295,762.20","107,010.00"
处置固定资产、无形资产和其他长期资产收回的现金净额,,,,"177,975.72",,"177,975.72",,,,,"6,164.08"
筹资活动产生的现金流量净额,"-20,548,651.81","-111,450,100.67","-47,271,584.92","-31,505,884.95","-32,033,200.00","398,268,349.26",,"-38,497,374.20","-38,497,374.20","-41,295,762.20","19,892,990.00"
处置子公司及其他营业单位收到的现金净额,,,,,,,,,,,
四、汇率变动对现金的影响,"-45,905.46","-5,269.20","9,242.69","9,799.72",,"76,696.67","-7,889.50","-26,679.02","-81,209.72","-104,109.48","-20,243.70"
收到其他与投资活动有关的现金,"131,434.32","198,103.26","128,149.39","81,129.21",,"287,512.57","399,321.46","1,164,710.11","1,427,567.44","3,730,311.37","234,623.13"
四(2)、其他原因对现金的影响,,,,,,,,,,,
投资活动现金流入小计,"131,434.32","198,103.26","128,149.39","259,104.93",,"465,488.29","399,321.46","110,010,956.69","292,928,107.40","555,925,913.48","252,311,679.13"
五、现金及现金等价物净增加额,"49,602,495.95","-48,359,788.57","30,075,504.95","-10,840,555.66","-4,192,700.00","428,137,707.05","-264,622,066.19","-268,617,452.36","-337,640,373.70","-417,688,077.59","88,857,069.90"
购建固定资产、无形资产和其他长期资产支付的现金,"3,195,450.10","15,664,522.16","60,374,046.42","29,024,049.23",,"70,212,637.88","19,559,936.28","33,858,627.36","51,996,887.33","61,340,756.25","27,476,242.92"
期初现金及现金等价物余额,"12,966,450.78","62,568,946.73","14,209,158.16","44,284,663.11",,"44,284,663.11","472,422,370.16","472,422,370.16","472,422,370.16","472,422,370.16","54,734,292.57"
投资支付的现金,,,,,,,,"326,000,000.00","551,000,000.00","839,000,000.00","126,775,000.00"
期末现金及现金等价物余额,"62,568,946.73","14,209,158.16","44,284,663.11","33,444,107.45",,"472,422,370.16","207,800,303.97","203,804,917.80","134,781,996.46","54,734,292.57","143,591,362.47"
