科目,2007年度,2008年度,2009年度,2010年1-6月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月
支付给职工以及为职工支付的现金,"195,391,077.35","243,915,968.33","250,713,163.99","152,776,538.67","703,730,483.98","184,592,279.32","348,238,350.24","546,601,395.35","761,216,413.24","275,251,321.25","462,778,322.37","741,088,555.47","913,224,931.99","254,202,721.89","621,276,707.78","890,390,457.54","1,284,000,085.69","331,939,534.19","668,864,106.40","929,035,645.13","1,380,237,220.79","337,325,655.12","729,500,582.85","1,031,773,430.40","1,420,626,280.57","334,732,129.56","790,316,666.99","1,033,121,876.92","1,451,693,517.29","383,795,425.47","820,980,415.70","1,091,014,373.14"
取得借款收到的现金,"970,504,401.96","935,403,000.00","3,255,674,922.12","973,888,585.12","1,693,888,585.12","578,500,000.00","2,860,000,000.00","2,880,481,979.90","2,986,445,907.13","221,124,278.18","916,624,278.18","1,660,734,872.96","2,069,832,037.76","514,485,551.12","1,900,898,734.92","2,213,179,865.47","2,650,368,712.90","303,125,281.98","2,437,579,923.29","2,879,976,924.63","4,451,522,451.27","1,467,988,845.59","1,243,466,576.00","1,825,260,802.59","2,484,707,752.63","497,986,393.63","1,150,972,443.49","4,558,816,000.29","2,195,891,047.54","1,906,888,669.28","5,067,167,554.23","5,739,337,153.44"
支付的各项税费,"211,271,024.96","271,774,405.98","324,690,486.45","142,416,409.79","350,822,913.50","152,024,107.25","290,590,906.30","428,999,745.39","507,019,371.17","119,223,472.87","245,854,828.19","406,099,060.51","452,487,732.24","131,346,660.81","320,130,520.63","408,241,994.15","451,719,242.15","89,626,873.23","182,751,513.52","345,580,845.13","425,308,203.83","118,948,562.02","155,571,577.39","285,496,364.54","375,156,634.86","95,851,574.23","156,580,838.38","255,200,402.47","324,557,640.32","121,911,632.20","197,862,303.13","263,227,892.53"
收到其他与筹资活动有关的现金,"29,924,440.00","17,456,429.80","118,056,064.00","17,275,862.58","530,266,467.57",,,,"58,188,153.85",,"2,199,500.00",,"6,836,000.00",,"11,380,718.30","11,380,167.17","30,030,167.17","29,083,680.09","30,309,501.88","35,309,501.88","11,346,926.61","24,658,704.79","439,999.52","6,094,767.78","40,071,900.00","60,100,000.00","9,800,000.00","49,800,000.00","9,800,000.00","62,040,277.15",,"39,987,605.71"
支付其他与经营活动有关的现金,"128,830,992.99","34,471,789.83","72,291,869.30","27,580,655.85","117,929,728.38","149,690,346.62","43,828,379.97","87,702,269.21","174,552,903.79","77,736,751.69","59,034,448.01","65,898,592.55","219,247,944.21","84,481,744.03","55,713,494.34","177,952,154.08","202,131,982.05","8,302,902.73","47,597,024.16","291,487,410.67","293,612,377.83","87,025,555.73","89,176,186.56","545,587,489.37","299,487,835.09","143,792,524.94","113,503,177.58","179,457,301.78","267,475,972.29","796,487,906.97","683,028,409.42","615,795,078.13"
筹资活动现金流入小计,"1,019,821,021.24","954,259,429.80","3,377,480,986.12","991,164,447.70","5,023,271,052.69","578,500,000.00","5,186,350,000.00","7,830,481,979.90","8,401,634,060.98","225,124,278.18","922,823,778.18","1,664,734,872.96","2,240,668,037.76","514,485,551.12","2,114,729,453.22","2,427,010,032.64","2,885,298,880.07","332,208,962.07","2,477,689,425.17","2,960,137,311.73","5,527,140,407.45","1,523,647,550.38","2,076,507,450.52","3,699,203,677.37","5,383,076,452.94","4,155,177,176.74","4,767,663,226.60","8,235,506,783.40","8,812,581,830.65","1,968,928,946.43","6,142,167,554.23","6,854,324,759.15"
经营活动现金流出小计,"859,186,179.04","1,023,664,757.80","1,108,502,596.71","505,878,678.92","2,102,436,875.52","716,868,766.12","1,218,521,494.71","2,128,918,109.71","2,732,550,146.70","946,778,420.07","1,456,876,717.81","2,508,931,704.80","3,634,394,606.85","1,525,027,470.36","2,952,238,233.16","4,764,120,746.79","5,765,017,430.91","1,210,512,390.64","3,107,740,962.80","5,425,496,839.64","8,190,809,782.34","2,001,396,665.55","3,742,547,998.82","6,348,061,222.03","8,545,960,472.96","2,326,116,898.80","6,428,005,716.63","9,512,548,923.85","12,522,641,305.47","3,265,319,811.36","4,639,863,063.37","6,317,677,990.26"
偿还债务支付的现金,"1,150,884,785.58","1,001,019,632.75","2,380,109,920.00","230,000,000.00","948,260,000.00",,"1,350,000,000.00","1,530,000,000.00","3,717,221,572.62","30,000,000.00","1,051,000,000.00","1,262,000,000.00","1,767,000,000.00","949,317,953.48","2,210,382,712.18","2,763,886,539.63","3,491,327,366.39","353,892,639.31","3,323,970,946.12","3,772,649,936.14","5,269,690,187.72","1,040,139,902.36","1,876,207,727.42","2,675,514,029.33","4,314,024,735.59","701,665,805.17","1,802,965,914.58","4,511,070,026.77","6,100,430,474.82","955,724,344.59","5,158,793,474.09","5,729,001,670.68"
经营活动产生的现金流量净额,"828,787,087.54","559,958,439.06","672,417,793.93","312,716,754.36","1,441,851,033.43","-33,072,704.40","429,761,045.72","547,313,318.77","1,229,850,145.01","8,277,100.07","332,720,500.61","567,051,767.71","1,299,068,275.21","-75,364,608.71","504,217,136.84","1,226,878,494.14","1,613,716,297.27","32,433,228.71","329,127,771.99","350,634,550.32","829,134,676.19","64,597,598.68","619,576,737.92","1,057,041,367.78","1,930,698,354.79","126,782,704.86","775,046,538.70","1,337,459,245.30","2,066,383,960.31","-46,324,348.68","101,761,669.09","578,101,081.11"
分配股利、利润或偿还利息支付的现金,"306,535,816.61","407,183,957.00","372,168,712.91","118,450,226.22","958,412,555.68","46,649,205.55","303,226,432.49","586,156,007.08","673,570,838.50","45,166,466.87","368,148,873.62","909,494,524.08","1,027,953,688.70","48,547,550.06","336,627,465.68","768,286,240.23","876,834,332.04","28,368,248.52","307,895,430.07","658,156,377.59","939,962,460.65","26,225,506.54","238,006,160.28","715,735,163.79","798,066,451.10","67,466,174.17","233,494,778.37","899,344,635.28","904,573,348.35","26,352,197.68","246,496,914.44","721,163,360.90"
收回投资收到的现金,,"25,000,000.00","140,732,838.76","67,588,150.00","67,588,150.00","55,000,000.00","55,000,000.00","70,512,157.18","1,808,387,980.00","700,000,000.00","706,949,675.00","702,461,485.00","1,306,939,254.32","602,821,585.87","158,598,981.52","458,413,920.00","1,575,886,708.04","150,000,000.00","1,697,339,009.50","1,809,015,967.97","1,735,303,079.92","605,610,000.00","796,452,485.71","859,698,234.12","1,519,616,847.47","160,000,000.00","435,712,215.58","1,384,177,215.58","2,059,838,537.55","374,216,548.00","1,603,806,700.00","2,553,806,700.00"
支付其他与筹资活动有关的现金,"10,606,089.74",,"17,015,146.38","5,055,801.30","116,830,492.62","243,087,845.70","493,268,543.23","1,057,377,772.04","2,112,468,956.34","24,992,237.78","50,428,605.90","34,957,816.85","51,859,735.05","4,043,358.73","30,531,599.16","30,705,536.26","34,145,915.44","23,700,026.82","34,515,400.64","17,630,105.00","3,332,378.68","154,630,986.14","5,594,103.03","7,968,225.60","37,061,613.07","10,160,560.34","11,293,187.93","21,829,311.75","42,698,474.38","3,347,841.90","15,299,065.48","170,768,925.94"
取得投资收益收到的现金,"182,345,900.06","182,254,180.97","163,060,701.58","34,762,067.46","144,356,535.91","3,434,744.13","20,498,802.90","40,425,538.44","92,685,478.50","35,591,174.21","69,444,924.82","127,629,284.20","164,649,145.97","24,876,462.12","57,918,236.82","105,623,364.48","141,136,190.04","3,061,496.08","51,132,915.75","100,147,637.97","105,091,739.83","24,734,352.23","43,614,178.36","119,738,993.80","133,212,771.09","2,832,964.93","24,411,206.69","51,027,982.52","80,561,132.96","7,457,155.53","41,820,744.42","122,625,024.65"
筹资活动现金流出小计,"1,468,026,691.93","1,408,203,589.75","2,769,293,779.29","353,506,027.52","2,023,503,048.30","289,737,051.25","2,146,494,975.72","3,173,533,779.12","6,503,261,367.46","100,158,704.65","1,469,577,479.52","2,206,452,340.93","2,846,813,423.75","1,001,908,862.27","2,577,541,777.02","3,562,878,316.12","4,402,307,613.87","405,960,914.65","3,666,381,776.83","4,448,436,418.73","6,212,985,027.05","1,220,996,395.04","2,119,807,990.73","3,399,217,418.72","5,149,152,799.76","779,292,539.68","2,047,753,880.88","5,432,243,973.80","7,047,702,297.55","985,424,384.17","5,420,589,454.01","6,620,933,957.52"
处置固定资产、无形资产和其他长期资产收回的现金净额,"80,037,829.83","1,663,483,230.00","40,501,983.69","52,104,252.00","139,629,383.64","-5,869,743.89","52,984,351.25","48,842,505.97","75,738,812.47","8,442,219.32","9,716,390.45","14,034,467.88","31,064,594.43","-15,683,211.63","28,046,704.24","28,137,627.12","136,910,103.60","629,768.19","3,355,858.71","3,355,858.71","291,749,966.07","37,211.45","1,301,025.89","1,301,025.89","3,124,857.57","11,200.00","1,229,627.64","2,476,778.26","22,676,160.49","81,000.00","9,913,585.03","9,973,135.03"
筹资活动产生的现金流量净额,"-448,205,670.69","-453,944,159.95","608,187,206.83","637,658,420.18","2,999,768,004.39","288,762,948.75","3,039,855,024.28","4,656,948,200.78","1,898,372,693.52","124,965,573.53","-546,753,701.34","-541,717,467.97","-606,145,385.99","-487,423,311.15","-462,812,323.80","-1,135,868,283.48","-1,517,008,733.80","-73,751,952.58","-1,188,692,351.66","-1,488,299,107.00","-685,844,619.60","302,651,155.34","-43,300,540.21","299,986,258.65","233,923,653.18","3,375,884,637.06","2,719,909,345.72","2,803,262,809.60","1,764,879,533.10","983,504,562.26","721,578,100.22","233,390,801.63"
处置子公司及其他营业单位收到的现金净额,,,,,,,,,"14,546,796.94",,,,,,"585,702,433.12","585,702,433.12","585,702,433.12",,"7,107,219.40","7,101,219.40",,,,,,,,,,,,
四、汇率变动对现金的影响,"-1,474,106.30","-4,330,686.36","271,774.84","-272,468.55","-1,153,809.70","-286,763.40","417,273.97","-898,106.68","-699,110.24","-327,736.00","-59,785.04","-55,081.65","-226,512.63","-283,384.37","374,564.39","-1,278,217.85","-353,810.86","2,744.20","-3,305,746.17","-2,754,763.64","-2,305,552.46","-342,305.48","-9,761,159.79","-3,280,773.96","4,026,127.15","5,066,571.78","58,434,291.72","83,785,361.33","222,609,914.76","-24,105,280.71","-89,248,259.01","-172,579,511.24"
收到其他与投资活动有关的现金,"83,693,584.19",,,,,,"14,546,796.94",,,,"17,668,409.54","11,884,987.27","23,422,082.84",,"1,473,944.17","1,473,944.17","1,473,944.17","5,163,645.00","5,163,645.00","5,163,645.00","165,473,146.89","5,356,463.98","56,940,587.21","56,940,587.21","198,940,587.21","204,436,788.84","232,397,755.35","212,397,755.35","924,674,659.46","365,225,051.18","322,024,266.32","322,057,531.32"
四(2)、其他原因对现金的影响,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
投资活动现金流入小计,"346,077,314.08","1,870,737,410.97","344,295,524.03","154,454,469.46","351,574,069.55","52,565,000.24","143,029,951.09","159,780,201.59","1,991,359,067.91","744,033,393.53","803,779,399.81","856,010,224.35","1,526,075,077.56","612,014,836.36","831,740,299.87","1,179,351,288.89","2,441,109,378.97","158,854,909.27","1,764,098,648.36","1,924,784,329.05","2,297,617,932.71","635,738,027.66","898,308,277.17","1,037,678,841.02","1,854,895,063.34","367,280,953.77","693,750,805.26","1,650,079,731.71","3,087,750,490.46","746,979,754.71","1,977,565,295.77","3,008,462,391.00"
五、现金及现金等价物净增加额,"-880,479,252.23","137,856,868.26","351,104,528.53","105,431,623.28","1,997,315,365.21","-302,345,847.68","1,629,413,007.04","2,799,573,116.80","-1,025,661,172.45","717,441,104.04","-175,500,630.37","-63,979,406.58","263,815,284.43","-345,182,538.11","-130,241,087.47","-4,371,923.24","-320,547,645.93","-338,665,828.02","-348,930,060.66","-636,576,730.50","68,047,903.18","357,911,011.91","-59,123,002.63","454,813,384.92","481,852,592.73","3,279,806,665.81","3,122,491,082.34","3,465,477,731.45","3,647,159,904.15","520,439,640.23","-666,929,048.32","-88,464,551.60"
购建固定资产、无形资产和其他长期资产支付的现金,"861,379,094.98","1,166,302,108.62","775,607,877.96","281,654,486.17","1,306,130,343.39","434,676,660.78","920,193,588.02","1,285,013,605.13","1,950,724,033.41","155,487,227.09","458,070,678.81","473,021,444.02","863,472,597.78","243,875,840.29","498,419,427.62","578,278,715.27","918,983,543.24","122,566,493.62","445,519,805.18","593,096,370.25","827,286,708.34","240,434,645.31","999,302,572.67","1,061,267,213.52","1,013,395,628.44","66,556,215.09","178,342,151.77","244,182,540.31","555,798,422.04","65,751,108.95","163,693,054.44","230,274,783.61"
期初现金及现金等价物余额,"1,412,633,522.59","532,154,270.36","670,011,138.62","1,021,115,667.15","1,260,269,509.32","3,257,584,874.53","3,257,584,874.53","3,257,584,874.53","3,256,318,448.77","2,254,079,359.16","2,230,657,276.32","2,230,657,276.32","2,230,657,276.32","2,494,472,560.75","2,494,472,560.75","2,494,472,560.75","2,494,472,560.75","2,173,924,914.82","2,303,924,914.82","2,303,924,914.82","2,173,924,914.82","2,410,972,818.00","2,241,972,818.00","2,241,972,818.00","2,247,075,590.78","2,728,928,183.51","2,728,928,183.51","2,728,928,183.51","2,728,928,183.51","6,376,088,087.66","6,376,088,087.66","6,376,088,087.66"
投资支付的现金,"744,284,781.88","497,405,977.47","498,459,893.14","717,471,066.00","896,331,083.63","114,992,400.00","1,063,456,700.00","671,866,000.00","4,171,664,278.16","4,020,000.00","306,850,000.00","472,247,405.00","1,078,363,095.00","118,989,535.40","472,272,800.00","639,272,335.40","1,777,937,200.00","320,046,130.00","796,520,000.00","818,866,130.00","1,342,434,457.50","400,600,000.00","446,088,234.12","790,368,020.23","1,832,387,460.55","310,100,000.00","698,901,535.00","1,898,901,535.00","2,390,764,638.14","704,600,000.00","2,704,673,585.00","3,040,373,585.00"
期末现金及现金等价物余额,"532,154,270.36","670,011,138.62","1,021,115,667.15","1,126,547,290.43","3,257,584,874.53","2,955,239,026.85","4,886,997,881.57","6,057,157,991.33","2,230,657,276.32","2,971,520,463.20","2,055,156,645.95","2,166,677,869.74","2,494,472,560.75","2,149,290,022.64","2,364,231,473.28","2,490,100,637.51","2,173,924,914.82","1,835,259,086.80","1,954,994,854.16","1,667,348,184.32","2,241,972,818.00","2,768,883,829.91","2,182,849,815.37","2,696,786,202.92","2,728,928,183.51","6,008,734,849.32","5,851,419,265.85","6,194,405,914.96","6,376,088,087.66","6,896,527,727.89","5,709,159,039.34","6,287,623,536.06"
