科目,2009年度,2010年度,2011年度,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度
收到其他与筹资活动有关的现金,"4,389,559.00","6,086,000.00",,,,,,,,,,,,,,,,,,"1,002,753.43","1,002,847.43",,,"1,002,772.35","1,002,772.35","770,000.00"
支付其他与经营活动有关的现金,"15,979,861.71","20,573,322.35","22,288,263.97","10,496,801.68","17,342,370.49","17,793,987.13","6,054,011.06","10,425,109.77","19,506,414.95","25,451,733.39","9,026,363.44","20,537,430.55","40,554,381.11","51,150,386.68","15,615,523.29","24,249,925.13","54,005,708.79","46,679,129.68","14,236,875.70","38,453,071.07","66,036,524.37","112,026,247.36","37,270,910.07","68,275,404.42","99,319,489.94","140,055,641.17"
筹资活动现金流入小计,"11,089,559.00","117,086,000.00","21,400,000.00",,"592,200,000.00","592,200,000.00",,,"100,000.00","100,000.00",,,,"6,320,000.00",,,,,"2,050,000.00","33,966,753.43","858,582,818.53","864,028,971.10",,"51,766,745.95","90,123,355.78","101,587,973.60"
经营活动现金流出小计,"103,381,099.35","153,622,737.64","171,753,360.51","72,147,938.36","124,943,999.77","156,813,139.40","31,412,486.85","74,816,609.94","123,343,670.74","178,408,156.93","70,581,077.80","153,978,914.80","257,901,149.64","352,320,922.02","128,124,988.00","278,821,606.30","409,241,218.25","477,940,871.19","144,216,070.96","316,281,187.06","506,328,228.61","565,515,397.62","287,603,251.66","614,493,893.34","929,767,825.71","860,023,323.57"
偿还债务支付的现金,"10,000,000.00","33,200,000.00","20,000,000.00",,"21,400,000.00","25,300,000.00",,,"100,000.00","100,000.00",,,,"100,000.00",,,,,,"44,000,000.00","44,000,000.00","44,000,000.00",,"29,000,000.00","29,000,000.00","42,500,000.00"
经营活动产生的现金流量净额,"30,908,271.30","64,168,317.77","33,775,921.89","5,094,125.55","-8,727,848.61","19,158,171.69","13,060,064.76","23,187,762.84","23,615,008.05","31,205,337.69","16,301,747.95","32,146,270.07","40,329,771.97","110,778,837.52","-15,673,325.36","-17,502,653.47","-11,361,249.23","55,734,248.71","13,433,025.91","15,715,789.61","34,119,108.94","39,156,130.90","-35,513,509.04","-42,682,865.96","-79,229,416.79","-37,218,769.90"
分配股利、利润或偿还利息支付的现金,"4,940,274.11","19,982,709.72","3,730,556.39","784,980.52","885,557.23","986,113.22",,"55,020,000.00","55,020,000.00","55,026,115.02",,"20,439,336.65","20,758,303.95","20,440,583.31",,"36,172,500.00","36,172,500.00","38,317,500.00","20,117,303.92","20,366,747.50","20,590,820.83","21,074,515.08","308,951.04","25,643,906.87","25,853,043.63","26,963,471.67"
收回投资收到的现金,,"2,000,000.00",,,,,,,,"147,000,000.00",,,,"40,000,000.00",,,,,,,"30,000,000.00","1,235,500.00",,,"20,800,000.00",
支付其他与筹资活动有关的现金,"14,276,559.00","38,666,000.00","828,000.00","871,000.00","1,351,592.22","6,982,279.00",,,,,,,,,,,"215,806.50",,,"1,018,223.92","12,839,179.32","3,480,000.00",,"1,035,582.33","1,035,582.33","4,254,494.92"
取得投资收益收到的现金,"32,219.18","195,904.89","164,982.46",,,,"256,698.61","649,862.99","649,862.99","393,164.38",,,,"4,602.74",,,,,"7,473.92","37,017.07","163,784.19","126,767.12",,,"144,361.64","3,218,588.28"
筹资活动现金流出小计,"29,216,833.11","91,848,709.72","24,558,556.39","1,655,980.52","23,637,149.45","33,268,392.22",,"55,020,000.00","55,120,000.00","55,126,115.02",,"20,439,336.65","20,758,303.95","20,540,583.31",,"36,172,500.00","36,388,306.50","38,317,500.00","20,117,303.92","65,384,971.42","77,430,000.15","68,554,515.08","308,951.04","55,679,489.20","55,888,625.96","73,717,966.59"
处置固定资产、无形资产和其他长期资产收回的现金净额,,"28,928,816.48",,,"7,000.00","7,000.00",,545.00,545.00,545.00,,"157,305.17",,"143,758.20",,,,"17,844.01",,"40,000.00","40,000.00","510,000.00","1,550.00","4,469,550.00","29,182,210.21","28,580,317.34"
筹资活动产生的现金流量净额,"-18,127,274.11","25,237,290.28","-3,158,556.39","-1,655,980.52","568,562,850.55","558,931,607.78",,"-55,020,000.00","-55,020,000.00","-55,026,115.02",,"-20,439,336.65","-20,758,303.95","-14,220,583.31",,"-36,172,500.00","-36,388,306.50","-38,317,500.00","-18,067,303.92","-31,418,217.99","781,152,818.38","795,474,456.02","-308,951.04","-3,912,743.25","34,234,729.82","27,870,007.01"
处置子公司及其他营业单位收到的现金净额,,"1,000,000.00",,,,,,,,,,,,,,,,,,,,,,,,
四、汇率变动对现金的影响,"41,464.63","-64,435.03","-75,756.60","-10,306.95","-13,439.71","3,384.19","-11,649.56","-20,239.53","-21,467.66","-30,459.29","-1,972.93","1,177.92","-1,070.49","-1,045.49","-5,683.88",-128.93,"4,617.36","85,472.15","56,410.92","40,725.30","130,403.48","109,398.22",-969.81,"380,208.35","340,424.97","-4,163,869.05"
收到其他与投资活动有关的现金,"35,027,462.07","184,450,070.78","225,177,585.49","150,784.36",,,"57,011,846.28","147,000,000.00","147,406,400.00","5,000,000.00","24,118.29","2,050,000.00","2,213,118.29","2,050,000.00",,,"7,732,884.00","9,000,000.00",,"38,660,855.70",,,,"25,551,089.80","30,564,308.36","69,204,638.54"
四(2)、其他原因对现金的影响,,,,,,,,,,,,,,,,,,,,,,,,,,
投资活动现金流入小计,"35,059,681.25","216,574,792.15","225,342,567.95","150,784.36","7,000.00","7,000.00","57,268,544.89","147,650,407.99","148,056,807.99","152,393,709.38","24,118.29","2,207,305.17","2,213,118.29","42,198,360.94",,,"7,732,884.00","9,017,844.01","7,473.92","38,737,872.77","30,203,784.19","1,872,267.12","1,550.00","30,020,639.80","80,690,880.21","101,003,544.16"
五、现金及现金等价物净增加额,"-2,594,805.04","97,987,307.82","-35,856,376.06","-4,740,172.03","547,702,102.46","558,167,139.72","-27,675,576.07","-272,289,399.86","-277,441,684.02","-55,691,506.07","-5,870,518.60","-43,201,566.26","-67,570,626.11","-28,403,945.11","-87,572,538.17","-195,977,178.39","-253,806,327.67","-289,845,238.81","-36,331,455.62","-69,798,543.04","331,899,977.72","270,260,078.36","-55,005,596.58","-71,435,295.46","-319,030,664.58","-296,613,192.51"
购建固定资产、无形资产和其他长期资产支付的现金,"5,476,948.11","28,293,414.86","66,740,552.91","8,318,794.47","12,126,459.77","19,933,023.94","10,987,375.51","19,497,331.16","24,763,729.40","37,233,978.83","22,130,825.21","57,116,982.77","87,222,405.23","122,259,514.77","63,306,028.93","110,754,115.99","173,607,293.30","266,485,303.68","31,669,562.45","62,874,712.73","92,241,742.97","151,674,053.65","18,765,275.99","32,262,284.40","49,679,092.59","74,145,324.53"
期初现金及现金等价物余额,"5,955,327.26","3,360,522.22","101,347,830.04","65,491,453.98","65,491,453.98","65,491,453.98","623,658,593.70","623,658,593.70","623,658,593.70","623,658,593.70","567,967,087.63","567,967,087.63","567,967,087.63","567,967,087.63","539,563,142.52","539,563,142.52","539,563,142.52","539,563,142.52","249,717,903.71","249,717,903.71","249,717,903.71","249,717,903.71","519,977,982.07","519,977,982.07","519,977,982.07","519,977,982.07"
投资支付的现金,,"5,215,242.49",,,,,,,,"147,000,000.00",,,,"40,000,000.00","7,500,000.00",,,"41,880,000.00",,"30,000,000.00","30,000,000.00","29,999,996.80",,"22,978,250.00","273,378,250.00","7,650,000.00"
期末现金及现金等价物余额,"3,360,522.22","101,347,830.04","65,491,453.98","60,751,281.95","613,193,556.44","623,658,593.70","595,983,017.63","351,369,193.84","346,216,909.68","567,967,087.63","562,096,569.03","524,765,521.37","500,396,461.52","539,563,142.52","451,990,604.35","343,585,964.13","285,756,814.85","249,717,903.71","213,386,448.09","179,919,360.67","581,617,881.43","519,977,982.07","464,972,385.49","448,542,686.61","200,947,317.49","223,364,789.56"
