科目,2007年度,2008年度,2009年度,2010年1-6月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月
支付其他与筹资活动有关的现金,"83,721,208.45","152,245,437.76","138,238,560.27","3,001,275.98","22,445,565.06","18,153,154.80","49,233,851.95","362,981,066.50","742,077,626.13",,"97,810,066.36",,"99,986,936.44","154,239,110.55","176,051,911.39","35,158,307.70","33,458,610.03","211,876,526.82","1,266,352,402.15","1,382,384,915.69","2,464,729,127.08","1,259,893,810.11","4,136,073,547.47","7,024,334,225.69","1,609,885,857.04","2,015,903,932.32","3,398,110,680.11","4,893,969,507.91","10,304,564,345.20","3,042,555,822.80","5,520,483,080.23","7,985,455,476.09","11,941,722,496.25","2,782,872,050.86"
取得投资收益收到的现金,"5,848,200.00","12,816,910.89","10,978,246.60","10,108,313.85","10,108,313.85",,"6,478,246.60","6,478,246.60","13,258,746.60","10,393,969.27","18,503,228.22","18,831,925.27","20,451,747.37","3,270,000.00","15,856,414.03","20,078,153.45","15,328,365.66","394,663.49","7,869,125.25","77,803,026.69","124,976,766.62","1,576,987.70","4,346,128.59","81,029,573.12","83,597,109.60","1,876,232.05","3,291,485.47","85,467,572.53","157,049,574.23","11,579,437.36","41,934,525.94","134,097,322.91","155,155,974.23","1,694,777.62"
筹资活动现金流出小计,"1,267,472,844.84","1,402,160,521.97","1,214,291,250.21","603,483,692.22","1,185,911,806.30","1,342,285,336.01","1,960,201,547.31","2,294,874,920.66","3,458,815,724.81","614,617,359.36","1,191,625,165.89","2,048,174,490.01","2,962,700,861.80","1,075,043,010.38","2,441,939,378.68","2,985,189,745.64","4,163,278,947.77","2,058,313,143.38","5,132,878,001.79","6,666,740,685.88","9,360,547,500.07","3,962,638,377.56","9,333,652,907.49","15,795,987,613.76","12,767,388,061.03","5,697,679,792.55","11,463,603,736.60","16,237,342,825.12","27,784,747,754.40","5,930,957,072.31","12,664,764,807.13","17,018,569,651.04","26,342,859,357.31","5,237,787,790.46"
处置固定资产、无形资产和其他长期资产收回的现金净额,"15,034,240.96","1,255,825.45","56,577,143.10","487,371.08","1,075,232.26","182,625.00","82,198,507.54","82,630,597.43","1,171,572.55","370,384.86","995,025.86","1,257,576.86","1,662,322.91","197,173.43","227,567.90","341,623.27","6,065,825.04","174,000.00","230,389.00","264,019.00","1,739,658.21","42,000.00","324,200.00","1,002,730.10","236,416,750.50","89,117,241.48","89,419,636.87","89,513,263.94","97,269,450.93","200,776,679.50","329,441,045.50","329,541,980.49","289,685,596.39","43,800.00"
筹资活动产生的现金流量净额,"-365,274,158.10","534,230,890.28","296,099,401.19","333,376,274.40","3,222,277,946.72","-1,061,885,336.01","-1,099,797,567.12","-721,503,729.50","-1,190,714,309.12","372,374,737.42","867,578,208.88","2,101,422,499.29","2,306,462,903.17","390,190,983.07","776,577,807.86","1,038,119,338.90","2,532,917,710.98","-588,802,221.64","-1,464,538,110.88","-1,236,014,592.79","599,825,295.54","489,876,850.27","592,155,342.79","1,314,690,448.80","2,676,432,610.51","1,651,684,331.09","812,303,470.63","382,668,941.24","1,900,844,454.51","-582,948,572.11","595,264,974.18","85,322,189.22","-433,087,548.85","-143,112,572.23"
处置子公司及其他营业单位收到的现金净额,"140,606,475.49",,,,,,,,,,,,,,,,,,,,,,,,,,,,"100,000,000.00",,,,"307,527,762.54",
四、汇率变动对现金的影响,"-14,342,450.28","-13,072,731.86","-3,979,035.21","-4,115,897.02","-16,190,450.67","-1,082,294.84","-7,258,063.42","-9,027,571.32","-2,783,766.57","-2,011,113.63","1,496,193.11","1,236,763.75","-5,613,726.26","-9,463,391.04","-21,817,281.23","-39,284,322.39","-33,668,599.79","1,501,105.71","-7,649,439.57","-46,093,625.20","-173,253,180.89","-39,428,164.92","-136,317,463.31","-280,476,288.70","-131,907,709.69","-7,247,102.87","20,717,353.19","66,395,864.30","27,871,254.13","12,372,801.14","-1,260,399.60","-17,825,677.19","-12,472,880.37","-16,721,794.07"
收到其他与投资活动有关的现金,"9,021,159.14","11,051,186.17","19,097,023.99","9,675,671.01","22,679,773.77","5,970,041.39",,,"35,660,671.25","11,334,634.47","33,167,345.80","40,284,293.28","38,863,656.42","7,817,726.40","10,805,813.91","30,389,779.75","78,885,007.05","1,139,886.63","14,503,714.56","24,032,275.76","20,790,000.00","201,035,283.36","228,518,854.33","246,694,903.63","5,684,000.00","17,494,974.59","13,024,000.00","26,921,000.00","71,255,128.93",,,,"2,092,000.00","362,548.15"
四(2)、其他原因对现金的影响,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
投资活动现金流入小计,"283,103,675.59","71,153,122.51","87,215,705.13","20,271,355.94","33,863,319.88","6,152,666.39","88,676,754.14","89,108,844.03","50,090,990.40","22,098,988.60","52,665,599.88","60,373,795.41","61,262,646.65","37,884,899.83","110,489,795.84","134,412,503.63","152,862,882.68","11,708,550.12","54,603,228.81","126,599,321.45","356,235,766.10","481,654,271.06","659,462,914.53","979,427,206.85","1,596,574,432.52","755,980,133.42","911,794,400.88","1,344,877,616.47","2,313,049,932.06","286,365,688.04","808,558,588.62","1,265,190,097.89","2,173,928,364.16","133,271,960.53"
五、现金及现金等价物净增加额,"-183,192,803.24","455,638,947.06","220,601,508.92","202,137,213.13","2,883,020,054.67","-1,520,436,449.50","-1,814,042,208.35","-1,621,687,892.40","-2,310,522,233.08","-328,206,321.83","-52,815,752.59","1,414,700,645.49","648,955,710.95","365,529,128.99","549,961,412.30","471,104,861.88","437,897,130.60","-693,712,463.10","-1,312,077,727.68","-1,227,337,345.90","-114,685,731.05","451,142,323.43","744,227,476.64","462,565,075.06","-572,773,041.64","990,061,941.97","249,466,167.09","520,855,080.97","472,412,605.58","-542,930,360.74","564,698,738.04","366,193,880.87","-588,790,150.29","-321,679,861.81"
购建固定资产、无形资产和其他长期资产支付的现金,"432,338,719.71","340,909,759.67","346,622,974.44","271,491,192.40","530,035,418.73","144,162,997.53","508,958,024.20","835,803,244.24","1,300,823,143.38","234,012,019.51","431,837,874.82","577,532,406.48","891,210,407.30","298,993,714.20","502,372,097.40","564,638,749.77","603,921,227.03","143,406,138.53","307,624,287.71","323,624,110.55","286,214,175.80","41,003,253.34","137,275,302.47","1,054,084,682.17","726,242,322.90","118,755,872.92","195,778,729.16","260,193,295.41","350,124,445.04","61,244,291.73","122,663,061.19","165,727,666.37","735,244,524.49","30,637,295.42"
期初现金及现金等价物余额,"603,195,313.71","420,002,510.47","875,641,457.53","1,096,242,966.45","1,096,242,966.45","3,979,263,021.12","3,979,263,021.12","3,979,263,021.12","3,979,263,021.12","1,668,740,788.04","1,668,740,788.04","1,668,740,788.04","1,668,740,788.04","2,317,696,498.99","2,317,696,498.99","2,317,696,498.99","2,317,696,498.99","2,755,593,629.59","2,755,593,629.59","2,755,593,629.59","2,755,593,629.59","2,640,907,898.54","2,640,907,898.54","2,640,907,898.54","2,640,907,898.54","2,068,134,856.90","2,068,134,856.90","2,068,134,856.90","2,068,134,856.90","2,540,547,462.48","2,540,547,462.48","2,540,547,462.48","2,540,547,462.48","2,269,069,835.62"
投资支付的现金,"28,664,600.00","4,579,432.73","313,124,343.18",,,,"19,972,400.00","19,972,400.00","9,701,350.00","18,000,000.00","37,062,909.00","42,272,115.20","104,573,799.80","12,000,000.00","25,760,000.00","65,760,000.00","1,087,148,736.06",,"21,000,000.00","62,600,000.00","194,400,000.00","354,522,125.00","463,122,125.00","784,178,197.62","2,418,443,972.53","941,766,358.39","1,116,953,158.39","1,043,130,678.10","2,436,291,752.36","87,750,000.00","314,082,067.46","483,732,067.46","1,251,523,478.50","64,790,500.00"
期末现金及现金等价物余额,"420,002,510.47","875,641,457.53","1,096,242,966.45","1,298,380,179.58","3,979,263,021.12","2,458,826,571.62","2,165,220,812.77","2,357,575,128.72","1,668,740,788.04","1,340,534,466.21","1,615,925,035.45","3,083,441,433.53","2,317,696,498.99","2,683,225,627.98","2,867,657,911.29","2,788,801,360.87","2,755,593,629.59","2,061,881,166.49","1,443,515,901.91","1,528,256,283.69","2,640,907,898.54","3,092,050,221.97","3,385,135,375.18","3,103,472,973.60","2,068,134,856.90","3,058,196,798.87","2,317,601,023.99","2,588,989,937.87","2,540,547,462.48","1,997,617,101.74","3,105,246,200.52","2,906,741,343.35","1,951,757,312.19","1,947,389,973.81"
