科目,2007-12-31,2008-03-31,2008-06-30,2008-09-30,2008-12-31,2009-03-31,2009-06-30,2009-09-30,2009-12-31,2010-03-31,2010-06-30,2010-09-30,2010-12-31,2011-03-31,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30
长期股权投资,"5,000,000.00","5,000,000.00","5,000,000.00","5,000,000.00",,,,,"5,000,000.00","5,000,000.00","13,000,000.00","13,000,000.00","8,000,000.00","8,000,000.00",,,,"9,000,000.00","8,840,244.76","13,104,796.16","22,009,295.56","21,529,289.31","52,348,100.65","101,318,757.99","102,504,163.68","125,974,367.74","125,389,177.45","199,479,006.90","213,273,227.80","230,985,547.73","225,439,623.29","220,026,257.05","206,181,018.88","197,996,899.73","199,398,914.83","199,646,886.94","186,129,415.69","177,626,148.12","151,908,367.35","147,073,421.84"
专项应付款,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
投资性房地产,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
预计负债,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
固定资产,"306,490,633.44","304,704,398.03","304,066,614.12","301,476,986.96","319,844,989.45","320,712,489.79","315,064,764.69","382,797,120.30","417,066,019.23","410,445,738.71","402,838,678.26","396,775,133.01","513,117,911.09","508,445,642.10","521,383,436.88","514,554,877.75","599,670,298.49","588,403,483.98","593,369,982.23","595,652,073.35","666,593,724.53","657,344,219.15","642,191,077.97","639,541,491.25","650,261,475.69","638,026,473.24","632,013,679.96","633,707,792.51","795,438,782.03","780,573,601.96","763,966,214.78","747,280,469.67","841,338,866.79","825,525,915.26","827,209,217.60","813,618,608.25","969,344,583.27","996,218,199.91","1,040,691,080.23","1,017,107,871.72"
递延所得税负债,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
在建工程,"49,475,279.71","57,580,109.63","68,703,416.64","83,994,224.21","101,321,161.63","121,321,409.18","130,124,775.40","75,177,661.25","70,915,420.13","91,307,094.94","102,251,379.69","144,304,295.51","85,655,405.71","92,678,607.23","84,310,062.83","90,029,541.49","39,891,463.22","42,651,624.89","45,320,975.01","48,654,180.98","59,581,811.25","65,881,391.92","78,626,757.76","79,087,992.29","105,645,897.96","128,908,111.46","130,961,110.45","151,822,640.07","28,569,678.44","49,038,844.76","73,656,750.07","115,104,819.98","79,714,571.72","127,555,670.31","140,001,138.36","181,399,188.09","155,953,149.55","140,149,552.03","124,859,450.89","176,868,411.51"
其他非流动负债,"833,257.50","833,257.50","833,257.50","827,107.50","800,000.00","800,000.00","800,000.00","800,000.00","3,800,000.00","3,800,000.00","-271,510.00","331,400.00","990,000.00","990,000.00","990,000.00","990,000.00","880,000.00","880,000.00","880,000.00","880,000.00","5,976,666.67","5,943,666.67","5,910,666.67","5,877,666.67","5,994,666.67","5,961,666.67","5,928,666.67","5,895,666.67",,,,,,,,,,,,
工程物资,,,,,,,,,,,,,,,,,"1,510.00","1,510.00","1,510.00",,,,,"625,787.45","429,732.10","293,602.70","525,459.48","446,270.58","626,839.14","706,759.35","1,719,845.14","2,119,229.52","1,702,346.65","1,689,097.81","1,676,392.54","2,478,497.13","3,112,353.38","3,672,560.87","3,804,571.03","4,945,932.71"
非流动负债合计,"36,183,924.65","42,116,761.36","26,583,924.65","21,177,774.65","16,200,000.00","16,200,000.00","12,200,000.00","12,200,000.00","11,200,000.00","9,200,000.00","5,128,490.00","5,731,400.00","6,390,000.00","6,390,000.00","6,390,000.00","6,390,000.00","880,000.00","880,000.00","880,000.00","880,000.00","5,976,666.67","5,943,666.67","5,910,666.67","5,877,666.67","5,994,666.67","63,961,666.67","63,928,666.67","63,895,666.67","82,314,666.67","82,281,666.67","82,248,666.67","101,415,666.67","248,990,666.67","536,952,875.00","535,605,499.99","404,258,124.99","410,091,166.67","385,043,791.67","382,918,416.67","414,393,041.67"
