科目,2007年1-6月,2007年度,2008年1-6月,2008年1-9月,2008年度,2009年1-3月,2009年1-6月,2009年1-9月,2009年度,2010年1-3月,2010年1-6月,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度
资产减值损失,"10,003,130.00","49,656.00","74,728.30","74,728.00","326,388,137.00","-2,609,842.00",,"-11,941,237.00","364,151,791.00","-217,734.00","135,506,622.68","154,489,875.00","175,688,227.00",,"187,753,240.00","187,793,240.00","202,878,294.00",-225.00,375.00,-671.21,"270,720,072.00","-23,250.00","332,096,005.28","154,399,497.75","792,141,366.00","44,560,005.00","47,727,130.00","114,210,581.00","362,952,805.00","49,690,301.00","82,162,710.00","106,319,963.00","470,685,123.00","-3,335,717.00","5,637,118.00","59,759,874.00","560,842,460.00","197,939,691.00","237,944,424.00","253,557,647.00","2,220,905,893.00"
减:所得税,"453,598,589.00","912,448,399.00","569,654,909.19","810,138,672.00","639,031,221.00","192,405,954.00","474,173,837.29","718,675,627.00","968,253,570.00","286,959,165.00","668,329,433.34","975,969,648.00","1,575,823,347.00","517,170,690.07","1,193,858,489.33","1,814,230,711.88","2,365,776,280.00","464,041,725.46","1,003,983,712.55","1,512,195,221.18","2,402,806,003.00","361,243,717.88","551,478,766.97","876,562,622.62","973,432,498.00","239,777,853.00","486,472,110.00","851,247,775.00","688,695,999.00","200,816,460.00","496,673,012.00","667,219,519.00","743,484,427.00","28,968,268.00","40,123,348.00","208,301,363.00","438,783,804.00","137,720,729.00","388,445,323.00","814,193,455.00","1,320,410,996.00"
加:公允价值变动净收益,"68,589,163.00","159,661,207.00","-35,895,065.26","-43,085,986.00","-36,762,635.00","9,279,261.00","-6,120,514.40","16,294,300.00","13,911,304.00","14,971,519.00","-26,791,685.40","2,642,487.00","107,325,325.00","9,142,198.87","158,314,378.71","-204,679,156.57","-57,130,642.00","6,479,439.25","-64,176,643.31","-208,324,427.10","12,986,146.00","25,393,140.98","9,581,823.71","8,192,558.51","18,736,057.00","106,953,856.00","-303,919,909.00","87,790,613.00","-141,213,373.00","204,356,819.00","337,686,299.00","116,540,009.00","-125,512,228.00","-296,482,591.00","-719,947,740.00","562,548,822.00","756,641,718.00","797,503,189.00","570,492,224.00","540,443,622.00","750,200,343.00"
加:影响净利润的其他科目,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
投资收益,"3,000,222.00","163,252,347.00","91,365,157.01","114,646,376.00","151,334,317.00","66,831,168.00","26,905,354.71","-53,753,555.00","-141,228,385.00","22,542,455.00","73,816,797.76","118,369,334.00","207,630,138.00","98,673,145.11","408,244,429.39","458,754,616.51","561,775,828.00","38,767,863.42","247,959,419.06","362,974,403.96","639,884,580.00","45,181,421.40","86,443,676.99","68,826,229.93","13,767,646.00","196,358,255.00","412,610,448.00","370,734,088.00","772,566,108.00","64,226,329.00","253,463,357.00","632,062,934.00","1,312,774,399.00","-428,216,952.00","-455,916,389.00","-1,594,274,279.00","-1,973,336,425.00","-60,812,869.00","82,809,279.00","-238,410,550.00","155,670,082.00"
四、净利润,"1,642,758,695.00","3,516,070,223.00","2,215,879,340.21","3,268,260,976.00","3,894,024,427.00","969,112,257.00","2,121,242,152.37","3,245,132,285.00","4,050,654,221.00","1,450,735,545.00","3,104,828,979.23","4,467,491,386.00","5,755,748,425.00","1,611,005,425.29","3,707,894,457.68","5,497,507,908.07","6,910,525,409.00","1,239,793,771.13","2,840,012,723.85","4,377,931,183.89","6,153,253,314.00","920,598,144.69","1,532,888,941.36","2,465,534,351.59","2,861,269,072.00","583,590,918.00","1,363,347,848.00","2,378,736,231.00","2,635,441,991.00","405,380,036.00","1,410,013,438.00","1,678,783,896.00","1,342,687,764.00","81,721,195.00","576,670,309.00","1,452,021,576.00","1,687,267,902.00","1,103,606,809.00","1,762,721,468.00","2,671,626,435.00","3,247,549,197.00"
其中:对联营企业和合营企业的投资权益,"51,085,518.00","73,792,874.00","26,358,780.97","37,659,510.00","39,872,524.00","24,509,784.00","12,042,666.48","29,363,470.00","95,703,540.00","17,515,840.00","57,171,188.90","71,896,116.00","137,365,606.00","67,139,843.21","120,029,043.83","138,801,413.12","205,253,368.00","41,234,327.06","121,606,792.29","166,519,981.28","242,514,892.00","12,336,872.01","62,759,501.37","88,257,229.88","117,156,560.00","46,326,297.00","112,166,463.00","63,331,679.00","21,433,814.00","-109,431,527.00","-162,033,012.00","-273,512,649.00","-44,237,294.00","55,167,511.00","166,791,958.00","189,664,814.00","92,415,676.00","6,871,277.00","16,568,302.00","30,085,555.00","-29,259,162.00"
归属于母公司所有者的净利润,"1,201,452,120.00","2,548,322,469.00","1,742,397,658.60","2,574,716,786.00","3,066,200,909.00","912,398,295.00","1,932,690,610.48","2,890,649,215.00","3,541,446,876.00","1,277,505,210.00","2,706,806,502.46","3,847,232,839.00","4,827,916,726.00","1,394,433,845.14","3,149,347,210.96","4,523,495,563.36","5,712,569,100.00","1,069,892,934.57","2,384,712,524.71","3,618,194,908.61","5,211,208,977.00","719,507,868.58","1,098,050,167.09","1,789,376,417.51","2,125,353,823.00","520,621,995.00","1,109,401,895.00","1,969,019,486.00","2,345,062,669.00","414,977,600.00","1,341,155,185.00","1,692,042,397.00","1,655,671,617.00","63,760,733.00","538,349,713.00","1,424,499,725.00","1,839,798,820.00","1,005,633,520.00","1,505,399,413.00","2,214,183,323.00","3,507,717,627.00"
影响营业利润的其他科目,"41,330,281.00","-158,818,779.00","33,968,111.07",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
少数股东损益,"441,306,575.00","967,747,754.00","473,481,681.61","693,544,190.00","827,823,518.00","56,713,962.00","188,551,541.89","354,483,070.00","509,207,345.00","173,230,335.00","398,022,476.77","620,258,547.00","927,831,699.00","216,571,580.15","558,547,246.72","974,012,344.71","1,197,956,309.00","169,900,836.56","455,300,199.14","759,736,275.28","942,044,337.00","201,090,276.11","434,838,774.27","676,157,934.08","735,915,249.00","62,968,923.00","253,945,953.00","409,716,745.00","290,379,322.00","-9,597,564.00","68,858,253.00","-13,258,501.00","-312,983,853.00","17,960,462.00","38,320,596.00","27,521,851.00","-152,530,918.00","97,973,289.00","257,322,055.00","457,443,112.00","-260,168,430.00"
