科目,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月
支付给职工以及为职工支付的现金,"938,244,256.00","310,460,842.00","522,000,872.00","813,363,182.00","1,226,548,583.00","485,552,909.00","787,972,566.00","1,123,094,526.00","1,575,169,487.00","698,376,838.00","1,071,004,730.00","1,523,665,064.00","2,077,805,073.00","775,431,750.00","1,319,873,511.00","1,897,592,756.00","2,454,155,423.00","1,035,066,979.00","1,688,452,472.00","2,507,473,218.00","3,334,532,776.00","1,422,018,396.00","2,270,773,668.00","3,322,193,756.00","4,464,597,799.00","1,939,751,984.00","3,066,036,061.00"
取得借款收到的现金,"2,393,754,808.00","920,670,334.00","1,736,617,147.00","2,754,537,394.00","4,526,621,814.00","632,494,889.00","1,322,037,409.00","1,934,429,375.00","2,414,395,678.00","1,135,815,750.00","5,467,704,882.00","10,077,284,915.00","7,795,254,651.00","1,204,838,959.00","2,150,431,452.00","3,788,203,582.00","7,724,880,435.00","3,040,719,578.00","3,720,609,486.00","4,074,606,780.00","5,873,117,243.00","388,951,460.00","864,311,539.00","1,624,551,677.00","1,879,870,468.00","435,476,559.00","855,023,838.00"
支付的各项税费,"405,487,170.00","153,348,818.00","261,714,941.00","459,201,319.00","780,470,759.00","363,397,418.00","855,870,239.00","1,173,097,121.00","1,338,585,554.00","523,041,798.00","931,455,348.00","1,234,155,136.00","1,657,592,891.00","411,846,756.00","864,345,941.00","1,354,055,216.00","2,278,388,570.00","815,908,313.00","1,849,588,824.00","2,913,554,317.00","4,253,199,635.00","1,544,992,862.00","3,661,980,891.00","5,216,731,331.00","6,950,701,228.00","1,731,553,648.00","4,096,626,475.00"
收到其他与筹资活动有关的现金,"59,266,500.00","20,647,435.00","67,574,200.00","67,574,200.00","34,180,751.00","204,815,297.00","65,944,288.00","74,140,376.00","23,000,508.00","1,023,845,553.00","54,408,283.00","22,266,714.00","18,470,462.00","49,410.00","92,061,236.00","86,500,000.00","86,508,704.00",,"38,360,000.00","47,416,338.00","85,130,000.00","3,073,183.00","1,004,214.00","1,107,559.00","2,358,293.00","180,367,525.00","315,701,142.00"
支付其他与经营活动有关的现金,"1,920,649,097.00","535,668,502.00","1,741,762,621.00","2,375,429,175.00","1,823,698,647.00","236,371,017.00","752,856,354.00","1,647,495,541.00","2,092,924,693.00","705,337,671.00","1,612,944,228.00","2,214,838,943.00","2,712,447,647.00","777,430,933.00","1,292,823,560.00","2,042,392,938.00","3,126,110,567.00","1,231,118,300.00","1,854,361,548.00","2,877,008,371.00","4,142,037,029.00","692,870,549.00","2,990,058,513.00","2,818,726,647.00","5,981,957,781.00","1,522,570,330.00","3,208,721,912.00"
筹资活动现金流入小计,"2,732,141,363.00","949,217,769.00","1,812,091,347.00","2,856,191,594.00","4,579,882,565.00","4,813,611,854.00","5,376,407,141.00","5,996,995,195.00","6,426,600,457.00","2,159,661,303.00","5,525,963,102.00","10,193,401,566.00","13,062,575,051.00","3,184,554,369.00","4,286,990,148.00","6,016,119,582.00","10,045,355,139.00","7,109,243,778.00","7,858,343,686.00","8,310,047,318.00","10,298,103,025.00","398,161,995.00","877,469,748.00","1,704,898,445.00","17,232,031,020.00","630,173,492.00","1,437,096,170.00"
经营活动现金流出小计,"14,026,406,309.00","3,702,166,079.00","7,822,493,394.00","11,681,800,639.00","14,748,535,948.00","4,318,838,937.00","10,200,307,713.00","16,343,233,725.00","22,548,690,934.00","6,442,349,771.00","13,785,112,498.00","20,015,584,757.00","27,788,505,525.00","7,497,717,440.00","14,471,535,416.00","22,552,889,942.00","32,062,581,200.00","11,191,315,594.00","23,349,239,000.00","37,211,012,071.00","54,657,350,730.00","16,330,869,075.00","37,460,086,815.00","57,859,591,941.00","77,861,546,322.00","20,938,753,551.00","44,976,433,022.00"
偿还债务支付的现金,"1,930,063,995.00","1,050,216,867.00","1,905,607,493.00","2,827,087,009.00","4,502,294,091.00","531,802,546.00","1,435,518,481.00","2,516,488,799.00","2,354,042,377.00","970,042,052.00","8,162,642,175.00","8,833,972,341.00","12,785,454,104.00","2,220,196,551.00","3,365,768,157.00","8,918,348,119.00","12,230,287,723.00","1,197,221,038.00","2,174,133,667.00","3,645,832,502.00","6,669,480,441.00","2,503,279,701.00","2,980,499,031.00","3,822,299,525.00","4,940,644,479.00","1,473,603,719.00","1,697,032,366.00"
经营活动产生的现金流量净额,"-287,156,190.00","-327,174,614.00","-259,558,332.00","-376,135,007.00","956,076,280.00","-56,824,628.00","-35,504,257.00","333,820,389.00","978,390,727.00","53,174,508.00","87,730,753.00","313,229,696.00","1,104,781,789.00","-367,957,914.00","161,449,762.00","1,927,605,029.00","5,081,828,813.00","1,372,179,760.00","3,296,965,233.00","5,480,755,869.00","5,498,358,276.00","3,486,390,182.00","4,251,350,941.00","4,499,007,476.00","15,097,882,093.00","-1,240,059,467.00","-3,782,887,043.00"
分配股利、利润或偿还利息支付的现金,"1,076,569,280.00","31,020,056.00","314,014,226.00","1,712,032,243.00","2,220,879,300.00","37,473,358.00","345,804,418.00","521,385,465.00","969,239,243.00","245,708,635.00","565,542,719.00","1,319,550,576.00","1,929,386,685.00","329,084,511.00","402,352,982.00","1,191,601,147.00","1,798,721,167.00","386,578,608.00","1,233,007,944.00","1,290,654,430.00","1,897,931,450.00","413,518,784.00","1,873,158,650.00","2,580,235,727.00","2,647,755,664.00","341,417,396.00","3,529,887,753.00"
收回投资收到的现金,"1,500,000.00","102,421,848.00","100,000,000.00","1,519,550,302.00","313,442,345.00","122,690,368.00","155,862,573.00","246,587,554.00","315,223,480.00","68,626,697.00","681,947,802.00","789,016,457.00","2,229,315,109.00","5,364,258,603.00","11,129,227,367.00","14,838,302,602.00","15,835,702,320.00","6,274,271,688.00","11,095,911,523.00","15,153,195,408.00","26,385,249,133.00","7,576,972,592.00","10,186,606,695.00","12,646,757,582.00","13,426,064,039.00","547,730,971.00","1,932,498,395.00"
支付其他与筹资活动有关的现金,"272,941,478.00","14,234,285.00","40,510,741.00","40,595,368.00","76,577,947.00","180,641,387.00","1,028,028.00","22,095,301.00","22,481,113.00","2,008,407.00","2,272,367.00","12,727,345.00","13,908,002.00","43,507,353.00","283,640.00","32,111,454.00","119,024,005.00","36,882,822.00","85,082,580.00","92,971,811.00","86,532,868.00","109,704,156.00","12,328,584.00","52,469,613.00","75,548,328.00","38,345,634.00","4,008,213.00"
取得投资收益收到的现金,"5,448,434,505.00","21,286,698.00","3,388,531,061.00","3,543,610,885.00","3,665,003,837.00","16,582,664.00","2,899,228,105.00","2,999,187,214.00","3,059,949,162.00","22,058,731.00","2,573,492,339.00","2,681,815,915.00","4,363,812,420.00","40,989,789.00","2,816,180,841.00","4,177,505,975.00","4,406,591,004.00","38,562,752.00","3,081,668,196.00","4,770,807,228.00","5,025,899,629.00","93,819,982.00","3,171,716,938.00","5,327,674,822.00","5,436,524,655.00","84,562,147.00","3,534,437,555.00"
筹资活动现金流出小计,"3,279,574,753.00","1,095,471,208.00","2,260,132,460.00","4,579,714,620.00","6,799,751,338.00","749,917,291.00","1,782,350,927.00","3,059,969,565.00","3,345,762,733.00","1,217,759,094.00","8,730,457,261.00","10,166,250,262.00","14,728,748,791.00","2,592,788,415.00","3,768,404,779.00","10,142,060,720.00","14,148,032,895.00","1,620,682,468.00","3,492,224,191.00","5,029,458,743.00","8,653,944,759.00","3,026,502,641.00","4,865,986,265.00","6,455,004,865.00","7,663,948,471.00","1,853,366,749.00","5,230,928,332.00"
处置固定资产、无形资产和其他长期资产收回的现金净额,"59,991,463.00","10,352,993.00","3,980,284.00","4,272,445.00","16,226,408.00","133,250,095.00","142,336,794.00","237,422,742.00","428,137,641.00","113,816,056.00","113,754,603.00","115,058,483.00","121,343,154.00","75,195,165.00","78,965,778.00","113,237,045.00","138,634,682.00","52,944,859.00","68,001,767.00","69,165,228.00","179,517,725.00","39,482,432.00","195,864,126.00","280,350,647.00","138,305,067.00","6,947,899.00","10,726,246.00"
筹资活动产生的现金流量净额,"-547,433,390.00","-146,253,439.00","-448,041,113.00","-1,723,523,026.00","-2,219,868,773.00","4,063,694,563.00","3,594,056,214.00","2,937,025,630.00","3,080,837,724.00","941,902,209.00","-3,204,494,159.00","27,151,304.00","-1,666,173,740.00","591,765,954.00","518,585,369.00","-4,125,941,138.00","-4,102,677,756.00","5,488,561,310.00","4,366,119,495.00","3,280,588,575.00","1,644,158,266.00","-2,628,340,646.00","-3,988,516,517.00","-4,750,106,420.00","9,568,082,549.00","-1,223,193,257.00","-3,793,832,162.00"
处置子公司及其他营业单位收到的现金净额,"30,187,437.00",,"2,421,849.00","2,421,849.00","171,996,261.00",,,,,,,,,,,,,,,,,,,,"7,536,481.00",,
四、汇率变动对现金的影响,"-41,409,422.00",,"5,261,000.00","1,919,946.00","11,389,511.00","-4,666,053.00","-10,012,263.00","-12,684,356.00","-20,789,174.00","27,295,375.00","2,509,341.00","-9,314,219.00","-21,834,452.00","163,398.00","-1,167,868.00","10,693,782.00","37,444,208.00","-5,774,891.00","11,738,904.00","17,910,590.00","74,098,281.00","-9,319,713.00","-25,629,144.00","-45,995,517.00","-49,671,016.00","-43,417,174.00","23,320,736.00"
收到其他与投资活动有关的现金,"1,242,454,216.00","109,564,792.00","78,660,000.00","493,745,490.00","704,125,863.00","144,355,668.00","26,988,578.00","68,216,167.00","404,755,180.00","100,574,028.00","29,244,103.00","130,890,427.00","221,482,537.00","64,215,546.00","699,551,546.00","1,110,071,409.00","1,059,265,598.00","311,464,020.00","1,273,683,108.00","1,292,076,327.00","1,850,024,282.00","1,000,148,980.00","2,379,218,785.00","2,440,044,319.00","3,038,317,653.00","310,052,694.00","347,288,826.00"
四(2)、其他原因对现金的影响,,,,,,,,,,,,,,,,,,,,,,,,,,,
投资活动现金流入小计,"6,782,567,621.00","243,626,331.00","3,573,593,194.00","5,563,600,971.00","4,870,794,714.00","416,878,795.00","3,224,416,050.00","3,551,413,677.00","4,208,065,463.00","305,075,512.00","3,398,438,847.00","3,716,781,282.00","6,935,953,220.00","5,544,659,103.00","14,723,925,532.00","20,239,117,031.00","21,440,193,604.00","6,677,243,319.00","15,519,264,594.00","21,285,244,191.00","33,440,690,769.00","8,710,423,986.00","15,933,406,544.00","20,694,827,370.00","22,046,747,895.00","949,293,711.00","5,824,951,022.00"
五、现金及现金等价物净增加额,"1,595,539,625.00","-2,305,064,201.00","-1,595,697,583.00","-1,638,861,350.00","-1,968,559,337.00","2,707,373,045.00","4,984,078,806.00","4,159,744,673.00","3,873,938,755.00","212,679,710.00","-2,513,637,328.00","62,481,918.00","-1,057,680,949.00","-1,607,584,378.00","-1,290,399,504.00","-2,442,794,054.00","-2,061,653,816.00","2,322,426,662.00","4,966,990,575.00","1,742,617,172.00","4,134,504,723.00","-1,273,378,978.00","2,586,216,044.00","4,140,393,872.00","27,542,548,230.00","-5,525,093,998.00","-8,663,503,367.00"
购建固定资产、无形资产和其他长期资产支付的现金,"2,204,760,441.00","410,776,739.00","1,820,947,081.00","1,870,608,983.00","2,970,985,650.00","352,033,687.00","613,606,567.00","1,106,227,914.00","1,929,313,304.00","968,890,472.00","1,787,838,483.00","2,392,877,781.00","3,474,508,207.00","833,643,750.00","1,695,630,734.00","2,755,743,697.00","4,321,948,303.00","1,250,184,140.00","2,256,897,602.00","3,625,240,988.00","5,211,562,875.00","1,376,675,509.00","3,052,133,847.00","4,537,713,727.00","6,209,260,131.00","2,458,813,512.00","4,199,100,160.00"
期初现金及现金等价物余额,"15,247,482,203.00","16,843,021,828.00","16,843,021,828.00","16,843,021,828.00","16,843,021,828.00","14,874,462,491.00","14,874,462,491.00","14,874,462,491.00","14,874,462,491.00","18,748,401,246.00","18,748,401,246.00","18,748,401,246.00","18,748,401,246.00","17,690,720,297.00","17,690,720,297.00","17,690,720,297.00","17,696,651,646.00","15,634,997,830.00","15,634,997,830.00","15,634,997,830.00","15,634,997,830.00","19,769,502,554.00","19,769,502,553.00","19,769,502,553.00","19,769,502,553.00","47,312,050,783.00","47,312,050,783.00"
投资支付的现金,"1,502,795,507.00","1,582,453,429.00","2,560,895,251.00","3,062,605,251.00","1,822,975,486.00","1,217,092,704.00","1,115,270,371.00","1,457,339,669.00","2,357,719,766.00","145,036,717.00","464,573,373.00","950,469,041.00","2,873,230,920.00","6,266,963,726.00","14,406,972,516.00","17,114,910,707.00","19,524,237,481.00","9,933,722,998.00","15,332,242,297.00","23,968,923,461.00","29,369,612,560.00","9,379,825,987.00","10,479,532,161.00","11,310,059,268.00","12,453,953,358.00","1,503,822,803.00","2,824,933,297.00"
期末现金及现金等价物余额,"16,843,021,828.00","14,537,957,627.00","15,247,324,245.00","15,204,160,478.00","14,874,462,491.00","17,581,835,536.00","19,858,541,297.00","19,034,207,164.00","18,748,401,246.00","18,961,080,956.00","16,234,763,918.00","18,810,883,164.00","17,690,720,297.00","16,083,135,919.00","16,400,320,793.00","15,247,926,243.00","15,634,997,830.00","17,957,424,492.00","20,601,988,405.00","17,377,615,002.00","19,769,502,553.00","18,496,123,576.00","22,355,718,597.00","23,909,896,425.00","47,312,050,783.00","41,786,956,785.00","38,648,547,416.00"
