科目,2007-03-31,2007-06-30,2007-09-30,2007-12-31,2008-03-31,2008-06-30,2008-09-30,2008-12-31,2009-03-31,2009-06-30,2009-09-30,2009-12-31,2010-03-31,2010-06-30,2010-09-30,2010-12-31,2011-03-31,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31
其中:消耗性生物资产,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应付关联公司款,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
一年内到期的非流动资产,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
一年内到期的非流动负债,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
其他流动资产,,,,,,,,,,,,,,,,,,,,,,,,,,,,"240,904.43",,,,"755,759.20","50,836,204.77","51,273,464.26","1,089,609.37","50,872,791.66","949,276.12","1,286,423.50","1,203,785.26","1,668,386.65","1,719,574.86","1,063,387.06","100,876,443.45","100,425,119.59","100,905,435.74","100,718,973.73","4,690,923.76","383,561.49","11,295,985.37"
其他流动负债,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,129,610.75","1,129,610.75","1,129,610.75","560,003.30","972,882.83","972,882.83"
流动资产合计,"162,201,768.79","159,221,459.95","152,793,720.13","137,810,283.68","128,431,595.67","125,823,203.76","128,472,692.23","122,055,249.29","107,560,041.65","112,638,214.86","113,543,454.25","125,939,346.83","128,712,230.71","114,850,853.69","117,038,471.01","152,343,872.46","140,587,430.54","144,278,434.84","130,987,546.69","105,809,346.64","99,842,033.86","106,931,666.60","115,536,140.76","328,875,306.69","333,328,141.43","320,071,536.33","316,114,203.06","328,830,226.39","325,172,667.59","304,523,942.79","273,944,689.03","232,380,633.46","205,865,588.67","206,998,397.39","195,265,841.45","176,048,322.41","166,665,113.95","176,536,383.19","172,820,020.38","382,693,959.51","368,859,111.62","323,483,863.96","378,883,973.79","374,025,057.50","361,343,148.40","384,085,411.89","377,555,283.56","324,850,783.72","312,962,407.30"
流动负债合计,"439,405,231.96","451,235,307.67","450,709,052.52","394,260,529.70","386,324,126.33","390,981,814.60","394,995,007.20","366,424,658.20","355,223,389.27","356,387,208.64","356,234,281.50","354,120,440.24","358,216,562.17","349,169,353.43","349,470,480.20","386,833,178.85","375,135,926.41","384,785,769.45","374,208,814.06","369,490,738.00","364,340,654.34","373,061,183.04","379,809,481.07","177,643,438.19","182,404,062.85","171,446,894.94","169,226,372.79","165,247,920.28","151,989,737.84","139,738,643.73","122,232,561.15","90,071,482.08","70,822,751.88","78,354,432.18","74,434,931.07","79,720,747.68","74,683,317.24","73,297,963.71","77,817,971.21","196,436,306.96","186,215,934.65","144,932,348.27","147,730,351.89","162,190,170.68","151,809,110.05","173,615,172.45","159,390,415.78","105,928,786.75","96,126,294.37"
可供出售金融资产,"327,533.56","409,362.80","319,789.73","324,508.22","324,508.22","350,812.65","350,812.65","321,606.30","321,606.30","376,245.51","376,245.51","428,422.18","428,422.18","20,000.00","20,000.00",,,,,,,,,,,,,,,,"500,000.00","500,000.00","500,000.00","500,000.00","500,000.00","500,000.00","500,000.00","500,000.00","500,000.00","500,000.00","500,000.00","500,000.00","500,000.00","500,000.00",,,,,
长期借款,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
