科目,2010-12-31,2011-12-31,2012-12-31,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31
未分配利润,"27,189,390.53","68,813,681.45","113,598,495.65","97,002,823.00","117,676,744.45","118,891,120.13","82,005,879.46","103,304,735.05","130,597,949.91","129,640,060.07","137,154,478.89","159,162,705.82","177,600,052.49","172,992,442.51","165,493,887.81","186,873,324.90","204,828,636.62","201,866,481.44","205,023,049.37","228,512,848.23","252,745,651.64"
长期待摊费用,"219,500.00","141,333.32","63,166.64","4,541.63",,,,,,,,,,,,,,,,,
少数股东权益,,,,,,,,,,,,,,,,,,,,,
递延所得税资产,"234,165.46","378,901.38","677,194.35","894,496.20","855,319.69","901,949.62","912,901.92","1,003,137.20","1,121,890.01","1,055,660.37","1,397,286.03","1,443,761.67","1,407,046.83","1,207,394.58","1,305,936.51","1,402,401.33","1,420,100.69","1,434,037.73","1,520,897.26","1,663,822.37","1,711,128.22"
外币报表折算价差,,,,,,,,,,,,,,,,,,,,,
其他非流动资产,,,,,,,"930,656.40","25,631,892.85","7,374,855.65","18,091,892.37","3,608,662.38","2,656,176.00",,,,,"5,000,000.00","5,000,000.00","3,583,000.00","971,201.90",
非正常经营项目收益调整,,,,,,,,,,,,,,,,,,,,,
非流动资产合计,"17,157,463.18","52,117,956.34","49,867,708.00","50,008,712.42","50,629,147.07","53,275,470.07","85,108,148.86","121,139,046.15","153,055,433.59","179,793,448.43","203,447,892.68","220,887,121.14","221,623,748.11","219,281,601.92","218,128,442.42","216,225,658.75","219,319,827.23","218,368,924.20","215,687,839.63","213,972,699.76","212,043,219.89"
所有者权益(或股东权益)合计,"80,851,585.75","127,100,797.88","176,861,702.55","160,266,029.90","186,948,645.66","398,159,421.34","404,474,180.67","425,773,036.26","460,501,940.62","459,544,050.78","467,058,469.60","489,066,696.53","514,972,432.38","510,364,822.40","502,866,267.70","524,245,704.79","547,493,081.41","544,530,926.23","547,687,494.16","571,177,293.02","601,934,209.21"
资产总计,"111,003,694.49","175,353,939.88","196,605,978.45","250,287,725.00","221,870,122.70","433,779,417.98","443,669,611.56","469,463,897.54","499,432,881.13","492,098,348.01","515,096,383.57","546,381,458.88","561,543,765.07","549,475,734.90","543,906,959.46","575,374,728.34","602,506,090.72","588,899,228.17","580,874,478.31","616,959,587.89","653,813,290.56"
负债和所有者(或股东权益)合计,"111,003,694.49","175,353,939.88","196,605,978.45","250,287,725.00","221,870,122.70","433,779,417.98","443,669,611.56","469,463,897.54","499,432,881.13","492,098,348.01","515,096,383.57","546,381,458.88","561,543,765.07","549,475,734.90","543,906,959.46","575,374,728.34","602,506,090.72","588,899,228.17","580,874,478.31","616,959,587.89","653,813,290.56"
