科目,2009年度,2010年度,2011年度,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度
堪探费用,,,,,,,,,,,,,,,,,,,,,,,,,,
加:影响利润总额的其他科目,,,,,,,,,,,,,,,,,,,,,,,,,,
财务费用,"890,729.77","4,243,915.83","5,011,460.79","2,118,388.29","1,624,557.51","-965,610.41","-1,308,502.66","-3,135,736.38","-5,764,442.84","-7,826,103.40","-2,085,324.44","-3,723,133.48","-4,703,561.00","-6,186,314.59","-580,018.14","-3,888,927.87","-6,043,235.32","-6,418,845.78","-2,343,571.41","-4,355,454.68","-9,077,060.88","-12,778,073.92","-1,326,802.01","-1,927,602.82","-293,070.28","-1,997,208.34"
三、利润总额,"45,092,989.03","51,558,318.79","57,550,437.13","18,580,395.76","28,944,248.47","41,280,223.89","10,201,095.92","23,448,724.53","39,912,626.31","52,040,618.49","11,267,358.98","24,358,709.16","35,572,819.81","43,697,028.88","8,707,960.40","20,434,118.95","69,499,437.18","115,673,292.15","12,451,468.31","47,925,739.03","85,353,324.28","136,777,534.43","24,042,338.35","64,904,012.87","104,173,520.23","150,771,901.69"
资产减值损失,"-49,815.54","831,746.26","814,726.93","55,195.35","747,076.68","499,843.39","-156,858.44","463,219.31","1,353,672.12","1,751,007.74","-328,587.73","-491,641.37","27,415.60","553,829.36","-381,866.88","-8,764.34","-51,887.13","1,560,374.83","-532,456.10","372,321.76","1,611,167.77","3,952,858.03","428,066.58","1,139,341.63","1,543,637.58","4,541,087.88"
减:所得税,"6,728,615.93","8,191,488.79","8,479,703.32","3,004,348.11","4,602,356.90","6,094,117.76","1,645,457.42","3,517,501.22","6,231,645.13","7,446,627.57","1,729,483.12","3,809,895.09","5,414,130.86","6,091,961.22","1,406,704.93","3,402,029.62","14,274,330.16","20,888,071.83","2,553,160.15","8,739,368.50","14,880,621.39","22,545,625.96","3,937,961.69","10,600,210.14","17,128,898.36","19,477,508.15"
加:公允价值变动净收益,,,,,,,,,,,,,,,,,,"465,490.11","-1,079,527.88","167,122.96","-268,491.48","834,543.16","-1,060,953.12","-3,167,590.80","-3,388,888.90","-3,669,061.38"
加:影响净利润的其他科目,,,,,,,,,,,,,,,,,,,,,,,,,,
投资收益,,,,,,,,,,,,,,,"3,206.71","594,641.42","1,049,308.55","829,900.33","1,196,463.39","1,476,445.04","1,476,445.04","2,365,109.82","-174,285.22","281,099.47","616,231.32","2,439,582.29"
四、净利润,"38,364,373.10","43,366,830.00","49,070,733.81","15,576,047.65","24,341,891.57","35,186,106.13","8,555,638.50","19,931,223.31","33,680,981.18","44,593,990.92","9,537,875.86","20,548,814.07","30,158,688.95","37,605,067.66","7,301,255.47","17,032,089.33","55,225,107.02","94,785,220.32","9,898,308.16","39,186,370.53","70,472,702.89","114,231,908.47","20,104,376.66","54,303,802.73","87,044,621.87","131,294,393.54"
其中:对联营企业和合营企业的投资权益,,,,,,,,,,,,,,,,,,,,,,,,,,"2,439,582.29"
归属于母公司所有者的净利润,"38,364,373.10","43,366,830.00","49,070,733.81","15,576,047.65","24,341,891.57","35,186,106.13","8,555,638.50","19,931,223.31","33,680,981.18","44,593,990.92","9,537,875.86","20,548,814.07","30,158,688.95","37,605,067.66","7,301,255.47","17,032,089.33","55,225,107.02","94,755,157.81","9,932,589.95","39,009,332.66","70,353,493.15","113,668,876.30","20,205,413.35","54,314,840.98","87,117,807.50","130,324,230.52"
影响营业利润的其他科目,,,,,,,,,,,,,,,,,,,,,,,,,0.01,
少数股东损益,,,,,,,,,,,,,,,,,,"30,062.51","-34,281.79","177,037.87","119,209.74","563,032.17","-101,036.69","-11,038.25","-73,185.63","970,163.02"
