科目,2008年度,2009年1-6月,2009年度,2010年1-6月,2010年度,2011年1-6月,2011年度,2012年1-6月,2012年度,2013年1-6月,2013年度,2014年1-6月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月
取得借款收到的现金,"1,800,000.00",,,,"6,000,000.00","24,000,000.00","44,000,000.00",,"30,000,000.00","10,283,610.17","35,000,000.00","29,900,000.00","39,900,000.00","10,000,000.00","10,050,000.00","10,050,000.00","10,050,000.00",,,"50,000.00","50,000.00",,,"50,000.00"
支付的各项税费,"6,303,512.19","4,120,106.03","7,456,502.77","4,679,436.95","11,361,962.47","6,483,428.21","15,727,479.83","7,732,776.72","17,243,082.56","7,495,282.03","16,992,939.73","10,172,795.34","18,586,247.82","12,219,217.12","12,750,700.04","17,323,923.97","25,420,268.36","4,963,100.22","12,389,449.96","23,727,451.73","24,041,141.55","10,823,282.54","12,657,958.20","18,556,855.16"
收到其他与筹资活动有关的现金,,,,,,,,,,,,,,,,,,,,,,,,
支付其他与经营活动有关的现金,"10,089,078.27","3,739,284.48","6,727,193.87","3,392,557.67","6,815,116.25","5,541,834.55","8,127,061.01","5,928,582.15","9,532,531.11","5,289,941.39","11,968,724.79","8,286,612.69","14,900,468.90","5,340,657.18","8,833,250.27","11,683,299.39","17,940,134.60","4,591,705.66","8,328,048.39","16,132,912.31","19,217,181.48","5,187,778.92","11,929,005.98","19,111,612.91"
筹资活动现金流入小计,"1,800,000.00",,,,"6,000,000.00","25,972,230.00","44,000,000.00",,"30,000,000.00","10,283,610.17","35,000,000.00","29,900,000.00","39,900,000.00","10,000,000.00","178,374,000.00","178,374,000.00","178,374,000.00",,,"33,511,568.00","33,511,568.00",,,"50,000.00"
经营活动现金流出小计,"40,363,946.88","21,009,738.09","45,642,077.70","33,978,502.11","68,278,741.80","45,841,986.16","95,006,831.92","49,411,750.13","94,562,631.99","49,112,291.43","103,990,424.07","71,932,554.77","123,801,607.03","40,761,555.61","72,710,748.31","107,247,949.44","153,046,131.20","41,856,114.99","71,534,399.19","112,240,378.16","153,960,407.45","49,664,548.96","81,450,091.45","128,799,741.43"
偿还债务支付的现金,"5,000,000.00","1,800,000.00","1,800,000.00",,,,"20,000,000.00","2,000,000.00","29,000,000.00",,"30,000,000.00","16,000,000.00","36,000,000.00","11,000,000.00","49,900,000.00","49,900,000.00","49,900,000.00",,"50,000.00","50,000.00","50,000.00",,,"50,000.00"
经营活动产生的现金流量净额,"5,982,995.27","4,405,179.72","17,907,370.96","-4,766,328.14","15,740,775.99","-7,126,658.89","10,486,598.05","-3,535,093.65","21,960,602.80","9,045,233.35","35,636,030.30","2,942,165.03","40,886,926.00","-8,211,533.78","496,674.07","7,372,541.65","47,276,390.97","-10,442,712.30","-1,204,407.66","5,222,414.90","43,399,974.96","-9,237,814.18","4,018,908.26","17,005,574.56"
分配股利、利润或偿还利息支付的现金,"192,280.50","22,311.00","22,311.00",,"1,422,299.17","285,749.73","1,252,353.19","935,998.20","1,846,573.42","6,162,062.10","7,424,941.14","7,349,457.76","8,680,607.76","594,118.89","6,984,020.93","6,984,020.93","6,985,446.80",623.33,"7,345,137.58","6,793,200.00","7,346,525.02",537.50,"7,670,127.50","7,670,127.50"
收回投资收到的现金,,,,,,"8,000,000.00","8,000,000.00",,,,,,,,,,,,,,,,,
支付其他与筹资活动有关的现金,,,,,,,"1,978,000.00","1,328,200.00","1,420,000.00","180,000.00","277,169.81","200,000.00","518,867.91",,"5,694,059.33","5,694,059.33","5,694,059.33",,,,"1,027,095.33",,,
取得投资收益收到的现金,,,,,,"17,378.21","17,378.21",,,,,,,,,,,,,,,,,
筹资活动现金流出小计,"5,192,280.50","1,822,311.00","1,822,311.00",,"1,422,299.17","285,749.73","23,230,353.19","4,264,198.20","32,266,573.42","6,342,062.10","37,702,110.95","23,549,457.76","45,199,475.67","11,594,118.89","62,578,080.26","62,578,080.26","62,579,506.13",623.33,"7,395,137.58","6,843,200.00","8,423,620.35",537.50,"7,670,127.50","7,720,127.50"
处置固定资产、无形资产和其他长期资产收回的现金净额,"108,000.00","42,000.00","42,000.00","48,000.00","151,000.00",,800.00,"7,000.00","92,000.00",,,"135,800.00","135,800.00",,,,100.00,,"1,000.00","177,000.00","234,001.78","62,000.00","62,260.00","111,930.00"
筹资活动产生的现金流量净额,"-3,392,280.50","-1,822,311.00","-1,822,311.00",,"4,577,700.83","25,686,480.27","20,769,646.81","-4,264,198.20","-2,266,573.42","3,941,548.07","-2,702,110.95","6,350,542.24","-5,299,475.67","-1,594,118.89","115,795,919.74","115,795,919.74","115,794,493.87",-623.33,"-7,395,137.58","26,668,368.00","25,087,947.65",-537.50,"-7,670,127.50","-7,670,127.50"
处置子公司及其他营业单位收到的现金净额,,,,,,,,,,,,,,,,,,,,,,,,
四、汇率变动对现金的影响,,,,,,"-29,653.66","-79,959.58","5,383.38","-5,181.41","-79,164.30","-175,561.40","69,713.87","-4,552.32",,"-12,505.94",,"895,939.97","304,659.27","286,465.60","58,524.96","2,112,998.60","105,065.63","-997,712.87","709,309.81"
收到其他与投资活动有关的现金,"3,204,772.44",,,,,,,,,,,,,,,,,,,,,,,
四(2)、其他原因对现金的影响,,,,,,,,,,,,,,,,,,,,,,,,
投资活动现金流入小计,"3,312,772.44","42,000.00","42,000.00","48,000.00","151,000.00","8,017,378.21","8,018,178.21","7,000.00","92,000.00",,,"135,800.00","135,800.00",,,,100.00,,"1,000.00","177,000.00","234,001.78","62,000.00","62,260.00","111,930.00"
五、现金及现金等价物净增加额,"2,944,848.25","1,208,094.05","13,118,513.91","-8,731,401.12","-8,732,436.56","-2,366,461.52","10,178,681.21","-8,324,259.64","17,400,038.48","-11,327,143.00","-10,136,651.82","2,062,756.45","24,960,194.79","-10,737,302.67","113,375,555.45","116,016,387.96","153,497,943.34","-12,433,148.20","-13,414,878.65","25,771,590.09","59,095,302.56","-10,339,913.68","-6,929,061.02","5,668,210.06"
购建固定资产、无形资产和其他长期资产支付的现金,"2,958,638.96","1,416,774.67","3,008,546.05","1,013,072.98","25,201,913.38","22,941,777.45","25,015,782.28","537,351.17","2,380,809.49","24,234,760.12","42,895,009.77","7,435,464.69","10,758,503.22","931,650.00","2,904,532.42","7,152,073.43","10,468,981.47","2,294,471.84","5,102,799.01","6,354,717.77","11,739,620.43","1,268,627.63","2,342,388.91","4,488,476.81"
期初现金及现金等价物余额,"8,846,014.53","11,790,862.78","11,790,862.78","24,909,376.69","24,909,376.69","16,036,154.27","16,036,154.27","26,214,835.48","26,214,835.48","43,614,873.96","43,614,873.96","33,478,222.14","33,478,222.14","58,598,962.25","58,438,416.93","58,598,962.25","58,438,416.93","212,172,374.49","211,936,360.27","212,172,374.49","211,936,360.27","271,031,662.83","271,772,285.05","271,772,285.05"
投资支付的现金,,,,,"4,000,000.00","5,972,230.00","4,000,000.00",,,,,,,,,,,,,,,,,
期末现金及现金等价物余额,"11,790,862.78","12,998,956.83","24,909,376.69","16,177,975.57","16,176,940.13","13,669,692.75","26,214,835.48","17,890,575.84","43,614,873.96","32,287,730.96","33,478,222.14","35,540,978.59","58,438,416.93","47,861,659.58","171,813,972.38","174,615,350.21","211,936,360.27","199,739,226.29","198,521,481.62","237,943,964.58","271,031,662.83","260,691,749.15","264,843,224.03","277,440,495.11"
