科目,2011年度,2012年度,2013年度,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月
支付其他与筹资活动有关的现金,,,,,,"6,466,583.27","1,696,000.00","1,696,000.00","1,696,000.00","1,946,000.00",,,"2,824,187.67","2,225,000.00","18,999,997.11","19,001,728.89","19,801,728.89"
取得投资收益收到的现金,"119,794.52",,,,,,,"1,173,041.10","3,322,671.24","6,005,710.80","1,521,880.83","2,124,960.28","2,682,878.10","3,280,237.00","210,136.99","956,443.93","956,443.93"
筹资活动现金流出小计,"44,005,948.53","84,043,723.59","114,402,048.87","22,557,666.63","88,798,166.63","116,276,122.13","32,333,394.44","80,032,326.85","120,395,858.80","141,237,107.62","61,055,247.22","130,651,953.47","163,614,909.14","163,029,607.64","79,243,385.38","103,373,295.33","104,856,955.30"
处置固定资产、无形资产和其他长期资产收回的现金净额,"47,350.00","157,960.00","502,322.00","784,158.50","887,368.60","2,379,098.09","701,735.00","1,676,615.00","1,867,497.38","4,628,270.14","217,546.00","3,649,410.00","4,656,570.00","6,605,625.70","1,570,059.00","3,815,379.00","5,011,850.62"
筹资活动产生的现金流量净额,"25,994,051.47","-4,043,723.59","5,597,951.13","12,442,333.37","-43,798,166.63","305,636,292.87","-32,333,394.44","-40,032,326.85","-80,395,858.80","-31,237,107.62","-61,055,247.22","-70,648,561.39","-82,287,039.28","-18,654,630.88","-52,996,603.42","-64,603,485.16","-31,345,617.42"
处置子公司及其他营业单位收到的现金净额,,,,,,,,,,,,,,,,,
四、汇率变动对现金的影响,,,,,,,,,,,,,,,,,
收到其他与投资活动有关的现金,,,,,,,,,,,,,,,,,
四(2)、其他原因对现金的影响,,,,,,,,,,,,,,,,,
投资活动现金流入小计,"44,167,144.52","157,960.00","502,322.00","784,158.50","887,368.60","2,379,098.09","701,735.00","80,849,656.10","306,190,168.62","744,633,980.94","219,739,426.83","363,774,370.28","445,339,448.10","530,885,862.70","26,780,195.99","29,771,822.93","30,968,294.55"
五、现金及现金等价物净增加额,"3,099,611.61","50,846,369.98","62,284,399.45","-21,154,620.34","-75,315,771.21","332,268,732.17","-149,080,968.69","-143,606,432.06","-312,018,258.66","-353,607,777.83","-23,413,224.68","67,764,014.65","-10,405,545.55","116,174,269.70","-113,326,490.00","-130,221,916.01","-138,807,660.54"
购建固定资产、无形资产和其他长期资产支付的现金,"109,657,793.38","50,291,546.49","44,168,103.45","45,832,974.24","58,115,140.56","77,373,760.52","8,058,156.51","28,535,315.47","78,531,532.24","163,474,343.69","30,759,018.81","63,464,056.52","144,606,631.89","198,384,489.02","87,915,894.70","159,593,490.39","236,407,164.72"
期初现金及现金等价物余额,"40,361,245.66","43,460,857.27","94,307,227.25","156,591,626.70","156,591,626.70","156,591,626.70","488,860,358.87","488,860,358.87","488,860,358.87","488,860,358.87","135,252,581.04","135,252,581.04","135,252,581.04","135,252,581.04","251,428,825.74","251,426,850.74","251,426,850.74"
投资支付的现金,"28,563,095.00","10,148,855.00",,,,,"100,000,000.00","193,000,000.00","533,000,000.00","1,007,000,000.00","130,000,000.00","225,000,000.00","333,000,000.00","333,000,000.00",,,
期末现金及现金等价物余额,"43,460,857.27","94,307,227.25","156,591,626.70","135,437,006.36","81,275,855.49","488,860,358.87","339,779,390.18","345,253,926.81","176,842,100.21","135,252,581.04","111,839,356.36","203,016,595.69","124,847,035.49","251,426,850.74","138,102,335.74","121,204,934.73","112,619,190.20"
