科目,2007年度,2008年1-6月,2008年1-9月,2008年度,2009年1-3月,2009年1-6月,2009年1-9月,2009年度,2010年1-3月,2010年1-6月,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月
支付给职工以及为职工支付的现金,"116,386,542.28","74,815,514.94","109,229,486.96","138,933,347.16","32,340,790.67","71,252,659.34","100,725,955.58","137,259,507.87","36,267,592.85","70,457,813.59","112,933,473.55","151,933,896.36","56,609,579.29","101,881,317.52","135,615,222.62","181,539,181.36","83,381,715.34","119,971,597.56","167,664,580.90","217,001,949.14","80,838,401.66","130,886,908.59","181,393,385.25","237,913,729.13","92,636,020.89","157,696,272.35","220,164,652.33","283,869,663.62","110,132,383.42","182,965,460.01","246,371,512.01","315,957,837.90","107,768,601.96","177,463,738.50","242,313,049.76","324,148,917.02","116,167,969.65","191,563,228.36","265,572,388.49","342,310,049.48","122,906,694.72"
取得借款收到的现金,"840,000,000.00","400,000,000.00","830,000,000.00","1,015,000,000.00","381,000,000.00","605,000,000.00","735,000,000.00","960,000,000.00","500,000,000.00","764,000,000.00","1,062,320,000.00","1,278,320,000.00","412,680,000.00","610,680,000.00","943,999,621.04","1,343,993,516.04","703,680,000.00","1,187,680,000.00","1,796,500,000.00","2,696,500,000.00","571,300,000.00","1,237,000,000.00","1,624,500,000.00","2,633,900,000.00","822,800,000.00","1,918,800,000.00","2,679,400,000.00","3,686,300,000.00","1,001,900,000.00","1,798,900,000.00","2,365,400,000.00","2,917,400,000.00","548,449,000.00","1,036,449,000.00","1,333,449,000.00","2,131,194,695.10","407,083,596.90","1,097,992,688.68","1,520,912,618.80","2,329,315,510.71","590,000,000.00"
支付的各项税费,"64,260,092.33","64,995,406.13","99,785,044.79","107,560,242.46","1,946,921.57","8,915,078.33","11,059,375.95","11,122,968.30","2,898,700.46","3,791,972.23","7,426,620.42","5,076,604.47","8,839,780.97","14,684,163.79","17,337,503.67","34,959,537.66","21,254,248.23","43,596,972.49","61,362,980.27","82,746,390.20","7,852,791.13","21,247,720.67","31,233,123.72","50,488,223.71","19,471,718.23","39,352,089.82","43,004,263.89","53,592,527.60","5,398,345.88","12,938,169.67","22,736,160.80","24,365,863.12","8,734,444.49","25,618,988.34","33,430,903.23","67,640,624.61","38,579,002.90","77,564,017.36","98,310,919.53","114,185,595.74","11,328,860.21"
收到其他与筹资活动有关的现金,,,,,,,,,,,,,,,,,,,,,,,,,,,"173,000,000.00",,,,,,,,,,,,,,
支付其他与经营活动有关的现金,"86,549,114.02","55,938,820.46","64,559,263.14","243,768,198.13","43,585,679.21","118,870,567.09","138,810,523.31","82,404,900.62","33,460,466.32","49,403,036.13","74,951,549.48","110,182,087.37","9,490,142.20","65,353,134.36","89,268,853.64","180,493,537.97","29,990,243.88","82,724,696.02","105,012,361.10","130,719,853.76","41,567,770.06","144,823,093.98","208,632,218.97","285,837,585.78","20,221,085.00","68,928,422.46","137,019,772.44","190,653,927.63","47,106,893.71","138,968,842.32","193,416,459.18","203,783,751.69","42,312,065.40","168,970,481.78","225,616,980.71","224,795,385.88","36,871,691.58","114,475,380.65","194,013,141.95","212,082,765.48","66,819,136.39"
筹资活动现金流入小计,"840,000,000.00","400,000,000.00","1,319,188,466.79","1,495,239,600.00","381,000,000.00","605,000,000.00","735,000,000.00","960,000,000.00","500,000,000.00","764,000,000.00","1,062,320,000.00","1,278,820,000.00","412,680,000.00","610,680,000.00","943,999,621.04","1,343,993,516.04","703,680,000.00","1,187,680,000.00","1,796,500,000.00","2,696,500,000.00","571,300,000.00","1,237,000,000.00","2,063,056,667.43","3,093,420,000.00","822,800,000.00","1,918,800,000.00","2,852,400,000.00","3,686,300,000.00","1,001,900,000.00","1,798,900,000.00","3,292,850,000.00","3,813,912,221.39","548,449,000.00","1,036,449,000.00","1,333,449,000.00","2,157,304,695.10","408,583,596.90","1,099,492,688.68","1,522,412,618.80","2,331,315,510.71","590,900,000.00"
经营活动现金流出小计,"2,286,190,627.21","1,407,775,276.99","1,968,791,794.25","2,971,337,956.71","226,915,575.38","1,033,315,617.73","1,477,031,842.72","2,219,690,860.50","540,209,810.99","1,101,856,880.15","1,908,825,323.03","3,333,676,025.34","858,746,086.96","1,871,739,735.70","3,136,054,595.35","4,287,819,734.17","1,069,793,110.97","2,081,337,887.61","3,161,807,362.52","4,208,851,686.01","1,014,370,494.80","2,042,960,917.43","3,111,579,446.08","4,596,171,918.26","1,000,733,912.89","2,280,613,613.35","3,513,451,579.78","4,611,934,881.68","968,879,264.97","2,183,144,432.33","3,199,430,569.56","4,411,043,328.96","1,028,619,630.65","1,935,004,563.13","2,828,606,015.02","4,409,408,878.53","1,389,233,083.78","2,904,174,117.36","4,107,100,969.42","3,363,923,067.49","900,845,379.77"
偿还债务支付的现金,"691,250,000.00","440,000,000.00","815,000,000.00","1,085,000,000.00","516,000,000.00","600,000,000.00","765,000,000.00","1,040,000,000.00","496,000,000.00","699,909,091.00","1,043,229,091.00","1,338,320,000.00","387,680,000.00","601,680,000.00","902,000,000.00","1,245,000,000.00","512,680,000.00","830,680,000.00","1,358,999,621.04","1,983,493,516.04","549,000,000.00","1,096,000,000.00","1,671,500,000.00","2,557,000,000.00","641,500,000.00","1,550,700,000.00","2,080,200,000.00","2,777,802,177.78","749,100,000.00","1,551,646,626.10","3,150,646,626.10","3,618,041,790.01","537,500,000.00","1,022,023,444.95","1,454,023,444.95","2,291,756,032.21","358,381,000.00","861,381,000.00","1,334,381,000.00","2,038,355,343.81","336,000,000.00"
经营活动产生的现金流量净额,"320,658,442.94","228,347,151.57","163,200,448.30","79,482,110.73","241,244,380.66","132,412,552.08","217,657,702.62","386,293,978.31","24,621,326.32","10,416,659.36","71,665,430.73","258,976,840.28","-74,222,837.73","37,465,854.63","113,803,114.05","189,895,240.79","-67,023,672.42","-112,008,138.65","-118,901,869.08","-11,448,224.70","2,048,886.77","99,428,545.95","236,761,880.07","374,010,069.51","90,706,179.95","134,846,670.27","104,665,779.84","223,421,406.72","88,955,887.57","188,931,899.01","345,360,106.85","170,539,009.44","-37,851,448.20","101,323,285.77","209,804,598.80","374,130,612.68","67,282,862.66","181,839,597.83","336,387,284.53","-41,170,654.37","-71,358,285.98"
分配股利、利润或偿还利息支付的现金,"108,517,410.45","50,077,615.15","77,070,190.38","98,547,741.17","21,844,205.54","40,977,018.00","122,605,183.85","126,281,667.20","21,228,345.10","38,216,503.95","57,588,897.48","69,122,973.17","19,820,947.90","39,304,557.63","57,800,957.77","79,225,426.89","23,817,764.84","48,792,709.90","74,150,948.52","114,655,875.74","25,056,239.82","43,275,214.48","67,922,970.74","127,840,169.38","37,448,927.48","86,188,219.56","118,817,613.98","168,899,064.57","37,192,435.93","87,205,882.50","124,731,188.30","176,066,601.07","26,092,587.58","117,217,242.17","140,907,313.25","175,438,069.52","20,605,802.00","104,273,786.44","125,329,193.31","166,601,092.77","19,632,395.65"
收回投资收到的现金,,,,"5,000,000.00",,,,,,,,,,,,,"5,000,000.00","5,000,000.00","5,000,000.00","5,000,000.00",,,,,,,,,,,"220,000,000.00","289,529,679.95",,"6,929,515.62","37,855,315.62","52,894,915.62","1,170,000.00","2,913,300.00","2,913,300.00","4,001,661.27","335,900.33"
支付其他与筹资活动有关的现金,,,,,,,,,,,,,,,,,,,,,,,,"20,963,332.57",,,,,,,"30,937,778.61",,,,,,,,,,
取得投资收益收到的现金,,"17,100.34","17,100.34","17,100.34",,,,,,,,"1,923,300.00",,,"1,491,911.96","11,491,911.96","13,275,200.00","13,275,200.00","16,941,378.16","16,941,378.16",,"1,891,807.23","3,228,058.13","1,891,807.23",,"5,264,525.56","5,264,525.56","6,492,380.55","20,000.00","1,536,471.46","31,536,471.46","287,950,006.09","20,000.00","24,429,124.73","150,456,675.39","211,266,501.27","12,703,618.06","18,573,086.84","20,500,766.18","20,947,504.04","4,899,412.87"
筹资活动现金流出小计,"799,767,410.45","490,077,615.15","892,070,190.38","1,183,547,741.17","537,844,205.54","640,977,018.00","887,605,183.85","1,166,281,667.20","517,228,345.10","738,125,594.95","1,100,817,988.48","1,407,442,973.17","407,500,947.90","640,984,557.63","959,800,957.77","1,324,225,426.89","536,497,764.84","879,472,709.90","1,433,150,569.56","2,098,149,391.78","574,056,239.82","1,139,275,214.48","1,739,422,970.74","2,705,803,501.95","678,948,927.48","1,636,888,219.56","2,199,017,613.98","2,946,701,242.35","786,292,435.93","1,638,852,508.60","3,306,315,593.01","3,794,108,391.08","563,592,587.58","1,139,240,687.12","1,594,930,758.20","2,467,194,101.73","378,986,802.00","965,654,786.44","1,459,710,193.31","2,204,956,436.58","355,632,395.65"
处置固定资产、无形资产和其他长期资产收回的现金净额,"61,205,109.86","80,000.00","801,690.00","513,218.40",,,,"45,497.44","6,500.00","6,500.00","6,500.00","19,854,493.27","223,225.11","1,366,478.10","1,396,869.19","28,460,045.18","-15,500.53","1,601,115.33","1,814,059.94","3,237,359.53","2,152,394.45","2,296,937.24","3,374,084.70","4,856,404.41","394,061.30","783,454.63","3,041,609.65","3,673,972.55","1,078,605.49","2,569,524.47","4,588,078.20","3,784,469.28","189,043.89","255,938.48","1,446,320.08","2,265,458.35","171,838.12","1,467,986.94","1,754,928.53","3,462,150.15","50,114.41"
筹资活动产生的现金流量净额,"40,232,589.55","-90,077,615.15","427,118,276.41","311,691,858.83","-156,844,205.54","-35,977,018.00","-152,605,183.85","-206,281,667.20","-17,228,345.10","25,874,405.05","-38,497,988.48","-128,622,973.17","5,179,052.10","-30,304,557.63","-15,801,336.73","19,768,089.15","167,182,235.16","308,207,290.10","363,349,430.44","598,350,608.22","-2,756,239.82","97,724,785.52","323,633,696.69","387,616,498.05","143,851,072.52","281,911,780.44","653,382,386.02","739,598,757.65","215,607,564.07","160,047,491.40","-13,465,593.01","19,803,830.31","-15,143,587.58","-102,791,687.12","-261,481,758.20","-309,889,406.63","29,596,794.90","133,837,902.24","62,702,425.49","126,359,074.13","235,267,604.35"
处置子公司及其他营业单位收到的现金净额,,,,,,,,,,,,,,,,"-345,442.07",,,,,,,,,,,,,,,,,,,,,,,,,
四、汇率变动对现金的影响,,,,"6,543.07",,,,"-68,477.15",,,,"-159,311.59","-34,381.21","34,992.67","-80,017.55","-97,666.82","-4,112.59",638.07,"-5,157.33","-213,819.06","-224,623.47","-470,640.73","-1,087,270.19","-1,357,673.76","5,194.57","69,249.49","178,373.38","340,200.92","1,244,216.23","2,881,423.39","1,830,716.20","4,481,103.13","-699,279.55","-355,785.32","-623,647.95","-3,337,610.50","3,083,416.80","-3,441,797.88","-4,872,476.30","-6,100,119.72","-4,907,191.06"
收到其他与投资活动有关的现金,"2,900,000.00","4,150,000.00","4,150,000.00","4,150,000.00",,,,"8,000,000.00","5,760,000.00","5,760,000.00","5,760,000.00",,,,,,,,"35,280,000.00","35,280,000.00",,,,,,,,,,,,"14,844,364.85",,,"388,235.86","30,673,550.75","2,738,490.38",,,,
四(2)、其他原因对现金的影响,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
投资活动现金流入小计,"64,105,109.86","4,247,100.34","4,968,790.34","9,680,318.74",,,,"8,045,497.44","5,766,500.00","5,766,500.00","5,766,500.00","21,777,793.27","223,225.11","1,366,478.10","2,888,781.15","39,606,515.07","18,259,699.47","19,876,315.33","59,035,438.10","60,458,737.69","2,152,394.45","4,188,744.47","6,602,142.83","6,748,211.64","394,061.30","6,047,980.19","8,306,135.21","10,166,353.10","1,098,605.49","4,105,995.93","256,124,549.66","596,108,520.17","209,043.89","31,614,578.83","190,146,546.95","297,100,425.99","16,783,946.56","22,954,373.78","25,168,994.71","28,411,315.46","5,285,427.61"
五、现金及现金等价物净增加额,"62,522,907.87","-14,776,047.63","422,388,447.94","105,920,974.23","50,808,416.25","44,825,011.41","-14,968,279.92","-30,155,536.43","-36,467,614.71","-48,163,244.78","-79,717,885.01","-32,427,088.00","-98,899,501.37","-69,693,746.87","-17,528,965.98","-100,247,031.37","67,187,861.98","129,169,464.59","181,694,068.48","197,429,814.63","-146,312,777.46","-76,452,099.60","-79,373,124.40","-137,090,018.35","-10,151,514.22","-45,465,210.80","113,003,554.10","-17,032,952.94","123,449,544.64","67,879,803.95","194,478,241.67","362,938,649.38","-200,087,199.26","-202,525,369.46","-177,429,002.99","-121,636,842.72","-95,803,610.73","1,146,016.27","-162,796,673.10","-77,560,820.79","64,581,470.71"
购建固定资产、无形资产和其他长期资产支付的现金,"344,863,387.33","154,292,684.39","169,899,067.11","286,939,857.14","33,591,758.87","51,610,522.67","80,020,798.69","218,144,867.83","40,027,095.93","78,170,809.19","106,601,827.26","174,799,436.79","30,044,559.64","63,256,514.64","103,339,506.90","190,479,209.56","45,826,287.64","81,506,640.26","116,383,773.65","250,317,487.16","147,533,195.39","277,323,534.81","535,283,573.80","794,107,123.79","245,108,022.56","468,240,891.19","653,429,120.35","990,459,671.33","183,456,728.72","288,087,005.78","395,371,538.03","427,993,813.67","124,257,562.97","217,471,396.77","300,430,377.74","424,640,864.26","189,550,631.65","310,990,502.11","528,732,911.98","128,407,694.73","80,801,859.97"
期初现金及现金等价物余额,"43,721,320.42","106,244,228.29","106,244,228.29","106,244,228.29","212,165,202.52","212,165,202.52","212,165,202.52","212,165,202.52","182,009,666.09","182,009,666.09","182,009,666.09","182,009,666.09","149,582,578.09","149,582,578.09","149,582,578.09","149,582,578.09","49,335,546.72","49,335,546.72","49,335,546.72","49,335,546.72","246,765,361.35","246,765,361.35","246,765,361.35","246,765,361.35","109,675,343.00","109,675,343.00","109,675,343.00","109,675,343.00","92,642,390.06","92,642,390.06","92,642,390.06","92,642,390.06","455,581,039.44","455,581,039.44","455,581,039.44","455,581,039.44","333,944,196.72","333,944,196.72","333,944,196.72","333,944,196.72","256,383,375.93"
投资支付的现金,"11,542,075.00","3,000,000.00","3,000,000.00","8,000,000.00",,,,,"9,600,000.00","12,050,000.00","12,050,000.00","9,600,000.00",,"15,000,000.00","15,000,000.00","158,940,000.00","5,400,000.00","5,400,000.00","5,400,000.00","199,400,000.36",,,"110,000,000.00","110,000,000.00",,"100,000.00","100,000.00","100,000.00",,,,,"7,500,000.00",,,"55,000,000.00","23,000,000.00","23,053,557.59","53,449,989.55","54,153,741.56","18,904,224.24"
期末现金及现金等价物余额,"106,244,228.29","91,468,180.66","528,632,676.23","212,165,202.52","262,973,618.77","256,990,213.93","197,196,922.60","182,009,666.09","145,542,051.38","133,846,421.31","102,291,781.08","149,582,578.09","50,683,076.72","79,888,831.22","132,053,612.11","49,335,546.72","116,523,408.70","178,505,011.31","231,029,615.20","246,765,361.35","100,452,583.89","170,313,261.75","167,392,236.95","109,675,343.00","99,523,828.78","64,210,132.20","222,678,897.10","92,642,390.06","216,091,934.70","160,522,194.01","287,120,631.73","455,581,039.44","255,493,840.18","253,055,669.98","278,152,036.45","333,944,196.72","238,140,585.99","335,090,212.99","171,147,523.62","256,383,375.93","320,964,846.64"
