科目,2007-06-30,2007-12-31,2008-03-31,2008-06-30,2008-09-30,2008-12-31,2009-03-31,2009-06-30,2009-09-30,2009-12-31,2010-03-31,2010-06-30,2010-09-30,2010-12-31,2011-03-31,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31
应交税费,"3,131,223,000.00","3,565,400,000.00","3,078,515,868.07","3,463,315,000.00","3,818,447,000.00","4,412,538,000.00","4,216,913,000.00","4,707,518,000.00","5,215,690,000.00","5,478,596,000.00","5,363,340,000.00","5,823,971,000.00","6,644,176,000.00","7,945,896,000.00","7,818,673,000.00","7,471,197,000.00","8,407,077,000.00","9,906,986,000.00","8,994,853,000.00","8,367,750,000.00","8,984,379,000.00","10,432,877,000.00","9,527,088,000.00","9,749,430,000.00","9,804,806,000.00","12,225,222,000.00","10,851,742,000.00","11,204,250,000.00","12,144,266,000.00","13,308,411,000.00","12,206,576,000.00","11,802,657,000.00","12,630,332,000.00","14,613,185,000.00","13,614,869,000.00","4,525,187,000.00","4,768,092,000.00","7,684,761,000.00","7,247,428,000.00","5,728,895,000.00","6,137,227,000.00","8,562,191,000.00","7,640,062,000.00","6,466,548,000.00","6,624,263,000.00","9,838,365,000.00","9,540,585,000.00"
应收利息,"1,858,000.00","112,000.00","2,895,643.91","34,000.00","1,987,000.00","18,351,000.00","18,373,000.00","9,245,000.00","314,000.00","18,149,000.00","16,237,000.00","22,207,000.00","13,717,000.00","30,746,000.00","30,720,000.00","39,110,000.00","39,113,000.00","45,712,000.00","41,484,000.00","85,873,000.00","97,157,000.00","74,163,000.00","74,167,000.00","56,703,000.00","174,041,000.00","202,702,000.00","200,874,000.00","281,345,000.00","272,061,000.00","181,973,000.00","243,785,000.00","227,670,000.00","251,884,000.00","325,807,000.00","119,614,000.00","145,790,000.00","147,021,000.00","145,916,000.00","205,009,000.00","171,071,000.00","190,615,000.00","291,609,000.00","310,135,000.00",,"163,185,000.00","487,006,000.00","416,157,000.00"
应付利息,"4,910,000.00","7,016,000.00","6,555,107.89","28,856,000.00","38,465,000.00","111,962,000.00",,"45,851,000.00","36,816,000.00","64,268,000.00","101,226,000.00","155,544,000.00","203,762,000.00","387,694,000.00","276,759,000.00","618,694,000.00","837,743,000.00","870,812,000.00","423,313,000.00","748,168,000.00","1,138,586,000.00","968,423,000.00","583,385,000.00","907,390,000.00","1,213,545,000.00","1,220,951,000.00","826,375,000.00","959,439,000.00","1,312,298,000.00","1,351,613,000.00","1,025,206,000.00","1,111,875,000.00","1,291,476,000.00","1,208,001,000.00","857,787,000.00","813,558,000.00","1,038,359,000.00","896,368,000.00","892,457,000.00","659,126,000.00","890,390,000.00","836,166,000.00","461,245,000.00",,"594,967,000.00","802,157,000.00","402,906,000.00"
应收股利,"4,754,000.00","3,898,000.00","297,612.00","10,035,000.00","10,930,000.00","5,749,000.00","5,749,000.00","16,887,000.00","12,906,000.00","19,528,000.00","29,550,000.00","20,486,000.00","42,689,000.00","33,362,000.00","42,170,000.00","33,091,000.00","78,421,000.00","40,487,000.00","45,707,000.00","40,241,000.00","43,337,000.00","56,859,000.00","77,305,000.00","157,888,000.00","54,426,000.00","107,490,000.00","107,489,000.00","37,852,000.00","21,496,000.00","38,904,000.00","47,240,000.00","40,103,000.00","45,334,000.00","55,664,000.00","88,643,000.00","30,975,000.00","87,594,000.00","15,996,000.00","54,531,000.00","22,711,000.00","62,729,000.00","28,378,000.00","18,448,000.00",,"56,939,000.00","22,164,000.00","24,824,000.00"
应付股利,"84,199,000.00","54,514,000.00","61,437,871.50","83,074,000.00","70,500,000.00","165,124,000.00","156,385,000.00","181,702,000.00","154,917,000.00","2,562,255,000.00","2,463,386,000.00","3,461,850,000.00","97,106,000.00","117,445,000.00","121,015,000.00","1,348,663,000.00","133,664,000.00","143,515,000.00","152,998,000.00","1,203,199,000.00","175,736,000.00","183,618,000.00","384,754,000.00","1,293,660,000.00","207,100,000.00","152,865,000.00","152,865,000.00","1,719,434,000.00","546,038,000.00","61,321,000.00","66,592,000.00","448,530,000.00","440,816,000.00","365,210,000.00","208,408,000.00","2,569,475,000.00","297,573,000.00","509,648,000.00","548,675,000.00","2,652,362,000.00","650,701,000.00","607,137,000.00","426,226,000.00",,"722,515,000.00","500,878,000.00","362,639,000.00"
存货,"45,753,789,000.00","49,338,522,000.00","54,443,854,916.71","66,211,447,000.00","72,246,721,000.00","63,626,896,000.00","68,916,355,000.00","80,299,201,000.00","85,929,186,000.00","82,355,984,000.00","90,621,678,000.00","96,470,247,000.00","106,616,545,000.00","118,968,504,000.00","123,369,707,000.00","135,598,227,000.00","148,412,660,000.00","151,698,898,000.00","157,689,304,000.00","174,862,472,000.00","183,497,709,000.00","198,028,323,000.00","199,737,548,000.00","216,869,329,000.00","229,009,141,000.00","225,573,316,000.00","231,632,808,000.00","246,442,421,000.00","256,287,497,000.00","241,516,854,000.00","241,871,614,000.00","253,264,205,000.00","253,847,713,000.00","246,758,108,000.00","256,759,629,000.00","241,779,271,000.00","244,545,762,000.00","224,804,401,000.00","233,270,714,000.00","249,336,940,000.00","247,316,620,000.00","242,463,090,000.00","257,223,257,000.00","144,585,920,000.00","162,962,127,000.00","165,241,259,000.00","198,240,502,000.00"
其他应付款,"13,465,682,000.00","14,529,864,000.00","12,418,279,872.41","15,542,423,000.00","16,473,022,000.00","14,309,878,000.00","16,638,894,000.00","17,419,927,000.00","19,143,058,000.00","18,900,458,000.00","22,823,119,000.00","19,736,872,000.00","10,102,286,000.00","22,249,374,000.00","27,412,007,000.00","25,401,217,000.00","24,527,425,000.00","25,258,027,000.00","24,979,645,000.00","28,338,092,000.00","25,004,277,000.00","30,495,683,000.00","32,209,318,000.00","32,101,522,000.00","32,149,536,000.00","35,061,256,000.00","32,347,424,000.00","35,614,700,000.00","34,544,025,000.00","36,324,122,000.00","35,735,491,000.00","40,085,428,000.00","38,988,340,000.00","40,180,440,000.00","42,386,742,000.00","42,246,063,000.00","42,341,110,000.00","48,954,113,000.00","52,151,275,000.00","48,792,323,000.00","46,051,832,000.00","48,955,780,000.00","49,456,035,000.00","55,910,957,000.00","53,277,160,000.00","57,334,822,000.00","57,445,333,000.00"
其中:消耗性生物资产,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应付关联公司款,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
一年内到期的非流动资产,,,,,,,"856,290,000.00",,"1,017,578,000.00","737,086,000.00","742,387,000.00","403,362,000.00","398,161,000.00","453,763,000.00","537,219,000.00","451,468,000.00","451,468,000.00","723,746,000.00","742,239,000.00","857,445,000.00","777,384,000.00","947,898,000.00","1,062,366,000.00","717,962,000.00","610,722,000.00","4,183,248,000.00","3,601,780,000.00","4,208,977,000.00","5,144,653,000.00","8,138,476,000.00","7,320,465,000.00","8,036,853,000.00","8,312,813,000.00","12,541,214,000.00","13,437,067,000.00","7,662,904,000.00","7,676,748,000.00","7,548,904,000.00","7,740,240,000.00","10,699,293,000.00","11,544,474,000.00","9,090,380,000.00","9,173,172,000.00","34,111,522,000.00","32,376,635,000.00","21,277,010,000.00","21,490,946,000.00"
一年内到期的非流动负债,"2,598,786,000.00","2,033,697,000.00","1,755,316,935.16","2,585,657,000.00","2,753,677,000.00","4,700,564,000.00","4,594,238,000.00","3,843,881,000.00","3,176,393,000.00","5,406,405,000.00","3,617,033,000.00","6,201,524,000.00","7,607,634,000.00","9,733,744,000.00","8,715,850,000.00","8,582,577,000.00","3,614,839,000.00","5,874,608,000.00","5,830,604,000.00","7,693,758,000.00","6,970,927,000.00","14,367,826,000.00","13,638,301,000.00","19,092,802,000.00","13,831,104,000.00","19,388,222,000.00","18,291,763,000.00","19,637,719,000.00","18,309,932,000.00","26,625,008,000.00","24,550,005,000.00","26,418,475,000.00","26,507,525,000.00","21,864,702,000.00","22,741,462,000.00","19,009,126,000.00","19,214,381,000.00","18,212,985,000.00","18,292,809,000.00","19,186,854,000.00","19,999,256,000.00","27,699,623,000.00","27,303,765,000.00","25,586,391,000.00","28,165,606,000.00","25,523,637,000.00","26,172,684,000.00"
其他流动资产,,,"389,053,982.30","393,645,000.00",,"892,250,000.00",,"949,208,000.00",,"75,039,000.00","183,011,000.00","173,570,000.00","174,669,000.00","241,163,000.00","167,006,000.00","182,045,000.00","165,045,000.00","587,443,000.00","526,014,000.00","2,073,986,000.00","681,507,000.00","2,534,036,000.00","2,708,953,000.00","2,684,953,000.00","2,901,050,000.00","859,963,000.00","1,187,884,000.00","1,156,579,000.00","2,023,720,000.00","1,022,861,000.00","1,055,403,000.00","1,735,771,000.00","1,081,218,000.00","1,662,171,000.00","1,656,477,000.00","1,799,663,000.00","1,875,447,000.00","5,701,922,000.00","6,266,874,000.00","10,653,443,000.00","11,557,462,000.00","18,651,032,000.00","21,349,743,000.00","166,387,950,000.00","30,098,492,000.00","35,527,983,000.00","39,292,020,000.00"
其他流动负债,"65,188,000.00","10,725,000.00","2,607,772,861.24","15,556,000.00","2,198,000.00","13,036,000.00","413,056,000.00","14,375,000.00","10,190,000.00","3,815,932,000.00","2,686,759,000.00","938,774,000.00","1,938,714,000.00","6,705,029,000.00","6,905,082,000.00","6,724,689,000.00","5,427,308,000.00","945,519,000.00","980,999,000.00","1,526,093,000.00","1,087,600,000.00","1,809,321,000.00","1,905,229,000.00","1,361,738,000.00","1,532,711,000.00","98,922,000.00","98,850,000.00","1,982,341,000.00","1,789,171,000.00","3,474,634,000.00","3,457,436,000.00","6,412,120,000.00","3,039,846,000.00","3,039,856,000.00","40,179,000.00","1,069,851,000.00","962,692,000.00","4,474,006,000.00","4,507,965,000.00","9,230,280,000.00","8,989,570,000.00","16,338,142,000.00","14,871,039,000.00","109,347,046,000.00","16,537,377,000.00","16,522,113,000.00","15,760,243,000.00"
流动资产合计,"122,738,093,000.00","171,990,105,000.00","175,123,954,110.19","187,700,398,000.00","198,362,455,000.00","192,297,272,000.00","204,709,123,000.00","216,590,546,000.00","226,781,194,000.00","237,232,132,000.00","249,232,087,000.00","255,210,472,000.00","260,493,163,000.00","298,471,602,000.00","317,396,198,000.00","338,737,355,000.00","345,941,482,000.00","359,902,166,000.00","364,221,539,000.00","390,858,269,000.00","407,473,304,000.00","434,663,941,000.00","443,372,209,000.00","484,188,433,000.00","502,989,422,000.00","502,888,854,000.00","510,355,278,000.00","533,518,528,000.00","541,651,649,000.00","545,302,542,000.00","539,386,668,000.00","560,158,537,000.00","584,684,528,000.00","565,409,685,000.00","568,019,331,000.00","571,165,847,000.00","578,947,279,000.00","594,908,493,000.00","595,037,581,000.00","600,798,405,000.00","613,025,568,000.00","660,083,855,000.00","600,151,712,000.00","654,938,736,000.00","669,746,858,000.00","651,681,635,000.00","658,861,521,000.00"
流动负债合计,"125,121,338,000.00","136,483,826,000.00","136,482,232,294.44","150,038,253,000.00","161,833,210,000.00","165,550,161,000.00","177,219,871,000.00","188,143,712,000.00","194,824,942,000.00","210,104,303,000.00","211,178,421,000.00","223,158,454,000.00","227,606,678,000.00","264,400,131,000.00","273,615,423,000.00","295,342,778,000.00","297,439,541,000.00","305,571,042,000.00","300,382,876,000.00","323,919,802,000.00","336,509,258,000.00","366,120,047,000.00","372,117,627,000.00","403,976,671,000.00","408,126,913,000.00","420,242,883,000.00","423,964,988,000.00","448,912,695,000.00","453,996,979,000.00","471,140,042,000.00","455,843,347,000.00","474,174,998,000.00","483,588,803,000.00","470,447,257,000.00","469,705,005,000.00","480,628,464,000.00","481,763,210,000.00","506,603,658,000.00","502,173,659,000.00","511,124,713,000.00","524,837,177,000.00","581,716,280,000.00","560,342,036,000.00","591,033,019,000.00","612,249,751,000.00","622,460,611,000.00","637,101,957,000.00"
可供出售金融资产,"829,981,000.00","1,955,036,000.00","1,402,329,150.10","887,458,000.00","858,338,000.00","963,363,000.00","1,272,663,000.00","1,337,734,000.00","1,478,592,000.00","1,456,892,000.00","1,551,427,000.00","1,598,936,000.00","1,772,287,000.00","1,205,025,000.00","1,570,415,000.00","1,218,589,000.00","1,680,117,000.00","1,469,491,000.00","1,817,372,000.00","1,906,267,000.00","2,175,582,000.00","2,699,013,000.00","4,541,127,000.00","4,121,891,000.00","4,996,603,000.00","4,502,296,000.00","4,841,845,000.00","8,935,904,000.00","9,888,027,000.00","8,786,275,000.00","8,752,588,000.00","8,101,303,000.00","8,151,011,000.00","8,350,638,000.00","8,281,212,000.00","9,312,405,000.00","9,325,369,000.00","12,895,809,000.00","12,886,039,000.00","12,718,671,000.00","14,659,937,000.00","13,417,659,000.00","8,760,686,000.00",,,,
长期借款,"7,362,145,000.00","10,239,173,000.00","12,902,434,584.30","13,647,936,000.00","16,953,238,000.00","16,829,020,000.00","18,415,862,000.00","20,675,675,000.00","27,132,424,000.00","27,151,207,000.00","30,385,205,000.00","29,379,561,000.00","30,183,196,000.00","30,981,795,000.00","32,667,022,000.00","35,261,066,000.00","40,336,390,000.00","49,385,506,000.00","59,085,715,000.00","62,118,326,000.00","64,928,234,000.00","60,849,257,000.00","61,523,808,000.00","67,655,989,000.00","80,020,893,000.00","67,110,829,000.00","70,006,920,000.00","70,029,028,000.00","69,037,172,000.00","59,442,327,000.00","62,072,709,000.00","60,942,683,000.00","60,242,985,000.00","63,580,588,000.00","64,579,037,000.00","59,988,560,000.00","59,952,499,000.00","59,038,856,000.00","58,982,321,000.00","59,254,143,000.00","58,749,140,000.00","53,022,537,000.00","53,719,668,000.00","59,098,011,000.00","61,932,456,000.00","56,031,383,000.00","60,393,105,000.00"
持有至到期投资,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应付债券,,,,,,,,,,,"5,966,568,000.00","5,967,389,000.00","5,968,218,000.00","11,933,494,000.00","19,914,883,000.00","19,851,370,000.00","19,929,443,000.00","24,220,705,000.00","24,524,485,000.00","24,536,017,000.00","25,540,993,000.00","27,049,341,000.00","30,977,620,000.00","35,210,931,000.00","35,235,646,000.00","35,287,725,000.00","35,025,587,000.00","34,786,141,000.00","35,796,154,000.00","33,291,547,000.00","33,291,547,000.00","31,003,648,000.00","33,091,200,000.00","30,167,377,000.00","30,966,780,000.00","31,059,300,000.00","34,397,288,000.00","32,322,218,000.00","32,389,238,000.00","29,178,621,000.00","31,340,060,000.00","30,533,042,000.00","30,209,582,000.00","30,666,118,000.00","30,054,226,000.00","27,994,935,000.00","31,390,331,000.00"
长期应收款,"461,302,000.00","989,469,000.00",,"1,335,812,000.00","1,471,077,000.00","76,745,000.00","510,017,000.00","614,003,000.00","1,378,329,000.00","2,155,315,000.00","1,200,034,000.00","2,576,089,000.00","2,587,927,000.00","2,680,034,000.00","2,303,968,000.00","2,449,544,000.00","2,180,774,000.00","2,652,072,000.00","3,251,820,000.00","4,656,701,000.00","4,766,914,000.00","6,621,028,000.00","6,872,317,000.00","9,593,465,000.00","7,704,714,000.00","10,044,182,000.00","10,518,410,000.00","11,073,930,000.00","10,426,568,000.00","11,546,903,000.00","11,132,671,000.00","12,060,506,000.00","12,478,369,000.00","11,671,474,000.00","11,717,066,000.00","13,395,517,000.00","13,482,579,000.00","9,564,799,000.00","9,759,271,000.00","15,000,306,000.00","15,736,339,000.00","21,927,126,000.00","70,332,761,000.00","34,875,463,000.00","39,553,143,000.00","11,953,550,000.00","12,798,126,000.00"
