科目,2007-12-31,2008-12-31,2009-12-31,2010-06-30,2010-09-30,2010-12-31,2011-03-31,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31
固定资产,"159,128,151.42","144,165,578.21","138,617,569.86","139,166,578.70","137,454,547.28","139,528,745.68","139,395,100.08","138,136,103.28","139,786,783.69","140,550,680.84","142,444,163.72","141,692,594.44","179,283,833.43","212,704,293.52","209,362,936.68","209,883,791.73","210,989,517.70","212,983,877.24","207,961,928.39","205,843,944.55","204,682,197.92","208,659,444.02","205,667,533.65","202,669,038.53","199,375,055.12","195,678,929.90","195,670,621.19","195,425,800.19","194,789,528.03","178,517,520.71","175,974,622.53","174,193,976.40","172,873,680.83","170,941,269.40"
递延所得税负债,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
在建工程,,,,"822,551.36","1,356,535.87","1,626,761.20","1,904,791.20","7,714,281.20","10,892,941.20","44,854,615.85","48,975,545.83","51,051,968.04","19,070,688.61","2,222,300.29","4,455,595.84","4,775,139.15","5,901,566.87","2,469,756.65","4,582,268.08","3,772,553.25","3,822,934.45","3,325,725.88","5,412,383.01","6,847,941.77","7,040,408.14","7,251,396.34","3,674,717.37","3,674,717.37","3,674,717.37",,,,,
其他非流动负债,"100,000.00","7,384,887.12","6,575,643.11","6,575,643.11","6,575,643.11","6,575,643.11","6,575,643.11","6,575,643.11","7,805,643.11","7,630,738.29","7,208,010.06","7,349,679.35","7,124,666.28","6,753,288.81","6,570,381.39","6,646,398.55","6,813,676.88","3,823,118.66","3,755,383.43","3,687,648.20","3,619,912.97","3,552,177.74","3,484,442.51",,,,,,,,,,,
工程物资,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
非流动负债合计,"100,000.00","7,384,887.12","6,575,643.11","6,575,643.11","6,575,643.11","6,575,643.11","6,575,643.11","6,575,643.11","7,805,643.11","7,630,738.29","7,208,010.06","7,349,679.35","7,124,666.28","6,753,288.81","6,570,381.39","11,136,398.55","11,303,676.88","3,823,118.66","3,755,383.43","3,687,648.20","3,619,912.97","3,552,177.74","3,484,442.51","3,416,707.26","3,348,972.03","3,281,236.80","3,213,501.56","3,145,766.33","3,078,031.10","4,521,659.23","4,331,764.84","4,141,870.45","3,951,976.05","1,404,062.21"
固定资产清理,,"2,919,490.21",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
负债合计,"117,413,035.51","101,699,434.00","108,943,407.43","168,742,648.55","139,556,449.11","52,847,714.17","72,418,125.15","88,362,057.85","50,936,366.02","61,820,466.36","180,160,078.64","126,039,459.66","104,675,845.66","66,768,398.84","74,299,094.39","69,170,227.40","102,503,679.37","77,147,758.98","78,561,493.67","79,309,351.91","84,470,899.43","93,479,545.40","84,098,906.79","77,555,361.73","71,108,090.92","77,447,207.03","63,082,260.81","81,364,384.47","58,090,528.94","79,887,110.84","63,582,639.45","73,594,906.07","56,943,217.04","70,884,507.69"
生产性生物资产,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
实收资本(或股本),"120,573,180.00","120,573,180.00","120,573,180.00","120,573,180.00","161,573,180.00","161,573,180.00","161,573,180.00","161,573,180.00","161,573,180.00","161,573,180.00","161,573,180.00","161,573,180.00","161,573,180.00","161,573,180.00","161,573,180.00","161,573,180.00","161,573,180.00","161,573,180.00","161,573,180.00","323,146,360.00","323,146,360.00","323,146,360.00","323,146,360.00","323,146,360.00","323,146,360.00","323,146,360.00","323,146,360.00","323,146,360.00","323,146,360.00","323,146,360.00","323,146,360.00","323,146,360.00","323,146,360.00","323,146,360.00"
