科目,2010年度,2011年度,2012年1-9月,2012年度,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月,2018年1-9月,2018年度,2019年1-3月
支付给职工以及为职工支付的现金,"35,991,451.46","48,519,670.70","42,286,453.76","57,216,780.50","34,048,722.24","48,057,524.68","66,968,069.72","23,379,661.04","41,126,465.05","60,095,688.59","79,756,542.28","26,348,105.97","48,281,338.48","72,136,015.09","97,211,084.72","38,203,242.07","66,049,481.88","96,509,750.72","127,269,725.76","51,585,328.97","88,072,043.69","128,825,906.36","173,023,028.05","64,465,290.61","115,848,834.40","168,850,945.18","231,069,239.35","74,961,578.13"
取得借款收到的现金,"29,500,000.00","74,542,069.01","33,104,670.13","33,104,670.13","52,495,262.57","110,832,809.93","133,428,107.72",,"10,612,622.12",,"17,687,663.60","93,750,000.00","112,956,412.28","140,300,562.31","132,750,000.00","29,975,811.00","46,668,677.11","73,227,254.30","58,041,903.38","9,677,271.49","283,915,219.04","293,742,166.59","216,677,271.49","196,742,637.75","435,742,637.75","690,603,784.26","1,046,652,353.60","214,500,000.00"
支付的各项税费,"20,950,416.04","31,217,399.79","32,168,586.82","40,252,528.34","16,348,729.12","29,548,879.84","44,210,030.89","7,066,170.22","17,915,417.48","27,461,684.51","40,057,118.86","9,358,996.45","23,015,151.27","37,663,383.25","50,473,289.40","25,119,624.18","77,714,169.32","121,217,278.12","170,006,827.47","28,103,459.85","67,507,692.98","106,459,950.74","136,100,240.84","32,187,195.48","53,308,843.12","92,323,292.65","113,116,019.52","15,541,037.68"
收到其他与筹资活动有关的现金,,,,,,,,,,,,,,,,,,,,"40,000,000.00",,,"89,411,000.00","10,000,000.00","98,605,000.00","228,605,000.00","401,850,000.00",
支付其他与经营活动有关的现金,"32,977,882.27","35,540,421.19","39,422,457.21","42,437,741.15","26,355,540.07","36,829,894.65","52,014,658.43","22,603,072.13","39,928,857.85","58,999,731.74","71,693,104.08","34,783,900.59","54,791,346.07","96,481,753.14","115,782,141.38","44,146,978.08","84,098,491.02","156,243,439.66","197,556,008.60","47,017,789.31","100,096,359.58","158,595,043.49","237,479,836.89","95,459,005.18","275,025,042.84","378,064,916.40","310,807,524.72","128,704,035.11"
筹资活动现金流入小计,"186,370,000.00","74,542,069.01","33,104,670.13","33,104,670.13","52,495,262.57","110,832,809.93","133,428,107.72","274,236,312.00","284,848,934.12","274,236,312.00","291,923,975.60","93,750,000.00","112,956,412.28","179,188,017.31","420,637,425.00","34,296,591.00","50,989,457.11","77,548,034.30","62,362,683.38","49,677,271.49","283,915,219.04","893,655,020.75","909,708,263.31","207,042,637.75","670,030,446.75","961,508,784.26","1,490,802,353.60","250,709,600.00"
经营活动现金流出小计,"383,236,572.28","375,985,579.38","269,262,896.02","368,750,943.69","207,093,415.04","326,780,249.36","453,265,629.63","105,291,751.10","230,864,100.10","366,983,137.56","503,124,834.15","141,063,607.05","283,942,624.19","459,439,347.57","715,211,777.21","244,317,585.40","490,525,722.80","751,043,510.35","1,064,829,487.77","321,437,890.44","637,322,393.83","968,385,038.05","1,300,913,200.45","491,125,734.60","938,579,041.75","1,524,887,866.60","1,830,695,829.68","406,084,207.11"
偿还债务支付的现金,"89,500,000.00","47,739,839.35","49,972,945.32","49,906,899.79","10,000,000.00","32,285,119.04","68,278,493.26","61,036,384.14","74,682,944.84","73,368,516.66","91,101,731.33","1,736,742.70","1,736,742.70","35,922,392.27","124,750,000.00","3,678,830.16","5,512,752.16","28,577,749.36","38,121,500.00","12,223,354.50","47,866,577.45","72,370,796.49","132,575,906.47","1,267,040.00","197,032,880.00","243,861,723.78","442,230,114.47","267,001,656.97"
经营活动产生的现金流量净额,"7,221,652.12","31,719,851.97","105,492,467.82","126,039,181.00","10,491,889.00","31,583,944.42","82,446,345.35","10,192,709.10","9,217,045.76","19,625,360.06","68,967,564.45","8,583,597.61","29,332,425.40","42,052,778.38","90,183,403.06","-6,321,190.91","64,959,863.02","91,224,871.60","233,715,235.86","-38,298,873.30","-9,247,862.18","-73,589,145.99","-79,342,286.32","-138,480,140.72","-273,493,961.77","-277,334,288.45","-318,250,631.15","81,060,493.57"
分配股利、利润或偿还利息支付的现金,"14,969,354.57","5,666,315.79","6,742,841.69","6,848,284.15","16,234,911.11","17,209,525.90","17,989,075.14","1,191,210.30","18,012,352.81","19,963,577.45","19,360,789.91","2,531,197.33","17,846,259.42","19,801,610.85","20,821,412.79","207,614.33","23,842,170.46","24,256,945.79","24,815,930.55","381,314.82","66,373,738.90","68,825,924.34","72,606,830.34","3,410,214.00","8,685,668.99","76,469,319.33","84,324,422.56","10,036,602.13"
收回投资收到的现金,,,,,,,,,"171,000,000.00","328,000,000.00",,"43,019,331.51","84,000,000.00","111,500,000.00",,"75,000,000.00",,,,,,,,"112,500,000.00","450,000,000.00","450,000,000.00","450,000,000.00",
支付其他与筹资活动有关的现金,,"400,000.00",,"20,400,000.00","20,000,000.00","20,000,000.00","20,950,000.00","5,513,241.60","6,883,435.06","6,883,435.06","8,414,965.04",,,,"1,417,728.39",,,,"2,317,224.00","96,994.44","1,548,444.44","3,551,037.44","9,914,153.00","55,690,051.00","59,721,026.00","61,203,026.00","259,776,528.97","6,525,725.80"
取得投资收益收到的现金,,,,,,,,,"739,223.62","1,907,388.05",,"192,079.33","369,909.69","536,749.34",,"269,071.31","524,200.57","603,762.07","603,762.07",,"4,900,000.14","4,900,000.14","4,900,000.14","153,714.04","153,714.04","153,714.04",,
筹资活动现金流出小计,"104,469,354.57","53,806,155.14","56,715,787.01","77,155,183.94","46,234,911.11","69,494,644.94","107,217,568.40","67,740,836.04","99,578,732.71","100,215,529.17","118,877,486.28","4,267,940.03","19,583,002.12","55,724,003.12","146,989,141.18","3,886,444.49","29,354,922.62","52,834,695.15","65,254,654.55","12,701,663.76","115,788,760.79","144,747,758.27","215,096,889.81","60,367,305.00","265,439,574.99","381,534,069.11","786,331,066.00","283,563,984.90"
处置固定资产、无形资产和其他长期资产收回的现金净额,"452,384.60","2,014,248.47","22,913.00","40,121.96","1,171,968.96","1,171,968.96","5,364,102.63","1,540.00","19,203.09","30,882.09","6,614.09","306,531.02","1,202,236.02","1,213,881.19","1,481,048.10","149,080.00","149,080.00","166,573.76","766,302.47","733,817.95","736,780.69","1,187,673.30","1,769,898.15","231,980.00","601,055.00","601,055.00","603,035.00",
筹资活动产生的现金流量净额,"81,900,645.43","20,735,913.87","-23,611,116.88","-44,050,513.81","6,260,351.46","41,338,164.99","26,210,539.32","206,495,475.96","185,270,201.41","174,020,782.83","173,046,489.32","89,482,059.97","93,373,410.16","123,464,014.19","273,648,283.82","30,410,146.51","21,634,534.49","24,713,339.15","-2,891,971.17","36,975,607.73","168,126,458.25","748,907,262.48","694,611,373.50","146,675,332.75","404,590,871.76","579,974,715.15","704,471,287.60","-32,854,384.90"
处置子公司及其他营业单位收到的现金净额,,,,,,,,,,,,,,,,,,,,,,,,,,,,
四、汇率变动对现金的影响,"98,467.11","-420,927.04","133,340.13","-14,043.56","-106,262.73","-139,035.35","-187,300.45","129,920.52","218,459.03","153,752.20","-285,934.01","324,977.73","535,574.99","1,012,799.66","1,166,928.57","-220,495.27","147,563.06","276,766.50","1,017,547.94","-168,708.54","-784,284.65","-1,719,740.15","-2,659,219.27","-2,100,167.98","-236,374.76","-85,893.48","1,067,476.59","-428,032.05"
收到其他与投资活动有关的现金,,,,,,,,,,,"564,765,566.37","1,438,624.00","1,438,624.00","1,438,624.00","129,568,950.74",,"140,000,000.00","158,000,000.00","167,627,998.18",,"26,216,905.45","26,216,905.45","26,216,905.45","45,000,000.00","45,000,000.00","45,000,000.00","45,153,714.04",
四(2)、其他原因对现金的影响,,,,,,,,,,,,,,,,,,,,,,,,,,,,
投资活动现金流入小计,"452,384.60","2,014,248.47","22,913.00","40,121.96","1,171,968.96","1,171,968.96","5,364,102.63","1,540.00","171,758,426.71","329,938,270.14","564,772,180.46","44,956,565.86","87,010,769.71","114,689,254.53","131,049,998.84","75,418,151.31","140,673,280.57","158,770,335.83","168,998,062.72","733,817.95","31,853,686.28","32,304,578.89","32,886,803.74","157,885,694.04","495,754,769.04","495,754,769.04","495,756,749.04",
五、现金及现金等价物净增加额,"9,101,396.03","-3,085,153.72","42,319,768.72","17,968,968.93","-27,167,389.72","4,165,810.94","16,884,951.31","194,479,928.91","94,733,717.04","15,343,578.91","70,256,460.30","-63,498,826.37","-76,968,958.80","-61,629,444.26","68,840,064.01","-84,143,381.01","-42,776,038.43","-68,627,829.75","-20,491,660.91","-58,824,974.61","-14,965,071.90","329,497,574.09","119,804,361.99","-71,783,382.33","223,887,405.26","-109,253,593.60","-125,211,226.64","-16,934,811.21"
购建固定资产、无形资产和其他长期资产支付的现金,"80,571,753.23","57,134,240.99","39,717,835.35","64,045,776.66","44,985,336.41","69,789,232.08","96,948,735.54","22,339,716.67","47,791,339.47","81,135,423.02","118,984,676.62","36,019,882.61","80,076,589.46","103,206,473.63","123,454,363.14","16,429,992.65","61,191,279.57","108,183,142.83","163,900,536.26","48,359,931.09","102,543,182.24","199,035,493.78","331,150,468.02","113,733,681.25","197,097,479.84","679,910,098.77","774,725,867.52","64,712,887.83"
期初现金及现金等价物余额,"33,783,896.21","42,885,292.24","39,800,138.52","39,800,138.52","57,769,107.45","57,769,107.45","57,769,107.45","74,654,058.76","74,654,058.76","74,654,058.76","74,654,058.76","144,910,519.06","144,910,519.06","144,910,519.06","144,910,519.06","213,750,583.07","213,750,583.07","213,750,583.07","213,750,583.07","193,258,922.16","193,258,922.16","193,258,922.16","193,258,922.16","313,063,284.15","313,063,284.15","313,063,284.15","313,063,284.15","187,852,057.51"
投资支付的现金,,,,,,,,,"223,939,076.40","427,259,163.30",,"170,737,799.00","79,000,000.00","111,497,267.79","65,000,000.00","162,000,000.00","50,000,000.00","76,430,000.00","98,430,000.00",,"24,000,000.00","99,000,000.00","106,828,531.92","4,447,074.10","83,600,000.00","103,700,000.00","103,700,000.00",
期末现金及现金等价物余额,"42,885,292.24","39,800,138.52","82,119,907.24","57,769,107.45","30,601,717.73","61,934,918.39","74,654,058.76","269,133,987.67","169,387,775.80","89,997,637.67","144,910,519.06","81,411,692.69","67,941,560.26","83,281,074.80","213,750,583.07","129,607,202.06","170,974,544.64","145,122,753.32","193,258,922.16","134,433,947.55","178,293,850.26","522,756,496.25","313,063,284.15","241,279,901.82","536,950,689.41","203,809,690.55","187,852,057.51","170,917,246.30"
