科目,2011年度,2012年度,2013年度,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月
支付给职工以及为职工支付的现金,"117,827,449.04","165,683,502.81","253,956,679.58","226,856,754.53","282,509,121.21","134,013,053.00","185,722,914.22","269,358,784.41","325,934,414.73","150,009,299.91","200,512,059.79","276,382,167.55","359,870,843.21","228,538,598.95","288,226,240.55","396,662,462.29"
取得借款收到的现金,"140,000,000.00","158,000,000.00","133,000,000.00","240,000,000.00","272,000,000.00","60,000,000.00","60,000,000.00","60,000,000.00","60,000,000.00","147,000,000.00","217,000,000.00","387,000,000.00","407,000,000.00","313,000,000.00","483,000,000.00","733,000,000.00"
支付的各项税费,"57,838,550.48","57,844,410.08","86,688,168.00","61,749,308.09","82,592,168.01","17,184,812.28","28,935,701.37","40,413,228.08","49,079,757.56","16,690,143.68","41,136,502.88","51,779,684.76","70,734,794.12","16,402,984.73","37,374,147.90","46,452,159.62"
收到其他与筹资活动有关的现金,"1,759,814.50","3,192,317.91","23,056,115.91","13,098,042.78","19,136,933.68","6,789,887.47","13,126,511.13","21,793,964.57","26,252,366.00","5,567,390.73","6,125,765.26","20,199,245.18","21,069,265.18","4,017,430.73","12,655,592.12","37,728,391.35"
支付其他与经营活动有关的现金,"92,555,348.34","116,385,985.74","135,684,044.24","89,327,070.39","122,689,372.82","26,178,137.33","49,323,939.57","82,793,120.70","135,300,426.94","69,426,888.04","114,981,741.14","202,314,438.59","223,490,584.39","60,171,065.62","109,398,394.22","167,602,269.68"
筹资活动现金流入小计,"141,759,814.50","161,192,317.91","156,056,115.91","253,098,042.78","291,136,933.68","558,309,887.47","649,581,911.13","658,249,364.57","662,707,766.00","152,567,390.73","223,125,765.26","423,286,495.18","434,356,515.18","317,017,430.73","495,655,592.12","775,633,291.35"
经营活动现金流出小计,"869,099,793.57","882,119,268.26","1,364,200,838.54","1,052,633,523.26","1,335,521,394.84","595,993,017.43","801,671,460.93","1,128,877,146.37","1,420,129,652.57","581,797,701.82","844,006,275.30","1,227,143,164.18","1,524,591,900.69","675,982,077.16","1,005,060,289.23","1,502,898,437.24"
偿还债务支付的现金,"90,000,000.00","135,000,000.00","133,000,000.00","198,000,000.00","230,000,000.00","60,000,000.00","235,000,000.00","235,000,000.00","235,000,000.00","147,000,000.00","147,000,000.00","147,000,000.00","197,000,000.00","100,000,000.00","254,900,000.00","369,800,000.00"
经营活动产生的现金流量净额,"81,896,713.64","75,020,845.98","29,141,518.53","-223,708,896.64","-27,269,492.36","-213,610,218.00","-231,182,935.46","-262,583,490.75","-209,860,334.78","-100,966,416.30","-124,301,247.11","-153,893,507.83","47,642,945.26","-86,276,880.79","-74,326,943.54","-137,699,308.30"
分配股利、利润或偿还利息支付的现金,"6,680,007.50","8,368,244.32","8,072,282.74","6,813,956.57","9,458,771.43","2,169,019.60","19,882,052.37","20,656,793.37","20,813,047.38","107,179.16","577,970.83","17,423,602.67","20,621,943.05","2,987,125.83","7,945,623.25","31,333,651.39"
收回投资收到的现金,,,,,,,"166,000,000.00","376,000,000.00","775,000,000.00","249,000,000.00","274,000,000.00","443,000,000.00","582,000,000.00","199,000,000.00","309,000,000.00","451,000,000.00"
支付其他与筹资活动有关的现金,"9,440,221.52","11,299,013.67","28,128,940.80","12,705,380.09","25,713,004.07","11,933,936.75","18,642,129.61","23,081,247.88","24,106,549.17","5,325,992.72","25,929,406.09","39,791,087.53","42,186,539.59","4,032,186.70","31,081,287.44","73,434,522.20"
取得投资收益收到的现金,,,,,,,"1,893,945.21","3,351,120.55","5,066,454.28","1,903,141.11","2,061,627.41","3,187,393.15","4,261,223.29","1,132,363.01","1,921,349.31","3,386,627.85"
筹资活动现金流出小计,"106,120,229.02","154,667,257.99","169,201,223.54","217,519,336.66","265,171,775.50","74,102,956.35","273,524,181.98","278,738,041.25","279,919,596.55","152,433,171.88","173,507,376.92","204,214,690.20","259,808,482.64","107,019,312.53","293,926,910.69","474,568,173.59"
处置固定资产、无形资产和其他长期资产收回的现金净额,"2,879,741.00","109,680.00","63,500.00",,,,,"300,000.00","300,000.00",,"2,000.00","2,000.00","17,145.63",,,"330,097.09"
筹资活动产生的现金流量净额,"35,639,585.48","6,525,059.92","-13,145,107.63","35,578,706.12","25,965,158.18","484,206,931.12","376,057,729.15","379,511,323.32","382,788,169.45","134,218.85","49,618,388.34","219,071,804.98","174,548,032.54","209,998,118.20","201,728,681.43","301,065,117.76"
处置子公司及其他营业单位收到的现金净额,,,,,,,,,,,,,,,,
四、汇率变动对现金的影响,,,,,,,,,,,,,,,,
收到其他与投资活动有关的现金,,,,,,,,,,,,,,,,
四(2)、其他原因对现金的影响,,,,,,,,,,,,,,,,
投资活动现金流入小计,"2,879,741.00","109,680.00","63,500.00",,,,"167,893,945.21","379,651,120.55","780,366,454.28","250,903,141.11","276,063,627.41","446,189,393.15","586,278,368.92","200,132,363.01","310,921,349.31","454,716,724.94"
五、现金及现金等价物净增加额,"91,464,364.35","47,688,255.58","7,737,697.87","-193,380,026.83","-6,913,284.77","52,746,190.12","14,532,261.68","-101,259,615.44","-49,680,427.39","10,244,463.80","-119,197,223.93","-69,647,433.52","22,034,325.02","50,893,017.99","-76,066,865.54","-59,817,848.70"
购建固定资产、无形资产和其他长期资产支付的现金,"28,951,675.77","33,967,330.32","8,322,213.03","5,249,836.31","5,608,950.59","1,850,523.00","3,236,477.22","5,838,568.56","27,974,716.34","15,826,479.86","31,829,271.88","46,238,403.13","67,358,301.01","50,200,582.43","53,298,952.74","63,609,383.10"
期初现金及现金等价物余额,"96,612,495.68","188,076,860.03","235,765,115.61","243,502,813.48","243,502,813.48","236,589,528.71","236,589,528.71","236,589,528.71","236,589,528.71","186,909,101.32","186,909,101.32","186,909,101.32","186,909,101.32","208,943,426.34","208,943,426.34","208,943,426.34"
投资支付的现金,,,,,,"216,000,000.00","295,000,000.00","592,000,000.00","975,000,000.00","124,000,000.00","258,000,000.00","504,028,000.00","688,328,000.00","222,760,000.00","461,091,000.00","614,291,000.00"
期末现金及现金等价物余额,"188,076,860.03","235,765,115.61","243,502,813.48","50,122,786.65","236,589,528.71","289,335,718.83","251,121,790.39","135,329,913.27","186,909,101.32","197,153,565.12","67,711,877.39","117,261,667.80","208,943,426.34","259,836,444.33","132,876,560.80","149,125,577.64"
