科目,2008年度,2009年1-6月,2009年度,2010年1-3月,2010年1-6月,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月
支付其他与经营活动有关的现金,"2,536,647,000.00","478,899,000.00","1,307,768,000.00","712,937,000.00","770,586,000.00","912,355,000.00","1,510,816,000.00","359,436,000.00","1,055,230,000.00","1,985,116,000.00","3,234,418,000.00","694,634,000.00","1,194,497,000.00","2,233,120,000.00","2,880,957,000.00","904,000,000.00","2,567,852,000.00","3,616,459,000.00","4,349,163,000.00","705,223,000.00","1,520,208,000.00","2,676,577,000.00","3,971,853,000.00","717,146,000.00"
筹资活动现金流入小计,"33,802,596,000.00","4,811,918,000.00","32,614,395,000.00","2,737,743,000.00","3,531,526,000.00","14,120,030,000.00","27,259,279,000.00","16,581,089,000.00","27,525,715,000.00","42,163,916,000.00","51,452,809,000.00","20,644,458,000.00","31,783,302,000.00","42,441,427,000.00","59,081,942,000.00","13,497,778,000.00","36,406,313,000.00","48,154,504,000.00","85,638,839,000.00","40,271,298,000.00","59,317,310,000.00","75,868,021,000.00","112,919,548,000.00","5,594,800,000.00"
经营活动现金流出小计,"41,709,070,000.00","18,248,773,000.00","46,624,205,000.00","14,008,581,000.00","32,084,115,000.00","47,363,430,000.00","74,206,776,000.00","15,383,889,000.00","42,599,626,000.00","61,686,237,000.00","93,720,660,000.00","19,183,586,000.00","38,831,359,000.00","57,020,109,000.00","90,807,637,000.00","18,253,619,000.00","38,298,960,000.00","59,399,529,000.00","93,103,895,000.00","23,329,889,000.00","47,999,655,000.00","69,180,249,000.00","113,436,478,000.00","20,873,405,000.00"
偿还债务支付的现金,"34,992,123,000.00","6,178,850,000.00","20,758,237,000.00","3,759,797,000.00","2,044,478,000.00","12,467,364,000.00","26,564,892,000.00","4,002,631,000.00","14,167,830,000.00","25,741,534,000.00","38,084,445,000.00","11,114,820,000.00","22,048,802,000.00","32,525,679,000.00","49,694,437,000.00","9,346,260,000.00","31,265,500,000.00","34,982,490,000.00","83,649,061,000.00","29,065,985,000.00","38,654,817,000.00","53,743,520,000.00","99,400,858,000.00","14,146,489,000.00"
经营活动产生的现金流量净额,"3,728,319,000.00","3,496,215,000.00","925,034,000.00","-3,577,395,000.00","-3,066,117,000.00","-2,156,916,000.00","904,907,000.00","-6,882,441,000.00","-8,582,032,000.00","-10,175,399,000.00","-2,514,687,000.00","-1,356,264,000.00","-4,441,387,000.00","-5,475,400,000.00","1,904,325,000.00","-4,542,093,000.00","-4,900,561,000.00","-10,097,070,000.00","4,886,783,000.00","-7,710,617,000.00","-11,335,510,000.00","-11,382,043,000.00","14,756,443,000.00","-2,415,238,000.00"
分配股利、利润或偿还利息支付的现金,"1,541,035,000.00","430,774,000.00","672,472,000.00","81,682,000.00","136,855,000.00","402,579,000.00","475,012,000.00","88,763,000.00","649,116,000.00","977,243,000.00","1,338,655,000.00","360,669,000.00","655,305,000.00","1,364,301,000.00","1,877,829,000.00","175,965,000.00","600,987,000.00","1,835,403,000.00","2,282,556,000.00","460,387,000.00","644,592,000.00","3,113,193,000.00","3,360,618,000.00","650,925,000.00"
收回投资收到的现金,"270,960,000.00","128,475,000.00","342,338,000.00",,,"52,641,000.00","52,641,000.00","13,091,000.00","22,729,000.00","22,729,000.00","29,888,000.00",,,"2,000,000.00","2,000,000.00",,"450,317,000.00","450,317,000.00","934,854,000.00","303,091,000.00","820,163,000.00","1,020,763,000.00","3,384,080,000.00","4,012,457,000.00"
支付其他与筹资活动有关的现金,"10,800,000.00",,"68,296,000.00","20,711,000.00","21,789,000.00","21,788,000.00","21,788,000.00",,"9,117,000.00","9,117,000.00","64,949,000.00","15,316,000.00","33,150,000.00","38,780,000.00","857,211,000.00","16,663,000.00","19,500,000.00","19,500,000.00","37,721,000.00","24,000,000.00","150,410,000.00","169,798,000.00","235,183,000.00","34,022,000.00"
取得投资收益收到的现金,"66,985,000.00","52,466,000.00","110,258,000.00","20,000.00","11,883,000.00","11,883,000.00","104,221,000.00",,"28,621,000.00","68,133,000.00","102,577,000.00","3,593,000.00","27,334,000.00","66,939,000.00","94,418,000.00","12,279,000.00","100,873,000.00","124,695,000.00","60,711,000.00","12,068,000.00","40,873,000.00","70,669,000.00","188,584,000.00","73,802,000.00"
筹资活动现金流出小计,"36,543,958,000.00","6,609,624,000.00","21,499,005,000.00","3,862,190,000.00","2,203,122,000.00","12,891,731,000.00","27,061,692,000.00","4,091,394,000.00","14,826,063,000.00","26,727,894,000.00","39,488,049,000.00","11,490,805,000.00","22,737,257,000.00","33,928,760,000.00","52,429,477,000.00","9,538,888,000.00","31,885,987,000.00","36,837,393,000.00","85,969,338,000.00","29,550,372,000.00","39,449,819,000.00","57,026,511,000.00","102,996,659,000.00","14,831,436,000.00"
处置固定资产、无形资产和其他长期资产收回的现金净额,"144,437,000.00","28,549,000.00","87,984,000.00","9,497,000.00","48,116,000.00","61,049,000.00","75,287,000.00","7,504,000.00","33,756,000.00","33,756,000.00","46,221,000.00","9,230,000.00","29,868,000.00","42,258,000.00","45,082,000.00","4,821,000.00","25,872,000.00","28,733,000.00","49,119,000.00","3,416,000.00","11,669,000.00","14,011,000.00","37,088,000.00","5,504,000.00"
筹资活动产生的现金流量净额,"-2,741,362,000.00","-1,797,706,000.00","11,115,390,000.00","-1,124,447,000.00","1,328,404,000.00","1,228,299,000.00","197,587,000.00","12,489,695,000.00","12,699,652,000.00","15,436,022,000.00","11,964,760,000.00","9,153,653,000.00","9,046,045,000.00","8,512,667,000.00","6,652,465,000.00","3,958,890,000.00","4,520,326,000.00","11,317,111,000.00","-330,499,000.00","10,720,926,000.00","19,867,491,000.00","18,841,510,000.00","9,922,889,000.00","-9,236,636,000.00"
处置子公司及其他营业单位收到的现金净额,,,,,"14,275,000.00",,,,,,,,,,,,,,,,"6,773,000.00","6,773,000.00","6,773,000.00",
四、汇率变动对现金的影响,"2,209,000.00","337,000.00","-323,000.00","210,000.00","-35,276,000.00","-35,276,000.00","15,093,000.00","-8,678,000.00","-35,193,000.00","-52,790,000.00","-27,662,000.00","8,488,000.00","-10,379,000.00","2,345,000.00","2,415,000.00","-3,700,000.00","-18,322,000.00","-32,091,000.00","-20,560,000.00","8,821,000.00","-7,958,000.00","-13,976,000.00","-42,832,000.00","8,491,000.00"
收到其他与投资活动有关的现金,,,,,,"23,768,000.00","214,420,000.00",,,,"105,401,000.00","4,300,000.00","139,153,000.00","139,153,000.00","510,419,000.00","500,000.00","61,100,000.00","61,100,000.00","219,650,000.00",,"35,302,000.00","35,302,000.00","66,833,000.00",
四(2)、其他原因对现金的影响,,,,,,,,,,,,,,,,,,,,,,,,
投资活动现金流入小计,"482,382,000.00","209,490,000.00","540,580,000.00","9,517,000.00","74,274,000.00","149,341,000.00","446,569,000.00","20,595,000.00","85,106,000.00","124,618,000.00","284,087,000.00","17,123,000.00","196,355,000.00","250,350,000.00","651,919,000.00","17,600,000.00","638,162,000.00","664,845,000.00","1,264,334,000.00","318,575,000.00","914,780,000.00","1,147,518,000.00","3,683,358,000.00","4,091,763,000.00"
五、现金及现金等价物净增加额,"-1,110,235,000.00","426,266,000.00","8,895,687,000.00","-5,597,719,000.00","-3,962,510,000.00","-5,292,702,000.00","-6,030,554,000.00","3,429,943,000.00","-368,160,000.00","359,277,000.00","650,092,000.00","6,741,477,000.00","1,790,472,000.00","-701,949,000.00","2,488,709,000.00","-1,609,626,000.00","-3,366,082,000.00","-3,720,828,000.00","-1,265,345,000.00","1,151,340,000.00","6,151,797,000.00","4,149,758,000.00","14,645,660,000.00","-9,896,786,000.00"
购建固定资产、无形资产和其他长期资产支付的现金,"2,311,783,000.00","1,090,515,000.00","3,286,578,000.00","905,604,000.00","2,230,473,000.00","3,989,748,000.00","7,278,625,000.00","1,680,797,000.00","3,547,458,000.00","3,984,939,000.00","7,568,338,000.00","1,081,523,000.00","2,992,014,000.00","3,983,763,000.00","6,098,361,000.00","1,004,480,000.00","2,818,171,000.00","4,736,107,000.00","5,326,842,000.00","1,101,273,000.00","1,847,944,000.00","2,869,394,000.00","4,752,284,000.00","883,266,000.00"
期初现金及现金等价物余额,"3,411,262,000.00","2,301,027,000.00","2,301,027,000.00","11,196,885,000.00","11,196,714,000.00","11,196,714,000.00","11,196,714,000.00","5,166,160,000.00","5,238,253,000.00","5,238,254,000.00","5,238,253,000.00","5,889,270,000.00","5,888,345,000.00","5,888,345,000.00","5,888,345,000.00","8,377,054,000.00","8,377,054,000.00","8,377,054,000.00","8,379,753,000.00","7,114,408,000.00","7,114,408,000.00","7,114,408,000.00","7,114,408,000.00","21,760,068,000.00"
投资支付的现金,"270,000,000.00","90,000,000.00","96,861,000.00",,"33,322,000.00","488,402,000.00","290,407,000.00","69,128,000.00","476,808,000.00","476,808,000.00","485,269,000.00",,"8,148,000.00","8,148,000.00","559,872,000.00","35,843,000.00","787,516,000.00","837,516,000.00","1,734,853,000.00","1,085,092,000.00","1,439,062,000.00","1,526,765,000.00","8,921,914,000.00","1,461,900,000.00"
期末现金及现金等价物余额,"2,301,027,000.00","2,727,293,000.00","11,196,714,000.00","5,599,166,000.00","7,234,204,000.00","5,904,012,000.00","5,166,160,000.00","8,596,103,000.00","4,870,093,000.00","5,597,531,000.00","5,888,345,000.00","12,630,747,000.00","7,678,817,000.00","5,186,396,000.00","8,377,054,000.00","6,767,428,000.00","5,010,972,000.00","4,656,226,000.00","7,114,408,000.00","8,265,748,000.00","13,266,205,000.00","11,264,166,000.00","21,760,068,000.00","11,863,282,000.00"
