科目,2007年度,2008年度,2009年1-6月,2009年度,2010年1-6月,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月
支付给职工以及为职工支付的现金,"5,294,020.55","6,640,624.80","6,458,942.81","15,422,594.58","10,743,889.79","17,928,666.63","28,056,164.04","13,010,331.09","30,880,606.51","54,034,847.11","64,729,605.99","35,632,997.80","63,784,447.70","96,461,181.11","123,010,909.60","46,819,114.95","92,832,836.49","139,194,837.38","213,450,656.35","67,721,022.34","142,928,553.86","237,955,524.22","354,345,989.41","156,351,924.96","286,442,983.84","539,646,348.52","595,428,336.05","232,441,726.80","459,197,574.51","756,657,743.04","1,098,193,418.77","261,428,176.31","509,291,781.55","749,330,501.59"
取得借款收到的现金,,,"8,450,000.00","40,450,000.00","98,500,000.00","138,500,000.00","203,500,000.00",,"150,000,000.00","230,000,000.00","442,000,000.00","68,000,000.00","455,000,000.00","802,000,000.00","783,000,000.00","-164,000,000.00","510,000,000.00","920,000,000.00","1,350,000,000.00","180,000,000.00","629,000,000.00","1,265,792,526.19","2,660,600,000.00","1,913,769,713.96","3,924,090,287.18","6,605,899,700.18","9,046,574,441.04","263,287,179.49","3,166,133,728.01","3,116,539,214.56","6,289,562,680.80","13,114,908.18","486,314,908.18","4,245,640,489.18"
支付的各项税费,"195,713.93","1,269,233.14","8,211,582.82","12,810,001.03","2,980,797.39","7,813,697.20","16,689,802.85","4,278,026.27","13,762,239.02","18,770,827.01","37,300,168.57","10,173,717.12","28,941,815.13","39,798,717.84","47,854,755.83","9,323,488.17","35,703,015.37","46,624,454.88","61,874,503.84","16,208,059.41","85,776,354.23","112,178,098.02","144,100,574.77","54,459,316.24","178,866,757.57","218,563,281.84","257,620,152.08","106,527,170.68","266,228,152.25","341,692,556.96","404,567,218.99","66,178,271.24","136,215,690.09","165,136,004.59"
收到其他与筹资活动有关的现金,,,,,,,,,,,,,,,,,,,,,,,,,,,"400,933,888.89",,"250,972,432.60","467,194,875.35","272,457,387.26","87,762,422.72","384,048,216.70","387,398,216.70"
支付其他与经营活动有关的现金,"7,276,536.52","29,425,193.60","10,701,301.58","29,626,882.34","22,017,255.56","36,175,666.42","62,150,960.84","12,073,337.95","22,523,413.52","39,624,493.62","85,897,714.17","44,936,160.91","53,834,583.40","66,173,434.38","140,533,427.13","65,754,642.45","148,783,400.19","236,425,912.96","317,070,920.53","113,120,761.53","245,286,729.65","424,704,984.33","422,015,282.80","176,194,616.05","274,829,032.77","299,377,170.95","867,842,145.45","236,422,018.37","641,396,565.49","1,038,054,897.72","1,879,445,780.81","590,961,188.51","662,557,068.69","858,881,227.29"
筹资活动现金流入小计,,"52,800,000.00","8,450,000.00","40,450,000.00","98,500,000.00","820,057,095.66","888,460,000.00",,"150,000,000.00","230,000,000.00","442,000,000.00","68,000,000.00","455,000,000.00","830,280,000.00","1,212,480,000.00","361,277,930.00","728,526,800.01","1,471,135,649.68","2,101,478,022.94","468,399,997.04","1,044,591,396.76","1,681,383,922.95","3,080,997,521.88","1,913,769,713.96","3,924,090,287.18","7,741,594,681.99","11,390,678,614.77","1,265,537,179.49","7,368,889,285.77","12,401,063,677.29","17,706,533,277.90","2,288,612,582.72","5,127,498,376.70","10,092,533,957.70"
经营活动现金流出小计,"14,823,690.70","39,497,468.74","33,702,334.04","76,672,603.03","49,355,731.92","82,242,510.46","128,549,632.90","41,744,097.47","105,959,827.32","181,770,661.71","260,185,380.10","125,995,913.62","235,309,776.21","380,524,674.11","558,538,354.88","195,935,246.71","442,477,556.65","778,738,032.46","1,433,485,566.67","718,601,967.29","1,922,247,752.05","4,185,843,504.38","5,734,215,461.60","1,744,492,950.49","3,190,675,093.03","5,378,382,415.29","9,283,455,281.29","2,763,515,226.01","7,988,316,646.75","12,570,560,725.57","16,835,417,072.67","4,024,785,747.95","6,204,675,458.11","8,214,526,257.09"
偿还债务支付的现金,"3,000,000.00",,"450,000.00","450,000.00","43,000,000.00","152,300,000.00","173,500,000.00",,"20,000,000.00","20,000,000.00","107,000,000.00","28,000,000.00","88,000,000.00","201,000,000.00","438,400,000.00","55,137,571.80","229,175,143.60","599,312,715.40","846,450,287.20","20,137,572.00","247,275,143.80","977,807,244.16","1,738,406,600.96","826,106,870.21","2,318,878,824.85","3,460,066,166.21","6,746,926,238.50","368,819,321.58","764,485,569.03","1,973,547,510.17","4,947,098,220.15","1,191,455,412.42","1,652,676,521.27","5,166,055,591.10"
经营活动产生的现金流量净额,"9,458,967.07","16,494,533.36","47,099,251.69","83,403,123.85","30,549,743.46","26,963,297.24","65,485,087.00","6,861,051.80","64,777,512.51","109,582,989.30","146,904,755.98","97,492,162.61","92,367,781.02","48,696,901.51","106,199,921.42","88,847,203.17","61,760,717.34","220,657,623.78","175,851,396.59","146,987,158.50","461,337,454.16","343,701,268.24","234,182,733.96","-280,250,436.32","465,081,606.08","809,723,517.29","875,701,876.46","64,572,457.72","289,189,615.44","543,434,995.26","-1,068,060,768.96","-741,173,904.64","-2,185,441,404.02","-2,814,650,512.39"
分配股利、利润或偿还利息支付的现金,"132,165.00",,"6,670.36","744,944.11","2,163,431.25","3,978,684.65","4,478,749.76","920,861.11","18,593,934.40","22,236,835.98","27,686,640.33","7,362,578.21","20,134,415.05","31,607,599.78","51,425,148.35","10,635,471.40","52,297,411.12","84,461,677.95","114,793,470.72","20,076,729.11","94,541,764.28","154,137,393.90","161,794,712.42","25,053,315.80","80,531,494.73","126,140,212.20","144,106,767.40","23,284,510.08","80,322,251.30","259,944,743.60","436,124,661.05","78,580,140.78","103,001,605.97","325,206,080.33"
收回投资收到的现金,,,,,,,,,,,"50,000,000.00",,"10,000,000.00","10,000,000.00","10,000,000.00",,"6,000,000.00","7,000,000.00","7,000,000.00","4,048,880.00","4,048,880.00","4,048,880.00","76,548,880.00","56,556,521.11","56,556,521.11","56,556,521.11","56,556,521.11",,"60,000,000.00","60,000,000.00",,"760,000,000.00",,
支付其他与筹资活动有关的现金,,,,,,,"2,692,904.34",,,,,,"257,631.02","481,790.60","4,831,790.60","100,000.00","548,858.55","1,353,973.99","25,574,278.99","1,841,774.54","5,899,459.90","17,792,896.13","27,529,193.63","34,012,300.74","89,169,144.50","99,450,579.56","134,296,501.87","24,469,380.17","2,220,837,885.94","2,961,284,594.68","2,845,810,622.70","4,788,793.77","516,545,943.58","576,967,419.57"
取得投资收益收到的现金,,,,,,,,,,,"7,500,000.00",,"1,500,000.00","1,500,000.00","1,500,000.00","560,000.00","2,110,000.00","2,110,000.00","3,010,000.00",,,,"355,399.71",,,,,,"808,194.14","808,194.14","1,085,270.85",,,"2,975,990.56"
筹资活动现金流出小计,"3,132,165.00",,"456,670.36","1,194,944.11","45,163,431.25","156,278,684.65","180,671,654.10","920,861.11","38,593,934.40","42,236,835.98","134,686,640.33","35,362,578.21","108,392,046.07","233,089,390.38","494,656,938.95","65,873,043.20","282,021,413.27","685,128,367.34","986,818,036.91","42,056,075.65","347,716,367.98","1,149,737,534.19","1,927,730,507.01","885,172,486.75","2,488,579,464.08","3,685,656,957.97","7,025,329,507.77","416,573,211.83","3,065,645,706.27","5,194,776,848.45","8,229,033,503.90","1,274,824,346.97","2,272,224,070.82","6,068,229,091.00"
处置固定资产、无形资产和其他长期资产收回的现金净额,,,,,,,"1,900,000.00",,,,,,,,,,,,"7,500.00",,,,"2,687.17","106,600.00",,,"4,350.68","5,134.58","12,631.58","20,020.88","37,510.84","21,326.84","70,620.82","586,079.16"
筹资活动产生的现金流量净额,"-3,132,165.00","52,800,000.00","7,993,329.64","39,255,055.89","53,336,568.75","663,778,411.01","707,788,345.90","-920,861.11","111,406,065.60","187,763,164.02","307,313,359.67","32,637,421.79","346,607,953.93","597,190,609.62","717,823,061.05","295,404,886.80","446,505,386.74","786,007,282.34","1,114,659,986.03","426,343,921.39","696,875,028.78","531,646,388.76","1,153,267,014.87","1,028,597,227.21","1,435,510,823.10","4,055,937,724.02","4,365,349,107.00","848,963,967.66","4,303,243,579.50","7,206,286,828.84","9,477,499,774.00","1,013,788,235.75","2,855,274,305.88","4,024,304,866.70"
处置子公司及其他营业单位收到的现金净额,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
四、汇率变动对现金的影响,,,,"14,967.57",,,,,,,,"-11,937.44","4,606.45","16,647.91","-93,771.46","147,960.75","-2,225.49","-2,865.40","-646,637.66","163,347.52","-46,975.97","808,312.18","-141,618.96","305,797.20","-2,845,449.28","-263,497.70","11,128,692.65","-1,805,115.12","1,706,390.06","1,206,785.98","20,370,447.08","16,995.95","-2,415,949.16","-5,827,992.54"
收到其他与投资活动有关的现金,,,,,,,,,,,"179,239.26",,,,,,,,,,,,,,,,,"60,000,000.00",,,"122,100,000.00","670,114,206.31","693,875,613.00","693,875,613.00"
四(2)、其他原因对现金的影响,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
投资活动现金流入小计,,,,,,,"1,900,000.00",,,,"57,679,239.26",,"11,500,000.00","11,500,000.00","11,500,000.00","560,000.00","8,110,000.00","9,110,000.00","10,017,500.00","4,048,880.00","4,048,880.00","4,048,880.00","76,906,966.88","56,663,121.11","56,556,521.11","56,556,521.11","56,560,871.79","60,005,134.58","60,820,825.72","60,828,215.02","123,222,781.69","1,430,135,533.15","693,946,233.82","697,437,682.72"
五、现金及现金等价物净增加额,"1,356,435.07","37,408,648.36","-11,503,530.52","-5,503,841.54","-13,054,898.43","532,531,334.85","509,792,081.56","-168,697,227.70","-228,519,760.58","-432,267,673.26","-409,954,823.60","-31,294,849.71","102,660,821.84","101,918,438.54","60,121,940.96","117,620,179.62","26,688,545.31","321,430,902.69","392,197,708.83","284,422,035.34","394,132,062.73","-213,612,892.36","-138,369,509.66","203,369,948.96","660,523,911.67","2,754,903,795.44","2,267,429,519.51","-110,780,867.82","612,830,959.21","493,637,070.71","-1,245,570,140.14","-23,658,383.53","-667,061,340.14","-714,443,644.60"
购建固定资产、无形资产和其他长期资产支付的现金,"4,970,367.00","31,885,885.00","66,596,111.85","128,176,988.85","96,941,210.64","158,210,373.40","265,381,351.34","174,637,418.39","404,703,338.69","707,613,826.58","811,852,178.51","161,412,496.67","347,815,403.56","555,431,604.50","775,253,154.05","267,335,551.10","489,038,838.73","693,691,201.28","906,831,359.38","293,118,665.63","563,107,983.00","888,843,400.30","1,273,869,838.35","601,945,760.24","1,283,046,297.51","2,073,229,029.45","2,809,349,736.56","1,078,517,312.66","1,804,143,859.76","4,051,981,602.18","5,469,946,151.56","1,659,425,243.74","2,028,424,526.66","2,479,707,689.09"
期初现金及现金等价物余额,"299,955.65","1,656,390.72","39,065,039.08","39,065,039.08","33,561,197.54","33,561,197.54","33,561,197.54","543,353,279.10","543,353,279.10","543,353,279.10","543,353,279.10","133,398,455.50","133,398,455.50","133,398,455.50","133,398,455.50","193,520,396.46","193,520,396.46","193,520,396.46","193,520,396.46","585,553,907.99","585,718,105.29","585,718,105.29","585,718,105.29","499,850,156.29","447,348,595.63","447,348,595.63","447,348,595.63","2,714,778,115.14","2,714,778,115.14","2,714,778,115.14","2,714,778,115.14","1,460,574,051.61","1,469,207,975.00","1,469,207,975.00"
投资支付的现金,,,,,,,,,,"22,000,000.00","110,000,000.00",,,,,,,,,,,,"89,506,119.00",,"6,200,000.00","89,281,000.00","142,228,000.00","4,000,000.00","2,237,985,591.75","3,266,138,152.21","3,658,780,609.39",,,
期末现金及现金等价物余额,"1,656,390.72","39,065,039.08","27,561,508.56","33,561,197.54","20,506,299.11","566,092,532.39","543,353,279.10","374,656,051.40","314,833,518.52","111,085,605.84","133,398,455.50","102,103,605.79","236,059,277.34","235,316,894.04","193,520,396.46","311,140,576.08","220,208,941.77","514,951,299.15","585,718,105.29","869,975,943.33","979,850,168.02","372,105,212.93","447,348,595.63","703,220,105.25","1,107,872,507.30","3,202,252,391.07","2,714,778,115.14","2,603,997,247.32","3,327,609,074.35","3,208,415,185.85","1,469,207,975.00","1,436,915,668.08","802,146,634.86","754,764,330.40"
