科目,2007年度,2008年度,2009年度,2010年1-6月,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月,2018年1-9月,2018年度,2019年1-3月
筹资活动产生的现金流量净额,"11,100,000.00","4,880,302.27","8,900,325.31","-1,837,100.00","217,504,050.00","217,504,050.00","23,685,280.00","-6,330,431.37","-6,330,431.37","-186,311.12","1,700,000.00","-4,869,201.37","-2,869,201.37","-6,760,000.00","20,000,000.00","6,991,806.92","36,991,806.92","34,548,333.35","-757,666.66","-34,553,193.07","115,219,427.22","89,246,488.55","22,985,722.22","17,146,291.18","31,981,672.68","-21,929,041.37","-8,444,163.14","-9,920,178.00","67,294,720.15","-21,523,090.71","125,605,657.28","68,247,757.74","58,671,931.32","390,825,809.85","282,109,779.68","261,599,250.39","253,571,287.03","553,765,385.44","406,903,077.72"
处置子公司及其他营业单位收到的现金净额,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
四、汇率变动对现金的影响,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
收到其他与投资活动有关的现金,,,,,,,,,,,,,,,,,,,,,,,"60,000,000.00",,,"60,015,123.29",,,,,,,,"4,224,509.87",,"3,195,665.73","3,601,612.03","17,631,263.01",
四(2)、其他原因对现金的影响,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
投资活动现金流入小计,"5,987.20",,"7,554.00",,,,,"10,567.20","10,567.20","13,245.85",,,,,,,,,,,,,"60,000,000.00",,"60,000,000.00","60,015,123.29",,"19,039,666.90",,"14,213,040.00",,,"2,300,000.00","4,524,509.87","15,000.00","3,210,665.73","63,616,612.03","78,157,889.11","8,112,071.83"
五、现金及现金等价物净增加额,"14,428,462.38","-3,026,316.69","9,497,798.50","-15,908,842.52","192,974,000.38","152,510,179.45","2,814,324.94","-54,520,800.45","-84,391,467.25","-118,415,749.33","-15,544,707.51","-31,500,593.94","-39,270,919.35","-41,605,035.39","-5,783,474.54","-9,391,965.77","-6,817,078.70","17,654,857.68","-28,443,954.24","-29,953,100.57","-1,307,412.01","119,062,680.38","-3,366,039.25","-87,689,863.45","-46,728,183.74","102,498,516.89","-80,493,133.24","-93,697,411.62","-108,438,593.57","-125,552,494.36","47,254,820.85","31,829,464.89","-14,653,916.33","202,265,435.98","90,345,844.12","-64,345,823.91","-179,394,089.70","-161,363,447.39","168,704,001.78"
购建固定资产、无形资产和其他长期资产支付的现金,"10,175,330.73","14,568,636.52","16,053,520.80","20,171,769.50","27,059,916.04","79,453,166.30","20,994,230.15","61,492,827.18","96,905,417.66","144,820,779.79","22,270,657.24","40,283,055.73","47,289,479.73","47,321,739.77","4,086,847.00","7,757,777.20","17,303,850.58","30,022,754.97","2,083,047.50","3,966,394.49","11,529,157.95","68,903,452.94","9,823,946.20","62,160,639.35","105,055,250.39","106,753,872.73","3,168,089.53","22,673,214.76","24,959,402.72","220,362,800.90","22,331,232.48","42,723,662.48","138,565,041.19","204,834,901.95","83,532,971.96","208,298,507.47","315,202,763.06","311,570,739.89","23,896,783.52"
期初现金及现金等价物余额,"527,940.22","14,956,402.60","11,930,085.91","21,427,884.41","21,427,884.41",,,"173,938,063.86","173,938,063.86","55,522,314.53","55,522,314.53","55,522,314.53","55,522,314.53","55,522,314.53","13,917,279.14","13,917,279.14","13,917,279.14","13,917,279.14","31,572,136.82","31,572,136.82","235,767,833.93","31,572,136.82","150,634,817.20","150,634,817.20","150,634,817.20","150,634,817.20","253,133,334.09","253,133,334.09","253,133,334.09","253,133,334.09","167,580,839.73","167,580,839.73","167,580,839.73","127,580,839.73","369,846,275.71","409,846,275.71","369,846,275.71","329,846,275.71","208,482,828.32"
投资支付的现金,,,,,,,,,,,,,,,,,,"5,000,000.00",,"5,000,000.00","132,658,000.00","5,000,000.00",,,,,,,,,,"57,200,000.00",,"37,150,000.00","80,000,000.00","149,662,500.00","206,599,700.00","524,897,097.43","406,974,266.19"
期末现金及现金等价物余额,"14,956,402.60","11,930,085.91","21,427,884.41","5,519,041.89","214,401,884.79","152,510,179.45","2,814,324.94","119,417,263.41","89,546,596.61","-62,893,434.80","39,977,607.02","24,021,720.59","16,251,395.18","13,917,279.14","8,133,804.60","4,525,313.37","7,100,200.44","31,572,136.82","3,128,182.58","1,619,036.25","234,460,421.92","150,634,817.20","147,268,777.95","62,944,953.75","103,906,633.46","253,133,334.09","172,640,200.85","159,435,922.47","144,694,740.52","127,580,839.73","214,835,660.58","199,410,304.62","152,926,923.40","329,846,275.71","460,192,119.83","345,500,451.80","190,452,186.01","168,482,828.32","377,186,830.10"
