科目,2013年度,2014年度,2015年度,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月
支付的各项税费,"36,644,803.75","33,192,054.78","48,891,124.29","24,689,403.92","39,509,265.81","63,239,777.19","11,194,942.92","22,489,169.93","33,541,248.05","57,136,200.82","7,577,849.30","16,702,247.57"
收到其他与筹资活动有关的现金,"13,337,583.12","417,145.52",,"11,205,307.23","12,095,272.64","2,203,237.00","13,936,701.31","20,230,762.14","8,935,069.58","1,484,715.20","14,949,357.98","21,405,636.55"
支付其他与经营活动有关的现金,"25,421,494.58","41,961,277.95","69,632,403.48","20,772,032.19","49,608,312.13","47,306,497.63","17,415,728.16","35,934,646.68","53,218,157.34","73,872,349.44","22,711,949.42","37,406,588.16"
筹资活动现金流入小计,"83,847,583.12","75,417,145.52","100,000,000.00","127,205,307.23","163,095,272.64","481,433,237.00","13,936,701.31","20,230,762.14","8,935,069.58","1,484,715.20","14,949,357.98","21,405,636.55"
经营活动现金流出小计,"413,973,083.29","473,712,579.04","835,106,071.35","359,346,493.11","522,300,669.16","719,421,777.62","158,766,707.68","314,957,317.06","468,853,940.12","639,497,338.00","179,783,564.33","340,907,997.95"
偿还债务支付的现金,"77,917,906.11","81,500,000.00","84,000,000.00","30,000,000.00","65,000,000.00","176,000,000.00",,"10,000,000.00","30,000,000.00","40,000,000.00",,
经营活动产生的现金流量净额,"27,619,161.25","48,422,208.42","8,193,207.77","-89,711,660.09","-82,297,047.92","19,184,942.00","-3,061,000.64","13,927,756.50","49,604,140.10","169,368,716.29","-81,837,709.93","-89,913,362.51"
分配股利、利润或偿还利息支付的现金,"5,090,030.30","3,750,414.26","4,367,671.20","2,721,692.68","4,482,770.25","6,055,178.17","462,187.51","32,100,965.85","32,414,830.43","33,231,835.43",,"22,706,195.39"
收回投资收到的现金,,,,,,,"99,500,000.00","403,000,000.00","661,640,400.00","1,035,403,725.00","484,131,760.00","1,072,621,700.00"
支付其他与筹资活动有关的现金,"1,386,205.07","22,948,277.79","20,671,495.90","1,248,788.72","2,313,125.59","904,023.69",,"409,920.00","918,068.56","2,531,545.34",,
取得投资收益收到的现金,,,,,,,,"2,068,190.41","4,102,332.05","7,040,552.83","2,793,066.89","4,811,050.77"
筹资活动现金流出小计,"84,394,141.48","108,198,692.05","109,039,167.10","33,970,481.40","71,795,895.84","182,959,201.86","462,187.51","42,510,885.85","63,332,898.99","75,763,380.77",,"22,706,195.39"
处置固定资产、无形资产和其他长期资产收回的现金净额,"12,000.00",287.00,"21,230.00","90,000.00","96,600.00","90,000.00",,"65,967.00","112,067.00","266,351.68","2,583.00","5,816.20"
筹资活动产生的现金流量净额,"-546,558.36","-32,781,546.53","-9,039,167.10","93,234,825.83","91,299,376.80","298,474,035.14","13,474,513.80","-22,280,123.71","-54,397,829.41","-74,278,665.57","14,949,357.98","-1,300,558.84"
处置子公司及其他营业单位收到的现金净额,,,"6,386,660.24","1,000,000.00","1,000,000.00","4,000,000.00",,,"1,000,000.00","4,380,000.00",,
四、汇率变动对现金的影响,"-16,546.07","78,267.09","219,443.00","92,488.75","92,488.75","374,753.95","-35,244.82","-154,261.95","-165,680.88","-271,581.43","-208,678.31","544,393.20"
收到其他与投资活动有关的现金,,,,,,,"343,506.85",,,"25,719,725.00",,
四(2)、其他原因对现金的影响,,,,,,,,,,,,
投资活动现金流入小计,"12,000.00",287.00,"6,407,890.24","1,090,000.00","1,096,600.00","4,090,000.00","99,843,506.85","405,134,157.41","666,854,799.05","1,072,810,354.51","486,927,409.89","1,077,438,566.97"
五、现金及现金等价物净增加额,"18,661,462.53","-29,253,707.75","-8,119,320.49","-4,202,556.06","890,920.30","309,675,929.97","-282,540,745.34","-277,862,369.48","-347,198,978.07","-302,627,077.39","-22,772,896.24","13,903,674.49"
购建固定资产、无形资产和其他长期资产支付的现金,"8,406,594.29","44,972,923.73","13,900,694.40","8,908,210.55","9,300,497.33","12,447,801.12","18,762,520.53","57,942,317.73","80,218,536.93","114,602,181.19","48,295,315.87","58,557,404.33"
期初现金及现金等价物余额,"77,771,210.47","96,432,673.00","67,178,965.25","59,059,644.76","59,059,644.76","59,059,644.76","368,735,574.73","368,735,574.73","368,735,574.73","368,735,574.73","66,108,497.34","66,108,497.34"
投资支付的现金,,,,,,,"348,500,000.00","616,547,580.00","928,875,870.00","1,330,153,720.00","394,307,960.00","914,307,960.00"
期末现金及现金等价物余额,"96,432,673.00","67,178,965.25","59,059,644.76","54,857,088.70","59,950,565.06","368,735,574.73","86,194,829.39","90,873,205.25","21,536,596.66","66,108,497.34","43,335,601.10","80,012,171.83"
