科目,2013年度,2014年度,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月
收回投资收到的现金,,,"60,000.00",,,,,,,
支付其他与筹资活动有关的现金,"159,839.83","393,301.50","593,064.99","529,070.63","5,825,489.41","45,850,489.41","17,052,429.94",,"1,602,343.35","9,242,343.35"
取得投资收益收到的现金,,,,,,,"183,980.70","1,519,308.23","1,999,034.26","2,648,875.36"
筹资活动现金流出小计,"6,516,835.64","17,000,914.26","28,914,268.36","16,326,064.33","32,940,863.91","73,117,423.01","44,473,172.11","152,793.76","23,800,731.30","33,946,047.97"
处置固定资产、无形资产和其他长期资产收回的现金净额,,,,,"1,100.00","1,100.00","1,450.00",,,
筹资活动产生的现金流量净额,"883,164.36","8,999,085.74","-414,268.36","-16,326,064.33","-21,826,304.47","207,697,136.43","209,931,606.43","225,958.24","-23,421,979.30","26,566,824.03"
处置子公司及其他营业单位收到的现金净额,,,,,,,,,,
四、汇率变动对现金的影响,"-32,807.57","-34,626.11","299,746.33","-29,396.02","27,376.04","10,102.72","569,248.72","-24,222.25","47,306.17","31,927.25"
收到其他与投资活动有关的现金,"6,150,000.00","4,803,700.83","1,000,000.00",,,,"31,776,560.00","125,000,000.00","205,000,000.00","273,000,000.00"
四(2)、其他原因对现金的影响,,,,,,,,,,
投资活动现金流入小计,"6,150,000.00","4,803,700.83","1,060,000.00",,"1,100.00","1,100.00","31,961,990.70","126,519,308.23","206,999,034.26","275,648,875.36"
五、现金及现金等价物净增加额,"8,951,699.89","-12,250,331.26","41,952,529.34","-44,176,264.59","-15,041,299.23","99,443,553.78","111,738,169.08","-15,291,995.68","-19,053,909.87","-58,491,199.85"
购建固定资产、无形资产和其他长期资产支付的现金,"3,183,582.26","7,258,302.97","5,302,653.76","1,163,758.29","1,587,203.04","3,006,169.52","6,384,790.70","918,520.54","3,213,466.70","6,599,823.60"
期初现金及现金等价物余额,"36,419,663.58","45,371,363.47","33,121,032.21","75,073,561.55","75,073,561.55","75,073,561.55","75,073,561.55","186,811,730.63","186,811,730.63","186,811,730.63"
投资支付的现金,,,,,,,,"65,000,000.00",,"8,250,000.00"
期末现金及现金等价物余额,"45,371,363.47","33,121,032.21","75,073,561.55","30,897,296.96","60,032,262.32","174,517,115.33","186,811,730.63","171,519,734.95","167,757,820.76","128,320,530.78"
