科目,2011年度,2012年度,2013年度,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月
筹资活动产生的现金流量净额,"9,370,000.00","-1,377,304.75","-6,897,771.60","-6,455,507.50","171,675,007.31","167,576,915.70",,"-5,757,744.47","-6,271,919.11","-6,271,919.11",,"2,494,695.38","2,069,908.17","-1,203,993.50","-4,010,101.67","-9,778,601.37","-10,089,992.37","-10,089,992.37",,"-4,000,000.00"
处置子公司及其他营业单位收到的现金净额,"845,876.09",,,,,,,,,,,,,,,,,,,
四、汇率变动对现金的影响,,,,,,,,,,,,,,,,,,,,
收到其他与投资活动有关的现金,,,,,,,,,,,,,,,,,,,,"3,415,440.37"
四(2)、其他原因对现金的影响,,,,,,,,,,,,,,,,,,,,
投资活动现金流入小计,"939,164.41","9,616.70","105,256,871.48","131,314,473.05","254,611,564.68","295,116,917.36","130,722,020.42","163,879,664.40","253,468,285.01","353,140,143.92","95,839,876.72","211,606,035.63","298,345,471.25","499,806,090.98","66,530,518.72","129,897,300.99","200,629,859.89","403,124,986.61","76,502,986.30","239,336,792.21"
五、现金及现金等价物净增加额,"36,463,418.38","27,866,811.40","-91,990,786.58","-48,320,575.22","162,703,901.05","189,308,503.04","-74,840,716.94","-76,304,461.90","-74,184,124.99","-150,882,595.75","6,447,563.38","75,515,827.16","-35,230,244.97","-22,735,609.68","1,438,698.11","-12,428,949.12","-9,502,239.33","-11,729,662.35","4,451,468.74","-27,309,352.44"
购建固定资产、无形资产和其他长期资产支付的现金,"9,022,679.99","36,886,508.51","703,951.70","99,025.00","155,165.00","159,345.00","18,700.00","5,665,830.00","26,935,129.00","26,515,129.00",,"23,700.00","1,070,871.19","1,356,607.39","177,387.17","317,663.77","370,457.77","490,845.13","68,423.00","476,145.00"
期初现金及现金等价物余额,"94,235,096.01","130,698,514.39","158,565,325.79","66,574,539.21","66,574,539.21","66,574,539.21","275,540,433.81","275,540,433.81","275,540,433.81","278,481,288.21","127,598,692.46","127,598,692.46","127,598,692.46","127,598,692.46","104,863,082.78","104,863,082.78","104,863,082.78","104,863,082.78","93,133,420.43","93,133,420.43"
投资支付的现金,"1,018,132.07",,"203,000,000.00","160,000,000.00","250,000,000.00","344,759,444.60","129,000,000.00","145,000,000.00","215,000,000.00","410,000,000.00","70,415,534.06","144,515,534.06","337,515,534.06","550,840,000.00","42,000,000.00","121,000,000.00","182,000,000.00","404,600,000.00","40,800,000.00","200,300,000.00"
期末现金及现金等价物余额,"130,698,514.39","158,565,325.79","66,574,539.21","18,253,963.99","229,278,440.26","255,883,042.25","200,699,716.87","199,235,971.88","201,356,308.82","127,598,692.46","134,046,255.84","203,114,519.62","92,368,447.49","104,863,082.78","106,301,780.89","92,434,133.66","95,360,843.45","93,133,420.43","97,584,889.17","65,824,067.99"
