科目,2007年度,2008年度,2009年度,2010年1-3月,2010年1-6月,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月,2018年1-9月,2018年度,2019年1-3月
收回投资收到的现金,,,,,,,,,,,,,,,,,,,,,,"30,000,000.00","140,000,000.00","338,000,000.00","449,000,000.00","575,000,000.00","691,000,000.00","110,000,000.00","169,000,000.00","249,000,000.00","367,000,000.00","74,000,000.00","210,000,000.00","347,000,000.00","556,000,000.00","110,000,000.00","220,000,000.00","355,000,000.00","595,000,000.00","123,652,000.00"
支付其他与筹资活动有关的现金,,,,,"16,000,000.00","16,000,000.00","16,000,000.00","4,000,000.00","4,000,000.00","4,000,000.00","4,000,000.00",,,,,,,,,,,"1,718,000.00","1,718,000.00",,"202,230.00","202,230.00","202,230.00",,"17,025,840.00","17,025,840.00","17,025,840.00",,,,,,,,"9,800,000.00","1,971,380.00"
取得投资收益收到的现金,"102,085.60","132,390.30","127,825.00",,"157,082.00","164,037.00","164,037.00","90,000.00","99,152.00","118,918.00","118,918.00","780,012.80","1,675,257.18","1,711,887.38","2,017,678.91","1,176,791.92","4,449,619.92","4,603,010.92","4,704,941.82","224,550.00","192,324.00","355,081.35","1,251,916.97","5,079,971.63","6,783,106.49","9,545,945.96","10,811,174.63","568,065.66","939,968.79","1,579,120.49","2,412,349.66","505,563.11","1,734,686.28","2,834,632.41","4,976,177.65","1,742,299.22","3,933,124.74","2,526,007.82","3,512,375.64","947,828.21"
筹资活动现金流出小计,"373,904,642.32","305,861,371.38","191,818,629.68","2,483,945.00","179,181,491.19","218,749,491.19","218,804,761.19","4,000,000.00","51,481,600.00","51,481,600.00","51,481,600.00","14,609,958.34","76,709,243.69","78,379,413.74","83,089,221.39","61,110,536.35","186,275,838.59","218,348,549.71","247,631,666.37","3,017,880.25","118,323,626.89","272,812,682.45","294,429,412.12","20,084,702.22","132,524,439.78","134,890,923.05","238,801,662.14","113,184,998.49","357,533,171.06","411,260,703.46","563,398,926.10","217,872,166.75","582,740,012.51","734,386,577.75","1,061,684,145.65","163,219,906.21","547,612,853.11","708,840,430.31","904,421,035.91","176,170,906.32"
处置固定资产、无形资产和其他长期资产收回的现金净额,"394,600.00","275,858.51","1,330,424.28","33,700.00","125,836.54","463,393.36","779,841.42","148,890.54","435,345.69","18,262,401.02","18,463,914.49","5,039,282.41","5,463,594.19","17,247,414.40","22,596,108.93","301,775.63","988,322.49","1,272,406.88","1,836,054.63","143,938.00","221,640.03","271,082.26","1,667,803.32","213,501.59","4,233,805.89","4,506,469.13","3,898,000.75","83,288.91","4,462,555.86","8,943,208.04","18,206,603.20","2,040.00","422,469.14","781,957.15","2,260,785.82","78,030.84","592,917.26","1,329,767.74","4,507,766.87","368,669.32"
筹资活动产生的现金流量净额,"13,055,357.68","-51,191,371.38","5,751,370.32","-2,483,945.00","1,040,687,363.65","1,005,049,665.30","1,014,753,118.32","-2,827,788.20","-43,663,941.72","-42,791,691.65","-30,389,039.68","-11,885,684.03","-69,710,367.38","-66,428,798.57","-8,078,941.18","97,668,317.54","39,822,546.93","38,185,750.90","89,362,394.07","46,989,404.31","629,447,748.70","482,014,428.51","498,089,053.52","2,879,999.65","-79,147,170.06","-19,040,916.82","77,327,705.23","26,847,229.02","90,153,372.48","57,472,484.40","261,351,438.75","-27,639,516.76","-162,495,894.91","-314,126,178.12","-496,401,446.86","151,339,887.64","-79,052,365.85","-113,962,642.78","-128,543,248.38","778,353,093.68"
处置子公司及其他营业单位收到的现金净额,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
四、汇率变动对现金的影响,"-10,288.24","-854,687.90","-31,728.50",,"8,109.47","-1,702.16","-8,714.73","76,495.76","139,366.74","226,905.81","291,610.00","-554,340.05","-376,367.64","-609,461.03","-52,684.26","399,194.30","958,936.36","1,180,797.06","1,724,087.79","401,754.10","-532,334.43","-1,003,834.59","-954,158.86","-30,295.65","-225,905.21","491,145.11","1,381,690.79","-164,636.99","989,680.17","936,244.43","1,914,733.83","4,227.68","20,755.12","-1,626,254.25","-1,517,692.77","-1,978,950.16","-600,333.18","-1,826,212.88","-1,460,551.12","-735,866.91"
收到其他与投资活动有关的现金,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
四(2)、其他原因对现金的影响,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
投资活动现金流入小计,"496,685.60","408,248.81","1,458,249.28","33,700.00","282,918.54","627,430.36","943,878.42","238,890.54","534,497.69","18,381,319.02","18,582,832.49","5,819,295.21","7,138,851.37","18,959,301.78","24,613,787.84","1,478,567.55","5,437,942.41","5,875,417.80","6,540,996.45","368,488.00","413,964.03","30,626,163.61","142,919,720.29","343,293,473.22","460,016,912.38","589,052,415.09","705,709,175.38","110,651,354.57","174,402,524.65","259,522,328.53","387,618,952.86","74,507,603.11","212,157,155.42","350,616,589.56","563,236,963.47","111,820,330.06","224,526,042.00","358,855,775.56","603,020,142.51","124,968,497.53"
五、现金及现金等价物净增加额,"13,754,520.34","25,544,814.75","-26,621,772.48","18,113,396.74","1,020,170,950.71","991,307,207.27","899,192,471.14","-49,926,084.86","-78,217,960.18","-101,614,949.42","-201,196,165.19","-72,024,855.06","-93,464,214.11","-199,935,538.03","-250,239,732.05","-16,493,616.67","-33,414,701.68","-144,026,040.07","-148,075,252.79","-92,131,372.63","434,453,645.62","-130,190,426.62","-125,717,340.93","123,007,832.55","54,276,235.74","44,698,968.77","-15,887,675.94","20,312,886.45","58,259,733.41","9,949,131.16","223,103,706.09","-177,121,688.00","-173,455,274.35","-302,312,584.75","-236,275,126.88","34,678,492.83","41,966,871.54","13,183,964.41","172,437,824.48","-69,527,895.45"
购建固定资产、无形资产和其他长期资产支付的现金,"36,325,671.76","86,561,841.91","58,520,622.34","6,508,107.15","23,469,808.87","54,834,294.43","116,463,473.95","33,077,489.19","75,398,424.60","109,497,479.62","194,626,763.42","79,289,264.26","130,589,037.86","295,022,689.95","428,687,819.40","136,235,319.67","191,928,117.24","308,233,891.19","450,827,704.88","174,982,183.82","273,951,439.53","409,750,293.40","566,218,902.31","141,893,668.88","199,694,113.08","315,571,372.00","466,882,620.49","149,105,556.87","203,109,265.43","247,022,750.78","290,958,875.74","66,615,735.76","118,834,348.21","165,721,558.48","234,662,677.99","81,993,708.29","119,192,045.89","197,173,382.29","333,144,965.11","118,034,162.94"
期初现金及现金等价物余额,"3,894,136.84","17,648,657.18","43,193,471.93","16,571,699.45","16,571,699.45","16,571,699.45","16,571,699.45","915,764,170.59","915,764,170.59","915,764,170.59","915,764,170.59","714,568,005.40","714,568,005.40","714,568,005.40","714,568,005.40","464,328,273.35","464,328,273.35","464,328,273.35","464,328,273.35","316,253,020.56","316,253,020.56","316,253,020.56","316,253,020.56","190,535,679.63","190,535,679.63","190,535,679.63","190,535,679.63","174,648,003.69","174,648,003.69","174,648,003.69","174,648,003.69","397,751,709.78","397,751,709.78","397,751,709.78","397,751,709.78","161,476,582.90","161,476,582.90","161,476,582.90","161,476,582.90","333,914,407.38"
投资支付的现金,,,"400,000.00",,,,,,,,,,,,,,,,,,,"370,000,000.00","425,000,000.00","234,000,000.00","290,000,000.00","406,000,000.00","516,000,000.00","59,000,000.00","139,000,000.00","244,000,000.00","331,000,000.00","136,000,000.00","293,000,000.00","522,000,000.00","582,000,000.00","121,008,000.00","196,008,000.00","416,008,000.00","576,008,000.00","918,652,000.00"
期末现金及现金等价物余额,"17,648,657.18","43,193,471.93","16,571,699.45","34,685,096.19","1,036,742,650.16","1,007,878,906.72","915,764,170.59","865,838,085.73","837,546,210.41","814,149,221.17","714,568,005.40","642,543,150.34","621,103,791.29","514,632,467.37","464,328,273.35","447,834,656.68","430,913,571.67","320,302,233.28","316,253,020.56","224,121,647.93","750,706,666.18","186,062,593.94","190,535,679.63","313,543,512.18","244,811,915.37","235,234,648.40","174,648,003.69","194,960,890.14","232,907,737.10","184,597,134.85","397,751,709.78","220,630,021.78","224,296,435.43","95,439,125.03","161,476,582.90","196,155,075.73","203,443,454.44","174,660,547.31","333,914,407.38","264,386,511.93"
