科目,2007-03-31,2007-06-30,2007-09-30,2007-12-31,2008-03-31,2008-06-30,2008-09-30,2008-12-31,2009-03-31,2009-06-30,2009-09-30,2009-12-31,2010-03-31,2010-06-30,2010-09-30,2010-12-31,2011-03-31,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31
其中:消耗性生物资产,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应付关联公司款,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
一年内到期的非流动资产,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
一年内到期的非流动负债,,,,"50,092,250.00","50,092,250.00",,,,,,,,,,,,,,,,,,,,,,,"8,616,653.94","7,645,220.06","6,978,040.00","216,831,190.00","79,815,606.67","79,426,006.67","77,762,766.67","265,350,006.67","264,553,856.67","264,160,106.67","24,159,826.67","24,159,826.67","18,986,440.00","18,986,440.00","407,418,306.17","407,854,783.97","395,031,261.77","395,467,739.57"
其他流动资产,,,,,,,,,,,,,,,,,,,,,,,,,,,,"150,000,000.00","30,000,000.00",,,,,,,,,,,,,,,"38,414,456.02","52,200,858.18"
其他流动负债,,,,"430,000.00","430,000.00","430,000.00","430,000.00",,,,,"300,000.00","300,000.00","300,000.00","300,000.00","300,000.00","300,000.00","300,000.00","300,000.00","600,000.00","600,000.00","600,000.00","720,000.00","720,000.00","720,000.00","720,000.00","720,000.00",,,,,,,,,,,,,,,,,"41,465,521.97","33,533,067.50"
流动资产合计,"798,548,990.02","728,782,167.89","782,227,557.03","914,167,084.73","1,002,602,734.71","836,850,733.33","928,905,076.16","898,807,533.99","938,017,708.17","851,352,172.54","926,867,283.45","931,173,128.45","947,397,084.75","949,212,841.22","935,717,576.68","790,128,615.24","806,388,536.87","796,861,076.21","773,592,681.18","686,020,777.80","789,127,762.46","755,030,392.78","747,973,839.57","796,946,291.94","637,011,172.30","678,560,628.21","687,945,226.05","1,240,229,137.04","1,220,126,103.44","1,351,791,578.88","1,362,993,738.24","2,187,724,200.84","1,929,369,226.53","2,285,661,748.51","2,393,935,134.48","2,412,192,476.52","2,319,464,301.79","2,305,851,048.06","2,769,004,516.76","2,458,193,933.19","2,471,605,324.54","2,810,592,302.85","3,113,618,483.99","3,185,802,092.87","3,231,174,636.68"
流动负债合计,"157,851,526.22","281,838,465.36","321,423,362.22","468,023,304.18","554,652,686.97","397,975,803.53","474,535,401.56","412,129,055.28","453,437,467.63","418,875,561.26","487,081,844.46","449,827,791.50","476,637,246.56","488,134,074.05","462,491,803.95","316,845,431.51","329,877,791.89","316,243,940.34","282,865,706.61","217,930,609.70","332,260,432.34","292,079,354.22","261,276,183.79","295,807,430.97","251,306,293.35","327,515,684.34","262,476,760.53","501,359,057.63","482,038,753.97","527,927,476.17","865,481,969.47","1,560,692,682.51","1,281,726,202.14","1,285,042,735.88","1,562,597,131.14","1,565,430,885.29","1,455,348,813.16","1,363,076,165.67","1,722,020,030.77","1,697,981,543.35","1,604,405,311.04","2,309,236,088.46","2,497,734,392.75","2,672,494,133.18","2,830,654,991.68"
可供出售金融资产,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,650,000.00","1,650,000.00","1,650,000.00","7,373,000.00","7,373,000.00","7,373,000.00","7,373,000.00","1,650,000.00","1,650,000.00","1,650,000.00","1,650,000.00","1,650,000.00","1,650,000.00","1,650,000.00","1,650,000.00"
长期借款,"201,273,000.00","51,354,572.50","51,792,032.50",,,,,,,,,,,,,,,,,,,,,,,,"50,000,000.00","234,000,000.00","221,000,000.00","450,000,000.00","240,000,000.00","340,000,000.00","340,000,000.00","312,000,000.00","58,000,000.00","8,500,000.00",,,,,"60,000,000.00","60,000,000.00","151,590,000.00","166,935,000.00","60,000,000.00"
