科目,2010年度,2011年度,2012年1-9月,2012年度,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度
支付给职工以及为职工支付的现金,"29,723,837.28","50,437,181.98","64,011,287.91","94,397,186.34","61,637,392.40","96,105,388.60","132,036,529.77","36,648,519.22","78,577,880.92","118,819,847.15","161,780,113.17","44,003,252.11","105,228,411.27","163,361,626.06","228,964,757.24","66,231,373.47","159,196,612.85","250,385,241.97","344,719,758.25","98,097,497.38","209,060,797.46","321,650,895.18","439,898,164.99"
取得借款收到的现金,,,,,,,,,,,,,,,,,,"40,000,000.00","49,980,000.00",,"40,000,000.00","40,000,000.00","40,000,000.00"
支付的各项税费,"5,473,589.54","10,884,057.81","9,265,958.26","12,143,655.96","7,779,694.80","10,868,444.77","13,223,642.70","4,561,159.63","4,445,219.51","4,725,475.63","7,677,366.83","2,395,277.90","4,811,461.74","7,693,501.55","11,759,539.96","6,505,295.03","8,095,560.37","13,670,234.84","23,063,626.78","3,796,678.91","8,515,835.03","15,267,813.85","25,301,600.55"
收到其他与筹资活动有关的现金,,,,,,,,,,,,,,,,,,,,,,,
支付其他与经营活动有关的现金,"19,069,459.29","20,853,127.33","17,702,007.87","21,668,538.04","10,473,424.45","18,471,873.21","24,095,475.29","7,710,949.15","15,388,843.72","24,541,139.24","31,898,904.99","8,841,670.30","20,809,476.49","34,330,674.46","47,081,916.10","14,339,927.46","23,838,169.44","31,301,505.77","47,083,867.88","19,711,161.53","26,125,099.79","35,305,610.42","64,704,057.97"
筹资活动现金流入小计,,"58,918,927.00",,,,,,"180,618,000.00","180,618,000.00","180,618,000.00","180,618,000.00",,,,"16,664,900.00","4,900,000.00","6,370,000.00","50,755,424.00","57,918,000.00",,"42,450,000.00","42,450,000.00","43,940,000.00"
经营活动现金流出小计,"72,028,231.14","96,061,272.46","96,334,909.93","133,891,636.23","97,391,625.44","144,652,423.74","190,545,250.92","50,560,628.00","102,225,689.15","157,882,319.02","214,209,055.82","70,804,349.60","146,963,151.05","227,271,141.02","312,104,241.70","89,431,331.96","213,197,346.95","329,831,022.53","436,761,337.01","126,712,101.66","259,293,270.76","399,264,735.40","541,681,462.54"
偿还债务支付的现金,"14,000,000.00",,,,,,,,,,,,,,,,,,,"20,000,000.00","49,980,000.00","49,980,000.00","69,980,000.00"
经营活动产生的现金流量净额,"9,735,093.46","34,733,834.51","-5,660,950.34","22,250,824.69","-20,974,590.05","-24,642,214.53","28,624,048.34","-26,534,510.33","-34,964,269.66","-27,096,732.28","38,246,554.08","-36,044,577.98","-54,599,337.95","-49,722,101.89","26,631,420.02","-55,318,229.70","-113,601,772.92","-145,769,678.57","-9,608,462.96","-82,053,779.07","-124,701,069.67","-156,454,309.07","13,439,720.22"
分配股利、利润或偿还利息支付的现金,"1,338,071.29","25,329,871.39","12,000,000.00","12,000,000.00","948,540.03","13,200,000.00","13,200,000.00",,"7,164,819.08","13,161,273.28","13,744,000.00",,"13,744,000.00","13,744,000.00","13,744,000.00",,"8,791,071.06","13,744,000.00","14,545,945.36","402,157.50","570,060.24","1,024,430.51","1,663,383.57"
收回投资收到的现金,"45,297.23",,,,,,,,,,,,,,,,,,,,,,"10,000,000.00"
支付其他与筹资活动有关的现金,,"694,401.00","1,425,893.35","1,474,168.50",,"351,199.00","351,199.00",,"2,332,000.00","5,309,000.00","9,124,386.21",,,,,,,,,,,,
取得投资收益收到的现金,,,,,,,,,,,,,"790,600.00","1,190,600.00","1,690,021.90",,,,,,"10,846.57","314,134.25","663,356.76"
筹资活动现金流出小计,"15,338,071.29","26,024,272.39","13,425,893.35","13,474,168.50","948,540.03","13,551,199.00","13,551,199.00",,"9,496,819.08","18,470,273.28","22,868,386.21",,"13,744,000.00","13,744,000.00","13,744,000.00",,"8,791,071.06","13,744,000.00","14,545,945.36","20,402,157.50","50,550,060.24","51,004,430.51","71,643,383.57"
处置固定资产、无形资产和其他长期资产收回的现金净额,,,,,,,,,,,"29,300.00",,"14,200.00","14,900.00","21,550.00",,"35,330.00","75,930.00","86,570.00",,,,"16,100.00"
筹资活动产生的现金流量净额,"-15,338,071.29","32,894,654.61","-13,425,893.35","-13,474,168.50","-948,540.03","-13,551,199.00","-13,551,199.00","180,618,000.00","171,121,180.92","162,147,726.72","157,749,613.79",,"-13,744,000.00","-13,744,000.00","2,920,900.00","4,900,000.00","-2,421,071.06","37,011,424.00","43,372,054.64","-20,402,157.50","-8,100,060.24","-8,554,430.51","-27,703,383.57"
处置子公司及其他营业单位收到的现金净额,"473,000.61",,,,,,,,,,,,,,,,,,,,,,
四、汇率变动对现金的影响,,,,,,,,,,,,,,,,,,,,,,,
收到其他与投资活动有关的现金,,"15,602,990.73",,,,,,,,,,,,,,,,,,,,,
四(2)、其他原因对现金的影响,,,,,,,,,,,,,,,,,,,,,,,
投资活动现金流入小计,"518,297.84","15,602,990.73",,,,,,,,,"29,300.00",,"804,800.00","1,205,500.00","1,711,571.90",,"35,330.00","75,930.00","86,570.00",,"10,846.57","314,134.25","10,679,456.76"
五、现金及现金等价物净增加额,"-11,465,964.39","82,446,198.58","-21,518,697.20","5,323,908.01","-23,233,609.24","-39,876,474.61","11,960,516.42","144,036,422.00","125,554,482.59","123,378,910.64","166,751,448.25","-43,995,336.49","-78,666,355.87","-82,850,545.15","5,524,272.45","-79,925,213.70","-154,101,247.80","-159,147,667.17","-18,679,610.06","-105,464,694.57","-161,276,259.34","-193,880,081.33","-34,852,117.70"
购建固定资产、无形资产和其他长期资产支付的现金,"1,301,536.83","785,281.27","2,431,853.51","3,452,748.18","1,310,479.16","1,683,061.08","3,112,332.92","10,047,067.67","10,602,428.67","11,672,083.80","14,808,853.89","1,950,758.51","5,127,817.92","6,684,943.26","10,159,008.47","1,191,984.00","3,981,733.82","6,037,820.16","7,918,673.30","1,179,014.00","1,656,232.00","2,281,132.00","3,163,567.11"
期初现金及现金等价物余额,"27,023,600.14","15,557,635.75","98,003,834.33","98,003,834.33","103,327,742.34","103,327,742.34","103,327,742.34","115,288,258.76","115,288,258.76","115,288,258.76","115,288,258.76","282,039,707.01","282,039,707.01","282,039,706.95","282,039,707.01","287,563,979.46","291,377,979.46","291,377,979.46","287,563,979.46","268,884,369.40","268,884,369.40","268,884,369.40","268,884,369.40"
投资支付的现金,"340,000.00",,,,,,,,,,"9,960,000.00","6,000,000.00","6,000,000.00","13,905,000.00","15,580,611.00","28,315,000.00","34,132,000.00","45,684,320.00","43,687,000.00","1,829,744.00","26,829,744.00","26,904,344.00","28,104,344.00"
期末现金及现金等价物余额,"15,557,635.75","98,003,834.33","76,485,137.13","103,327,742.34","80,094,133.10","63,451,267.73","115,288,258.76","259,324,680.76","240,842,741.35","238,667,169.40","282,039,707.01","238,044,370.52","203,373,351.14","199,189,161.80","287,563,979.46","207,638,765.76","137,276,731.66","132,230,312.29","268,884,369.40","163,419,674.83","107,608,110.06","75,004,288.07","234,032,251.70"
