科目,2011年度,2012年度,2013年1-9月,2013年度,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月,2018年1-6月,2018年1-9月,2018年度,2019年1-3月
支付给职工以及为职工支付的现金,"543,439,335.00","776,758,973.00","740,384,689.00","962,441,640.00","579,432,672.00","767,335,947.00","1,009,830,147.00","373,308,800.00","696,004,977.00","897,952,988.00","1,210,949,190.00","459,241,705.00","842,449,371.00","1,163,501,306.00","1,570,280,380.00","572,893,000.00","993,372,368.00","1,470,565,644.00","2,094,037,705.00","737,669,844.00","1,279,898,579.00","1,856,991,778.00","2,482,554,937.00","810,419,569.00"
取得借款收到的现金,"1,057,816,691.00","2,012,436,487.00","545,921,332.00","857,048,787.00","2,366,795,028.00","3,118,949,979.00","3,701,130,266.00","735,439,800.00","2,698,576,118.00","3,408,653,788.00","5,473,238,490.00","1,199,666,652.00","2,480,165,011.00","3,447,964,131.00","6,302,599,731.00","917,429,376.00","2,212,276,392.00","2,532,271,779.00","3,186,304,639.00","935,266,566.00","959,219,399.00","2,196,341,429.00","3,233,435,547.00","1,471,607,115.00"
支付的各项税费,"864,521,355.00","1,093,556,447.00","798,826,111.00","1,010,547,515.00","702,616,925.00","1,062,848,619.00","1,409,863,002.00","415,358,100.00","773,994,570.00","1,666,657,998.00","2,017,783,652.00","602,558,889.00","1,400,983,579.00","2,201,408,887.00","2,852,177,839.00","657,579,322.00","1,820,241,004.00","2,225,751,995.00","2,703,249,956.00","593,026,512.00","1,366,054,108.00","2,117,765,652.00","1,855,108,677.00","462,521,966.00"
收到其他与筹资活动有关的现金,"217,687,019.00","229,707,486.00",,,"94,097,791.00","189,017,952.00","189,017,952.00",,"463,644,321.00","610,074,403.00","696,823,555.00",,"1,544,881,788.00","1,968,412,061.00","2,404,197,271.00","304,852,617.00","608,609,826.00","757,183,100.00","757,183,100.00",,,,,"207,787,285.00"
支付其他与经营活动有关的现金,"79,314,184.00","123,668,265.00","94,693,850.00","120,151,410.00","64,858,821.00","101,558,741.00","143,499,584.00","37,999,100.00","67,012,775.00","129,726,472.00","179,448,772.00","49,957,401.00","111,885,004.00","275,861,819.00","278,239,723.00","81,566,308.00","203,961,727.00","362,985,976.00","333,168,573.00","68,666,518.00","170,267,564.00","246,667,890.00","321,811,249.00","52,706,291.00"
筹资活动现金流入小计,"1,275,503,710.00","2,242,143,973.00","545,921,332.00","857,048,787.00","2,460,892,819.00","3,307,967,931.00","3,890,148,218.00","2,506,064,800.00","4,916,850,639.00","5,773,358,391.00","7,924,692,245.00","1,199,666,652.00","6,313,546,799.00","7,704,876,192.00","11,006,013,545.00","1,222,281,993.00","2,820,886,218.00","3,289,454,879.00","3,943,487,739.00","4,394,699,064.00","4,418,651,897.00","5,655,773,927.00","6,690,433,996.00","1,679,394,400.00"
经营活动现金流出小计,"4,768,505,021.00","6,293,144,489.00","5,201,444,809.00","6,987,497,050.00","4,263,643,247.00","6,276,001,420.00","8,230,116,959.00","2,033,928,800.00","4,075,268,915.00","6,541,781,145.00","8,703,046,210.00","2,354,012,803.00","5,041,956,958.00","7,407,316,807.00","10,413,264,295.00","2,959,304,354.00","6,645,382,157.00","9,852,267,326.00","12,483,231,936.00","3,585,434,162.00","7,153,984,468.00","11,148,367,197.00","14,371,557,915.00","3,703,581,027.00"
偿还债务支付的现金,"708,525,797.00","865,757,866.00","1,216,596,102.00","1,400,608,199.00","708,891,419.00","943,054,082.00","1,332,029,155.00","1,479,607,900.00","2,854,924,201.00","3,227,678,335.00","4,878,201,343.00","608,473,417.00","1,663,585,554.00","2,542,999,535.00","5,680,089,864.00","1,357,132,693.00","2,255,468,168.00","2,698,641,277.00","3,423,453,368.00","664,726,432.00","1,570,088,727.00","2,247,076,007.00","3,059,620,921.00","1,034,326,740.00"
经营活动产生的现金流量净额,"697,856,696.00","884,014,136.00","1,235,016,522.00","1,536,379,642.00","-74,709,475.00","659,836,280.00","1,076,380,614.00","143,752,800.00","641,692,741.00","1,478,603,871.00","1,610,295,679.00","73,357,843.00","448,006,972.00","1,720,705,928.00","2,039,738,341.00","-15,381,285.00","727,828,557.00","1,773,570,552.00","2,301,692,351.00","546,026,903.00","1,442,024,786.00","2,543,556,962.00","2,895,794,003.00","613,235,577.00"
分配股利、利润或偿还利息支付的现金,"92,097,824.00","131,939,198.00","126,806,962.00","216,363,703.00","146,507,904.00","204,227,430.00","73,892,626.00","60,468,700.00","203,298,281.00","242,631,760.00","302,705,196.00","47,715,033.00","271,132,224.00","303,573,391.00","519,431,303.00","75,011,803.00","358,745,824.00","377,417,972.00","429,454,508.00","62,352,412.00","357,783,453.00","425,820,809.00","450,903,022.00","81,295,973.00"
收回投资收到的现金,,,,,,,,,,,,,,,,,,,,,,"18,750.00","18,750.00",
支付其他与筹资活动有关的现金,"54,277,267.00","54,265,585.00","40,706,691.00","54,275,585.00","33,038,891.00","52,488,308.00","240,667,985.00","25,387,500.00","150,886,827.00","172,362,577.00","308,865,603.00","28,181,155.00","237,732,046.00","451,907,357.00","311,491,994.00","11,658,984.00","18,026,726.00","27,040,089.00","36,053,452.00","9,013,364.00","18,026,726.00","24,744,153.00","31,493,349.00","6,717,426.00"
取得投资收益收到的现金,,,,,,,,,,,"1,846,003.00",,,"1,881,298.00","1,881,298.00",,,"2,056,318.00","2,056,319.00",,,,"2,203,400.00",
筹资活动现金流出小计,"854,900,888.00","1,051,962,649.00","1,384,109,755.00","1,671,247,487.00","888,438,214.00","1,199,769,820.00","1,646,589,766.00","1,565,464,100.00","3,209,109,309.00","3,642,672,672.00","5,489,772,142.00","684,369,605.00","2,172,449,824.00","3,298,480,283.00","6,511,013,161.00","1,443,803,480.00","2,632,240,718.00","3,103,099,338.00","3,888,961,328.00","736,092,208.00","1,945,898,906.00","2,697,640,969.00","3,542,017,292.00","1,122,340,139.00"
处置固定资产、无形资产和其他长期资产收回的现金净额,"10,580,017.00","3,868,645.00","233,569.00","10,420,481.00","3,768,766.00","7,924,844.00","12,882,865.00","2,100.00","1,548,010.00","747,936,400.00","1,288,570,302.00","132,391,051.00","357,566,176.00","502,572,883.00","508,329,196.00","8,386,674.00","19,335,768.00","31,833,892.00","32,815,798.00","6,867,164.00","6,630,411.00","19,485,631.00","11,056,061.00","413,700.00"
筹资活动产生的现金流量净额,"420,602,822.00","1,190,181,324.00","-838,188,423.00","-814,198,700.00","1,572,454,605.00","2,108,198,111.00","2,243,558,452.00","940,600,700.00","1,707,741,330.00","2,130,685,719.00","2,434,920,103.00","515,297,047.00","4,141,096,975.00","4,406,395,909.00","4,495,000,384.00","-221,521,487.00","188,645,500.00","186,355,541.00","54,526,411.00","3,658,606,856.00","2,472,752,991.00","2,958,132,958.00","3,148,416,704.00","557,054,261.00"
处置子公司及其他营业单位收到的现金净额,,,,,,,,,,,,,,,,,,,,,,,,
四、汇率变动对现金的影响,"-120,598.00","-63,190.00","-3,326,723.00","-5,310,071.00","4,030,392.00","6,131,326.00","2,427,702.00","3,972,600.00","-893,106.00","51,179,253.00","93,535,280.00","-12,761,458.00","88,576,738.00","89,561,195.00","160,627,520.00","11,189,520.00","-22,431,598.00","-55,285,462.00","-95,722,176.00","-29,455,685.00","13,096,989.00","55,169,578.00","50,238,376.00","-21,019,718.00"
收到其他与投资活动有关的现金,"7,346,966.00","15,043,049.00","18,199,481.00","70,558,779.00","13,653,424.00","230,644,324.00","501,965,500.00","13,326,800.00","27,681,400.00","38,286,597.00","318,046,671.00","72,001,147.00","249,093,605.00","587,339,837.00","369,423,342.00","928,543,103.00","1,551,376,135.00","2,859,680,600.00","1,202,501,832.00","1,381,157,619.00","1,438,727,823.00","1,494,166,263.00","1,551,793,117.00","1,982,893,795.00"
四(2)、其他原因对现金的影响,,,,,,,,,,,,,,,,,,,,,,,,
投资活动现金流入小计,"17,926,983.00","18,911,694.00","18,433,050.00","80,979,260.00","17,422,190.00","238,569,168.00","514,848,365.00","13,328,900.00","29,229,410.00","786,222,997.00","1,608,462,976.00","204,392,198.00","606,659,781.00","1,091,794,018.00","879,633,836.00","936,929,777.00","1,570,711,903.00","2,893,570,810.00","1,237,373,949.00","1,388,024,783.00","1,445,358,234.00","1,513,670,644.00","1,565,071,328.00","1,983,307,495.00"
五、现金及现金等价物净增加额,"415,460,016.00","888,994,274.00","-73,248,420.00","-115,293,532.00","-61,554,322.00","757,076,982.00","918,209,392.00","460,152,300.00","84,172,674.00","989,730,683.00","746,190,380.00","-68,772,214.00","1,997,066,156.00","2,633,564,185.00","1,603,599,876.00","-13,454,369.00","-415,964,558.00","-1,055,969,158.00","-469,647,384.00","967,801,071.00","717,463,320.00","891,527,455.00","581,309,413.00","794,568,537.00"
购建固定资产、无形资产和其他长期资产支付的现金,"697,520,306.00","1,140,323,710.00","471,649,973.00","723,878,918.00","1,359,565,472.00","1,891,144,490.00","2,458,565,555.00","638,254,400.00","2,093,769,492.00","3,255,693,204.00","4,476,981,449.00","795,333,109.00","2,858,466,136.00","4,137,180,338.00","4,829,288,502.00","721,022,409.00","1,461,167,768.00","2,140,092,768.00","2,553,503,064.00","1,198,505,841.00","1,297,231,468.00","2,144,417,465.00","3,171,227,097.00","811,820,168.00"
期初现金及现金等价物余额,"220,704,218.00","636,164,234.00","1,525,158,508.00","1,525,158,508.00","1,409,864,976.00","1,409,864,976.00","1,409,864,976.00","2,328,074,400.00","2,328,074,368.00","2,328,074,368.00","2,328,074,368.00","3,074,264,748.00","3,074,264,748.00","3,074,264,748.00","3,074,264,748.00","4,677,864,624.00","4,677,864,624.00","4,677,864,622.00","4,677,864,624.00","4,208,217,240.00","4,208,217,240.00","4,208,217,240.00","4,208,217,240.00","4,789,526,653.00"
投资支付的现金,,"40,100,445.00","882,000.00","89,264,745.00",,,"93,488,400.00",,,,"104,214,000.00","53,000,000.00","53,000,000.00","56,000,000.00","56,000,000.00",,,,"12,941,176.00",,"3,000,000.00","862,199,997.00","862,199,997.00",
期末现金及现金等价物余额,"636,164,234.00","1,525,158,508.00","1,451,910,088.00","1,409,864,976.00","1,348,310,654.00","2,166,941,958.00","2,328,074,368.00","2,788,226,700.00","2,412,247,042.00","3,317,805,051.00","3,074,264,748.00","3,005,492,534.00","5,071,330,904.00","5,707,828,933.00","4,677,864,624.00","4,664,410,255.00","4,261,900,066.00","3,621,895,464.00","4,208,217,240.00","5,176,018,311.00","4,925,680,560.00","5,099,744,695.00","4,789,526,653.00","5,584,095,190.00"
