科目,2007年度,2008年度,2009年1-3月,2009年度,2010年1-3月,2010年1-6月,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年1-9月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度
支付给职工以及为职工支付的现金,"8,203,623.12","9,909,073.89","2,851,109.91","10,960,245.74","2,799,831.78","5,464,476.63","8,885,857.84","12,591,277.45","2,991,329.21","5,842,527.51","9,307,237.74","13,944,861.25","5,358,603.20","12,191,184.11","16,851,814.06","28,349,035.65","6,442,571.05","13,919,990.05","19,937,207.83","38,072,410.12","8,498,479.73","24,825,643.20","35,478,125.85","53,426,383.60","18,053,514.09","40,399,260.21","63,789,702.24","89,555,873.18","26,591,798.48","50,519,534.33","75,134,816.68","112,641,010.87","22,809,410.02","51,392,661.89","75,695,443.39","119,498,184.90"
取得借款收到的现金,"42,700,000.00","50,000,000.00","31,000,000.00","88,640,000.00","27,500,000.00","42,500,000.00","42,500,000.00","42,500,000.00",,,"200,000,000.00","260,000,000.00","20,000,000.00","62,000,000.00","448,000,000.00","488,000,000.00","10,000,000.00","90,000,000.00","190,000,000.00","284,000,000.00","126,000,000.00","306,000,000.00","306,000,000.00","306,000,000.00",,"150,000,000.00","250,000,000.00","600,000,000.00","50,000,000.00","300,000,000.00","300,000,000.00","618,000,000.00","360,000,000.00","820,000,000.00","1,190,000,000.00","1,500,000,000.00"
支付的各项税费,"20,462,450.83","29,995,999.52","8,163,798.36","34,619,180.56","9,845,782.18","17,284,331.05","25,444,098.22","36,020,701.34","10,652,660.57","19,308,473.93","38,434,799.98","49,928,819.72","11,260,443.14","22,625,202.07","36,722,771.74","56,003,378.70","12,341,544.83","32,688,812.33","50,136,387.63","76,117,888.71","12,898,177.92","47,061,228.41","66,090,977.43","92,443,721.43","17,598,771.43","54,118,696.24","85,068,228.51","114,701,821.38","30,673,149.89","100,247,377.31","185,838,270.96","195,705,882.33","43,077,091.48","115,997,720.38","176,296,776.16","209,569,056.20"
收到其他与筹资活动有关的现金,,,,,,,,,,,,,,,,,,,,"27,600,000.00",,,,,,,,,,,,"39,049,575.00","9,758,902.00","9,758,902.00","16,167,597.88","16,617,689.25"
支付其他与经营活动有关的现金,"26,200,240.96","32,279,269.03","3,311,338.96","19,847,071.79","4,835,025.09","9,388,282.09","17,981,536.11","35,443,509.95","19,640,217.83","27,467,774.62","58,057,325.48","53,837,592.84","20,698,457.61","24,402,997.72","40,819,363.02","58,001,472.30","20,276,714.79","38,432,439.45","68,479,234.03","106,486,687.10","20,881,232.69","44,503,381.10","84,881,591.39","151,442,153.26","66,479,277.00","123,328,266.73","226,304,800.30","296,970,731.27","133,853,844.66","174,893,680.65","274,204,041.06","419,549,651.27","98,798,648.19","179,579,136.29","279,160,966.66","341,893,839.04"
筹资活动现金流入小计,"83,700,000.00","50,000,000.00","31,000,000.00","88,640,000.00","27,500,000.00","748,725,000.00","748,725,000.00","748,725,000.00",,,"200,000,000.00","260,000,000.00","20,000,000.00","62,000,000.00","448,000,000.00","1,259,450,000.00","10,000,000.00","90,000,000.00","190,000,000.00","311,600,000.00","126,000,000.00","306,000,000.00","1,871,992,000.00","1,871,992,000.00","34,218,620.00","184,218,620.00","344,218,620.00","1,188,217,952.00","950,745,990.00","1,200,745,990.01","1,200,745,990.01","1,554,892,075.00","369,758,902.00","830,328,162.07","1,206,736,857.95","1,522,617,689.25"
经营活动现金流出小计,"189,907,980.74","258,929,015.15","73,709,332.00","278,869,666.90","80,608,163.07","144,231,255.56","238,630,381.68","373,386,138.51","127,874,172.54","303,212,222.33","494,034,243.88","523,204,971.64","71,795,270.60","172,784,902.96","310,893,110.15","500,389,102.32","168,564,099.35","365,809,947.82","703,150,295.79","1,011,811,260.91","211,935,958.46","586,111,455.34","1,004,597,905.35","1,559,666,343.57","471,506,876.83","1,201,504,591.01","2,223,714,584.54","3,944,175,297.22","812,016,291.97","1,747,856,831.02","2,870,762,688.30","3,472,526,999.78","865,526,454.81","1,792,940,481.26","2,545,839,447.30","3,192,538,117.26"
偿还债务支付的现金,"16,780,586.62","42,700,000.00","15,000,000.00","63,190,000.00","8,105,000.00","31,960,000.00","115,450,000.00","115,450,000.00",,,,,"19,566,368.71","54,470,442.49","363,287,752.05","623,830,000.00","615,249.13","1,320,000.00","25,820,000.00","70,580,000.00","84,500,000.00","199,000,000.00","463,500,000.00","471,058,000.00","4,500,000.00","149,000,000.00","203,500,000.00","208,000,000.00","325,000,000.00","525,000,000.00","525,000,000.00","655,000,000.00","130,000,000.00","330,000,000.00","330,000,000.00","538,000,000.00"
经营活动产生的现金流量净额,"11,903,781.34","21,506,234.61","-22,801,524.13","47,165,138.55","-32,565,866.12","-13,429,695.94","-12,584,938.23","-36,439,671.59","-68,207,811.27","-111,724,386.47","-155,283,291.71","-111,887,183.31","31,220,600.32","48,961,376.66","54,783,418.25","61,147,482.25","-22,002,842.55","-46,543,731.61","-138,319,906.52","-141,975,730.72","-18,191,191.96","-79,975,276.62","-69,087,027.78","-270,648,264.98","-114,261,784.08","-256,899,814.24","-387,040,301.83","-1,271,221,783.38","-142,369,866.20","-265,415,901.21","-368,402,120.84","-116,510,999.90","65,555,610.57","35,489,775.69","76,609,484.73","76,955,181.76"
分配股利、利润或偿还利息支付的现金,"909,082.15","2,267,426.40","907,169.25","3,525,767.15","937,244.43","2,023,224.87","2,666,288.94","2,720,273.94",,,"18,851,118.80","53,470,604.45","4,671,511.91","9,451,776.09","14,990,682.69","21,125,467.32","7,259,200.05","13,209,669.89","17,988,167.40","23,621,450.64","5,723,072.49","23,802,298.57","30,175,150.08","40,806,515.14","4,807,994.97","19,451,271.45","22,215,784.27","27,112,797.43","12,438,050.59","26,296,796.41","37,802,372.27","42,895,516.41","51,555,250.02","84,423,594.33","97,909,733.24","115,387,241.50"
收回投资收到的现金,,,,,,,,,,,,,,,,,,,,,,,,"477,000,000.00","271,000,000.00","271,000,000.00","271,000,000.00","271,000,000.00",,,,,,,,
支付其他与筹资活动有关的现金,,,,"15,000.00",,"9,760,107.00","18,489,222.22","6,572,008.04","1,000,000.00","1,000,000.00","1,075,000.00","1,075,200.50",,,,"1,579,000.00","2,434,405.00","2,434,405.00","2,434,405.00",,,,,"2,807,360.00",,,,"930,000.00",,"13,001,885.40","13,001,885.40","45,431,334.46",,"11,422,447.25","11,210,248.20","11,210,248.20"
取得投资收益收到的现金,,,,,,,,,,,,,"5,618.80","5,618.80","11,237.60","11,237.60",,,,"5,618.80",,,,"3,987,368.11","2,753,112.70","2,753,112.70","2,758,731.50","2,758,731.50",,,"5,618.80","5,618.80",,,,"5,618.80"
筹资活动现金流出小计,"17,689,668.77","44,967,426.40","15,907,169.25","66,730,767.15","9,042,244.43","43,743,331.87","136,605,511.16","124,742,281.98","1,000,000.00","1,000,000.00","19,926,118.80","54,545,804.95","24,237,880.62","63,922,218.58","378,278,434.74","646,534,467.32","10,308,854.18","16,964,074.89","46,242,572.40","94,201,450.64","90,223,072.49","222,802,298.57","493,675,150.08","514,671,875.14","9,307,994.97","168,451,271.45","225,715,784.27","236,042,797.43","337,438,050.59","564,298,681.81","575,804,257.67","743,326,850.87","181,555,250.02","425,846,041.58","439,119,981.44","664,597,489.70"
处置固定资产、无形资产和其他长期资产收回的现金净额,,,,,,"42,500.00","42,500.00","42,500.00",,,,,,,,,,,,,,,,,,,,"4,530.00",,"1,040.00","1,040.00","5,716.00",,"4,615.38","5,278.38","4,962.90"
筹资活动产生的现金流量净额,"66,010,331.23","5,032,573.60","15,092,830.75","21,909,232.85","18,457,755.57","704,981,668.13","612,119,488.84","623,982,718.02","-1,000,000.00","-1,000,000.00","180,073,881.20","205,454,195.05","-4,237,880.62","-1,922,218.58","69,721,565.26","612,915,532.68","-308,854.18","73,035,925.11","143,757,427.60","217,398,549.36","35,776,927.51","83,197,701.43","1,378,316,849.92","1,357,320,124.86","24,910,625.03","15,767,348.55","118,502,835.73","952,175,154.57","613,307,939.41","636,447,308.20","624,941,732.34","811,565,224.13","188,203,651.98","404,482,120.49","767,616,876.51","858,020,199.55"
处置子公司及其他营业单位收到的现金净额,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
四、汇率变动对现金的影响,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"808,767.84",,,,,
收到其他与投资活动有关的现金,,"4,461,568.50",,"644,238.00",,,,,,,"8,570,000.00","8,570,000.00",,,,,,,,,,,"7,340,000.00","7,340,000.00",,,,,,,"3,440,640.00",,"1,630,679.00","1,630,679.00","1,630,679.00","62,341,048.27"
四(2)、其他原因对现金的影响,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
投资活动现金流入小计,,"4,461,568.50",,"644,238.00",,"42,500.00","42,500.00","42,500.00",,,"8,570,000.00","8,570,000.00","5,618.80","5,618.80","11,237.60","11,237.60",,,,"5,618.80",,,"7,340,000.00","488,327,368.11","273,753,112.70","273,753,112.70","273,758,731.50","273,763,261.50",,"1,040.00","3,447,298.80","11,334.80","1,630,679.00","1,635,294.38","1,635,957.38","62,351,629.97"
五、现金及现金等价物净增加额,"55,898,824.96","-31,508,836.98","-24,519,994.18","34,327,997.62","-20,269,493.55","663,201,151.19","455,680,827.66","396,335,944.05","-110,267,610.27","-184,398,813.03","-60,161,654.35","-209,278,205.82","-70,427,874.50","-98,500,663.44","-95,448,753.91","373,592,226.82","-132,458,772.02","-112,239,804.89","-153,847,038.31","-331,399,523.72","-49,081,964.96","-109,603,551.45","571,229,900.33","384,874,566.61","133,221,466.18","-90,358,647.78","-232,091,873.26","-405,073,265.97","428,287,639.90","169,020,807.09","382,102.51","118,570,148.63","-125,484,253.25","-117,791,437.25","-150,804,084.39","-104,667,492.72"
购建固定资产、无形资产和其他长期资产支付的现金,"11,999,150.64","52,491,213.04","11,929,861.83","30,509,172.81","6,161,383.00","28,393,321.00","143,896,222.95","182,679,602.38","41,059,799.00","71,192,436.20","93,522,243.84","117,594,350.27","70,313,713.00","118,455,440.32","192,874,975.02","267,065,693.55","110,147,075.29","138,731,998.39","159,284,559.39","340,206,790.99","53,667,700.51","101,002,114.12","186,516,059.67","195,141,131.60","51,180,487.47","122,979,294.79","237,313,138.66","359,789,898.66","42,650,433.31","202,011,639.90","260,413,575.63","571,495,410.40","339,974,194.80","520,398,627.81","616,866,403.01","672,724,504.00"
期初现金及现金等价物余额,"4,097,506.73","59,996,331.69","28,487,494.71","28,487,494.71","62,815,492.33","62,815,492.33","62,815,492.33","62,815,492.33","459,151,436.38","459,151,436.38","459,151,436.38","459,151,436.38","249,873,230.56","249,873,230.56","249,873,230.56","249,873,230.56","623,465,457.38","623,465,457.38","623,465,457.38","623,465,457.38","295,819,119.87","295,819,119.87","295,819,119.87","292,065,933.66","676,940,500.27","676,940,500.27","676,940,500.27","676,940,500.27","271,867,234.30","271,867,234.30","271,867,234.30","271,867,234.30","425,255,601.99","390,437,382.93","390,437,382.93","390,437,382.93"
投资支付的现金,,,"4,881,438.97","4,881,438.97",,,,,,,,,,,,,,,,,,,"547,000,000.00","748,000,000.00",,,,,,,,"5,000,000.00","40,900,000.00","39,000,000.00","379,800,000.00","384,270,000.00"
期末现金及现金等价物余额,"59,996,331.69","28,487,494.71","3,967,500.53","62,815,492.33","42,545,998.78","726,016,643.52","518,496,319.99","459,151,436.38","348,883,826.11","274,752,623.35","398,989,782.03","249,873,230.56","179,445,356.06","151,372,567.12","154,424,476.65","623,465,457.38","491,006,685.36","511,225,652.49","469,618,419.07","292,065,933.66","246,737,154.91","186,215,568.42","867,049,020.20","676,940,500.27","810,161,966.45","586,581,852.49","444,848,627.01","271,867,234.30","700,154,874.20","440,888,041.39","272,249,336.81","390,437,382.93","299,771,348.74","272,645,945.68","239,633,298.54","285,769,890.21"
