科目,2007-03-31,2007-06-30,2007-09-30,2007-12-31,2008-03-31,2008-06-30,2008-09-30,2008-12-31,2009-03-31,2009-06-30,2009-09-30,2009-12-31,2010-03-31,2010-06-30,2010-09-30,2010-12-31,2011-03-31,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30
其中:消耗性生物资产,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应付关联公司款,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
一年内到期的非流动资产,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,040,000.00","780,000.00","520,000.00","260,000.00",,,,
一年内到期的非流动负债,"14,000,000.00","14,000,000.00","14,000,000.00","55,000,000.00","55,000,000.00","55,000,000.00",,,,,,,,,,,,,,"30,000,000.00","30,000,000.00","30,000,000.00",,"116,000,000.00","116,000,000.00","86,000,000.00",,,,,,,,,,,,,,,,,
其他流动资产,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"113,849.52",,"113,708.23","232,887.98"
其他流动负债,,"7,519,814.79","24,612,021.14","2,728,589.33","2,825,964.50","14,233,228.98","44,645,465.73","201,607,353.27","2,985,790.63","10,528,816.72","3,017,603.66",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
流动资产合计,"1,460,978,833.01","1,391,337,365.15","1,480,304,695.76","1,421,740,011.82","1,235,179,385.32","1,576,001,053.87","1,517,202,539.06","1,824,631,182.98","1,708,472,336.36","1,696,335,735.84","1,714,981,592.37","1,835,368,074.71","1,868,840,351.41","2,028,798,022.10","2,124,402,430.68","2,123,319,996.57","2,258,028,197.59","2,419,131,787.84","2,473,491,339.89","2,540,004,503.77","2,501,181,636.88","2,555,591,467.03","2,654,290,918.19","2,588,836,510.52","2,665,706,271.81","2,817,318,546.65","2,887,914,485.45","2,538,512,115.28","2,569,506,051.61","2,754,645,067.15","2,624,451,135.56","2,544,757,773.49","2,380,128,871.15","3,513,868,438.10","3,404,791,238.37","3,233,918,987.15","3,170,953,559.61","3,008,150,918.99","2,872,776,396.94","3,134,425,508.54","3,247,853,458.99","2,999,255,392.00","3,040,510,612.99"
流动负债合计,"1,277,217,542.71","1,255,359,810.69","1,350,686,202.96","1,361,898,918.06","1,251,563,125.96","1,579,960,532.18","1,548,691,136.63","1,879,231,385.98","1,762,710,911.39","1,771,975,551.49","1,787,462,351.79","1,927,130,259.39","1,956,290,697.64","2,056,220,879.00","2,094,106,349.03","2,087,163,576.80","2,215,405,978.80","2,372,076,285.91","2,403,987,855.63","2,503,816,309.11","2,457,912,391.08","2,518,713,435.25","2,619,091,018.84","2,697,365,217.81","2,761,838,024.49","2,903,233,630.18","2,982,511,856.96","2,641,163,713.76","2,507,464,706.48","2,707,219,388.74","2,576,638,064.73","2,471,946,688.44","2,298,907,485.21","2,398,108,340.33","2,253,699,023.78","2,119,563,560.57","2,076,519,306.96","1,894,807,991.26","1,782,538,586.60","2,034,313,279.82","2,146,262,521.76","1,887,854,502.78","1,921,465,546.44"
可供出售金融资产,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"5,000,000.00","5,000,000.00","20,000,000.00","20,000,000.00","20,000,000.00","20,000,000.00","20,000,000.00","20,000,000.00"
长期借款,"55,000,000.00","55,000,000.00","55,000,000.00",,,,,,,,,"30,325,000.00","30,606,250.00","60,606,250.00","146,000,000.00","146,000,000.00","146,000,000.00","146,000,000.00","146,000,000.00","116,000,000.00","116,000,000.00","116,000,000.00","116,000,000.00",,,,,,"150,000,000.00","150,000,000.00","150,000,000.00","150,000,000.00","150,000,000.00","250,000,000.00","250,000,000.00","250,000,000.00","250,000,000.00","250,000,000.00","250,000,000.00","250,000,000.00","250,000,000.00","250,000,000.00","250,000,000.00"
