科目,2007年1-3月,2007年1-6月,2007年1-9月,2007年度,2008年1-3月,2008年1-6月,2008年1-9月,2008年度,2009年1-3月,2009年1-6月,2009年1-9月,2009年度,2010年1-3月,2010年1-6月,2010年1-9月,2010年度,2011年1-3月,2011年1-6月,2011年度,2012年1-3月,2012年1-6月,2012年1-9月,2012年度,2013年1-3月,2013年1-6月,2013年1-9月,2013年度,2014年1-3月,2014年1-6月,2014年1-9月,2014年度,2015年1-3月,2015年1-6月,2015年1-9月,2015年度,2016年1-3月,2016年1-6月,2016年1-9月,2016年度,2017年1-3月,2017年1-6月,2017年1-9月,2017年度,2018年1-3月
财务费用,"13,950,664.34","22,819,279.45","36,120,071.12","48,750,577.70","13,580,043.58","27,509,909.51","42,893,250.63","55,588,108.08","13,020,562.44","26,231,513.17","40,394,476.56","49,956,399.82","13,315,796.80","24,835,979.39","36,535,476.32","45,132,008.66","12,979,200.66","20,862,034.86","41,745,584.12","14,937,646.32","22,052,677.21","34,064,099.75","41,823,224.92","15,245,000.60","20,166,028.37","30,831,585.79","34,535,491.77","10,935,652.57","11,223,836.24","14,990,815.94","14,079,343.47","1,198,091.14","2,024,857.75","3,778,145.79","3,812,401.99","1,947,158.30","3,510,919.88","718,046.70","1,128,579.20","-39,126.91","-548,295.75","200,534.59","741,341.65","558,014.56"
三、利润总额,"60,176,404.77","39,895,512.55","6,640,268.49","36,182,434.66","49,139,983.38","18,159,148.84","-20,782,612.10","17,484,503.07","61,651,289.78","21,824,932.91","-20,205,107.48","17,346,971.68","62,079,518.66","28,173,981.99","-17,906,214.04","18,442,099.44","42,914,553.77","3,867,491.63","-33,372,497.02","53,116,133.76","-3,029,712.79","-50,038,039.08","2,132,827.24","46,555,081.24","10,765,283.52","-48,562,386.13","4,844,243.91","56,895,523.84","24,204,786.91","-27,252,320.56","8,934,018.95","100,467,542.41","38,843,792.84","-16,480,861.38","16,062,315.71","110,490,940.45","34,980,277.66","-17,898,200.45","18,291,645.67","76,305,746.44","22,717,568.65","-24,312,679.66","9,011,533.54","71,983,068.98"
资产减值损失,"6,471,831.33","2,055,501.87","537,999.67","-4,592,451.92","6,728,350.26","4,313,697.53","4,126,832.58","-2,355,365.57","5,195,960.52","4,355,551.27","4,273,424.82","2,059,981.63","7,106,951.58","4,567,946.77","2,645,878.55","39,985.67","4,766,563.67","4,045,185.20","617,596.49","3,806,753.43","2,646,666.56","827,764.82","2,307,250.93","3,778,901.78","1,884,514.24","831,274.08","-920,295.07","11,893,870.80","3,375,032.81","2,953,524.17","3,504,320.60","6,633,344.21","5,778,696.03","5,357,374.50","6,267,545.44","470,174.67","-843,658.15","-980,059.30","22,413,214.76","965,183.27","-356,283.25","-1,284,766.60","-504,654.54","2,055,660.94"
减:所得税,"19,858,213.57","13,165,519.13","2,191,288.60","16,931,761.02","12,284,995.85","3,525,927.21",,"5,951,676.01","15,412,822.45","3,251,459.31",,"3,225,181.97","15,519,879.66","5,898,916.23","-2,592.56","5,930,170.03","10,728,638.45","862,741.09","1,139,944.81","13,279,033.44",,,"-683,241.68","11,638,770.31","2,691,320.87",,"692,625.12","14,223,880.97","5,207,438.52","185,279.83","-741,945.56","25,116,885.59","9,710,948.21","-12,421.13","5,420,923.16","27,540,855.59","8,007,708.08","347,663.36","4,698,469.61","18,909,863.32","6,160,734.50","801,234.32","5,654,724.70","19,316,079.08"
加:公允价值变动净收益,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
加:影响净利润的其他科目,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
投资收益,"8,754,851.45","8,775,151.14","8,775,151.14","5,956,045.16","-381,901.75","-763,803.50","-1,145,705.25","-5,992,784.99","-381,901.75","-763,803.50","-1,145,705.25","-2,053,845.00",,,,"-50,000.00",,,,,,,,,,,,,,,,,,,,,,,,,,"7,813,833.24","7,813,833.24",
四、净利润,"40,318,191.20","26,729,993.42","4,448,979.89","19,250,673.64","36,854,987.53","14,633,221.63","-20,782,612.10","11,532,827.06","46,238,467.33","18,573,473.60","-20,205,107.48","14,121,789.71","46,559,639.00","22,275,065.76","-17,903,621.48","12,511,929.41","32,185,915.32","3,004,750.54","-34,512,441.83","39,837,100.32","-3,029,712.79","-50,038,039.08","2,816,068.92","34,916,310.93","8,073,962.65","-48,562,386.13","4,151,618.79","42,671,642.87","18,997,348.39","-27,437,600.39","9,675,964.51","75,350,656.82","29,132,844.63","-16,468,440.25","10,641,392.55","82,950,084.86","26,972,569.58","-18,245,863.81","13,593,176.06","57,395,883.12","16,556,834.15","-25,113,913.98","3,356,808.84","52,666,989.90"
其中:对联营企业和合营企业的投资权益,,"20,299.69","20,299.69","-2,798,806.29","-381,901.75","-763,803.50","-1,145,705.25","-5,992,784.99","-381,901.75","-763,803.50","-1,145,705.25","-2,053,845.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
归属于母公司所有者的净利润,"40,318,191.20","26,729,993.42","4,448,979.89","19,250,673.64","36,854,987.53","14,633,221.63","-20,782,612.10","11,532,827.06","46,238,467.33","18,573,473.60","-20,205,107.48","14,121,789.71","46,559,639.00","22,275,065.76","-17,903,621.48","12,511,929.41","32,185,915.32","3,004,750.54","-34,512,441.83","39,837,100.32","-3,029,712.79","-50,038,039.08","2,816,068.92","34,916,310.93","8,073,962.65","-48,562,386.13","4,151,618.79","42,671,642.87","18,997,348.39","-27,437,600.39","9,675,964.51","75,350,656.82","29,132,844.63","-16,468,440.25","10,641,392.55","82,950,084.86","26,972,569.58","-18,245,863.81","13,593,176.06","57,395,883.12","16,556,834.15","-25,113,913.98","3,356,808.84","52,666,989.90"
影响营业利润的其他科目,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
少数股东损益,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
